	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.S341.1326.SM.4AD72	GTEX.ZT9W.1226.SM.57WE4	GTEX.XUW1.1526.SM.4BOOY	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.55.8621.01A.11R.2403.07	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WWYW.0926.SM.3NB2Z	GTEX.YEC3.0226.SM.5IFJO	GTEX.13N2G.0826.SM.5IJE6	GTEX.ZPU1.0926.SM.57WDO	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.WYVS.0526.SM.3NM9W	TCGA.98.A53H.01A.12R.A262.07
ABCA13	0.0	3955.48	0.0	0.0	0.0	0.14	190.34	6.36	5.06	45.85	81.14	17.25	283.05	2915.45	3.03	77.79	208.38	244.57	1313.23	0.68	13.42	31.9	14.67	47.5	1369.04	400.71
AQP5	1.73	1238359.56	2.23	1.58	0.0	0.16	267.73	571.05	8.38	4450.27	647.07	1594.73	157.68	110216.97	11.91	1519.15	1977.24	12589.08	14765.09	775.05	63.89	5872.48	8078.22	187.71	9215.48	1023.0
B3GNT6	0.0	3.66	0.0	0.0	0.0	0.12	77.79	0.0	0.0	3.66	0.0	1.83	3.53	2319.15	0.67	0.71	0.62	143.01	2224.63	1.83	0.0	0.0	0.0	0.0	4543.8	59.97
BACE2	353.59	1191.69	363.56	718.08	0.0	0.8	1023.0	775.05	217.27	406.31	256.78	102.97	3372.43	2915.45	277.2	361.04	368.65	2240.11	5112.16	135.24	249.73	323.03	316.37	483.38	1417.35	1844.76
C15orf26	1.99	981.29	2.53	0.8	0.0	0.05	69.52	7.22	19.97	19.11	115.97	46.18	162.14	466.88	2.56	84.63	246.28	249.73	543.96	39.79	10.31	18.43	24.11	66.65	154.42	248.0
C1orf173	0.37	6607.01	0.85	0.33	0.0	0.0	262.2	5.15	2.78	110.43	256.78	26.28	269.6	490.14	2.76	389.72	547.75	389.72	1119.56	23.08	2.73	77.79	7.75	79.45	363.56	493.56
C22orf15	3.72	780.44	4.9	5.54	0.0	0.0	277.2	8.25	9.48	107.38	466.88	41.81	171.45	1313.23	10.24	363.56	420.68	423.61	1023.0	27.64	24.11	128.79	24.99	97.36	514.56	579.04
CDH3	6.26	175.07	8.06	12.55	0.0	0.19	808.0	77.25	80.01	249.73	87.03	123.5	723.08	1757.34	11.47	244.57	463.65	607.87	703.28	82.87	41.22	379.04	567.1	80.01	3419.52	1304.15
CIB1	2224.63	7485.11	1295.13	1151.06	0.0	0.8	3665.02	3820.7	1709.26	3146.52	3303.0	2664.15	4736.79	16157.44	2047.0	5441.3	5076.84	5751.61	14663.09	3039.3	3982.99	2796.65	1617.0	2271.4	5831.91	5366.37
CLCA4	0.39	114.36	1.58	0.54	0.0	0.0	4.5	0.0	0.0	0.0	3.14	1.06	0.0	400.71	3.11	6.36	6.94	40.07	48.18	4.1	0.0	0.0	0.0	0.96	13.62	34.75
CP	59.55	106462.55	38.67	88.88	0.0	0.37	1250.98	82.87	79.45	450.94	909.17	52.45	3690.52	8963.45	86.43	796.86	1467.37	3235.01	17927.91	242.88	136.19	318.57	12.93	177.53	2555.58	2720.15
CXCL6	0.87	4836.35	0.0	0.0	0.0	0.13	86.43	23.59	2.32	5.96	47.17	6.06	483.38	12676.65	6.36	312.0	53.57	872.1	1259.69	6.11	4.06	22.75	6.01	4.62	4152.18	229.72
DNAH14	11.04	785.88	37.32	48.87	0.0	0.49	169.07	71.5	114.36	77.25	93.35	124.37	242.88	139.07	55.89	78.34	66.65	291.04	167.9	43.02	141.02	60.39	79.45	151.22	234.57	94.01
DNAJB13	3.26	191899.64	0.0	0.0	0.0	0.0	217.27	10.31	23.25	126.12	289.02	39.22	348.71	547.75	5.06	336.79	466.88	400.71	1313.23	36.53	23.25	91.41	30.34	82.29	381.68	486.75
DPCD	269.6	2720.15	260.38	343.89	0.0	0.08	842.36	454.09	417.77	532.74	769.69	518.15	954.43	1870.53	423.61	688.78	1151.06	1216.75	2032.85	392.44	466.88	438.59	536.45	521.76	1191.69	1208.34
