	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZF29.1326.SM.4WWB6	GTEX.13S86.0826.SM.5SI6J	GTEX.14H4A.1626.SM.5SI69	GTEX.NPJ8.1926.SM.3MJGB	GTEX.13OVI.2626.SM.5KM4T	GTEX.ZT9W.1326.SM.51MTB	GTEX.ZVT2.1326.SM.5E45H	GTEX.U3ZM.0526.SM.4DXTB	GTEX.1122O.1726.SM.5GICM	GTEX.PWN1.0626.SM.48TDT	GTEX.PWCY.0726.SM.48TCS	GTEX.11DZ1.2026.SM.5A5KG	GTEX.13QBU.1026.SM.5LU3R	GTEX.1399S.1326.SM.5P9GH	TCGA.KU.A66S.01A.21R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13S86.0626.SM.5Q5E7	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZT9W.2126.SM.51MSF	GTEX.132AR.2426.SM.5IFFD	GTEX.11NUK.2426.SM.5BC4U	GTEX.QXCU.1926.SM.48FE4
AD000671.6	6.78	10.96	7.34	15.22	12.09	24.63	8.32	8.58	9.2	17.38	13.72	13.12	5.54	0.0	22.1	2.05	17.9	5.77	10.79	11.55	0.0	6.62	2.56	7.63	15.91	7.28	3.47	12.36	0.0	0.29	32.82	7.82	10.96	9.34	12.36	11.3	1.27	51.71	7.57	8.0
AHSA1	1769.57	3491.39	2417.67	3665.02	2018.8	3491.39	3190.46	2468.49	1757.34	2664.15	4575.41	2434.5	1508.65	1369.04	4543.8	1651.0	5219.6	954.43	1331.57	1857.6	1733.13	1617.0	1216.75	1674.06	3589.58	1662.49	1551.09	6250.56	0.0	0.41	7911.95	4010.71	2193.99	6121.9	3168.41	1286.18	2485.67	11745.96	708.18	1044.52
ANKRD54	457.25	435.55	529.06	518.15	426.57	507.46	400.71	476.71	466.88	718.08	616.37	629.35	450.94	287.01	454.09	221.86	497.0	287.01	293.07	297.17	291.04	470.14	260.38	336.79	543.96	289.02	327.56	587.13	0.0	0.16	483.38	275.28	353.59	429.54	392.44	420.68	291.04	466.88	83.45	186.4
ANXA1	1970321.01	447025.24	721179.07	573724.06	509950.32	682276.92	517068.97	614902.29	1355129.16	711250.37	316094.29	1364554.84	208544.12	193234.41	176583.6	277089.94	124000.67	194578.47	200048.85	211455.3	205673.01	189257.69	176583.6	207103.59	23656.34	215898.44	167058.21	14663.09	12076.21	400.71	15607.02	573724.06	958220.73	834179.46	422911.59	863596.77	789181.81	13399.51	2956.17	5517.27
ARMC10	616.37	638.15	642.59	728.11	819.3	563.18	1051.79	884.29	536.45	571.05	796.86	540.19	511.0	403.5	860.08	454.09	1322.37	358.54	483.38	379.04	444.72	368.65	379.04	532.74	1073.91	607.87	376.41	1081.39	1127.35	358.54	947.83	1135.2	454.09	967.76	493.56	470.14	848.22	1369.04	363.56	291.04
ATIC	802.41	2855.44	1407.55	3060.45	1674.06	2075.59	2104.58	1407.55	1151.06	1745.2	1991.0	1015.93	679.29	599.49	1242.34	728.11	1896.65	514.56	830.75	591.22	647.07	842.36	743.43	759.08	2255.7	808.0	878.17	3742.05	0.0	0.22	1757.34	1923.14	1119.56	1477.58	1242.34	1008.9	1313.23	1628.26	454.09	693.58
BTN3A2	397.93	289.02	381.68	264.03	651.58	753.83	441.64	406.31	500.46	400.71	387.02	228.13	309.83	159.9	460.44	189.02	473.41	199.85	267.73	220.32	264.03	271.48	221.86	239.52	896.64	124.37	186.4	703.28	0.0	0.26	1350.18	466.88	409.15	536.45	514.56	543.96	198.47	583.07	450.94	186.4
BTN3A3	181.28	171.45	264.03	162.14	547.75	470.14	309.83	251.48	361.04	271.48	262.2	163.28	163.28	91.41	260.38	69.03	329.84	108.14	97.36	85.82	165.57	108.9	64.34	91.41	733.19	84.04	119.26	236.21	0.0	0.31	830.75	138.1	379.04	220.32	265.87	265.87	74.58	688.78	303.44	115.97
C14orf142	392.44	273.37	143.01	260.38	218.79	182.55	193.01	169.07	136.19	228.13	224.97	155.5	180.02	112.77	220.32	109.66	260.38	111.21	142.01	127.0	162.14	111.21	115.16	131.51	348.71	128.79	117.6	441.64	0.0	0.0	441.64	490.14	154.42	234.57	182.55	128.79	193.01	483.38	137.14	116.78
C15orf38-AP3S2	329.84	299.25	314.17	379.04	236.21	466.88	384.34	267.73	403.5	327.56	305.55	303.44	255.0	151.22	480.04	170.25	287.01	176.29	267.73	150.17	248.0	166.73	199.85	262.2	361.04	165.57	211.31	532.74	0.0	0.43	612.11	366.09	173.85	318.57	432.53	236.21	320.8	753.83	170.25	215.77
C21orf59	463.65	928.3	866.07	848.22	688.78	854.13	693.58	738.29	669.92	981.29	860.08	624.99	463.65	503.95	1066.48	497.0	1159.07	514.56	559.28	603.67	511.0	518.15	381.68	511.0	1745.2	764.36	457.25	1651.0	0.0	0.46	1322.37	518.15	808.0	1295.13	764.36	414.87	684.02	1498.22	148.09	384.34
C9orf40	88.88	234.57	116.78	147.06	107.38	126.12	136.19	106.63	111.99	146.03	92.05	112.77	54.33	26.1	157.68	33.06	144.01	31.67	28.04	37.59	56.68	44.89	33.06	57.89	187.71	43.94	41.22	113.56	0.0	0.38	123.5	81.14	72.52	104.42	63.0	29.7	40.07	334.46	16.39	29.91
C9orf69	540.19	825.0	974.5	884.29	674.59	1008.9	708.18	902.89	808.0	954.43	866.07	842.36	583.07	507.46	802.41	432.53	954.43	521.76	473.41	511.0	511.0	521.76	507.46	656.11	796.86	536.45	703.28	514.56	0.0	0.02	718.08	878.17	796.86	571.05	769.69	1044.52	624.99	915.51	90.14	215.77
CACYBP	1540.37	2319.15	1304.15	2351.53	1388.16	1015.93	1909.85	2224.63	981.29	1151.06	1721.16	967.76	1340.84	915.51	2855.44	928.3	3235.01	921.88	1104.13	981.29	1051.79	1081.39	860.08	1023.0	1832.01	954.43	981.29	3515.68	0.0	0.0	4671.57	2400.97	1991.0	2591.27	1639.59	1199.98	1662.49	13681.08	708.18	470.14
CDC26	791.35	1388.16	723.08	718.08	1066.48	860.08	941.27	733.19	688.78	1030.12	733.19	848.22	583.07	470.14	1199.98	532.74	1331.57	476.71	748.61	575.03	575.03	684.02	507.46	567.1	1457.23	647.07	764.36	1417.35	0.0	0.67	2434.5	1909.85	748.61	1225.22	567.1	713.11	902.89	1529.73	358.54	470.14
CEP19	148.09	63.45	31.9	53.19	47.84	43.02	48.52	81.71	32.59	42.11	62.56	18.84	26.86	3.89	130.6	2.94	151.22	6.41	11.38	8.06	8.25	10.0	8.0	10.63	258.57	3.29	15.45	15.11	35.25	164.42	129.69	114.36	32.82	80.01	45.53	67.12	103.69	49.21	5.68	8.51
