	TCGA.EW.A1P1.01A.31R.A14D.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	GTEX.WI4N.1426.SM.3LK7H	TCGA.CR.7376.01A.11R.2132.07	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	TCGA.60.2704.01A.11R.2045.07	TCGA.85.6175.01A.11R.1820.07	TCGA.43.6773.11A.01R.1949.07	TCGA.34.7107.11A.01R.1949.07	TCGA.77.8008.11A.01R.2187.07	TCGA.RD.A7BW.01A.11R.A32D.31	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.XXEK.1326.SM.4BRV1	GTEX.ZVP2.0426.SM.57WC2	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.S4Z8.0326.SM.3K2AU	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.Q2AI.0326.SM.2I3EK	GTEX.11NSD.0126.SM.5987F	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13CF3.0926.SM.5LZZC	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.ZDYS.0626.SM.5J2N5	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
OSMR	1286.18	909.17	1167.14	3690.52	848.22	764.36	1447.15	1936.53	1151.06	1417.35	1030.12	1870.53	1844.76	223.41	161.02	229.72	198.47	190.34	708.18	361.04	343.89	180.02	142.01	262.2	483.38	303.44	154.42	285.03	236.21	301.33	255.0	651.58	305.55	638.15	379.04	97.36	543.96	249.73	136.19	132.44	320.8	239.52	559.28	236.21	173.85	59.13	170.25	156.59	231.32	237.86	368.65	624.99	253.23	693.58	94.67	121.79	121.79	775.05	190.34	205.5	312.0	412.0	1359.57	239.52	80.57	228.13	63.0
PAK2	921.88	1081.39	1066.48	902.89	1359.57	629.35	403.5	2240.11	941.27	909.17	698.41	660.68	753.83	432.53	543.96	332.14	348.71	358.54	457.25	457.25	463.65	514.56	314.17	435.55	460.44	379.04	336.79	384.34	307.69	303.44	289.02	571.05	389.72	460.44	473.41	358.54	329.84	397.93	447.82	371.22	366.09	363.56	624.99	312.0	297.17	260.38	387.02	262.2	303.44	403.5	423.61	417.77	426.57	583.07	351.14	224.97	314.17	629.35	339.14	366.09	403.5	493.56	884.29	361.04	291.04	387.02	356.05
PALM2-AKAP2	153.34	253.23	358.54	607.87	117.6	109.66	142.01	150.17	143.01	145.02	105.89	138.1	140.04	29.7	51.35	26.1	36.79	36.01	113.56	60.39	77.25	31.67	63.89	108.9	26.1	55.89	53.95	42.11	88.88	39.22	38.12	86.43	46.5	84.04	108.14	46.18	11.38	57.49	53.95	58.3	38.4	90.14	172.65	61.68	28.04	14.56	67.59	2.81	35.0	84.04	40.93	48.18	40.93	32.13	59.97	1.27	24.63	111.21	37.05	3.56	38.67	79.45	144.01	48.52	13.03	49.21	18.29
PCDHB13	35.0	60.39	77.79	26.28	37.32	42.11	38.67	37.59	46.5	49.91	51.71	57.49	44.57	35.25	49.21	10.71	20.71	33.54	96.68	62.56	49.21	34.75	6.89	36.01	127.89	8.45	51.35	111.99	13.42	31.9	146.03	70.51	36.01	33.06	41.52	20.71	11.64	37.59	19.25	20.86	25.72	35.0	105.15	18.29	30.12	11.55	24.81	29.06	49.91	31.67	37.85	33.3	22.75	32.36	3.11	26.67	31.45	88.26	35.5	21.32	35.5	43.32	33.54	3.82	28.24	36.01	35.5
PCDHB14	82.87	183.82	149.12	102.97	105.15	73.03	108.14	187.71	159.9	99.43	88.26	131.51	139.07	37.32	55.49	20.41	31.67	30.78	82.87	40.36	48.52	45.85	14.45	34.51	119.26	22.43	67.12	79.45	18.29	29.7	133.36	52.82	28.86	34.51	50.27	25.72	19.97	65.72	19.25	40.36	15.11	26.86	41.52	37.85	33.54	12.55	34.02	37.32	40.64	23.08	26.47	57.49	26.28	52.45	4.5	39.79	32.13	84.04	25.35	21.94	42.71	76.17	64.8	15.0	29.06	39.22	88.26
PCDHGB2	47.17	70.01	79.45	70.01	134.3	59.97	104.42	53.57	62.12	76.17	68.07	96.01	39.22	66.65	15.56	13.93	24.63	15.45	21.78	40.93	47.5	25.91	8.65	48.18	47.5	26.67	39.79	14.45	12.36	22.59	115.97	27.05	14.89	77.25	54.72	6.36	12.09	87.65	43.32	59.13	30.12	17.13	24.28	20.41	31.9	11.21	35.0	14.45	11.13	46.18	31.9	88.88	37.59	56.68	5.5	10.16	24.11	111.99	11.04	14.35	22.1	69.52	75.11	6.67	67.59	46.5	20.71
PCDHGC3	743.43	693.58	656.11	1159.07	1096.5	1225.22	1685.71	599.49	909.17	1175.27	1277.29	1417.35	466.88	221.86	255.0	224.97	172.65	115.97	368.65	457.25	199.85	246.28	56.68	371.22	255.0	231.32	242.88	162.14	176.29	285.03	237.86	748.61	191.67	325.29	780.44	107.38	104.42	387.02	297.17	221.86	327.56	232.94	384.34	157.68	132.44	60.39	190.34	99.43	209.84	217.27	155.5	406.31	476.71	348.71	100.83	85.22	77.79	279.14	115.97	198.47	220.32	381.68	688.78	92.05	185.11	332.14	155.5
PDE3B	126.12	366.09	723.08	351.14	81.71	327.56	718.08	173.85	57.89	251.48	187.71	159.9	92.7	13.22	7.63	14.67	14.45	8.78	4.82	21.94	22.75	9.93	29.06	59.13	4.35	42.41	17.9	18.29	13.32	19.25	11.73	28.45	29.48	14.24	14.89	16.15	1.08	17.77	4.98	11.13	13.42	18.29	16.15	4.86	9.48	4.28	15.91	9.34	12.83	17.77	48.18	12.45	19.53	36.01	15.34	5.59	11.91	44.89	2.51	22.43	36.79	68.07	13.12	27.05	6.73	27.44	17.13
PDPN	1037.29	703.28	954.43	1295.13	5329.3	2271.4	5872.48	2255.7	2004.85	591.22	1001.93	1407.55	1277.29	186.4	279.14	101.54	89.51	50.98	267.73	241.19	91.41	84.04	5.19	145.02	177.53	81.71	45.53	8.25	106.63	187.71	37.85	1529.73	71.0	466.88	848.22	67.59	109.66	214.27	202.66	153.34	57.08	51.71	351.14	39.22	16.27	5.92	24.99	30.78	67.59	77.79	6.84	246.28	291.04	59.13	27.84	48.52	7.06	642.59	40.07	47.84	199.85	291.04	346.29	103.69	74.06	128.79	7.75
PFKFB3	1844.76	2720.15	2032.85	5329.3	1378.57	2935.74	1709.26	1519.15	2075.59	1447.15	2178.83	1378.57	642.59	110.43	146.03	71.0	120.1	105.15	194.36	264.03	114.36	379.04	189.02	253.23	132.44	156.59	128.79	82.87	115.97	239.52	104.42	412.0	143.01	161.02	201.25	91.41	351.14	540.19	141.02	231.32	197.09	125.24	303.44	108.14	98.73	241.19	163.28	87.65	119.26	136.19	129.69	132.44	165.57	279.14	66.65	64.8	54.72	395.18	81.14	135.24	134.3	295.11	723.08	229.72	114.36	125.24	80.57
PLSCR1	2664.15	1923.14	2434.5	3443.31	3690.52	1870.53	2335.28	2061.24	2163.77	5672.41	1757.34	2591.27	2163.77	642.59	775.05	688.78	638.15	629.35	1662.49	1030.12	1044.52	896.64	624.99	866.07	1651.0	802.41	665.29	748.61	808.0	791.35	1023.0	1651.0	651.58	1477.58	1051.79	607.87	1594.73	1044.52	748.61	612.11	915.51	688.78	1757.34	567.1	417.77	483.38	616.37	444.72	698.41	718.08	1051.79	1487.87	1066.48	1870.53	579.04	638.15	536.45	1794.29	514.56	738.29	616.37	1628.26	1721.16	775.05	480.04	703.28	473.41
PPP1R18	1857.6	813.63	1322.37	3257.52	2609.3	1447.15	3280.18	1651.0	2796.65	2178.83	2627.46	2520.38	2682.69	423.61	332.14	409.15	381.68	368.65	1225.22	674.59	500.46	392.44	353.59	624.99	753.83	466.88	503.95	384.34	316.37	395.18	525.39	974.5	346.29	583.07	813.63	447.82	555.41	460.44	718.08	291.04	432.53	447.82	941.27	353.59	426.57	194.36	279.14	339.14	497.0	361.04	343.89	638.15	967.76	1008.9	242.88	251.48	246.28	460.44	204.07	381.68	327.56	490.14	1151.06	583.07	441.64	251.48	318.57
PTX3	107.38	457.25	231.32	3716.2	53.95	260.38	583.07	463.65	99.43	693.58	603.67	836.53	123.5	77.25	66.18	40.93	27.05	46.84	109.66	57.49	119.26	24.99	14.24	111.99	48.87	67.12	44.57	18.7	73.54	64.34	17.25	299.25	23.08	57.89	119.26	72.01	75.11	39.22	55.49	85.22	40.93	37.85	175.07	19.97	15.56	10.55	26.47	22.43	49.56	63.89	27.25	175.07	159.9	60.82	18.7	15.8	41.22	363.56	14.56	59.55	66.18	60.82	651.58	63.0	50.27	49.21	40.07
RAB31	1340.84	764.36	1119.56	1322.37	3257.52	2627.46	2133.97	1709.26	2367.9	1540.37	1331.57	1697.45	2537.92	392.44	679.29	769.69	684.02	454.09	1277.29	974.5	688.78	708.18	518.15	902.89	1037.29	638.15	444.72	753.83	432.53	297.17	785.88	974.5	607.87	1208.34	1151.06	307.69	532.74	713.11	435.55	785.88	684.02	995.0	1199.98	543.96	435.55	543.96	547.75	476.71	441.64	547.75	718.08	830.75	743.43	941.27	633.73	536.45	551.56	1794.29	551.56	454.09	563.18	1088.92	2075.59	591.22	384.34	473.41	521.76
RAI14	1104.13	624.99	693.58	1044.52	1605.83	1340.84	2240.11	1508.65	2119.22	743.43	915.51	941.27	1143.1	262.2	255.0	242.88	172.65	123.5	314.17	185.11	199.85	318.57	255.0	251.48	264.03	172.65	125.24	180.02	336.79	127.89	211.31	346.29	183.82	323.03	287.01	204.07	199.85	438.59	242.88	141.02	133.36	209.84	450.94	142.01	194.36	265.87	307.69	127.89	152.28	157.68	204.07	466.88	275.28	579.04	368.65	157.68	102.25	457.25	145.02	255.0	122.64	285.03	785.88	149.12	163.28	228.13	180.02
RBMS1	1313.23	1709.26	2075.59	2193.99	1259.69	1870.53	1857.6	1844.76	1397.83	1388.16	1304.15	1583.71	1617.0	429.54	647.07	518.15	571.05	540.19	647.07	854.13	629.35	642.59	285.03	866.07	738.29	669.92	444.72	486.75	417.77	603.67	708.18	981.29	567.1	813.63	698.41	463.65	420.68	791.35	429.54	450.94	743.43	603.67	1268.46	490.14	466.88	366.09	575.03	353.59	500.46	532.74	536.45	540.19	540.19	743.43	343.89	363.56	384.34	988.12	457.25	466.88	733.19	830.75	1104.13	414.87	476.71	521.76	438.59
REXO2	1844.76	1896.65	2075.59	1216.75	1233.75	1991.0	2209.26	1685.71	1794.29	1369.04	1359.57	1757.34	2451.44	854.13	1015.93	743.43	669.92	753.83	1378.57	995.0	748.61	928.3	921.88	1127.35	890.44	896.64	612.11	808.0	872.1	1233.75	825.0	1159.07	866.07	995.0	1096.5	703.28	1268.46	1183.45	748.61	981.29	1073.91	896.64	1208.34	603.67	775.05	718.08	825.0	961.07	1051.79	713.11	902.89	703.28	848.22	884.29	848.22	934.76	819.3	1487.87	698.41	660.68	848.22	974.5	1991.0	854.13	669.92	1008.9	684.02
RHOJ	688.78	665.29	624.99	620.67	353.59	595.34	624.99	199.85	303.44	708.18	688.78	665.29	802.41	197.09	239.52	180.02	120.94	116.78	387.02	161.02	139.07	260.38	52.82	194.36	211.31	173.85	157.68	105.15	214.27	96.68	125.24	343.89	154.42	182.55	176.29	190.34	180.02	267.73	246.28	209.84	132.44	132.44	281.09	102.25	102.25	63.45	108.9	87.03	209.84	193.01	79.45	191.67	291.04	358.54	92.05	104.42	72.01	191.67	81.71	100.83	145.02	130.6	450.94	145.02	177.53	154.42	194.36
RIN3	336.79	172.65	220.32	1008.9	441.64	595.34	1437.15	409.15	454.09	1059.11	808.0	753.83	860.08	167.9	70.51	114.36	126.12	94.01	186.4	180.02	105.89	52.45	86.43	103.69	119.26	87.03	141.02	88.88	131.51	95.34	96.01	277.2	88.26	128.79	172.65	81.71	87.65	127.89	129.69	99.43	145.02	92.7	182.55	98.73	99.43	41.22	99.43	52.08	106.63	117.6	43.94	143.01	202.66	169.07	46.18	53.95	58.3	183.82	78.34	77.79	125.24	237.86	165.57	88.26	103.69	93.35	59.97
RUNX1	1487.87	1857.6	915.51	1259.69	1397.83	934.76	1551.09	1304.15	1844.76	642.59	1059.11	934.76	1242.34	34.51	32.13	14.78	30.56	40.07	175.07	63.89	72.52	36.79	26.28	52.45	175.07	42.11	27.64	28.65	18.29	71.5	75.64	444.72	32.36	255.0	275.28	28.86	96.01	67.12	50.63	38.4	46.84	55.89	343.89	15.45	32.36	16.15	25.17	18.7	57.08	13.42	98.73	85.82	41.22	108.14	14.35	19.68	7.63	314.17	12.09	14.14	67.59	63.45	195.72	37.05	22.59	45.21	18.7
SECTM1	638.15	514.56	194.36	476.71	2119.22	540.19	954.43	543.96	713.11	2335.28	967.76	1685.71	921.88	29.48	111.99	48.52	77.79	44.25	241.19	124.37	36.27	154.42	19.11	60.82	145.02	16.75	34.51	13.93	73.03	28.04	63.89	299.25	24.28	130.6	176.29	42.11	180.02	358.54	202.66	51.35	80.57	43.02	392.44	23.25	17.51	22.59	44.57	16.27	31.22	81.14	13.12	61.25	120.94	109.66	19.97	19.39	15.45	177.53	15.22	25.54	43.63	165.57	104.42	44.57	86.43	25.35	1.77
SERPINB1	1857.6	1572.76	1662.49	2240.11	3103.19	1639.59	2664.15	1923.14	1923.14	2682.69	2935.74	4210.15	1397.83	878.17	1216.75	1081.39	1295.13	909.17	1437.15	1286.18	1081.39	921.88	1259.69	1199.98	2255.7	1008.9	775.05	1081.39	1104.13	1167.14	1250.98	1617.0	961.07	2090.03	1350.18	819.3	1277.29	988.12	1037.29	1313.23	1322.37	1023.0	1628.26	854.13	974.5	866.07	1313.23	902.89	1233.75	1127.35	1628.26	1561.89	1191.69	1844.76	1183.45	1350.18	915.51	1662.49	1044.52	1015.93	974.5	1594.73	3690.52	1561.89	860.08	1119.56	995.0
SLC16A1	547.75	409.15	406.31	713.11	1023.0	314.17	293.07	813.63	878.17	164.42	212.78	323.03	563.18	61.25	84.04	48.87	39.79	32.13	120.94	99.43	64.34	68.07	20.41	83.45	72.01	38.12	42.71	39.79	36.79	64.8	58.71	244.57	40.93	141.02	167.9	43.94	42.11	80.57	76.17	46.84	77.79	54.33	84.04	29.06	36.27	31.45	53.95	32.59	69.03	35.5	41.22	70.01	57.49	84.04	26.67	42.41	24.63	167.9	38.95	51.35	66.18	69.03	426.57	19.68	67.12	85.82	66.18
SLC16A7	59.13	441.64	381.68	660.68	105.15	35.76	50.63	117.6	76.17	50.63	96.01	74.58	128.79	15.0	21.01	9.41	8.85	18.97	40.93	15.91	14.03	27.44	2.76	43.02	34.75	30.34	9.48	8.65	7.11	10.31	12.74	69.03	14.14	28.24	40.93	13.32	17.25	18.43	12.45	13.22	13.42	20.26	44.57	4.35	3.99	3.59	12.74	3.11	21.47	16.39	16.51	21.94	22.75	21.63	13.42	6.41	8.13	38.4	4.62	12.83	14.35	17.64	110.43	18.29	12.09	9.78	7.57
SLC46A2	4.94	4.82	11.21	5.73	3.32	103.69	31.0	28.86	18.97	141.02	231.32	334.46	1.57	1.69	0.52	0.24	2.92	0.53	1.75	1.71	0.82	0.78	2.94	0.84	0.0	1.1	0.52	0.52	0.0	0.0	0.0	5.77	1.11	1.08	5.68	0.0	1.03	1.85	0.0	0.0	2.23	0.0	1.38	0.0	0.58	0.0	2.97	0.0	2.41	0.0	0.0	1.64	3.03	0.0	0.23	0.48	0.55	2.97	1.36	1.36	3.06	4.9	0.0	1.25	2.32	1.95	1.03
SLC9B2	258.57	215.77	265.87	371.22	194.36	113.56	163.28	198.47	103.69	150.17	137.14	175.07	251.48	35.5	35.5	40.36	49.21	38.4	96.01	63.89	62.12	52.45	6.84	75.64	72.52	46.18	46.5	38.67	31.9	60.82	43.32	137.14	49.56	105.15	107.38	20.56	59.97	47.5	43.32	31.67	63.45	43.32	92.7	39.22	25.91	18.97	64.34	18.16	50.98	40.93	49.21	68.07	68.07	112.77	28.24	30.56	23.25	121.79	26.86	39.22	49.91	98.04	172.65	38.12	26.86	78.34	36.01
SOD2	8538.88	8598.28	5329.3	57448.23	24321.43	14262.1	16960.78	20310.37	10585.95	12160.22	16843.62	27174.14	10512.82	2319.15	1936.53	1950.0	2047.0	1697.45	6250.56	2701.35	3589.58	2319.15	1651.0	4328.55	3443.31	2104.58	2485.67	1605.83	2271.4	2193.99	1781.89	6250.56	1733.13	5147.73	3589.58	1437.15	3168.41	2502.97	2335.28	1477.58	2520.38	3146.52	9945.68	1322.37	1407.55	1427.22	2367.9	1447.15	2047.0	2915.45	3690.52	6471.02	4010.71	4210.15	1651.0	1427.22	1857.6	8538.88	1529.73	4239.45	2537.92	2816.11	8598.28	3928.15	1340.84	2417.67	1378.57
SRGN	5147.73	4450.27	4010.71	6381.92	5872.48	9088.59	17197.56	10014.87	3589.58	17317.18	15180.22	9474.59	4388.98	1295.13	2627.46	1059.11	1561.89	679.29	1639.59	1909.85	1832.01	5751.61	1259.69	1745.2	1242.34	1331.57	1127.35	2090.03	808.0	1111.82	674.59	3419.52	902.89	1167.14	1561.89	316.37	4239.45	6699.25	1066.48	1467.37	1781.89	1088.92	2627.46	1051.79	2739.08	785.88	1397.83	1417.35	660.68	743.43	1216.75	813.63	1950.0	1909.85	780.44	802.41	836.53	2682.69	848.22	808.0	1508.65	2520.38	7803.01	836.53	684.02	1417.35	842.36
STAT3	3257.52	2895.31	2976.74	7280.4	3103.19	2451.44	3614.55	3349.13	2935.74	4152.18	3018.3	4869.99	3901.01	1883.54	1216.75	1467.37	1963.57	1806.78	2895.31	1991.0	2090.03	1286.18	2061.24	1991.0	2573.36	1745.2	1674.06	1769.57	1806.78	2104.58	1857.6	2537.92	1697.45	3124.78	2451.44	1159.07	2047.0	1605.83	1427.22	1295.13	1857.6	1508.65	2417.67	1417.35	1487.87	1225.22	1857.6	1088.92	1991.0	1806.78	2537.92	2758.13	2018.8	3168.41	1617.0	1350.18	1605.83	3419.52	1561.89	1844.76	1923.14	2224.63	3146.52	1447.15	819.3	1832.01	921.88
STAT5A	866.07	1051.79	909.17	1498.22	981.29	511.0	1051.79	426.57	457.25	866.07	866.07	842.36	775.05	318.57	248.0	329.84	264.03	334.46	406.31	426.57	395.18	205.5	283.05	514.56	423.61	532.74	490.14	297.17	450.94	403.5	327.56	651.58	409.15	490.14	638.15	297.17	253.23	267.73	387.02	293.07	348.71	395.18	420.68	358.54	237.86	234.57	368.65	191.67	224.97	476.71	503.95	555.41	616.37	460.44	297.17	234.57	237.86	514.56	346.29	341.51	341.51	457.25	395.18	334.46	334.46	409.15	239.52
STEAP1	780.44	941.27	1008.9	3103.19	708.18	769.69	525.39	1427.22	376.41	351.14	503.95	1104.13	395.18	46.18	12.74	23.42	17.64	19.97	145.02	88.26	32.36	13.22	0.68	136.19	175.07	105.89	28.24	9.93	31.9	145.02	26.1	1104.13	84.63	120.1	285.03	9.56	38.67	12.93	15.8	27.25	85.82	60.82	351.14	4.62	8.58	4.54	22.59	18.97	44.89	13.12	28.86	68.07	23.59	40.36	11.91	13.42	9.78	173.85	20.11	10.79	59.55	31.0	397.93	112.77	6.52	40.64	13.22
STOM	7803.01	6471.02	8421.31	12244.81	5219.6	5403.7	7537.18	5041.77	3742.05	12853.63	8078.22	8901.53	7803.01	1639.59	2004.85	1572.76	1617.0	1242.34	2956.17	3280.18	1963.57	2835.7	1757.34	2434.5	2384.37	2018.8	1388.16	2061.24	1477.58	1697.45	1950.0	3874.05	1551.09	3515.68	2555.58	872.1	2997.45	3060.45	1051.79	1674.06	3443.31	2224.63	3190.46	872.1	1950.0	1340.84	1781.89	1135.2	2133.97	1242.34	2351.53	2004.85	1605.83	3372.43	1529.73	1388.16	1551.09	2835.7	1322.37	1467.37	2224.63	2367.9	7180.15	1617.0	995.0	2018.8	1159.07
SULF2	3081.75	2075.59	2627.46	6935.54	5255.91	1407.55	1081.39	1572.76	7230.1	1417.35	1628.26	1457.23	1369.04	470.14	785.88	713.11	629.35	466.88	1447.15	866.07	995.0	1242.34	76.17	1250.98	1794.29	318.57	660.68	961.07	764.36	669.92	921.88	1781.89	473.41	723.08	1030.12	633.73	1427.22	1369.04	775.05	1605.83	775.05	813.63	915.51	395.18	764.36	563.18	941.27	476.71	591.22	1467.37	1304.15	1388.16	934.76	1709.26	269.6	497.0	417.77	1819.35	708.18	848.22	490.14	1769.57	2163.77	351.14	563.18	947.83	497.0
SYNE3	96.01	137.14	155.5	140.04	114.36	110.43	55.89	57.08	67.59	120.1	96.01	70.51	25.72	22.43	48.52	36.01	23.76	53.57	68.55	36.27	33.78	46.84	8.0	66.18	29.48	47.17	44.89	17.64	43.94	35.25	50.98	57.08	46.5	41.52	45.85	32.59	38.95	92.05	39.5	34.02	27.25	67.12	74.06	26.1	24.81	33.06	40.36	8.38	16.51	45.21	35.5	65.72	51.71	56.28	13.32	11.82	22.43	40.36	31.45	26.67	38.4	78.89	99.43	25.72	21.94	40.93	31.9
TAGLN2	21026.65	12502.12	9215.48	21768.19	20593.91	14262.1	47974.16	15285.81	15824.9	22072.07	17197.56	27745.15	13306.94	3419.52	5791.62	3540.14	7081.29	4181.07	5112.16	6381.92	4388.98	5954.47	2384.37	7130.55	7485.11	5112.16	3515.68	4639.29	3564.78	5633.22	4575.41	8840.04	3589.58	7230.1	7331.05	2224.63	7382.04	11035.54	3901.01	5672.41	4802.93	4038.61	5219.6	3820.7	7230.1	3639.7	3491.39	4066.71	4181.07	4512.4	4543.8	3874.05	5711.87	5594.3	3564.78	3103.19	3146.52	9088.59	3190.46	4010.71	3589.58	5831.91	18178.19	4836.35	3955.48	4639.29	3372.43
TCF4	1111.82	1322.37	1572.76	1250.98	1733.13	1242.34	1030.12	1037.29	1051.79	1159.07	981.29	769.69	866.07	361.04	674.59	389.72	307.69	297.17	521.76	514.56	511.0	587.13	229.72	403.5	307.69	483.38	348.71	454.09	320.8	316.37	356.05	435.55	332.14	397.93	368.65	392.44	457.25	896.64	830.75	389.72	309.83	595.34	896.64	395.18	301.33	236.21	320.8	108.9	447.82	299.25	343.89	395.18	470.14	563.18	309.83	78.89	226.54	403.5	260.38	256.78	507.46	684.02	1242.34	218.79	327.56	466.88	466.88
TG	47.5	16.88	8.78	7.57	19.82	15.68	5.32	72.01	90.14	13.03	63.89	10.71	122.64	1364554.84	2068278.89	1452391.55	2247670.86	2126426.15	794671.01	1327240.99	1273174.62	2375828.71	2111737.85	1611529.43	1299926.74	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	375901.76	1997825.68	1290947.48	932018.1	1085552.95	2986448.72	1567462.05	2025714.3	2425749.94	1929772.37	1299926.74	828417.36	1212874.47	1943195.01	1100706.72	1727194.55	2636147.11	2263304.65	1775752.63	2111737.85	919186.72	1238359.56	1668359.93	1800541.22	3178687.03	3886391.01	711250.37	1622738.51	1123834.93	2263304.65	706337.4	687022.54	2672946.37	1864037.21	1402917.72	1482909.4
THBS2	3103.19	1467.37	1697.45	6840.04	8247.98	1208.34	1044.52	6121.9	8963.45	921.88	3928.15	1397.83	1397.83	114.36	118.43	72.52	55.49	82.29	909.17	368.65	140.04	81.71	23.93	123.5	251.48	441.64	155.5	173.85	44.57	88.26	187.71	808.0	78.34	248.0	693.58	31.0	246.28	559.28	197.09	109.66	102.97	102.97	551.56	137.14	37.32	20.56	155.5	25.91	80.01	51.71	80.01	387.02	312.0	253.23	115.97	24.81	24.28	633.73	51.71	10.31	161.02	221.86	1617.0	638.15	46.18	260.38	25.91
TLR1	147.06	486.75	305.55	215.77	444.72	171.45	212.78	389.72	206.94	353.59	221.86	177.53	175.07	25.17	34.02	24.99	35.5	33.06	35.0	84.04	37.85	18.56	14.24	33.54	56.28	29.91	32.13	11.55	19.97	14.24	25.91	146.03	24.63	52.45	74.58	22.43	18.56	22.59	49.56	20.86	54.72	46.18	139.07	18.03	17.13	5.11	21.78	15.0	39.5	20.56	16.75	35.25	66.65	54.33	11.91	12.74	8.99	69.03	18.03	7.0	78.89	65.72	33.06	16.88	24.46	21.16	6.62
TMEM173	1561.89	1044.52	1081.39	2609.3	2520.38	2835.7	4328.55	1733.13	1447.15	3564.78	3146.52	5255.91	1936.53	371.22	825.0	423.61	647.07	540.19	753.83	941.27	432.53	571.05	107.38	612.11	1832.01	723.08	429.54	633.73	376.41	381.68	902.89	1572.76	497.0	1001.93	909.17	414.87	607.87	981.29	624.99	665.29	470.14	738.29	954.43	688.78	595.34	379.04	325.29	186.4	587.13	493.56	384.34	1111.82	1242.34	961.07	209.84	267.73	403.5	1143.1	423.61	248.0	432.53	1233.75	825.0	591.22	860.08	490.14	825.0
TNFRSF1A	4543.8	3515.68	4575.41	4869.99	4066.71	3303.0	4671.57	3257.52	3419.52	5479.15	3665.02	5555.65	4095.0	2133.97	1233.75	1674.06	2976.74	2178.83	2739.08	2796.65	2555.58	1651.0	1806.78	2758.13	3146.52	2209.26	1651.0	1794.29	1745.2	2682.69	2287.2	3146.52	2090.03	4358.66	2758.13	1467.37	1936.53	1745.2	1794.29	1427.22	2777.33	1757.34	3146.52	2384.37	2193.99	1208.34	1733.13	1594.73	1572.76	2133.97	3124.78	2720.15	2875.3	3039.3	1437.15	2434.5	1417.35	3039.3	1594.73	2351.53	2224.63	2520.38	5112.16	2104.58	1225.22	2163.77	1073.91
TPM3	10585.95	4802.93	4704.07	5751.61	9673.69	9088.59	10659.59	6121.9	6471.02	9808.75	8134.41	7803.01	5112.16	3768.09	4543.8	3515.68	5292.48	4607.24	4152.18	5594.3	3874.05	4481.23	3190.46	6121.9	5479.15	3928.15	2855.44	4802.93	3491.39	4972.34	4066.71	7230.1	4010.71	6471.02	5112.16	3325.99	4450.27	5147.73	4268.94	4239.45	5255.91	3690.52	6561.36	3419.52	4736.79	3419.52	4704.07	3395.89	4937.99	4512.4	4869.99	4210.15	4543.8	5791.62	4038.61	3847.29	4736.79	5594.3	3742.05	3325.99	4543.8	5076.84	8134.41	3820.7	3419.52	3982.99	3168.41
