	TCGA.EW.A1P1.01A.31R.A14D.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	GTEX.WI4N.1426.SM.3LK7H	TCGA.CR.7376.01A.11R.2132.07	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	TCGA.60.2704.01A.11R.2045.07	TCGA.85.6175.01A.11R.1820.07	TCGA.43.6773.11A.01R.1949.07	TCGA.34.7107.11A.01R.1949.07	TCGA.77.8008.11A.01R.2187.07	TCGA.RD.A7BW.01A.11R.A32D.31	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.XXEK.1326.SM.4BRV1	GTEX.ZVP2.0426.SM.57WC2	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.S4Z8.0326.SM.3K2AU	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.Q2AI.0326.SM.2I3EK	GTEX.11NSD.0126.SM.5987F	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13CF3.0926.SM.5LZZC	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.ZDYS.0626.SM.5J2N5	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
IFI16	4419.52	3146.52	3168.41	5041.77	5255.91	3039.3	2627.46	4419.52	3768.09	5219.6	3081.75	3372.43	2335.28	684.02	693.58	679.29	688.78	723.08	2451.44	1081.39	1023.0	583.07	224.97	1175.27	1697.45	738.29	743.43	808.0	748.61	947.83	1331.57	2537.92	738.29	1963.57	1437.15	435.55	1540.37	769.69	688.78	633.73	896.64	1277.29	2417.67	563.18	884.29	318.57	551.56	426.57	947.83	624.99	954.43	1242.34	1151.06	1923.14	336.79	500.46	466.88	1870.53	441.64	587.13	941.27	1199.98	3564.78	830.75	373.81	967.76	480.04
IFNAR2	743.43	718.08	743.43	921.88	769.69	842.36	1037.29	896.64	603.67	559.28	854.13	830.75	470.14	217.27	361.04	244.57	293.07	165.57	493.56	356.05	432.53	327.56	115.16	318.57	493.56	191.67	150.17	256.78	167.9	173.85	262.2	490.14	163.28	400.71	444.72	221.86	444.72	217.27	221.86	178.77	236.21	255.0	435.55	202.66	181.28	171.45	217.27	144.01	246.28	253.23	320.8	466.88	241.19	684.02	239.52	134.3	180.02	599.49	223.41	209.84	241.19	241.19	660.68	190.34	180.02	295.11	264.03
IL13RA1	2609.3	2240.11	2119.22	2451.44	1605.83	1295.13	1135.2	1397.83	1519.15	1407.55	1259.69	1208.34	1529.73	603.67	718.08	674.59	703.28	536.45	1119.56	780.44	656.11	830.75	796.86	780.44	947.83	571.05	547.75	624.99	679.29	521.76	660.68	1397.83	651.58	915.51	842.36	463.65	656.11	796.86	620.67	713.11	669.92	656.11	941.27	536.45	463.65	454.09	567.1	463.65	620.67	638.15	860.08	961.07	842.36	1143.1	665.29	420.68	483.38	1119.56	563.18	612.11	612.11	954.43	1551.09	679.29	518.15	743.43	529.06
IL1R1	2351.53	1628.26	2178.83	2090.03	1572.76	4388.98	8134.41	2739.08	2319.15	3103.19	3039.3	3395.89	1233.75	830.75	764.36	995.0	1044.52	693.58	1794.29	1437.15	1350.18	1936.53	825.0	1594.73	1268.46	896.64	1175.27	674.59	733.19	1015.93	595.34	2400.97	775.05	1963.57	1745.2	387.02	1313.23	1350.18	902.89	497.0	1044.52	1051.79	1950.0	679.29	647.07	358.54	780.44	543.96	656.11	1096.5	1066.48	1286.18	1322.37	1208.34	743.43	860.08	802.41	2976.74	466.88	759.08	1030.12	981.29	4388.98	842.36	518.15	1096.5	571.05
IL7	31.22	89.51	49.91	81.71	137.14	759.08	127.0	80.01	47.84	103.69	142.01	295.11	52.45	53.57	38.67	37.59	11.55	20.26	142.01	43.32	23.25	26.47	1.66	26.86	63.0	37.85	19.97	21.94	34.26	36.27	16.03	113.56	31.9	67.12	12.64	33.06	37.32	76.17	21.78	41.22	67.59	32.13	199.85	13.93	5.82	3.89	21.94	9.34	13.72	29.7	12.27	75.11	68.07	92.05	14.24	13.12	16.03	46.18	10.0	19.68	57.89	32.13	108.9	14.56	34.26	24.99	19.25
KCND3	103.69	149.12	172.65	343.89	131.51	314.17	96.01	73.03	55.89	85.82	118.43	164.42	167.9	14.14	11.04	9.78	16.15	13.93	43.63	27.64	21.16	8.13	0.39	13.32	47.84	7.75	22.92	15.0	16.88	31.67	41.81	101.54	12.93	33.78	55.89	6.41	9.85	7.0	19.53	5.63	19.53	14.24	52.45	5.92	3.14	3.92	18.16	12.27	17.64	8.38	14.24	79.45	36.01	59.13	4.78	12.0	3.59	73.03	4.86	11.13	20.11	30.34	59.55	5.19	5.36	32.36	7.06
KIRREL	603.67	764.36	860.08	583.07	1225.22	941.27	967.76	819.3	1242.34	466.88	842.36	679.29	647.07	164.42	206.94	189.02	164.42	199.85	206.94	406.31	269.6	120.1	171.45	409.15	358.54	255.0	234.57	148.09	325.29	218.79	281.09	540.19	262.2	400.71	521.76	223.41	149.12	176.29	279.14	145.02	269.6	429.54	409.15	214.27	151.22	80.57	249.73	118.43	173.85	273.37	341.51	536.45	305.55	329.84	170.25	123.5	100.83	409.15	255.0	228.13	327.56	232.94	283.05	100.13	194.36	211.31	131.51
LDLRAD3	432.53	483.38	457.25	1159.07	214.27	93.35	221.86	242.88	190.34	211.31	149.12	195.72	171.45	28.45	52.82	35.5	28.04	25.54	103.69	55.1	54.33	35.0	71.5	73.03	44.25	65.26	30.34	28.65	26.86	53.19	38.95	88.88	35.0	61.25	82.87	25.54	32.82	52.08	32.59	37.59	33.54	33.06	80.57	29.06	27.84	20.86	27.44	17.51	64.34	41.52	49.56	54.72	29.48	54.33	24.28	20.86	16.03	142.01	18.16	34.26	48.87	58.3	143.01	23.25	19.97	30.12	20.41
LILRA1	21.63	25.17	32.59	36.79	53.57	43.32	53.57	43.63	40.64	148.09	147.06	154.42	52.45	3.32	4.94	3.26	10.88	5.68	7.17	18.97	3.96	2.43	2.29	2.97	8.71	2.89	4.58	5.92	4.58	5.87	7.82	74.06	1.83	16.27	11.55	12.45	10.79	6.52	11.13	6.26	8.58	4.06	16.63	5.32	3.86	2.03	10.63	3.56	25.91	6.41	3.29	13.62	10.88	20.26	2.12	1.33	3.35	18.7	2.86	5.32	8.92	14.45	9.63	2.68	7.63	7.88	4.78
LRP1	4419.52	3349.13	5711.87	9088.59	5517.27	7230.1	9740.98	4575.41	4639.29	5555.65	6935.54	5555.65	2104.58	896.64	921.88	748.61	902.89	928.3	1540.37	1806.78	934.76	1096.5	368.65	2148.82	1073.91	1175.27	1561.89	651.58	1313.23	1529.73	1088.92	3168.41	1605.83	1781.89	2855.44	961.07	802.41	2133.97	1225.22	915.51	1685.71	1417.35	2119.22	961.07	373.81	559.28	1268.46	536.45	988.12	1051.79	1104.13	2434.5	2434.5	1709.26	559.28	409.15	470.14	2075.59	518.15	988.12	1322.37	1923.14	2895.31	703.28	1015.93	1721.16	743.43
