	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.13QIC.2326.SM.5LU5N	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZYWO.1026.SM.5E45U	GTEX.13FTX.0526.SM.5IFGS	GTEX.XOTO.2126.SM.4B64U	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.11GSP.1826.SM.5N9DQ	GTEX.QV44.1126.SM.4R1KO	GTEX.R53T.1126.SM.48FD4	GTEX.13FLV.1126.SM.5J2NO	GTEX.YEC3.2526.SM.4YCDN	GTEX.OXRN.1726.SM.3NM9B	GTEX.OXRK.1326.SM.3NB1A	GTEX.OIZG.1026.SM.3LK5X	GTEX.X4XY.1726.SM.46MVO	GTEX.OIZI.1426.SM.3NB1T	GTEX.1399S.1326.SM.5P9GH
AASDH	441.64	483.38	414.87	316.37	414.87	314.17	94.67	191.67	109.66	152.28	129.69	120.94	110.43	118.43	206.94	147.06	58.3	117.6	57.49	147.06	156.59	36.53	165.57	64.34	231.32	108.9	47.84	241.19	103.69
AASDHPPT	941.27	830.75	738.29	624.99	1936.53	1111.82	400.71	473.41	381.68	521.76	358.54	318.57	312.0	414.87	476.71	320.8	218.79	323.03	176.29	412.0	417.77	186.4	426.57	264.03	555.41	287.01	171.45	612.11	220.32
ACBD5	412.0	426.57	915.51	780.44	483.38	587.13	301.33	366.09	211.31	256.78	218.79	236.21	194.36	275.28	392.44	325.29	71.5	256.78	112.77	366.09	466.88	77.79	381.68	172.65	423.61	293.07	244.57	426.57	256.78
ACTR6	1295.13	1073.91	836.53	890.44	1477.58	1051.79	583.07	738.29	403.5	587.13	412.0	406.31	389.72	480.04	470.14	384.34	217.27	293.07	218.79	518.15	493.56	209.84	490.14	249.73	674.59	343.89	186.4	688.78	279.14
AGGF1	395.18	361.04	536.45	571.05	629.35	366.09	271.48	312.0	195.72	248.0	209.84	180.02	172.65	229.72	334.46	283.05	78.89	214.27	79.45	253.23	283.05	72.52	299.25	122.64	320.8	199.85	98.73	392.44	185.11
ANKRD17	1259.69	1051.79	1088.92	1066.48	1322.37	583.07	579.04	669.92	536.45	638.15	629.35	511.0	591.22	540.19	872.1	738.29	301.33	708.18	281.09	684.02	764.36	381.68	759.08	503.95	878.17	457.25	473.41	909.17	656.11
AP3M1	1015.93	909.17	1225.22	1175.27	1250.98	878.17	551.56	441.64	525.39	551.56	595.34	480.04	540.19	674.59	759.08	708.18	265.87	642.59	299.25	780.44	813.63	229.72	679.29	466.88	941.27	426.57	444.72	836.53	426.57
API5	2240.11	1870.53	1674.06	1572.76	3124.78	2209.26	842.36	1023.0	954.43	1059.11	967.76	819.3	819.3	954.43	1313.23	1037.29	842.36	915.51	633.73	1127.35	1096.5	674.59	1225.22	571.05	1540.37	674.59	563.18	1674.06	723.08
ASB8	718.08	884.29	954.43	854.13	1030.12	791.35	336.79	438.59	432.53	432.53	417.77	366.09	450.94	447.82	629.35	529.06	244.57	435.55	177.53	514.56	525.39	194.36	587.13	267.73	607.87	356.05	320.8	633.73	392.44
ATF1	1143.1	1044.52	1340.84	753.83	1936.53	1096.5	423.61	674.59	497.0	476.71	371.22	368.65	348.71	441.64	647.07	507.46	189.02	403.5	260.38	497.0	507.46	242.88	660.68	239.52	599.49	381.68	253.23	507.46	285.03
