	TCGA.W5.AA31.11A.11R.A41I.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.DD.A1EB.01A.11R.A131.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.BC.A10Z.01A.11R.A131.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.CC.A3MB.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR
ADAMTS13	723.08	67.12	20.41	36.79	88.88	63.89	124.37	95.34	14.45	96.68	10.31	96.68	55.1	164.42	48.52	122.64	173.85	99.43	105.15	74.06	87.65	95.34	37.59	50.98	480.04	514.56	379.04	1331.57	1844.76	1051.79	988.12	1605.83	723.08	2591.27	447.82	2664.15	981.29	1896.65	1104.13	941.27	703.28	1081.39	802.41	1781.89	1529.73	514.56	1088.92	748.61	2209.26	1191.69	1909.85	974.5	961.07	1081.39	1081.39	1477.58	1508.65	1617.0	1216.75	2133.97	1295.13	500.46
ADRA2B	80.01	7.57	30.78	13.03	8.13	7.51	21.01	4.17	29.27	3.29	8.32	5.11	9.85	63.89	17.25	27.44	16.75	10.55	6.94	3.17	55.1	18.43	37.05	10.55	28.24	47.17	26.86	105.89	143.01	97.36	145.02	166.73	54.33	111.99	37.59	191.67	55.89	103.69	90.77	37.85	41.81	111.99	61.25	100.13	198.47	37.32	50.98	74.06	108.9	98.04	234.57	63.45	46.18	55.89	107.38	116.78	68.07	88.26	92.05	162.14	65.72	70.01
AFM	13492.72	25.17	2075.59	343.89	1350.18	599.49	775.05	5076.84	981.29	587.13	6426.31	1447.15	2351.53	1583.71	454.09	1977.24	583.07	1709.26	866.07	3146.52	2367.9	728.11	759.08	2384.37	7966.99	11424.74	10883.59	16269.83	30785.28	7911.95	34876.28	56265.94	12589.08	24490.61	33688.23	59887.86	17681.08	69271.73	32540.65	48982.22	26431.04	4358.66	5366.37	14461.21	42641.37	10084.54	26614.89	14765.09	110216.97	20170.07	45072.75	12589.08	38430.46	55491.3	23820.89	66912.05	36357.37	44452.21	12502.12	37901.36	37121.34	802.41
ANGPTL6	599.49	90.14	226.54	29.27	72.01	46.5	49.21	50.27	275.28	155.5	47.17	55.49	12.45	175.07	16.75	37.85	158.79	75.11	47.5	44.57	28.24	76.17	34.26	96.68	540.19	684.02	438.59	1529.73	1331.57	293.07	848.22	2061.24	144.01	1561.89	236.21	2485.67	599.49	1498.22	1572.76	226.54	642.59	679.29	642.59	1340.84	713.11	460.44	878.17	463.65	1617.0	1781.89	1051.79	493.56	693.58	1529.73	728.11	1467.37	1008.9	1498.22	476.71	1104.13	718.08	301.33
APOC1	632189.57	502929.67	614902.29	614902.29	659036.03	180294.02	610654.84	402881.61	341137.96	434801.29	341137.96	762299.34	716197.51	932018.1	290865.98	414208.18	863596.77	207103.59	1041331.96	244588.0	425853.18	778316.89	305326.92	1012856.65	701458.36	589853.66	645473.24	2748093.15	1622738.51	1800541.22	1679964.3	1026995.62	1715263.94	1327240.99	2310861.52	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	2375828.71	3576208.94	2924988.47	5809569.18	1838374.44	1093103.58	2511293.86	6719860.18	1611529.43	2672946.37	2294899.22	2748093.15	2599854.48	2904784.09	3702323.71	1063212.58	1703415.74	3968052.37	3626130.97	1514068.5
ASPN	318.57	3.53	146.03	255.0	180.02	26.28	173.85	30.12	65.72	121.79	117.6	44.25	95.34	214.27	75.64	343.89	117.6	232.94	53.95	65.72	115.97	19.11	60.39	71.5	153.34	162.14	249.73	547.75	703.28	237.86	1242.34	2148.82	148.09	2468.49	191.67	1199.98	287.01	967.76	796.86	244.57	334.46	316.37	339.14	473.41	961.07	273.37	460.44	490.14	1023.0	764.36	1199.98	256.78	759.08	403.5	414.87	808.0	961.07	1023.0	417.77	884.29	607.87	114.36
BDH2	2956.17	748.61	161.02	438.59	373.81	209.84	241.19	934.76	878.17	764.36	1519.15	1286.18	307.69	1437.15	1096.5	921.88	796.86	1295.13	435.55	432.53	896.64	884.29	293.07	1397.83	1583.71	1857.6	1733.13	2796.65	3103.19	2178.83	3124.78	3491.39	2875.3	3018.3	3146.52	3589.58	2351.53	2796.65	2701.35	2796.65	2855.44	3716.2	2400.97	1991.0	4010.71	2701.35	3419.52	2417.67	4671.57	2047.0	3614.55	2119.22	3768.09	2075.59	2061.24	4181.07	3982.99	3491.39	2835.7	2434.5	3257.52	934.76
BGN	5872.48	85.82	1857.6	3639.7	2018.8	220.32	3540.14	429.54	547.75	1639.59	1583.71	366.09	819.3	3419.52	563.18	4210.15	1794.29	2335.28	366.09	1216.75	1277.29	379.04	368.65	1216.75	7081.29	4972.34	5633.22	16045.82	15499.21	4903.87	15715.58	31870.96	4038.61	107203.06	1561.89	37901.36	5329.3	24832.5	21026.65	4419.52	3928.15	4937.99	5954.47	10808.41	14561.8	3212.66	5751.61	8363.13	22225.61	18950.18	25354.3	7537.18	7966.99	10440.2	5441.3	19348.38	10733.74	18052.61	11827.67	17437.64	8778.97	1304.15
BMP5	21.01	0.0	1.19	5.28	0.0	0.0	4.35	0.39	1.57	1.89	1.16	0.0	0.75	8.0	10.47	11.91	5.73	2.43	0.0	0.75	5.02	0.0	0.36	0.45	8.65	15.91	10.96	66.18	80.57	17.25	39.79	45.21	25.17	373.81	7.57	84.63	34.75	140.04	8.85	22.92	27.25	25.35	28.65	41.22	34.75	5.96	26.28	16.27	105.89	43.02	165.57	19.11	48.52	39.5	19.68	137.14	144.01	79.45	44.57	91.41	67.59	4.7
CCBE1	55.89	0.0	6.36	1.2	3.89	0.0	4.31	0.49	2.14	13.22	0.91	0.0	0.0	6.26	0.0	2.51	6.11	9.78	0.0	1.27	0.49	0.71	0.0	2.36	58.3	36.79	62.12	264.03	152.28	24.46	141.02	551.56	6.26	473.41	8.45	211.31	47.84	223.41	141.02	24.81	40.93	36.01	79.45	49.91	262.2	30.78	99.43	71.5	171.45	161.02	206.94	22.75	169.07	119.26	99.43	255.0	158.79	273.37	269.6	172.65	56.28	20.71
CCDC3	271.48	62.56	146.03	146.03	97.36	28.45	110.43	23.59	71.5	65.26	72.52	16.15	93.35	236.21	38.95	151.22	155.5	100.13	45.21	151.22	283.05	30.34	54.72	42.71	293.07	121.79	214.27	656.11	759.08	283.05	693.58	896.64	140.04	2976.74	190.34	954.43	255.0	532.74	463.65	417.77	289.02	267.73	246.28	441.64	1159.07	177.53	332.14	249.73	669.92	780.44	909.17	295.11	447.82	281.09	194.36	1350.18	603.67	497.0	525.39	1044.52	301.33	42.41
CHRM2	10.55	0.0	0.79	0.0	1.14	0.0	0.0	0.35	0.0	2.01	0.0	0.0	0.0	0.97	0.0	0.0	2.46	0.61	0.0	0.0	0.35	0.0	0.0	0.0	2.63	0.87	3.14	13.72	15.91	11.21	11.21	29.48	5.06	32.59	2.34	22.43	7.34	18.56	19.11	10.08	10.08	7.0	6.11	13.03	8.51	2.81	7.46	9.63	11.82	10.79	13.03	6.94	7.51	9.78	13.22	21.32	21.47	16.88	14.67	24.99	4.62	1.57
COL6A6	10.16	0.0	0.0	0.79	0.41	0.36	0.0	0.41	0.0	1.33	0.0	0.0	1.28	0.0	0.32	0.88	5.73	4.58	0.37	0.4	0.41	0.0	0.78	0.0	5.77	11.91	8.99	13.93	25.17	6.67	18.97	43.32	7.11	15.11	7.4	11.21	14.24	30.78	10.88	6.84	10.24	6.62	12.18	13.32	10.79	1.64	17.9	18.16	24.99	10.88	18.84	9.7	11.38	9.13	20.11	35.76	12.18	14.35	6.06	13.22	20.11	5.11
COLEC10	563.18	2.12	67.12	9.48	7.57	2.71	13.83	2.29	8.71	26.1	33.06	2.34	1.03	150.17	0.53	3.96	189.02	44.25	2.05	3.79	4.24	3.35	3.2	3.99	438.59	406.31	603.67	1781.89	1617.0	279.14	2178.83	5872.48	133.36	4358.66	89.51	2720.15	921.88	2875.3	1119.56	253.23	633.73	356.05	607.87	921.88	884.29	201.25	1832.01	802.41	1733.13	1977.24	1540.37	476.71	1225.22	1295.13	1051.79	2520.38	2255.7	2875.3	665.29	2682.69	902.89	51.35
COLEC11	1594.73	56.28	633.73	575.03	571.05	124.37	1143.1	265.87	269.6	387.02	1674.06	39.5	113.56	1143.1	69.03	708.18	808.0	2855.44	169.07	255.0	529.06	178.77	211.31	255.0	2351.53	1457.23	2255.7	4769.75	20310.37	3395.89	4268.94	25530.66	665.29	33224.42	358.54	9876.98	4328.55	16045.82	5329.3	1991.0	2664.15	2875.3	2555.58	4836.35	5831.91	1896.65	2335.28	1639.59	12076.21	6294.04	5633.22	3665.02	3325.99	4481.23	2935.74	4836.35	6792.79	8363.13	4328.55	8134.41	7857.29	607.87
CXCL12	2502.97	620.67	193.01	521.76	1167.14	20.86	547.75	44.25	543.96	669.92	125.24	33.3	84.63	848.22	15.91	543.96	567.1	211.31	40.36	75.11	47.5	119.26	80.57	74.06	2119.22	2032.85	1832.01	8538.88	10368.08	2555.58	12764.83	15392.14	1769.57	57448.23	1662.49	18950.18	4869.99	13872.08	7230.1	2956.17	3515.68	3081.75	3768.09	5872.48	9740.98	1605.83	7857.29	5751.61	16045.82	8363.13	14663.09	3690.52	4802.93	6207.38	3794.3	19482.97	9344.14	17197.56	3955.48	11189.6	8840.04	182.55
CXCL14	836.53	0.53	1.0	50.27	2.53	0.0	27.05	5.19	2.25	13.42	0.99	0.0	0.55	87.03	0.0	1.41	118.43	42.41	6.62	6.52	80.01	4.06	0.89	2.03	713.11	336.79	460.44	3018.3	5913.33	3018.3	4328.55	2627.46	1781.89	28525.2	133.36	3982.99	3614.55	21617.82	1277.29	2224.63	934.76	1950.0	612.11	2502.97	1781.89	438.59	1950.0	947.83	6516.03	1551.09	8078.22	3665.02	1216.75	4704.07	1407.55	10659.59	5555.65	6652.97	3190.46	6935.54	3349.13	28.04
