	TCGA.AN.A0AL.01A.11R.A00Z.07	TCGA.E2.A15M.11A.22R.A12D.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.11DXY.2026.SM.5N9CZ	GTEX.13CF2.1826.SM.5N9GK	GTEX.14BMV.2426.SM.5S2PP	GTEX.13SLW.2826.SM.5Q5ES	GTEX.ZTTD.2626.SM.57WEX	GTEX.ZVT4.2626.SM.5N9GJ	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.ZXG5.0826.SM.5GID6	GTEX.N7MT.0126.SM.2D7VT	TCGA.KK.A59Z.01A.12R.A26U.07	GTEX.ZE7O.3026.SM.51MS4	GTEX.13QJ3.2726.SM.5SI6L	GTEX.11EI6.2426.SM.5PNVS	GTEX.1313W.2826.SM.5P9G1
ACVR1	507.46	909.17	490.14	540.19	285.03	356.05	400.71	497.0	381.68	373.81	332.14	400.71	444.72	260.38	277.2	224.97	327.56	218.79	384.34	246.28	229.72	126.12	221.86	307.69	88.88	299.25	665.29	107.38	389.72	211.31	153.34	1096.5	934.76	277.2	928.3	511.0	429.54	314.17
ADAM10	941.27	1037.29	1066.48	1909.85	361.04	460.44	612.11	836.53	629.35	620.67	273.37	267.73	348.71	171.45	217.27	167.9	400.71	229.72	215.77	194.36	221.86	191.67	249.73	264.03	172.65	170.25	258.57	169.07	403.5	314.17	209.84	954.43	1757.34	429.54	872.1	872.1	476.71	555.41
AEBP1	10154.69	7589.61	6887.62	4704.07	2417.67	529.06	7280.4	6840.04	3589.58	4152.18	291.04	1119.56	1313.23	316.37	139.07	457.25	2032.85	1119.56	273.37	323.03	353.59	713.11	2720.15	108.9	748.61	269.6	4836.35	363.56	830.75	571.05	198.47	8479.89	5329.3	4268.94	8840.04	12502.12	5913.33	3443.31
ANTXR1	1605.83	2119.22	1674.06	1936.53	1199.98	703.28	2956.17	1286.18	802.41	1457.23	55.1	212.78	106.63	67.59	40.07	98.04	373.81	232.94	62.56	82.29	46.18	101.54	275.28	17.13	29.91	71.0	334.46	72.52	221.86	152.28	22.92	4239.45	3081.75	525.39	3955.48	2915.45	2701.35	1498.22
APOC3	0.0	5.41	0.0	0.0	9.93	0.59	11.64	11.21	5.23	0.0	9243449.07	3070409.25	7719092.49	5420519.65	5809569.18	4621724.04	932018.1	7202167.89	8928583.23	2884719.27	7612821.45	3028138.0	3178687.03	5163792.94	1.24530853E7	5611673.89	3223059.86	3968052.37	1.032758687E7	7152418.87	1.09164457E7	5.45	2.78	13.52	31.9	0.0	82.29	9.56
ARPP19	1143.1	1529.73	3081.75	3901.01	769.69	825.0	1037.29	1143.1	1159.07	1073.91	423.61	497.0	518.15	323.03	420.68	341.51	392.44	307.69	320.8	309.83	444.72	260.38	232.94	486.75	281.09	420.68	426.57	301.33	595.34	551.56	363.56	2178.83	1427.22	769.69	1397.83	1286.18	1277.29	995.0
ATXN3	409.15	444.72	878.17	947.83	181.28	258.57	332.14	353.59	264.03	312.0	113.56	234.57	110.43	91.41	195.72	158.79	112.77	271.48	115.97	194.36	119.26	94.01	145.02	102.25	145.02	137.14	165.57	109.66	147.06	293.07	162.14	830.75	518.15	204.07	403.5	447.82	476.71	532.74
BNIP3L	1250.98	2287.2	3124.78	3060.45	813.63	854.13	1104.13	1617.0	848.22	1023.0	819.3	698.41	361.04	153.34	131.51	234.57	397.93	371.22	312.0	251.48	403.5	281.09	316.37	529.06	476.71	239.52	476.71	228.13	366.09	420.68	457.25	2537.92	5255.91	819.3	1662.49	1477.58	1467.37	954.43
CAMSAP2	356.05	412.0	1167.14	791.35	172.65	176.29	224.97	199.85	161.02	202.66	65.72	58.3	50.27	23.93	34.75	25.17	107.38	41.81	50.98	41.22	20.56	46.84	57.89	88.26	48.87	31.45	77.79	16.51	35.76	86.43	28.65	599.49	450.94	221.86	387.02	417.77	351.14	285.03
CD93	642.59	1561.89	1781.89	3955.48	163.28	143.01	743.43	620.67	551.56	325.29	65.72	153.34	98.04	31.45	48.87	39.5	162.14	81.14	45.85	61.25	39.22	21.01	80.57	59.55	376.41	34.26	66.18	32.82	58.71	132.44	50.63	1551.09	2609.3	409.15	476.71	555.41	356.05	1225.22
