	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.C5.A1BL.01A.11R.A13Y.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7446.01A.11R.2232.07	TCGA.QK.A8Z8.01A.11R.A39I.07	TCGA.66.2742.01A.01R.0980.07	TCGA.77.7338.01A.11R.2045.07	TCGA.96.7544.01A.11R.2045.07	TCGA.92.8065.01A.11R.2247.07	TCGA.66.2790.01A.01R.0980.07	TCGA.18.3419.01A.01R.0980.07
ACAP2	123.5	242.88	96.68	208.38	173.85	94.01	836.53	543.96	291.04	507.46	309.83	206.94	177.53	327.56	381.68	191.67	616.37	1216.75	397.93	389.72	567.1	348.71	551.56	2855.44	928.3	921.88	1313.23	872.1	703.28	633.73	607.87
AP3M1	223.41	363.56	301.33	283.05	260.38	241.19	579.04	575.03	438.59	316.37	381.68	441.64	403.5	379.04	323.03	521.76	595.34	571.05	480.04	470.14	423.61	463.65	540.19	708.18	775.05	759.08	921.88	796.86	764.36	791.35	738.29
ATE1	123.5	199.85	77.79	175.07	127.89	76.17	239.52	267.73	186.4	151.22	177.53	183.82	154.42	224.97	166.73	205.5	209.84	314.17	239.52	368.65	246.28	297.17	253.23	529.06	293.07	392.44	267.73	361.04	262.2	358.54	269.6
ATF1	165.57	297.17	228.13	178.77	161.02	246.28	518.15	708.18	417.77	323.03	323.03	264.03	339.14	395.18	351.14	540.19	371.22	595.34	368.65	493.56	400.71	409.15	348.71	1277.29	693.58	759.08	878.17	947.83	555.41	775.05	567.1
ATG3	529.06	603.67	688.78	543.96	555.41	743.43	2018.8	2502.97	961.07	769.69	842.36	854.13	1111.82	1159.07	819.3	1066.48	934.76	1096.5	1051.79	1268.46	1457.23	896.64	954.43	1508.65	1369.04	1487.87	1277.29	1909.85	1870.53	1242.34	1662.49
ATP13A3	460.44	791.35	791.35	866.07	358.54	125.24	2104.58	2004.85	1073.91	1119.56	1143.1	363.56	808.0	665.29	890.44	733.19	441.64	1883.54	665.29	769.69	1662.49	583.07	395.18	4358.66	1685.71	3665.02	3716.2	2090.03	2255.7	2090.03	2148.82
ATP2C1	830.75	1295.13	791.35	507.46	860.08	743.43	2319.15	2739.08	909.17	1073.91	1151.06	1127.35	708.18	878.17	995.0	1259.69	878.17	1896.65	934.76	1369.04	1721.16	743.43	624.99	2664.15	4038.61	2997.45	2796.65	3491.39	2061.24	3614.55	2935.74
ATP6V1A	228.13	260.38	228.13	299.25	255.0	262.2	981.29	967.76	525.39	158.79	363.56	305.55	157.68	341.51	279.14	327.56	633.73	665.29	371.22	583.07	660.68	346.29	518.15	1551.09	802.41	1051.79	1030.12	1407.55	1369.04	988.12	1216.75
C10orf88	104.42	73.54	50.63	100.83	126.12	61.68	135.24	134.3	124.37	111.21	129.69	105.89	70.51	80.57	152.28	135.24	85.22	131.51	72.01	130.6	104.42	102.97	69.52	260.38	118.43	297.17	140.04	189.02	140.04	183.82	189.02
CAND1	409.15	583.07	463.65	429.54	514.56	518.15	1322.37	1794.29	896.64	738.29	1023.0	884.29	860.08	1001.93	934.76	1073.91	1167.14	1991.0	1001.93	1286.18	1216.75	1023.0	967.76	3847.29	1605.83	1331.57	2417.67	1685.71	1508.65	2032.85	1529.73
CEP97	24.63	43.63	24.11	31.9	55.49	21.78	73.03	88.88	49.21	63.0	69.03	39.79	39.5	55.1	121.79	45.85	58.3	201.25	60.82	140.04	97.36	46.84	45.53	217.27	126.12	130.6	113.56	100.83	108.9	165.57	159.9
CHUK	121.79	109.66	88.88	150.17	106.63	101.54	373.81	447.82	237.86	157.68	224.97	127.89	154.42	164.42	217.27	180.02	139.07	279.14	182.55	228.13	206.94	241.19	146.03	651.58	334.46	316.37	373.81	454.09	297.17	387.02	483.38
COMMD2	157.68	251.48	164.42	164.42	190.34	178.77	884.29	1216.75	638.15	414.87	460.44	361.04	309.83	389.72	536.45	607.87	392.44	954.43	466.88	591.22	791.35	379.04	325.29	1437.15	915.51	2271.4	1159.07	866.07	1111.82	1295.13	1066.48
COPB2	878.17	1277.29	961.07	988.12	1044.52	981.29	1605.83	2555.58	1896.65	1023.0	1199.98	1111.82	1191.69	1561.89	1397.83	1651.0	1870.53	2591.27	1628.26	2104.58	2240.11	1295.13	1498.22	4802.93	3419.52	4704.07	3303.0	3257.52	3081.75	3303.0	2875.3
DCLRE1A	53.57	45.21	33.3	69.52	94.67	43.63	95.34	141.02	77.79	51.71	53.95	46.18	53.57	31.67	47.17	70.01	57.89	147.06	53.19	63.45	81.14	57.08	43.63	185.11	182.55	299.25	105.89	201.25	150.17	251.48	241.19
DCUN1D1	151.22	228.13	172.65	189.02	327.56	82.29	974.5	981.29	599.49	309.83	309.83	249.73	180.02	246.28	511.0	334.46	511.0	679.29	353.59	518.15	629.35	262.2	384.34	2758.13	878.17	1477.58	1757.34	1044.52	1259.69	1167.14	1199.98
DDX21	176.29	332.14	232.94	318.57	283.05	221.86	1519.15	2148.82	896.64	693.58	1457.23	684.02	780.44	780.44	507.46	1015.93	327.56	961.07	521.76	1313.23	1216.75	1498.22	466.88	3564.78	1322.37	1662.49	2400.97	1733.13	1216.75	1331.57	1437.15
DLG1	599.49	571.05	265.87	563.18	543.96	197.09	1721.16	1143.1	733.19	1233.75	830.75	438.59	551.56	723.08	1397.83	387.02	2502.97	2573.36	1233.75	896.64	1088.92	669.92	1674.06	3280.18	1037.29	2133.97	3212.66	2148.82	1561.89	1340.84	848.22
EIF4E	327.56	376.41	260.38	297.17	293.07	470.14	1540.37	1757.34	457.25	642.59	753.83	536.45	656.11	1037.29	1191.69	361.04	1250.98	1191.69	1508.65	1104.13	1437.15	1662.49	1508.65	2119.22	1733.13	713.11	1674.06	1832.01	764.36	1417.35	2384.37
EXOC5	134.3	170.25	140.04	172.65	209.84	96.01	669.92	521.76	327.56	237.86	514.56	379.04	237.86	376.41	432.53	264.03	480.04	591.22	358.54	480.04	438.59	395.18	450.94	1529.73	551.56	529.06	555.41	698.41	518.15	830.75	633.73
FAM175B	137.14	186.4	102.97	129.69	139.07	144.01	258.57	281.09	209.84	155.5	194.36	166.73	164.42	267.73	173.85	249.73	256.78	246.28	236.21	269.6	242.88	218.79	220.32	309.83	269.6	463.65	249.73	312.0	260.38	285.03	295.11
FECH	108.14	120.1	86.43	51.71	118.43	251.48	332.14	476.71	175.07	239.52	232.94	283.05	265.87	253.23	177.53	323.03	358.54	470.14	356.05	1023.0	277.2	490.14	406.31	363.56	493.56	417.77	642.59	406.31	521.76	343.89	642.59
FYTTD1	387.02	529.06	327.56	536.45	476.71	361.04	1832.01	2351.53	1350.18	1233.75	819.3	854.13	551.56	974.5	866.07	813.63	1167.14	1628.26	974.5	1135.2	1721.16	981.29	1191.69	6337.83	1757.34	2835.7	3614.55	1883.54	2520.38	2193.99	1870.53
GFM1	236.21	248.0	255.0	325.29	371.22	220.32	1008.9	1199.98	684.02	450.94	629.35	450.94	379.04	361.04	909.17	457.25	351.14	785.88	503.95	679.29	651.58	348.71	289.02	1963.57	941.27	1628.26	1519.15	1088.92	1467.37	1073.91	1111.82
GMPS	543.96	412.0	616.37	743.43	703.28	633.73	2417.67	2537.92	1397.83	1286.18	1008.9	934.76	1015.93	830.75	753.83	1268.46	743.43	1605.83	764.36	1508.65	1950.0	836.53	612.11	3280.18	1806.78	3847.29	3820.7	1685.71	2303.12	3280.18	2485.67
GOLIM4	202.66	185.11	105.89	175.07	204.07	136.19	728.11	718.08	283.05	248.0	234.57	109.66	305.55	151.22	473.41	211.31	86.43	587.13	239.52	493.56	476.71	297.17	103.69	1709.26	1127.35	1008.9	1540.37	603.67	1030.12	660.68	866.07
GTF2E1	66.65	163.28	76.71	96.01	92.05	90.14	241.19	244.57	131.51	132.44	132.44	108.14	164.42	177.53	223.41	133.36	133.36	299.25	127.0	371.22	291.04	172.65	115.16	325.29	314.17	358.54	256.78	273.37	217.27	224.97	291.04
HLTF	149.12	224.97	90.77	143.01	202.66	79.45	571.05	954.43	156.59	171.45	65.72	138.1	62.56	76.17	185.11	165.57	95.34	599.49	125.24	94.01	303.44	52.08	71.0	1030.12	397.93	1037.29	518.15	460.44	1030.12	665.29	612.11
