	TCGA.DM.A28G.01A.11R.A16W.07	GTEX.13111.0726.SM.5DUVE	GTEX.Y9LG.1526.SM.4WWDR	GTEX.YB5E.1626.SM.5IFIQ	GTEX.11LCK.2026.SM.5A5MA	GTEX.1399S.1926.SM.5J2M5	GTEX.1211K.1726.SM.5FQUJ	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.13O21.2426.SM.5MR4A	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.12C56.0626.SM.5EGGC	GTEX.ZT9W.1826.SM.51MQX	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8405.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5083.01A.02R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.145LU.1326.SM.5LU9N	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.13112.1426.SM.5EGH8	TCGA.R5.A7O7.01A.11R.A33Y.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.HU.A4H2.01A.11R.A251.31	TCGA.BR.8483.01A.31R.2402.13	GTEX.VJYA.1026.SM.4KL21	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
ACER3	80.01	314.17	289.02	336.79	248.0	420.68	246.28	221.86	214.27	241.19	277.2	273.37	307.69	305.55	307.69	307.69	236.21	236.21	204.07	214.27	211.31	444.72	75.11	91.41	66.65	149.12	54.72	92.05	92.7	132.44	71.0	165.57	209.84	376.41	167.9	115.16	104.42	68.07	77.25	124.37	107.38	156.59	104.42	61.68	25.54	76.71	68.55	44.57	66.18	27.64	44.57	21.01	55.89	42.41	64.34	20.11	332.14	301.33	466.88	269.6	183.82	165.57	108.14	143.01	98.04
ACTL6A	1259.69	813.63	819.3	961.07	748.61	748.61	738.29	819.3	915.51	860.08	1096.5	860.08	954.43	995.0	848.22	902.89	947.83	915.51	909.17	941.27	878.17	660.68	334.46	329.84	212.78	435.55	320.8	547.75	312.0	532.74	429.54	518.15	748.61	890.44	450.94	616.37	473.41	738.29	507.46	444.72	503.95	426.57	866.07	529.06	414.87	620.67	277.2	242.88	271.48	307.69	258.57	305.55	409.15	248.0	368.65	503.95	1378.57	1350.18	1685.71	1477.58	1583.71	825.0	447.82	988.12	500.46
ANLN	167.9	120.94	175.07	100.83	135.24	81.14	76.71	67.59	110.43	199.85	127.89	85.22	186.4	172.65	118.43	122.64	99.43	148.09	183.82	275.28	134.3	50.98	10.79	17.38	8.06	15.91	52.45	28.86	8.71	45.85	33.78	35.76	16.88	9.63	18.84	63.45	36.53	96.01	20.86	11.38	24.28	33.3	66.18	90.14	65.72	65.26	7.69	1.46	12.83	1.81	5.15	0.0	4.94	7.75	4.7	5.68	521.76	273.37	1277.29	444.72	647.07	87.65	17.9	60.82	39.5
ARHGAP11A	123.5	172.65	208.38	214.27	187.71	88.26	106.63	96.68	102.97	281.09	183.82	170.25	217.27	181.28	110.43	172.65	135.24	208.38	229.72	309.83	212.78	68.07	19.97	18.16	7.0	10.47	34.02	29.48	15.11	66.65	40.93	32.13	20.56	13.52	7.06	68.55	22.43	31.9	18.16	10.79	16.27	19.68	29.06	42.11	29.48	53.19	8.19	6.84	12.45	7.22	7.22	2.46	5.41	3.59	1.55	12.74	529.06	152.28	327.56	400.71	159.9	49.56	28.65	20.41	18.29
ARHGAP11B	89.51	96.01	136.19	70.51	129.69	125.24	81.71	80.01	129.69	166.73	98.04	80.57	105.15	124.37	107.38	124.37	74.58	116.78	105.15	199.85	133.36	38.4	5.87	4.86	9.93	14.35	16.51	25.17	10.96	30.56	16.75	10.71	4.9	12.09	19.68	32.36	17.13	27.25	15.45	16.88	6.84	15.0	36.79	25.72	26.47	109.66	7.34	5.87	3.41	3.59	13.03	5.15	26.67	20.41	2.16	5.59	612.11	158.79	217.27	441.64	134.3	59.97	61.25	29.91	16.39
ARHGAP32	265.87	371.22	460.44	540.19	466.88	447.82	629.35	599.49	348.71	688.78	511.0	543.96	457.25	521.76	603.67	423.61	571.05	521.76	395.18	514.56	406.31	307.69	14.89	30.78	33.06	41.52	23.59	52.82	18.43	29.27	14.89	41.81	44.57	82.29	33.54	63.45	132.44	35.76	116.78	63.45	57.49	105.89	65.72	70.51	127.89	53.19	63.45	30.78	68.07	52.08	119.26	111.99	81.14	48.18	23.42	98.04	131.51	343.89	780.44	153.34	248.0	346.29	52.08	118.43	47.5
ARHGEF39	285.03	151.22	204.07	114.36	242.88	128.79	105.89	131.51	248.0	244.57	161.02	143.01	154.42	201.25	159.9	139.07	169.07	186.4	202.66	262.2	115.97	108.14	13.32	13.32	12.55	17.9	10.63	15.45	13.32	10.71	24.81	22.75	11.38	10.71	16.63	28.45	51.35	52.08	22.26	19.39	47.5	18.84	30.78	109.66	54.33	42.11	15.91	5.5	4.28	8.58	8.65	8.51	5.23	28.04	15.56	5.28	595.34	154.42	780.44	961.07	309.83	100.13	11.82	33.3	14.67
ARL6IP6	500.46	423.61	483.38	476.71	275.28	368.65	497.0	403.5	346.29	435.55	371.22	403.5	493.56	316.37	460.44	457.25	438.59	301.33	406.31	525.39	493.56	400.71	172.65	189.02	71.0	140.04	96.68	82.29	90.14	178.77	73.54	76.17	205.5	110.43	190.34	144.01	155.5	229.72	153.34	64.8	143.01	126.12	237.86	162.14	103.69	175.07	66.18	39.79	98.04	48.87	78.89	136.19	129.69	119.26	146.03	167.9	447.82	457.25	733.19	529.06	540.19	285.03	187.71	339.14	166.73
ATAD5	36.27	36.27	53.95	24.28	26.86	26.47	28.04	32.13	32.13	33.78	32.36	26.67	28.86	40.64	31.67	29.7	36.01	29.7	26.1	47.17	40.07	18.84	2.73	1.48	1.45	3.72	2.84	3.82	3.53	8.85	1.95	5.87	6.26	8.45	0.87	9.34	8.58	6.84	11.13	1.39	8.45	3.66	9.2	14.03	11.82	11.64	6.06	0.0	4.35	1.93	3.32	3.14	9.93	8.99	1.27	3.47	71.0	60.39	119.26	106.63	69.03	17.25	8.92	14.89	6.06
BORA	92.05	180.02	199.85	162.14	217.27	161.02	157.68	144.01	153.34	242.88	199.85	181.28	234.57	229.72	198.47	173.85	154.42	234.57	212.78	260.38	177.53	135.24	22.92	14.03	19.82	29.7	21.63	23.25	22.59	32.59	19.53	48.52	35.0	43.94	23.42	47.17	28.24	35.0	28.24	24.99	33.54	33.78	27.05	25.72	70.51	54.72	25.17	8.85	29.06	24.46	22.43	30.56	36.27	44.89	38.12	27.05	341.51	211.31	316.37	197.09	299.25	96.68	26.86	61.68	37.32
