	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.C4.A0F6.01A.11R.A10U.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.DK.A1AD.01A.11R.A13Y.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.ZF.AA51.01A.21R.A39I.07	TCGA.GU.A42R.01A.11R.A23N.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.LT.A8JT.01A.11R.A36F.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.DK.A6B6.01A.11R.A30C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.1497J.0826.SM.5NQAJ	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.11P81.0126.SM.5HL5Y	GTEX.1211K.0726.SM.5FQUW
AAED1	44.89	16.27	25.54	70.51	38.67	29.06	33.06	55.1	25.72	63.89	67.12	27.05	28.45	96.68	50.27	69.03	73.54	27.44	31.45	25.91	92.7	107.38	75.64	22.26	152.28	127.89	193.01	172.65	88.88	246.28	112.77	172.65	142.01	159.9	164.42	189.02	173.85	185.11	154.42	167.9	201.25	158.79	134.3	162.14	173.85	221.86	149.12	131.51	162.14	231.32	221.86	198.47	163.28	195.72	147.06	118.43	132.44	144.01	154.42	178.77	133.36	166.73	208.38	127.0	133.36	185.11	265.87	264.03	242.88	224.97
ADC	23.25	25.35	13.22	60.82	43.02	7.75	40.07	43.63	53.19	53.95	18.7	21.01	14.89	106.63	40.07	42.11	67.59	10.24	51.71	29.48	48.52	20.56	45.85	22.1	147.06	123.5	112.77	107.38	159.9	91.41	139.07	101.54	104.42	72.01	98.73	82.29	69.03	78.89	106.63	116.78	75.11	88.26	133.36	76.71	85.82	93.35	105.89	102.25	106.63	78.89	85.22	86.43	118.43	135.24	110.43	120.1	115.97	113.56	108.14	98.73	99.43	124.37	111.99	148.09	111.21	5.15	193.01	215.77	215.77	157.68
AGPAT4	53.95	13.03	4.1	44.89	50.98	30.56	145.02	44.25	37.32	42.71	37.59	39.22	22.59	66.65	35.76	65.26	84.63	138.1	36.53	33.06	72.52	107.38	25.72	12.83	156.59	82.29	84.63	114.36	40.93	77.25	105.15	50.63	85.82	118.43	152.28	146.03	71.0	130.6	101.54	163.28	90.14	105.15	190.34	165.57	138.1	115.16	89.51	159.9	85.22	140.04	97.36	130.6	120.1	81.71	72.52	182.55	171.45	135.24	92.05	46.18	76.71	163.28	87.65	68.07	78.89	111.99	129.69	92.05	132.44	68.07
ARL2BP	624.99	563.18	607.87	559.28	463.65	718.08	525.39	974.5	909.17	723.08	961.07	480.04	460.44	808.0	995.0	723.08	591.22	708.18	684.02	312.0	587.13	703.28	813.63	780.44	1073.91	1143.1	1304.15	1313.23	1583.71	1295.13	2047.0	1111.82	1295.13	1359.57	1277.29	1313.23	1111.82	1143.1	1331.57	1175.27	1359.57	1277.29	1119.56	1295.13	1175.27	1331.57	1295.13	1183.45	1167.14	1350.18	1487.87	1259.69	1073.91	1119.56	1104.13	1059.11	1143.1	1151.06	1030.12	1268.46	1001.93	1127.35	1066.48	1023.0	1135.2	1066.48	688.78	802.41	698.41	660.68
ARRDC4	297.17	167.9	51.35	191.67	205.5	13.22	85.22	150.17	127.89	107.38	102.97	22.92	38.95	46.84	507.46	162.14	92.05	136.19	231.32	13.22	106.63	101.54	53.19	41.52	460.44	420.68	647.07	454.09	551.56	947.83	486.75	409.15	409.15	884.29	808.0	1151.06	316.37	642.59	624.99	1023.0	503.95	486.75	432.53	514.56	890.44	785.88	293.07	703.28	473.41	684.02	555.41	819.3	796.86	351.14	503.95	591.22	486.75	540.19	409.15	361.04	563.18	579.04	595.34	297.17	417.77	532.74	518.15	460.44	217.27	647.07
ARSG	68.55	32.13	36.27	93.35	28.04	31.67	19.97	58.3	13.32	49.56	215.77	92.05	19.11	53.19	42.11	59.13	39.22	43.94	32.36	82.29	58.3	64.34	77.25	30.56	131.51	121.79	124.37	133.36	133.36	124.37	128.79	115.97	128.79	224.97	125.24	120.94	115.16	92.05	141.02	135.24	103.69	118.43	112.77	95.34	126.12	134.3	102.25	139.07	135.24	162.14	128.79	159.9	167.9	151.22	124.37	111.21	92.7	146.03	139.07	108.9	131.51	138.1	134.3	139.07	89.51	36.01	258.57	104.42	147.06	167.9
ARSJ	4.82	4.35	2.34	12.36	1.01	8.58	1.31	17.77	3.11	7.0	9.41	3.41	3.69	8.45	4.21	10.08	6.84	0.93	2.34	1.97	17.9	7.51	6.67	2.05	189.02	117.6	209.84	132.44	41.81	217.27	161.02	155.5	171.45	157.68	178.77	122.64	170.25	127.0	127.89	170.25	125.24	193.01	159.9	124.37	150.17	236.21	94.67	161.02	149.12	215.77	218.79	201.25	143.01	197.09	100.83	115.16	154.42	199.85	130.6	106.63	119.26	165.57	191.67	150.17	133.36	135.24	8.32	20.56	16.03	6.06
ASRGL1	92.7	42.11	11.04	91.41	4.98	61.68	26.86	22.1	90.77	27.25	81.71	145.02	159.9	94.67	82.29	211.31	159.9	173.85	11.21	12.0	463.65	454.09	253.23	66.18	1651.0	1023.0	764.36	1583.71	3235.01	2502.97	503.95	902.89	813.63	884.29	1159.07	1199.98	2061.24	1216.75	1605.83	1639.59	1498.22	941.27	1781.89	1540.37	1268.46	1561.89	802.41	1088.92	791.35	679.29	1561.89	1001.93	1111.82	1199.98	1417.35	1127.35	1088.92	1111.82	1350.18	2319.15	854.13	785.88	1259.69	1250.98	780.44	358.54	312.0	142.01	77.25	253.23
BICC1	24.63	0.38	0.0	37.59	11.13	15.34	9.27	53.19	1.77	23.42	24.46	8.85	11.55	89.51	12.18	38.95	33.78	0.0	3.66	6.78	42.11	287.01	3.38	3.23	921.88	397.93	1015.93	607.87	612.11	3039.3	1369.04	713.11	902.89	830.75	890.44	1037.29	928.3	1051.79	607.87	1037.29	738.29	1242.34	1286.18	1111.82	941.27	836.53	866.07	1191.69	791.35	954.43	1111.82	928.3	679.29	890.44	587.13	743.43	974.5	796.86	656.11	836.53	872.1	753.83	1104.13	575.03	896.64	890.44	56.68	67.59	57.08	42.41
BIN1	40.64	35.0	15.45	239.52	22.75	84.04	63.89	81.71	18.43	155.5	129.69	32.59	56.28	228.13	116.78	175.07	133.36	87.03	51.71	34.02	295.11	909.17	102.25	69.52	1639.59	1870.53	2895.31	2319.15	5633.22	5366.37	1037.29	2468.49	2193.99	1175.27	2367.9	1936.53	1923.14	1819.35	2119.22	1819.35	2915.45	1936.53	2303.12	1674.06	1721.16	1674.06	1950.0	1909.85	2520.38	1561.89	1745.2	1870.53	2224.63	2555.58	4388.98	2209.26	2104.58	2255.7	3467.27	3419.52	2351.53	2367.9	3325.99	3018.3	2520.38	890.44	684.02	854.13	1088.92	1001.93
