	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.X15G.1626.SM.3NMB3	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.Y5V5.1626.SM.4VDSG	GTEX.11DYG.1326.SM.5N9DO	GTEX.X585.1226.SM.46MW7	GTEX.146FH.1726.SM.5QGQ2	GTEX.P4QS.0626.SM.3NMD1	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.97.8552.01A.11R.2403.07	GTEX.X5EB.0426.SM.46MVY	GTEX.X3Y1.0626.SM.3P5YS	GTEX.ZE7O.0826.SM.57WCP	TCGA.98.A53H.01A.12R.A262.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ABCA10	204.07	204.07	543.96	24.28	66.65	62.56	48.18	144.01	351.14	603.67	92.7	171.45	48.52	8.19	0.0	41.22	69.03	239.52	242.88	91.41	0.34	29.27	17.77	13.93	10.08	5.15	8.51
AC007461.1	35.25	35.25	108.14	0.0	1.68	2.32	0.0	3.82	71.5	43.94	7.11	35.76	4.17	0.0	0.0	1.62	0.0	12.36	4.74	3.38	0.0	0.0	0.59	1.51	0.39	1.35	0.0
AC092675.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	14.14	0.0	0.0	0.0	0.0	0.0	8.78	8.06	15.68	30.56	1.69	0.0	0.0	0.0	39.79	0.0	0.0	0.0
ADAM33	251.48	251.48	2075.59	4.03	743.43	241.19	432.53	595.34	1457.23	2835.7	591.22	579.04	53.19	15.0	0.0	43.63	139.07	281.09	351.14	156.59	36.53	162.14	126.12	47.17	26.47	39.79	43.63
AGR3	1733.13	1733.13	5479.15	0.0	6.67	0.0	0.28	723.08	17681.08	2555.58	0.0	234.57	121.79	61.25	0.0	6079.61	9151.82	10959.3	37639.55	2502.97	31.45	2.97	2.89	35.76	2.27	10.96	8.99
ANKRD24	12.64	12.64	36.53	8.0	4.9	3.14	5.23	12.45	35.0	42.11	13.72	33.78	5.5	1.07	0.0	34.26	52.82	45.85	92.7	21.94	1.66	2.89	7.17	6.11	1.38	3.63	1.64
ANKRD29	351.14	351.14	708.18	99.43	178.77	215.77	197.09	341.51	346.29	988.12	73.03	256.78	121.79	161.02	0.0	363.56	1081.39	507.46	5913.33	220.32	226.54	718.08	303.44	153.34	441.64	201.25	703.28
ANKRD30A	212.78	212.78	420.68	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.49	0.0	0.0	0.0	0.0	0.37	0.4	15.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD6	187.71	187.71	232.94	105.15	133.36	146.03	152.28	228.13	246.28	624.99	79.45	140.04	165.57	98.04	0.0	204.07	332.14	307.69	476.71	231.32	12.93	241.19	47.17	136.19	65.72	102.97	55.1
ANO7	15.68	15.68	21.63	1.04	2.63	0.67	1.5	12.36	343.89	105.15	13.72	81.71	10.08	4.03	0.0	11.55	14.89	7.28	24.81	57.89	2.78	0.13	4.31	5.54	3.86	6.46	2.34
ARHGEF38	76.17	76.17	209.84	29.7	1.38	0.47	0.0	22.26	348.71	118.43	4.43	46.5	4.39	3.08	0.0	154.42	244.57	170.25	246.28	93.35	0.52	0.0	0.2	8.25	0.13	2.12	0.68
AZGP1	13968.57	13968.57	53230.77	51062.33	23.08	3.17	12.64	842.36	46019.85	23330.64	329.84	7642.41	2090.03	9.56	0.0	18819.27	1583.71	212.78	185.11	2287.2	16.88	0.0	74.58	412.0	41.81	293.07	31.0
BAIAP3	166.73	166.73	346.29	291.04	43.63	57.89	61.25	108.14	201.25	500.46	70.51	173.85	24.81	20.86	0.0	629.35	819.3	769.69	2224.63	947.83	1.79	3.56	32.13	23.59	16.27	12.93	2.66
BGLAP	18.29	18.29	43.32	15.45	20.56	25.35	18.56	31.45	71.5	142.01	30.12	55.1	11.13	2.76	0.0	70.51	74.58	38.4	97.36	36.01	0.75	0.35	0.0	5.59	3.99	0.06	3.29
BIVM	248.0	248.0	226.54	78.34	163.28	157.68	155.5	206.94	414.87	318.57	161.02	271.48	155.5	129.69	0.0	193.01	353.59	329.84	444.72	217.27	144.01	111.21	117.6	116.78	78.89	89.51	103.69
BTNL9	1923.14	1923.14	559.28	2.07	156.59	59.97	146.03	95.34	269.6	1119.56	149.12	258.57	43.94	8.92	0.0	336.79	5633.22	384.34	836.53	438.59	2.68	41.22	14.24	57.08	1.62	28.24	5.28
BZRAP1	406.31	406.31	1008.9	74.58	215.77	128.79	197.09	297.17	595.34	915.51	215.77	409.15	152.28	29.27	0.0	915.51	967.76	1477.58	3716.2	620.67	2.39	25.72	58.3	87.65	31.45	30.56	18.16
C1orf141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	163.28	119.26	57.08	152.28	102.25	0.0	0.0	0.0	0.74	0.0	0.0	0.0
C4BPA	128.79	128.79	47.5	19.68	20.41	0.0	0.75	2.89	12.09	88.88	6.52	91.41	2.68	0.61	0.0	1044.52	8022.41	23169.48	299.25	1605.83	0.62	0.0	0.0	1.2	3.2	1.71	0.67
CAPN8	316.37	316.37	2133.97	150.17	1.75	0.0	0.26	297.17	2555.58	3491.39	33.06	854.13	22.59	9.06	0.0	7589.61	4903.87	896.64	1529.73	842.36	0.52	0.0	2.43	11.3	0.59	8.71	3.32
CAPN9	10.79	10.79	38.95	0.0	0.0	0.0	0.0	5.5	309.83	262.2	5.28	96.01	11.38	4.21	0.0	15.22	307.69	237.86	941.27	175.07	2.16	0.0	1.27	9.2	1.64	10.0	1.62
CAPRIN2	224.97	224.97	318.57	29.91	156.59	189.02	170.25	199.85	403.5	559.28	211.31	363.56	129.69	24.81	0.0	293.07	381.68	483.38	486.75	271.48	15.8	31.67	44.25	48.18	38.12	31.45	23.93
CASP12	6.57	6.57	20.26	2.89	12.09	5.41	4.66	6.94	19.97	54.72	9.93	7.28	3.11	3.38	0.0	17.9	37.32	20.41	127.0	9.13	0.88	3.17	1.75	2.2	3.41	1.19	3.89
CCDC159	540.19	540.19	1769.57	303.44	775.05	693.58	543.96	748.61	1331.57	2627.46	693.58	921.88	423.61	363.56	0.0	1936.53	1923.14	1781.89	2090.03	1183.45	194.36	336.79	211.31	371.22	283.05	295.11	198.47
CCDC39	33.06	33.06	30.12	3.59	16.51	14.67	7.06	20.26	59.13	80.01	22.1	38.67	6.06	5.73	0.0	205.5	414.87	178.77	368.65	253.23	3.26	5.54	1.66	4.03	2.78	4.62	4.39
CCDC68	90.77	90.77	12.64	5.59	28.04	19.11	26.86	43.94	106.63	334.46	29.91	135.24	14.89	16.75	0.0	87.65	928.3	178.77	656.11	75.64	3.41	1.16	11.3	11.04	0.54	8.71	3.92
CCL15-CCL14	37.59	37.59	426.57	5.82	532.74	36.53	45.85	11.13	116.78	1191.69	13.12	91.41	12.18	10.24	0.0	457.25	3901.01	2271.4	1233.75	693.58	59.55	17.51	273.37	124.37	15.91	27.64	314.17
CCL28	1268.46	1268.46	3540.14	182.55	94.01	46.5	72.01	314.17	4769.75	1167.14	136.19	1304.15	215.77	108.14	0.0	271.48	353.59	260.38	529.06	178.77	52.08	5.96	28.45	202.66	75.11	166.73	15.56
CDC16	1259.69	1259.69	1397.83	684.02	1119.56	848.22	1023.0	808.0	1697.45	1651.0	1066.48	1594.73	928.3	529.06	0.0	1088.92	1477.58	1388.16	1674.06	1143.1	525.39	503.95	285.03	454.09	532.74	435.55	432.53
CDK5RAP3	2303.12	2303.12	5006.93	1950.0	2367.9	2367.9	2148.82	3018.3	6294.04	10585.95	2796.65	4704.07	1617.0	1044.52	0.0	5954.47	4450.27	4836.35	4123.49	3742.05	579.04	890.44	1015.93	1295.13	1119.56	1081.39	796.86
CHDH	211.31	211.31	256.78	38.12	11.3	3.06	10.47	37.32	444.72	435.55	54.33	111.21	19.97	7.17	54.72	123.5	211.31	37.32	89.51	44.89	0.69	0.06	5.54	23.25	6.84	7.75	0.19
CLCNKA	15.8	15.8	47.17	0.0	0.04	0.0	0.0	3.06	35.0	26.1	6.52	8.0	0.0	0.0	0.0	53.19	27.64	54.33	36.53	16.15	0.0	2.53	1.64	3.96	0.44	3.17	0.0
CLDN3	703.28	703.28	669.92	0.0	205.5	6.89	9.56	97.36	2758.13	2520.38	43.63	1208.34	48.87	4.24	91.41	2004.85	3060.45	3515.68	2400.97	688.78	3.92	0.0	0.84	71.5	2.07	55.89	0.0
