	TCGA.E9.A1N4.01A.11R.A14M.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	TCGA.KM.8639.01A.11R.2403.07	TCGA.CZ.4862.01A.01R.1305.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.GL.7966.11A.01R.2204.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.W5X1.0426.SM.3GILB	GTEX.OIZI.0726.SM.2XCEI
ABHD13	169.07	214.27	249.73	189.02	289.02	201.25	130.6	170.25	88.88	104.42	147.06	190.34	111.21	88.26	55.89	50.98	82.87	73.54	92.05	108.9	83.45	62.56	76.71	75.11	58.3	125.24	106.63	66.65	75.11	111.99	81.71	150.17	46.5	98.73	92.05	131.51	76.17	127.0	161.02	74.58	143.01	131.51	78.89	128.79	43.32	144.01	70.51	215.77	171.45	208.38
AKAP8	432.53	381.68	460.44	559.28	473.41	483.38	358.54	493.56	231.32	316.37	262.2	297.17	246.28	283.05	173.85	191.67	262.2	214.27	329.84	476.71	224.97	177.53	289.02	169.07	214.27	316.37	173.85	149.12	242.88	293.07	500.46	209.84	162.14	226.54	256.78	341.51	142.01	279.14	518.15	264.03	316.37	221.86	191.67	291.04	134.3	387.02	98.04	126.12	476.71	507.46
ARID4B	543.96	620.67	769.69	988.12	775.05	928.3	150.17	507.46	154.42	269.6	301.33	441.64	323.03	180.02	59.55	144.01	271.48	152.28	289.02	325.29	152.28	46.18	158.79	147.06	239.52	336.79	116.78	40.64	190.34	256.78	291.04	220.32	16.63	120.94	33.06	334.46	135.24	166.73	441.64	110.43	119.26	182.55	46.5	301.33	71.5	476.71	20.86	63.45	1023.0	1295.13
ATAD2B	111.21	190.34	162.14	185.11	151.22	143.01	42.41	150.17	38.67	100.13	73.03	94.67	69.52	52.08	23.08	33.06	52.82	24.46	58.3	78.89	44.89	20.56	52.82	33.06	49.56	72.52	47.17	17.9	51.71	46.18	36.27	53.57	12.64	42.11	23.08	80.57	57.08	58.3	156.59	29.7	42.71	48.18	21.32	69.03	13.22	105.15	14.89	31.22	176.29	191.67
CHD2	620.67	780.44	988.12	1051.79	1044.52	896.64	329.84	764.36	265.87	466.88	403.5	559.28	403.5	323.03	163.28	277.2	353.59	293.07	476.71	514.56	189.02	148.09	277.2	229.72	309.83	559.28	224.97	136.19	323.03	435.55	480.04	371.22	101.54	231.32	231.32	567.1	277.2	279.14	575.03	191.67	429.54	346.29	162.14	547.75	165.57	540.19	94.67	131.51	909.17	866.07
DYRK1A	684.02	1008.9	1159.07	1127.35	1030.12	1044.52	728.11	743.43	351.14	497.0	684.02	791.35	583.07	346.29	172.65	185.11	599.49	346.29	429.54	708.18	339.14	226.54	368.65	275.28	356.05	529.06	323.03	194.36	476.71	587.13	642.59	698.41	137.14	403.5	366.09	769.69	341.51	521.76	674.59	267.73	341.51	529.06	255.0	620.67	175.07	612.11	106.63	234.57	934.76	1037.29
EXOC8	157.68	224.97	267.73	189.02	279.14	248.0	115.97	191.67	80.01	134.3	164.42	158.79	80.57	108.9	69.52	106.63	140.04	81.14	113.56	122.64	75.11	53.95	72.01	70.01	78.89	92.05	63.45	85.82	113.56	93.35	111.99	164.42	56.28	87.65	108.14	166.73	115.16	95.34	149.12	77.25	130.6	101.54	53.95	112.77	40.93	111.21	60.82	105.89	189.02	260.38
FAM120B	323.03	633.73	679.29	693.58	921.88	848.22	429.54	486.75	237.86	406.31	376.41	447.82	287.01	198.47	181.28	277.2	381.68	232.94	221.86	285.03	232.94	176.29	244.57	175.07	217.27	264.03	255.0	239.52	277.2	303.44	409.15	373.81	212.78	271.48	271.48	361.04	287.01	277.2	438.59	176.29	228.13	336.79	185.11	267.73	147.06	341.51	158.79	126.12	454.09	500.46
FBXL3	1427.22	1225.22	1540.37	1268.46	1199.98	1388.16	836.53	890.44	316.37	460.44	896.64	1143.1	450.94	176.29	392.44	80.57	301.33	332.14	486.75	575.03	426.57	273.37	348.71	287.01	181.28	435.55	397.93	206.94	379.04	417.77	507.46	753.83	117.6	379.04	277.2	665.29	348.71	616.37	493.56	234.57	420.68	406.31	144.01	503.95	120.1	723.08	90.77	435.55	1378.57	2148.82
KDM6A	547.75	785.88	743.43	909.17	1119.56	775.05	153.34	314.17	323.03	220.32	234.57	265.87	379.04	201.25	110.43	173.85	540.19	191.67	346.29	231.32	130.6	103.69	327.56	127.0	305.55	217.27	205.5	92.05	220.32	199.85	656.11	303.44	92.7	198.47	158.79	441.64	316.37	182.55	368.65	140.04	145.02	234.57	84.04	285.03	67.59	511.0	77.25	111.21	764.36	567.1
