	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.T5JC.1526.SM.4DM68	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	TCGA.B8.4621.01A.01R.1503.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.MH.A55W.01A.11R.A26U.07	TCGA.2Z.A9JS.01A.21R.A42S.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.DW.7836.01A.11R.2139.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.DZ.6132.11A.01R.1965.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.1211K.0726.SM.5FQUW
ABCB4	16.27	4.35	12.64	15.34	36.27	19.39	22.26	14.78	10.55	6.41	48.87	19.11	18.43	31.0	11.82	24.46	3.35	11.73	5.73	0.0	19.11	16.39	33.3	28.65	150.17	63.45	16.15	33.06	17.64	22.43	33.78	28.45	24.81	10.71	20.26	48.87	10.08	25.72	20.26	21.32	22.26	20.26	26.47	28.45	18.97	7.06	30.78	55.89	17.9	39.22	36.27	42.41	73.03	52.08	59.97	72.01	111.99	236.21	154.42	105.89	27.25	73.03	26.67	20.26	94.01	27.64	104.42	90.14	101.54	22.75	100.83	88.26	18.43	21.94	22.59	34.02	13.42	52.08	22.92	22.92	36.27	39.79	34.51	47.84	26.86	43.94	35.76	26.67	0.0	0.03	23.76	28.65	3.86
ABCC4	102.25	291.04	414.87	29.06	82.29	173.85	103.69	373.81	157.68	320.8	490.14	395.18	351.14	486.75	417.77	438.59	607.87	312.0	228.13	178.77	171.45	293.07	325.29	656.11	1008.9	269.6	559.28	624.99	490.14	351.14	473.41	518.15	684.02	684.02	480.04	435.55	665.29	444.72	571.05	409.15	466.88	450.94	529.06	483.38	497.0	403.5	688.78	723.08	928.3	334.46	679.29	412.0	1167.14	1583.71	819.3	808.0	1119.56	2209.26	1104.13	1313.23	1191.69	651.58	1286.18	1397.83	587.13	842.36	1051.79	842.36	679.29	1594.73	780.44	884.29	244.57	406.31	507.46	571.05	301.33	429.54	435.55	503.95	559.28	563.18	435.55	583.07	435.55	599.49	540.19	559.28	0.0	0.43	64.34	65.26	60.39
AC007461.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	1.69	1.93	0.96	0.0	10.88	0.0	0.0	0.0	0.0	0.0	0.0	4.31	10.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.72	0.0	0.0	0.0	1.13	1.13	0.0	0.0	0.0	1.08	1.55	0.0	1.6	4.46	0.73	0.78	0.77	0.0	0.0	3.23	0.0	12.74	2.2	7.4	16.27	1.17	1.93	0.0	3.76	2.94	2.48	0.97	4.17	13.42	1.19	12.36	3.17	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	1.16	0.0	2.01	0.0	2.61	0.0	1.46	0.0	1.57	0.0	0.0	0.0	6.84	5.96
AC137056.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.59	40.36	81.71	71.0	59.97	36.01	72.01	140.04	88.88	13.12	275.28	77.25	151.22	35.25	172.65	36.01	87.65	120.94	53.19	84.63	60.82	72.01	90.77	102.97	75.11	48.18	120.1	185.11	65.26	53.95	60.39	75.64	90.14	119.26	110.43	45.53	86.43	21.94	81.14	41.52	49.56	102.97	802.41	59.55	67.59	44.25	123.5	130.6	173.85	241.19	100.83	42.41	76.17	199.85	87.65	76.71	157.68	130.6	34.26	169.07	90.14	53.95	47.5	71.0	70.51	75.11	55.49	58.3	70.51	68.07	55.1	26.47	74.58	89.51	110.43	33.3	111.21	77.79	0.0	0.0	0.0	0.0	0.0
ACOT9	532.74	56.68	351.14	191.67	191.67	211.31	403.5	246.28	503.95	159.9	500.46	470.14	536.45	500.46	579.04	567.1	327.56	384.34	466.88	277.2	329.84	353.59	607.87	703.28	476.71	387.02	400.71	348.71	450.94	466.88	429.54	532.74	432.53	384.34	441.64	423.61	403.5	466.88	480.04	444.72	497.0	412.0	503.95	587.13	540.19	341.51	457.25	679.29	426.57	500.46	486.75	500.46	660.68	684.02	785.88	651.58	703.28	708.18	591.22	1051.79	575.03	830.75	591.22	624.99	587.13	780.44	866.07	674.59	638.15	896.64	713.11	764.36	447.82	376.41	507.46	395.18	353.59	379.04	490.14	414.87	373.81	638.15	368.65	460.44	473.41	400.71	366.09	379.04	1225.22	295.11	525.39	490.14	470.14
ADAMTS16	14.45	0.33	0.33	6.94	3.29	3.26	2.71	0.31	2.76	40.07	325.29	217.27	67.59	159.9	135.24	194.36	48.18	60.39	153.34	55.89	50.27	339.14	40.93	113.56	148.09	0.69	75.11	186.4	264.03	124.37	193.01	351.14	108.9	106.63	143.01	218.79	127.89	60.82	193.01	211.31	164.42	144.01	178.77	156.59	68.07	143.01	118.43	351.14	194.36	237.86	185.11	202.66	125.24	195.72	287.01	33.54	152.28	221.86	583.07	638.15	215.77	132.44	395.18	246.28	277.2	197.09	293.07	85.22	412.0	493.56	318.57	253.23	133.36	124.37	198.47	91.41	176.29	242.88	269.6	229.72	152.28	262.2	149.12	130.6	199.85	212.78	206.94	134.3	0.0	0.0	21.47	66.65	5.54
ADAMTS3	3.08	2.18	0.34	1.13	4.03	7.22	3.41	0.32	2.76	4.35	22.75	11.64	9.56	27.84	17.64	20.56	5.32	14.03	24.46	2.78	10.88	4.66	8.85	14.56	68.07	16.88	13.62	14.56	25.35	25.17	23.76	43.02	12.74	15.91	19.82	13.83	15.22	13.32	11.47	16.27	14.67	13.32	21.01	23.76	7.11	14.35	35.0	46.5	20.86	46.5	36.79	18.03	112.77	83.45	44.89	318.57	60.39	67.59	90.14	49.91	28.86	45.21	33.3	75.64	62.56	101.54	89.51	51.71	59.97	102.25	29.06	58.3	8.85	10.96	51.35	10.08	7.88	13.42	18.03	15.0	9.48	27.25	7.06	11.38	15.56	34.26	12.36	15.45	0.0	0.37	25.54	43.94	22.92
AFF2	0.36	1.87	0.33	0.39	1.83	3.99	0.36	2.39	3.92	2.68	6.67	2.68	1.08	9.63	8.19	4.24	1.23	25.72	5.68	0.26	1.6	0.71	3.08	6.41	42.11	9.13	3.23	1.79	4.94	2.51	6.89	14.78	5.77	3.99	4.78	4.03	6.01	5.41	7.28	3.82	7.88	2.43	6.16	13.83	3.56	3.5	13.72	13.62	4.1	10.96	13.83	11.73	30.56	15.91	7.57	8.85	12.36	53.95	19.53	23.76	28.86	14.78	28.86	27.25	18.29	15.8	15.8	30.56	1.51	18.97	9.85	9.7	1.33	1.07	14.03	7.46	3.17	4.24	6.89	3.96	5.5	11.91	7.46	2.66	3.66	14.78	5.59	8.32	0.0	0.39	3.47	3.41	6.01
AGPS	81.71	241.19	106.63	170.25	141.02	79.45	105.15	264.03	178.77	177.53	285.03	215.77	186.4	379.04	215.77	197.09	358.54	223.41	161.02	244.57	285.03	68.07	327.56	348.71	414.87	551.56	262.2	262.2	281.09	312.0	316.37	334.46	323.03	363.56	262.2	327.56	305.55	305.55	532.74	379.04	381.68	297.17	312.0	325.29	299.25	336.79	532.74	381.68	299.25	295.11	409.15	293.07	511.0	525.39	327.56	521.76	529.06	514.56	450.94	679.29	718.08	325.29	854.13	435.55	466.88	620.67	353.59	376.41	438.59	438.59	473.41	420.68	201.25	211.31	283.05	264.03	206.94	283.05	190.34	231.32	246.28	332.14	275.28	368.65	215.77	301.33	212.78	293.07	0.0	0.18	93.35	149.12	146.03
AK8	7.51	18.16	22.92	10.63	6.94	10.55	12.55	12.74	79.45	9.41	89.51	133.36	114.36	120.94	106.63	110.43	142.01	198.47	33.06	139.07	131.51	20.71	45.53	142.01	110.43	87.03	122.64	112.77	75.64	74.06	70.01	78.34	119.26	82.29	111.99	82.87	94.67	112.77	93.35	119.26	98.73	116.78	76.17	84.63	111.99	92.05	77.25	136.19	88.88	83.45	84.04	87.03	187.71	133.36	205.5	287.01	122.64	127.89	232.94	323.03	221.86	242.88	211.31	511.0	214.27	218.79	148.09	195.72	271.48	255.0	353.59	195.72	104.42	117.6	119.26	98.04	41.52	127.0	92.05	111.21	105.15	146.03	84.63	99.43	84.63	77.25	72.01	101.54	0.0	0.0	154.42	221.86	262.2
