	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.KU.A6H8.01A.21R.A34R.07	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.7245.11A.01R.2016.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ACADL	242.88	4.24	6.62	0.4	0.41	3.72	3.38	3.26	7.0	1.57	0.4	7.28	107.38	58.71	101.54	77.25	124.37	86.43	90.77	80.01	33.3	103.69	0.0	0.1	2.81	3.14	2.89	12.74	2.84
ACADS	2520.38	220.32	256.78	215.77	343.89	232.94	167.9	108.14	163.28	460.44	152.28	309.83	1498.22	1447.15	1427.22	1508.65	2434.5	909.17	1015.93	738.29	507.46	2434.5	0.0	0.41	204.07	303.44	336.79	271.48	228.13
ADSSL1	12502.12	1936.53	186.4	74.58	55.1	136.19	325.29	98.04	155.5	161.02	40.36	221.86	2319.15	5672.41	5147.73	3419.52	8022.41	2520.38	3564.78	3103.19	1594.73	7857.29	0.0	0.59	684.02	780.44	454.09	514.56	406.31
ALDH6A1	1015.93	114.36	136.19	37.05	47.5	70.01	143.01	92.7	138.1	84.04	50.63	149.12	285.03	607.87	457.25	301.33	753.83	454.09	395.18	316.37	256.78	693.58	120.94	314.17	127.0	156.59	185.11	139.07	115.97
ANXA1	2664.15	1970321.01	721179.07	573724.06	345900.08	682276.92	517068.97	614902.29	1355129.16	711250.37	365622.68	1364554.84	55107.99	170568.48	197294.7	98646.85	4328.55	145432.49	59474.18	215898.44	164758.26	4903.87	12076.21	400.71	958220.73	834179.46	863596.77	554180.87	789181.81
C11orf89	417.77	6.94	50.63	1.38	16.39	20.11	23.59	3.41	35.76	11.38	6.94	37.59	180.02	255.0	262.2	275.28	287.01	138.1	173.85	169.07	46.18	381.68	0.0	0.57	58.3	17.77	6.57	11.91	5.63
C14orf159	3639.7	890.44	511.0	275.28	353.59	551.56	429.54	285.03	373.81	371.22	205.5	518.15	1572.76	2573.36	2537.92	3665.02	3372.43	1407.55	2104.58	1769.57	1208.34	4575.41	0.0	0.62	616.37	860.08	497.0	417.77	387.02
C21orf33	5403.7	1781.89	1561.89	1001.93	656.11	1242.34	1111.82	1073.91	1529.73	1295.13	836.53	1709.26	4152.18	5292.48	5183.54	4388.98	5633.22	2417.67	3303.0	2816.11	2400.97	7485.11	0.0	0.52	1806.78	1923.14	2468.49	2384.37	1909.85
CADM2	115.16	1.17	4.43	0.0	0.0	0.0	3.41	0.0	0.79	1.2	0.0	3.99	16.39	52.45	90.77	40.36	127.89	36.27	107.38	50.63	12.83	129.69	0.0	0.14	11.82	21.16	2.73	3.72	7.46
CARNS1	967.76	4.98	7.17	0.36	1.03	10.71	6.57	4.28	6.52	1.83	0.83	10.63	307.69	599.49	595.34	400.71	785.88	177.53	616.37	150.17	95.34	748.61	0.0	0.23	10.24	55.49	28.65	7.46	15.34
