	TCGA.BT.A2LA.01A.11R.A18C.07	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.AA.3660.01A.01R.1723.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.G3.A5SJ.01A.11R.A27V.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11GSP.0626.SM.5986T	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.52.7809.01A.21R.2125.07	TCGA.DC.4745.01A.01R.A32Z.07	TCGA.BR.8295.01A.11R.2343.13	TCGA.N5.A4RD.01A.11R.A28V.07
ANAPC7	1183.45	785.88	1936.53	981.29	1143.1	1081.39	1331.57	1794.29	1268.46	1508.65	723.08	974.5	934.76	256.78	559.28	371.22	209.84	271.48	389.72	171.45	392.44	249.73	277.2	249.73	267.73	287.01	343.89	301.33	109.66	1359.57	1096.5	1909.85	1697.45
ANP32B	12764.83	5112.16	5555.65	11112.3	3540.14	1757.34	2935.74	5219.6	2645.74	3982.99	1909.85	3235.01	2935.74	2520.38	1447.15	1617.0	2351.53	2935.74	1551.09	2555.58	1286.18	2018.8	2178.83	2224.63	2537.92	1167.14	1639.59	1794.29	1963.57	4419.52	7433.4	5751.61	4607.24
APLN	480.04	223.41	112.77	361.04	55.89	23.93	110.43	139.07	260.38	131.51	61.25	70.01	178.77	1.91	7.11	5.92	2.1	3.11	6.67	11.38	43.63	2.23	1.2	0.46	7.82	7.4	6.16	10.16	3.86	84.04	173.85	289.02	170.25
APOE	1104.13	242898.5	1259.69	4903.87	513497.31	687022.54	161367.56	73730.83	419990.32	301123.38	447025.24	386469.83	50709.61	513497.31	863596.77	1078054.48	696613.03	726195.27	731246.37	1290947.48	589853.66	783730.52	951601.81	828417.36	783730.52	2636147.11	964885.69	1442359.14	619179.28	3564.78	624.99	25005.23	24321.43
C9orf156	339.14	295.11	384.34	381.68	244.57	271.48	256.78	267.73	264.03	211.31	223.41	253.23	279.14	135.24	173.85	228.13	202.66	170.25	218.79	96.01	146.03	275.28	193.01	164.42	260.38	97.36	166.73	237.86	144.01	318.57	497.0	336.79	277.2
C9orf37	1030.12	409.15	307.69	291.04	251.48	279.14	244.57	1008.9	301.33	246.28	215.77	249.73	232.94	178.77	220.32	193.01	190.34	115.97	239.52	166.73	241.19	112.77	211.31	118.43	144.01	205.5	167.9	158.79	150.17	429.54	273.37	511.0	521.76
C9orf69	785.88	995.0	796.86	1259.69	791.35	525.39	603.67	1175.27	529.06	713.11	454.09	665.29	595.34	209.84	112.77	231.32	289.02	265.87	215.77	248.0	241.19	132.44	175.07	287.01	162.14	255.0	175.07	150.17	226.54	890.44	1277.29	921.88	819.3
CIZ1	4123.49	1407.55	3212.66	1819.35	1477.58	1427.22	1369.04	2287.2	1183.45	1175.27	1096.5	647.07	1008.9	507.46	1023.0	295.11	320.8	559.28	567.1	384.34	629.35	616.37	743.43	454.09	603.67	334.46	466.88	559.28	198.47	1721.16	3212.66	3168.41	2591.27
DARS	1023.0	1340.84	1498.22	1896.65	1199.98	909.17	1331.57	1685.71	1175.27	1457.23	441.64	669.92	1340.84	595.34	921.88	830.75	633.73	723.08	536.45	536.45	638.15	791.35	713.11	543.96	753.83	567.1	612.11	802.41	432.53	2720.15	1857.6	1936.53	1639.59
DDX20	244.57	138.1	187.71	154.42	120.1	118.43	94.67	218.79	108.14	138.1	100.13	110.43	118.43	35.25	105.15	49.21	29.27	65.72	97.36	49.21	40.64	94.67	36.01	42.11	76.17	42.11	71.0	42.11	15.45	198.47	175.07	170.25	249.73
