	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.5665.11A.01R.1653.07	TCGA.A6.2684.11A.01R.A32Z.07	TCGA.AA.3516.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13OVG.1426.SM.5K7VP	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.ZTSS.1126.SM.5985O	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.QEL4.1926.SM.4R1JI	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.139T6.0826.SM.5J1O2	GTEX.13111.1126.SM.5GCMZ	GTEX.13FTW.1926.SM.5K7Y4	GTEX.WH7G.1026.SM.4LVML	GTEX.12WSJ.0726.SM.5GCN6	GTEX.1122O.1626.SM.5N9CX	GTEX.YEC3.1926.SM.4WWF5	GTEX.W5WG.1526.SM.4LMIG	GTEX.RM2N.0626.SM.48FD6	GTEX.ZDYS.0926.SM.4WWCS	GTEX.ZZPU.1826.SM.5E43L	GTEX.OIZI.1326.SM.3NB1B	GTEX.ZVT2.1226.SM.5GU5H	GTEX.11EQ9.0826.SM.5986Y	GTEX.11P82.0626.SM.5PNYK	GTEX.11DXX.1026.SM.5H11E
AIFM1	490.14	1286.18	1119.56	759.08	1883.54	1467.37	1769.57	2319.15	1733.13	1508.65	1561.89	1277.29	2061.24	1508.65	1583.71	1991.0	2032.85	1605.83	1963.57	1127.35	1519.15	1044.52	1286.18	1923.14	1295.13	1151.06	1870.53	1991.0	2090.03	450.94	1407.55	1991.0	1909.85	1651.0	1857.6	1819.35	2090.03	1277.29	1199.98	1250.98	1359.57	1313.23	1250.98	1794.29	1277.29	1781.89	1208.34	1896.65	1572.76	1923.14	1794.29	1561.89	1733.13	1709.26	1437.15	1225.22	1331.57	1216.75	1674.06	1359.57	1350.18	1216.75	1819.35	1757.34	1857.6	1639.59	1844.76	1304.15	1340.84	1369.04	1208.34	2400.97	1023.0	1259.69	1498.22	1685.71	1594.73	1977.24	1059.11	1191.69	1745.2	1167.14	2075.59	460.44	638.15	656.11	836.53	854.13	759.08	543.96	825.0	836.53	713.11	708.18	813.63	703.28	896.64	825.0	830.75	1030.12
ANKEF1	74.06	41.52	39.79	21.63	89.51	105.89	94.01	74.06	101.54	85.82	76.17	92.7	81.14	95.34	130.6	128.79	109.66	100.83	115.97	65.72	89.51	56.68	70.01	109.66	60.82	47.5	94.01	136.19	86.43	39.5	80.01	103.69	91.41	71.0	108.14	107.38	103.69	76.17	91.41	69.03	75.11	41.81	87.03	120.1	79.45	95.34	87.65	107.38	121.79	96.01	101.54	125.24	100.83	87.65	91.41	90.14	59.13	74.06	90.77	68.55	95.34	57.89	76.71	126.12	95.34	100.83	94.01	72.01	80.57	94.67	31.22	85.82	77.25	61.68	76.71	94.67	96.01	87.65	77.79	94.01	94.01	87.03	83.45	0.72	23.08	22.1	16.88	18.43	17.25	10.47	8.06	17.9	17.13	20.26	22.92	33.3	24.81	19.39	17.64	29.27
AP1M2	1561.89	1037.29	2915.45	819.3	5831.91	4575.41	5183.54	6699.25	5366.37	4575.41	5183.54	4802.93	5255.91	4769.75	5555.65	5555.65	5517.27	5076.84	5555.65	3235.01	4836.35	3146.52	5076.84	4836.35	2627.46	1857.6	4769.75	5183.54	6250.56	497.0	4671.57	5441.3	6561.36	4575.41	5403.7	4836.35	5555.65	3847.29	4450.27	3212.66	4704.07	2591.27	4419.52	5913.33	3589.58	5594.3	3820.7	5219.6	5006.93	6079.61	5831.91	4972.34	5594.3	5112.16	4481.23	4543.8	3690.52	3168.41	5633.22	4543.8	4543.8	2502.97	5872.48	5329.3	5183.54	5112.16	5112.16	4268.94	5555.65	4268.94	830.75	5913.33	2777.33	3146.52	3349.13	5366.37	4450.27	6840.04	3168.41	3491.39	5112.16	4010.71	5255.91	0.0	0.0	10.16	0.0	13.72	3.53	10.0	7.75	6.31	5.28	7.63	0.0	6.16	7.69	16.63	0.0	13.93
APOO	187.71	414.87	483.38	285.03	878.17	483.38	624.99	842.36	808.0	728.11	665.29	497.0	738.29	543.96	825.0	764.36	796.86	660.68	796.86	470.14	651.58	532.74	476.71	738.29	493.56	417.77	674.59	629.35	842.36	285.03	830.75	642.59	909.17	684.02	642.59	607.87	591.22	490.14	514.56	470.14	693.58	473.41	551.56	995.0	543.96	775.05	497.0	624.99	921.88	693.58	830.75	603.67	476.71	603.67	854.13	595.34	511.0	454.09	830.75	616.37	551.56	438.59	708.18	679.29	656.11	620.67	743.43	493.56	674.59	529.06	503.95	1096.5	444.72	441.64	476.71	651.58	473.41	1044.52	543.96	518.15	599.49	460.44	679.29	165.57	224.97	181.28	301.33	185.11	260.38	175.07	312.0	423.61	275.28	255.0	258.57	185.11	128.79	285.03	239.52	236.21
ARHGEF38	25.91	10.0	9.06	4.98	105.89	92.05	81.14	53.95	76.17	58.71	82.29	89.51	89.51	82.29	78.34	106.63	69.52	114.36	81.71	78.89	86.43	79.45	72.01	127.89	63.89	36.79	81.71	90.14	109.66	8.99	91.41	92.7	106.63	67.12	96.68	61.68	77.25	73.03	102.25	65.26	84.63	47.5	83.45	114.36	87.65	82.87	80.57	99.43	117.6	96.68	144.01	72.52	80.01	93.35	129.69	121.79	80.01	45.21	104.42	77.79	124.37	37.32	90.77	84.63	84.63	128.79	95.34	66.65	117.6	90.14	12.64	87.03	55.1	63.45	73.54	130.6	117.6	82.29	71.0	70.01	78.34	100.83	98.73	0.58	0.89	9.48	0.0	0.0	8.58	7.28	0.92	4.17	0.0	13.12	5.92	0.93	0.91	52.45	5.92	6.46
ATP2A3	4869.99	1498.22	1350.18	1225.22	7433.4	3820.7	5517.27	4268.94	5517.27	4419.52	5183.54	4903.87	4038.61	5006.93	4210.15	6164.49	4607.24	7537.18	5329.3	3395.89	5594.3	3443.31	4066.71	5913.33	3515.68	2664.15	5995.9	6426.31	7642.41	1001.93	4575.41	4769.75	6745.86	3768.09	5555.65	4010.71	4639.29	4268.94	6250.56	3081.75	4802.93	2468.49	7642.41	6840.04	3081.75	6121.9	3928.15	5441.3	4066.71	5913.33	5147.73	6935.54	5219.6	5872.48	7382.04	5041.77	2915.45	3103.19	6121.9	5831.91	5147.73	2417.67	6516.03	4802.93	6561.36	4836.35	6652.97	5292.48	6561.36	5594.3	1250.98	6745.86	4450.27	3235.01	3303.0	6471.02	4802.93	4419.52	4152.18	4358.66	4210.15	4704.07	3955.48	559.28	1008.9	1639.59	954.43	738.29	1073.91	1487.87	780.44	1519.15	1015.93	842.36	995.0	1151.06	988.12	1721.16	1151.06	1037.29
ATP5G1	2682.69	6381.92	9673.69	5594.3	15180.22	11745.96	17927.91	23986.58	13586.57	16157.44	14361.31	12943.04	17437.64	13306.94	12943.04	18560.17	19482.97	16269.83	21617.82	9673.69	14262.1	10296.45	9740.98	14663.09	10959.3	7230.1	15934.98	14663.09	21919.61	4268.94	13681.08	13586.57	18052.61	15499.21	16843.62	14461.21	14867.79	10084.54	9540.5	8718.32	11035.54	11189.6	9025.81	15934.98	8598.28	17078.76	9876.98	14663.09	11267.44	13681.08	17927.91	13492.72	13586.57	15934.98	13215.02	9025.81	11424.74	9344.14	13968.57	13968.57	9808.75	8598.28	17197.56	17558.94	14561.8	12329.98	13776.25	10154.69	12244.81	11909.94	9409.14	21919.61	8963.45	11189.6	9673.69	17317.18	13399.51	22535.88	10368.08	12415.75	16727.26	7911.95	16383.0	2720.15	3060.45	3168.41	3395.89	2875.3	4639.29	2895.31	3060.45	4512.4	3794.3	4736.79	3349.13	3540.14	2701.35	3039.3	4181.07	3716.2
BLNK	403.5	208.38	320.8	137.14	748.61	723.08	878.17	507.46	718.08	775.05	579.04	669.92	642.59	802.41	896.64	540.19	403.5	988.12	463.65	624.99	629.35	368.65	591.22	796.86	376.41	253.23	629.35	1096.5	693.58	112.77	718.08	825.0	1015.93	633.73	486.75	395.18	708.18	708.18	480.04	457.25	723.08	384.34	915.51	878.17	551.56	941.27	500.46	718.08	575.03	921.88	1088.92	921.88	890.44	769.69	1199.98	890.44	684.02	480.04	915.51	718.08	743.43	275.28	316.37	1073.91	748.61	718.08	728.11	660.68	902.89	791.35	275.28	825.0	591.22	423.61	497.0	954.43	780.44	738.29	780.44	591.22	769.69	954.43	791.35	2.2	26.28	50.27	59.55	38.95	32.13	30.34	45.21	40.93	42.41	39.5	30.56	34.75	56.28	43.32	40.93	27.05
C21orf33	1191.69	2018.8	3081.75	1639.59	3901.01	3146.52	3928.15	4388.98	3491.39	3639.7	3395.89	3303.0	3768.09	3018.3	3168.41	3303.0	3491.39	3874.05	3443.31	2209.26	3060.45	2400.97	2935.74	3467.27	2915.45	1991.0	3874.05	4095.0	3901.01	1639.59	3395.89	3820.7	3874.05	3235.01	3491.39	2997.45	3325.99	3257.52	2682.69	2303.12	2895.31	2502.97	3018.3	3190.46	2720.15	4152.18	2520.38	3081.75	3103.19	3982.99	3982.99	3395.89	3491.39	3235.01	3325.99	2875.3	3018.3	2915.45	3901.01	3280.18	2816.11	2417.67	3280.18	3280.18	3349.13	3564.78	3349.13	2816.11	3540.14	3081.75	2163.77	4268.94	2609.3	2627.46	2520.38	3515.68	3235.01	4268.94	2537.92	2555.58	2835.7	2739.08	3443.31	1143.1	1199.98	1331.57	1437.15	1447.15	1359.57	1081.39	1250.98	1697.45	1359.57	1268.46	1551.09	1457.23	1295.13	1199.98	1709.26	1175.27
CA1	339.14	21172.91	8479.89	7331.05	208544.12	258533.99	156954.93	561916.97	282912.21	237899.7	200048.85	201440.3	375901.76	131071.0	301123.38	419990.32	214407.12	118127.7	251464.33	52135.28	163620.18	59474.18	138544.47	172949.54	88291.3	52135.28	135693.24	220434.95	284880.02	19892.37	122293.5	124000.67	198667.0	186652.11	138544.47	282912.21	365622.68	180294.02	241220.67	122293.5	139508.13	43236.64	193234.41	171754.88	92680.9	171754.88	211455.3	271387.49	217400.14	177811.84	212926.09	148488.36	71219.26	185362.8	179048.63	126606.21	146444.06	143430.26	258533.99	179048.63	338781.54	93325.55	177811.84	134755.94	146444.06	208544.12	204252.32	74243.68	254974.66	102125.66	108.9	256748.15	102125.66	82951.62	107203.06	180294.02	113315.62	316094.29	48982.22	127486.83	269512.87	53601.03	159145.95	9.78	0.0	0.0	3.5	43.32	0.0	0.71	8.06	7.57	12.64	0.72	0.0	2.68	0.0	10.47	3.99	397.93
