	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13S86.0826.SM.5SI6J	GTEX.11ONC.1526.SM.5GU6S	GTEX.ZZPT.1426.SM.5N9C5	GTEX.R45C.1226.SM.48FEE	GTEX.XK95.1026.SM.4GIDV	GTEX.WVLH.1426.SM.4MVNX	GTEX.139TU.1226.SM.5J2NL	GTEX.Y5V6.1026.SM.4VBS2	GTEX.UPK5.1226.SM.4IHL8	GTEX.QDVN.1026.SM.48TZA	GTEX.11DZ1.2026.SM.5A5KG	GTEX.RN64.1026.SM.48FDX	GTEX.ZPCL.1426.SM.57WEC	GTEX.U3ZH.1026.SM.4DXUZ	GTEX.S33H.0826.SM.4AD5Y	TCGA.CV.7261.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7424.11A.01R.2081.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.6935.11A.01R.1915.07	GTEX.12WSM.1826.SM.5BC64	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8462.11A.01R.2343.13	GTEX.11NUK.2426.SM.5BC4U
PLXNB3	8.71	25.72	395.18	414.87	575.03	450.94	295.11	127.0	209.84	343.89	518.15	265.87	327.56	444.72	129.69	363.56	185.11	454.09	476.71	189.02	314.17	249.73	130.6	100.83	37.05	90.14	117.6	96.01	159.9	17.25	39.22	15.0	62.56	27.84	140.04	56.68
PTDSS2	162.14	281.09	480.04	356.05	356.05	373.81	454.09	503.95	400.71	928.3	759.08	563.18	476.71	536.45	325.29	583.07	417.77	669.92	476.71	444.72	426.57	500.46	435.55	285.03	283.05	363.56	312.0	366.09	154.42	176.29	149.12	161.02	191.67	239.52	303.44	92.05
REP15	43.94	8.65	2.89	5.96	4.5	9.13	4.58	101.54	34.02	121.79	111.21	120.1	32.82	75.11	41.81	76.17	21.94	161.02	69.52	26.67	54.33	120.94	11.55	11.91	9.48	31.67	15.22	13.12	10.63	15.91	9.7	13.83	0.0	10.08	5.82	66.18
REPIN1	796.86	403.5	1191.69	947.83	1073.91	1143.1	1250.98	1350.18	1044.52	1322.37	1781.89	2645.74	1407.55	3146.52	1216.75	1540.37	848.22	1883.54	1605.83	1233.75	1896.65	2287.2	1073.91	780.44	392.44	896.64	599.49	1242.34	825.0	275.28	258.57	514.56	1023.0	251.48	1388.16	307.69
RMDN3	599.49	785.88	567.1	532.74	483.38	620.67	607.87	830.75	624.99	802.41	669.92	842.36	587.13	679.29	698.41	703.28	633.73	941.27	796.86	665.29	808.0	775.05	665.29	591.22	514.56	698.41	620.67	693.58	723.08	514.56	371.22	435.55	718.08	483.38	536.45	295.11
RP11-1212A22.4	397.93	872.1	1769.57	579.04	1135.2	988.12	1159.07	2163.77	1639.59	4152.18	2956.17	1745.2	748.61	2163.77	1135.2	1651.0	1183.45	2400.97	1359.57	3212.66	1594.73	2163.77	656.11	595.34	76.71	808.0	518.15	307.69	323.03	148.09	232.94	193.01	392.44	140.04	414.87	217.27
RP11-542C16.2	5.15	4.39	8.0	4.28	0.0	2.89	2.2	13.83	0.0	12.93	21.01	23.08	3.96	2.29	4.46	6.84	8.19	15.0	11.3	3.82	2.23	11.64	0.0	6.62	0.0	3.82	2.92	0.0	1.75	0.0	2.56	3.63	4.43	2.14	5.54	0.0
RP4-583P15.15	41.22	16.15	98.73	97.36	75.11	87.65	67.59	123.5	57.49	185.11	128.79	105.15	64.34	91.41	63.45	117.6	52.45	92.7	82.87	110.43	92.7	132.44	32.13	19.82	15.45	25.72	24.28	8.65	21.16	2.76	16.39	7.69	5.73	5.15	28.24	6.46
SHROOM1	166.73	135.24	159.9	120.94	136.19	151.22	187.71	224.97	215.77	518.15	470.14	248.0	204.07	400.71	144.01	348.71	141.02	848.22	336.79	221.86	186.4	514.56	75.64	152.28	102.25	91.41	117.6	103.69	69.52	28.65	27.84	31.9	45.53	39.22	194.36	135.24
SLC25A37	209.84	264.03	320.8	638.15	260.38	579.04	279.14	417.77	343.89	909.17	1127.35	358.54	409.15	616.37	287.01	529.06	327.56	1127.35	228.13	450.94	297.17	500.46	176.29	137.14	85.22	234.57	173.85	159.9	206.94	128.79	82.87	141.02	182.55	82.87	208.38	660.68
SLC26A6	161.02	147.06	249.73	215.77	148.09	395.18	143.01	616.37	361.04	1447.15	775.05	684.02	325.29	529.06	409.15	733.19	376.41	1397.83	283.05	493.56	363.56	334.46	93.35	72.01	46.18	163.28	114.36	90.77	58.3	37.32	56.28	52.08	63.45	47.5	98.04	178.77
SLC38A10	638.15	674.59	785.88	764.36	559.28	884.29	616.37	1088.92	1183.45	2061.24	2303.12	1806.78	1242.34	1639.59	1081.39	1407.55	1159.07	1529.73	1104.13	890.44	1233.75	1561.89	733.19	941.27	265.87	769.69	660.68	802.41	1073.91	444.72	414.87	450.94	575.03	371.22	775.05	403.5
SMG9	607.87	559.28	486.75	579.04	336.79	466.88	441.64	848.22	1044.52	1304.15	1359.57	902.89	842.36	1066.48	470.14	974.5	483.38	1417.35	583.07	497.0	633.73	791.35	356.05	241.19	150.17	583.07	312.0	379.04	191.67	135.24	152.28	177.53	158.79	172.65	285.03	231.32
SPATA33	170.25	253.23	171.45	162.14	158.79	244.57	90.77	166.73	90.77	466.88	358.54	136.19	181.28	228.13	145.02	194.36	138.1	327.56	239.52	176.29	165.57	197.09	87.65	63.0	86.43	66.18	101.54	87.03	48.87	111.99	171.45	73.54	96.68	70.01	167.9	66.18
SPRN	32.59	78.89	22.59	18.97	19.53	28.65	19.25	95.34	87.65	363.56	151.22	139.07	82.29	103.69	63.0	146.03	59.97	178.77	89.51	111.99	89.51	128.79	16.63	26.86	6.62	29.91	20.26	19.53	16.51	4.13	15.45	15.11	21.47	19.68	24.63	12.27
SPTBN5	34.51	27.84	86.43	88.26	103.69	109.66	89.51	120.94	119.26	123.5	159.9	332.14	151.22	153.34	61.25	248.0	75.11	217.27	151.22	117.6	218.79	148.09	30.78	39.79	40.64	37.05	42.11	22.26	21.78	27.84	44.89	82.29	86.43	42.71	130.6	17.13
SRSF6	1225.22	2224.63	1437.15	2178.83	1378.57	1427.22	1233.75	3564.78	1242.34	2915.45	3928.15	3103.19	1628.26	2777.33	3168.41	3467.27	2335.28	3820.7	2335.28	3081.75	2796.65	3614.55	1369.04	1331.57	1685.71	1977.24	1806.78	1159.07	1781.89	1143.1	1001.93	1111.82	1151.06	928.3	1745.2	1015.93
STX1A	61.68	43.02	128.79	241.19	27.05	198.47	49.21	142.01	64.34	277.2	138.1	144.01	65.72	155.5	63.45	130.6	64.34	265.87	73.03	82.29	62.56	75.11	33.3	21.16	18.16	56.68	59.13	30.56	34.02	18.03	14.24	15.11	17.38	5.36	63.0	144.01
SULT1A3	466.88	358.54	234.57	591.22	341.51	297.17	181.28	941.27	503.95	2915.45	1844.76	1304.15	693.58	954.43	435.55	743.43	470.14	1529.73	928.3	713.11	555.41	1008.9	143.01	136.19	13.83	102.97	165.57	81.71	147.06	13.93	65.26	105.89	59.97	173.85	86.43	224.97
SUPT7L	327.56	463.65	583.07	665.29	571.05	836.53	426.57	669.92	486.75	1111.82	921.88	738.29	486.75	693.58	599.49	703.28	563.18	1023.0	514.56	616.37	669.92	723.08	291.04	341.51	223.41	353.59	323.03	297.17	279.14	267.73	291.04	253.23	287.01	281.09	336.79	361.04
SURF6	267.73	825.0	595.34	571.05	417.77	647.07	447.82	713.11	563.18	748.61	791.35	723.08	518.15	785.88	447.82	543.96	490.14	967.76	587.13	525.39	599.49	567.1	400.71	441.64	176.29	476.71	438.59	447.82	297.17	251.48	314.17	206.94	307.69	343.89	368.65	61.68
SYMPK	981.29	1183.45	1250.98	1151.06	896.64	1159.07	848.22	1015.93	1304.15	2104.58	1819.35	1350.18	1233.75	1477.58	866.07	1572.76	947.83	1857.6	1295.13	1001.93	1023.0	1397.83	764.36	796.86	339.14	759.08	764.36	872.1	438.59	387.02	684.02	571.05	567.1	583.07	860.08	432.53
TAZ	414.87	521.76	1001.93	1159.07	674.59	848.22	825.0	915.51	909.17	2915.45	1639.59	1697.45	1044.52	1519.15	796.86	1350.18	665.29	1909.85	848.22	1242.34	884.29	1127.35	346.29	361.04	287.01	409.15	348.71	353.59	249.73	104.42	346.29	312.0	277.2	264.03	493.56	251.48
TCP10L	24.99	0.0	10.63	10.24	10.0	7.82	7.06	24.28	17.9	52.45	34.02	23.76	3.32	21.47	7.94	15.0	9.56	18.97	14.24	6.01	18.56	20.86	11.3	5.5	4.06	11.13	3.53	4.13	5.92	1.39	1.45	0.12	7.28	2.01	3.59	1.57
TMEM249	2.53	1.14	17.13	16.51	10.71	13.22	5.28	9.78	5.19	22.26	26.86	13.03	5.68	14.45	6.73	6.41	5.15	24.81	10.55	11.82	3.66	12.36	0.97	1.95	0.0	3.59	2.68	1.48	1.71	0.91	0.0	0.0	2.32	3.35	1.66	0.8
TMEM81	49.21	45.21	50.63	57.49	37.32	41.81	40.93	115.97	76.71	133.36	145.02	128.79	52.45	80.01	52.82	79.45	35.76	108.14	96.01	53.19	58.71	81.14	25.17	30.12	14.14	31.22	24.63	31.67	26.28	11.82	33.3	31.67	29.27	43.02	22.92	8.85
TOP3B	221.86	287.01	525.39	429.54	500.46	536.45	371.22	583.07	507.46	1745.2	842.36	848.22	483.38	624.99	432.53	872.1	559.28	1037.29	438.59	638.15	579.04	718.08	183.82	193.01	138.1	295.11	221.86	166.73	95.34	67.59	133.36	166.73	134.3	116.78	224.97	90.14
TRAF1	23.93	40.64	134.3	120.94	101.54	139.07	195.72	127.89	165.57	299.25	167.9	127.0	132.44	175.07	105.89	198.47	100.13	273.37	80.01	176.29	178.77	145.02	18.29	31.22	9.78	47.84	31.45	32.82	29.06	27.44	29.48	23.76	22.26	5.77	69.03	68.55
TRMT1	251.48	759.08	988.12	866.07	718.08	1313.23	796.86	928.3	808.0	2047.0	1561.89	1340.84	612.11	974.5	551.56	1119.56	896.64	2303.12	708.18	961.07	825.0	884.29	356.05	351.14	256.78	463.65	325.29	373.81	287.01	279.14	277.2	265.87	295.11	303.44	417.77	110.43
TRMU	361.04	470.14	808.0	718.08	684.02	764.36	669.92	769.69	878.17	1183.45	1059.11	967.76	921.88	1199.98	595.34	988.12	633.73	1044.52	902.89	785.88	909.17	902.89	444.72	248.0	314.17	414.87	356.05	332.14	293.07	124.37	320.8	267.73	186.4	190.34	341.51	169.07
TTLL4	248.0	346.29	595.34	583.07	500.46	620.67	420.68	733.19	511.0	836.53	995.0	620.67	595.34	802.41	486.75	808.0	457.25	1023.0	457.25	389.72	423.61	733.19	285.03	241.19	111.99	432.53	236.21	224.97	221.86	120.94	341.51	234.57	201.25	159.9	406.31	291.04
TXLNA	334.46	414.87	802.41	764.36	688.78	848.22	629.35	848.22	688.78	961.07	974.5	769.69	738.29	808.0	748.61	603.67	624.99	759.08	688.78	620.67	723.08	995.0	624.99	607.87	289.02	785.88	633.73	656.11	409.15	325.29	389.72	674.59	503.95	336.79	493.56	145.02
UBQLN4	599.49	638.15	1030.12	825.0	780.44	723.08	860.08	1295.13	848.22	1250.98	1242.34	1151.06	796.86	1242.34	830.75	1059.11	941.27	1407.55	878.17	813.63	909.17	1151.06	825.0	624.99	336.79	836.53	551.56	796.86	438.59	473.41	571.05	547.75	674.59	693.58	748.61	279.14
USP35	70.51	39.5	220.32	153.34	172.65	236.21	139.07	198.47	96.01	248.0	248.0	285.03	113.56	198.47	100.83	197.09	137.14	258.57	96.68	172.65	102.25	142.01	111.99	86.43	45.21	110.43	87.65	62.12	27.64	31.9	76.71	110.43	67.59	71.0	72.52	31.22
ZBTB48	928.3	633.73	444.72	529.06	341.51	389.72	518.15	400.71	813.63	896.64	890.44	896.64	860.08	995.0	525.39	764.36	493.56	830.75	854.13	438.59	612.11	748.61	346.29	486.75	309.83	423.61	343.89	297.17	384.34	194.36	229.72	403.5	212.78	223.41	368.65	226.54
ZNF692	555.41	629.35	1191.69	1322.37	1208.34	1551.09	1277.29	1781.89	1628.26	3443.31	2537.92	2682.69	1617.0	2004.85	1119.56	2209.26	954.43	3235.01	1417.35	1950.0	1651.0	2047.0	318.57	267.73	161.02	536.45	447.82	206.94	198.47	84.63	202.66	150.17	169.07	139.07	457.25	115.97
ZNF74	66.65	59.97	143.01	148.09	117.6	133.36	121.79	232.94	162.14	195.72	232.94	177.53	144.01	205.5	121.79	170.25	94.01	258.57	169.07	120.1	139.07	199.85	143.01	94.01	52.45	124.37	75.64	94.67	37.85	62.56	75.64	79.45	75.64	41.81	111.21	19.39
