	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.144GN.0426.SM.5O9AP	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.RVPV.1726.SM.5SI8C	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.11TT1.1626.SM.5EQL7	GTEX.145LU.0526.SM.5O9AT	GTEX.ZY6K.0326.SM.5SIBB	GTEX.PLZ6.0426.SM.5IFK2	GTEX.Q2AG.1026.SM.33HBW	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
ABHD11	0.47	769.69	507.46	1295.13	785.88	1304.15	1127.35	204.07	947.83	265.87	131.51	1081.39	819.3	860.08	595.34	186.4	638.15	713.11	267.73	791.35	764.36	361.04	480.04	1242.34	921.88	642.59	264.03	688.78	921.88	177.53	878.17	698.41	343.89	934.76	441.64	273.37
ACOT7	511.0	454.09	660.68	1519.15	796.86	1268.46	1467.37	603.67	1096.5	476.71	217.27	896.64	1023.0	1529.73	1044.52	454.09	684.02	1397.83	543.96	638.15	813.63	463.65	616.37	769.69	356.05	1073.91	248.0	688.78	1277.29	305.55	629.35	674.59	587.13	934.76	307.69	629.35
ACY1	0.13	669.92	848.22	1340.84	813.63	1143.1	1051.79	366.09	808.0	155.5	126.12	1081.39	995.0	890.44	791.35	366.09	629.35	902.89	384.34	318.57	836.53	297.17	473.41	651.58	406.31	1096.5	256.78	1175.27	1127.35	236.21	1340.84	1950.0	486.75	866.07	656.11	486.75
AIFM1	0.07	620.67	693.58	693.58	480.04	830.75	1073.91	215.77	651.58	314.17	258.57	656.11	753.83	780.44	571.05	283.05	656.11	988.12	366.09	503.95	563.18	314.17	575.03	476.71	466.88	896.64	293.07	1044.52	836.53	273.37	819.3	1066.48	486.75	780.44	497.0	514.56
AKR1A1	0.27	2627.46	3847.29	4704.07	2193.99	6745.86	7230.1	954.43	5006.93	2004.85	1397.83	5403.7	4607.24	5255.91	3847.29	1277.29	3257.52	5403.7	2148.82	3515.68	4639.29	2384.37	2915.45	2777.33	2935.74	5255.91	1508.65	7803.01	6607.01	2075.59	5555.65	6561.36	3443.31	4836.35	2555.58	2434.5
APEX1	0.48	2400.97	2875.3	4298.64	2061.24	3794.3	4066.71	2018.8	2224.63	1127.35	713.11	2367.9	3665.02	3820.7	2720.15	1477.58	2119.22	3018.3	1572.76	1651.0	2956.17	1909.85	2434.5	2335.28	2417.67	3690.52	1794.29	3716.2	4607.24	941.27	3768.09	5479.15	2090.03	3614.55	2148.82	2119.22
APEX2	339.14	285.03	318.57	463.65	236.21	406.31	483.38	220.32	325.29	159.9	197.09	389.72	400.71	507.46	334.46	142.01	265.87	414.87	163.28	170.25	409.15	155.5	242.88	251.48	242.88	371.22	177.53	490.14	368.65	159.9	361.04	483.38	366.09	303.44	269.6	368.65
APRT	0.61	2701.35	3742.05	6607.01	2018.8	6983.79	6516.03	2004.85	2627.46	2061.24	1183.45	4607.24	5292.48	5441.3	3639.7	988.12	2434.5	4010.71	2915.45	2796.65	2796.65	1936.53	2976.74	4038.61	2935.74	4607.24	1781.89	3349.13	6745.86	1295.13	5831.91	8247.98	1977.24	4769.75	2104.58	2209.26
ARPC1A	1081.39	2367.9	3212.66	3443.31	1963.57	3303.0	4181.07	878.17	2935.74	1437.15	1313.23	3491.39	3081.75	3443.31	2351.53	1023.0	3103.19	3491.39	1909.85	1870.53	2976.74	1963.57	2335.28	2485.67	2193.99	3349.13	1044.52	2976.74	3928.15	1561.89	3372.43	3768.09	2451.44	2573.36	2075.59	2609.3
ARPC1B	0.87	5872.48	11345.82	13586.57	5292.48	17804.06	17804.06	3349.13	9474.59	3665.02	3124.78	11584.24	13681.08	16157.44	11035.54	1674.06	7485.11	17558.94	5913.33	7280.4	16496.96	5255.91	8901.53	6207.38	4239.45	17558.94	3124.78	15075.35	14361.31	3372.43	11909.94	16383.0	6294.04	10440.2	8363.13	8778.97
