	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.Y111.1826.SM.4SOIR	GTEX.P4QT.0626.SM.3NMCP	GTEX.XQ8I.1526.SM.4BOOH	GTEX.RNOR.1326.SM.48FDE	GTEX.13YAN.2026.SM.5Q5EY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.ZYY3.1626.SM.5EGJF	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7242.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	TCGA.BP.4988.01A.01R.1334.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
SUPT5H	1487.87	2915.45	2537.92	2047.0	2119.22	2178.83	2895.31	2287.2	2451.44	2193.99	1832.01	2193.99	2591.27	2335.28	2319.15	1769.57	2573.36	2090.03	2367.9	2591.27	3081.75	2682.69	2664.15	1781.89	1832.01	1697.45	1721.16	954.43	1745.2	1427.22	1896.65	1909.85	4066.71	599.49	1304.15	1225.22	1721.16	1437.15	1378.57	1127.35
TAOK2	303.44	679.29	587.13	708.18	679.29	525.39	688.78	563.18	540.19	551.56	583.07	688.78	599.49	559.28	866.07	629.35	1331.57	638.15	738.29	1127.35	1277.29	1397.83	1199.98	389.72	473.41	412.0	432.53	161.02	361.04	460.44	441.64	432.53	1250.98	137.14	444.72	381.68	358.54	279.14	289.02	279.14
TBRG1	186.4	438.59	483.38	470.14	521.76	441.64	591.22	438.59	511.0	339.14	348.71	432.53	423.61	543.96	813.63	473.41	981.29	688.78	514.56	921.88	1417.35	1104.13	1066.48	423.61	293.07	389.72	381.68	363.56	379.04	417.77	376.41	346.29	1135.2	232.94	253.23	279.14	293.07	205.5	170.25	197.09
TCIRG1	629.35	1806.78	2855.44	2271.4	3742.05	2537.92	2664.15	4836.35	2739.08	3491.39	2075.59	3515.68	4450.27	4210.15	4038.61	1639.59	4802.93	2209.26	1359.57	4066.71	5006.93	4268.94	4543.8	583.07	1407.55	961.07	497.0	376.41	271.48	1111.82	1208.34	896.64	4869.99	251.48	444.72	974.5	642.59	583.07	373.81	305.55
TMEM234	221.86	532.74	447.82	395.18	599.49	348.71	441.64	460.44	514.56	466.88	414.87	616.37	536.45	497.0	529.06	384.34	466.88	363.56	460.44	660.68	387.02	536.45	656.11	221.86	275.28	212.78	215.77	293.07	232.94	327.56	316.37	239.52	791.35	131.51	105.15	201.25	202.66	193.01	186.4	113.56
TRAF5	10.55	620.67	665.29	166.73	327.56	44.89	497.0	131.51	134.3	166.73	57.49	81.71	251.48	305.55	426.57	119.26	1331.57	183.82	169.07	1167.14	1259.69	1477.58	947.83	46.84	40.07	41.22	44.25	21.63	21.63	34.26	48.18	26.67	1561.89	10.24	17.77	23.08	26.86	17.64	22.26	11.21
UBR1	33.06	202.66	118.43	99.43	156.59	108.14	176.29	100.83	157.68	112.77	87.03	82.87	190.34	108.9	271.48	77.25	185.11	151.22	115.16	211.31	289.02	260.38	201.25	141.02	73.54	79.45	106.63	38.12	87.65	115.97	75.11	85.82	190.34	62.56	68.55	85.22	62.12	47.17	64.8	65.26
USF1	713.11	1950.0	1388.16	1208.34	1572.76	928.3	1119.56	1143.1	1167.14	1208.34	1104.13	1733.13	1242.34	2119.22	1268.46	866.07	1628.26	1277.29	1015.93	1529.73	2319.15	1359.57	1519.15	466.88	521.76	612.11	599.49	591.22	559.28	612.11	836.53	536.45	2875.3	366.09	521.76	536.45	403.5	532.74	441.64	503.95
USP48	486.75	967.76	579.04	503.95	723.08	473.41	713.11	441.64	688.78	674.59	591.22	470.14	514.56	629.35	780.44	599.49	759.08	854.13	595.34	723.08	1096.5	830.75	595.34	571.05	447.82	426.57	454.09	395.18	307.69	470.14	395.18	361.04	854.13	249.73	356.05	265.87	414.87	312.0	395.18	273.37
VPS16	327.56	896.64	842.36	743.43	769.69	728.11	693.58	785.88	718.08	583.07	642.59	698.41	620.67	921.88	713.11	684.02	902.89	785.88	665.29	860.08	1313.23	1119.56	1044.52	518.15	656.11	583.07	476.71	426.57	406.31	480.04	688.78	536.45	1183.45	334.46	511.0	423.61	555.41	339.14	400.71	417.77
ZBTB26	35.5	181.28	118.43	65.26	90.77	53.95	124.37	59.55	105.15	77.79	67.12	71.5	115.97	102.97	123.5	52.45	167.9	94.01	106.63	178.77	205.5	204.07	182.55	48.87	36.53	27.44	41.52	29.7	13.83	48.18	37.85	25.72	163.28	19.82	20.56	21.32	41.22	21.94	21.63	17.64
ZBTB40	41.81	334.46	126.12	163.28	173.85	113.56	241.19	150.17	145.02	182.55	117.6	118.43	86.43	125.24	202.66	151.22	295.11	185.11	127.89	269.6	285.03	223.41	246.28	115.97	103.69	70.01	81.14	34.02	41.22	92.05	82.29	88.88	332.14	31.0	75.11	49.56	63.0	98.04	53.57	48.87
ZFYVE16	127.89	476.71	297.17	199.85	248.0	228.13	327.56	163.28	277.2	305.55	241.19	264.03	291.04	301.33	312.0	218.79	371.22	232.94	277.2	412.0	387.02	466.88	473.41	256.78	202.66	185.11	224.97	198.47	151.22	251.48	166.73	161.02	441.64	159.9	114.36	144.01	138.1	117.6	98.73	136.19
ZNF182	20.86	84.63	97.36	50.98	78.34	40.07	103.69	54.33	69.52	75.64	45.85	42.41	70.01	81.71	120.94	45.21	173.85	77.79	65.72	172.65	217.27	173.85	189.02	32.36	29.7	31.0	36.27	20.56	15.34	36.53	40.93	27.64	242.88	14.89	16.03	14.35	31.9	16.88	22.59	17.0
ZNF224	61.68	438.59	423.61	234.57	325.29	163.28	555.41	234.57	253.23	186.4	224.97	169.07	241.19	255.0	450.94	199.85	674.59	343.89	234.57	575.03	884.29	616.37	713.11	157.68	85.82	72.52	101.54	67.12	44.89	108.14	85.82	62.12	1023.0	30.12	55.89	21.47	57.49	45.85	49.56	26.67
ZNF444	438.59	651.58	633.73	409.15	616.37	205.5	559.28	497.0	299.25	497.0	389.72	463.65	353.59	583.07	708.18	429.54	1407.55	476.71	583.07	1331.57	981.29	878.17	928.3	180.02	246.28	218.79	202.66	115.97	211.31	197.09	209.84	195.72	595.34	94.67	96.01	154.42	329.84	137.14	199.85	182.55
ZNF546	8.19	63.89	30.12	19.25	19.53	5.45	41.22	21.16	18.03	20.71	16.51	14.35	13.62	27.25	35.25	10.08	117.6	21.63	32.13	83.45	86.43	122.64	98.04	9.41	21.01	11.47	12.64	9.78	4.82	8.65	11.55	6.31	137.14	8.32	9.48	5.41	17.9	6.78	5.5	3.56
ZNF764	65.26	171.45	65.72	88.26	109.66	69.52	74.06	62.12	76.17	116.78	69.03	70.01	87.03	84.04	146.03	82.29	159.9	180.02	120.1	156.59	150.17	161.02	162.14	61.25	57.89	72.52	77.79	29.7	49.91	48.52	63.0	85.22	134.3	34.75	67.59	63.45	68.07	34.75	53.57	29.91
ZNF814	70.51	283.05	305.55	173.85	218.79	130.6	373.81	211.31	150.17	271.48	180.02	206.94	214.27	214.27	291.04	195.72	480.04	190.34	351.14	463.65	483.38	301.33	497.0	71.5	100.83	64.34	83.45	39.5	119.26	146.03	108.9	51.71	796.86	22.1	21.78	32.59	116.78	64.8	61.25	26.28
ZSCAN30	108.14	287.01	232.94	137.14	157.68	94.01	162.14	118.43	141.02	165.57	153.34	120.1	119.26	156.59	291.04	121.79	514.56	153.34	202.66	595.34	638.15	511.0	599.49	102.25	124.37	73.03	75.64	85.22	56.68	105.15	92.7	63.89	490.14	36.79	41.52	43.63	90.77	46.18	55.89	25.91
