	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.Y111.1826.SM.4SOIR	GTEX.P4QT.0626.SM.3NMCP	GTEX.XQ8I.1526.SM.4BOOH	GTEX.RNOR.1326.SM.48FDE	GTEX.13YAN.2026.SM.5Q5EY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.ZYY3.1626.SM.5EGJF	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7242.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	TCGA.BP.4988.01A.01R.1334.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CSAD	361.04	2178.83	616.37	769.69	599.49	307.69	947.83	607.87	884.29	947.83	941.27	759.08	476.71	1259.69	1540.37	848.22	2895.31	954.43	1286.18	2591.27	2664.15	2835.7	2796.65	409.15	117.6	190.34	133.36	88.26	101.54	204.07	173.85	109.66	2777.33	8.45	94.67	102.97	111.99	74.58	64.8	45.53
CYB5D1	91.41	381.68	195.72	248.0	218.79	212.78	251.48	185.11	258.57	297.17	226.54	236.21	146.03	228.13	249.73	171.45	341.51	193.01	293.07	420.68	246.28	299.25	511.0	173.85	112.77	143.01	165.57	100.83	149.12	127.0	180.02	166.73	454.09	79.45	98.73	171.45	187.71	80.01	90.77	95.34
DDX17	2271.4	7382.04	4836.35	5112.16	5255.91	3419.52	6250.56	4239.45	5147.73	5633.22	4512.4	4512.4	5995.9	4704.07	9025.81	4736.79	11424.74	6121.9	6652.97	12764.83	14262.1	13968.57	12502.12	3901.01	2075.59	3190.46	3639.7	2178.83	1508.65	2855.44	2400.97	1806.78	12076.21	995.0	2047.0	1467.37	2367.9	1697.45	1923.14	1233.75
DMTF1	271.48	2627.46	1051.79	928.3	1369.04	718.08	1936.53	647.07	1427.22	1119.56	1008.9	819.3	878.17	1844.76	1733.13	748.61	2255.7	981.29	1175.27	2701.35	2520.38	2758.13	2915.45	514.56	193.01	271.48	285.03	172.65	153.34	336.79	264.03	185.11	2573.36	56.28	189.02	193.01	211.31	140.04	115.97	128.79
DMXL2	44.57	693.58	307.69	161.02	409.15	172.65	607.87	167.9	325.29	332.14	199.85	249.73	323.03	497.0	599.49	95.34	872.1	251.48	223.41	902.89	928.3	1167.14	878.17	130.6	90.77	94.67	74.06	39.22	32.13	89.51	53.19	59.97	1088.92	50.27	31.9	35.5	46.18	23.76	45.53	25.17
DPH1	180.02	995.0	507.46	1008.9	684.02	656.11	753.83	890.44	764.36	842.36	753.83	723.08	387.02	748.61	830.75	785.88	1519.15	872.1	842.36	1896.65	2351.53	1551.09	1662.49	518.15	473.41	466.88	435.55	258.57	403.5	314.17	417.77	406.31	2004.85	153.34	305.55	358.54	441.64	271.48	343.89	289.02
EFHC1	78.89	351.14	339.14	175.07	277.2	69.52	183.82	156.59	234.57	255.0	178.77	244.57	297.17	262.2	336.79	142.01	954.43	327.56	217.27	493.56	665.29	371.22	514.56	142.01	77.79	92.05	86.43	70.51	35.25	117.6	187.71	51.35	607.87	18.29	71.0	27.84	75.64	35.0	67.12	58.3
FAM122C	40.64	119.26	84.04	49.21	103.69	17.38	77.25	42.11	90.77	41.52	59.13	60.82	66.65	76.17	84.04	39.5	193.01	62.12	62.56	214.27	129.69	209.84	153.34	28.45	56.68	39.5	29.06	58.3	22.59	66.18	49.56	27.84	111.21	20.11	26.28	26.1	46.84	28.24	25.54	11.3
FAM168A	94.01	279.14	127.89	205.5	242.88	129.69	211.31	209.84	169.07	183.82	133.36	162.14	187.71	358.54	267.73	159.9	466.88	201.25	187.71	444.72	323.03	420.68	414.87	187.71	169.07	118.43	150.17	58.3	95.34	185.11	131.51	147.06	275.28	110.43	77.25	81.14	137.14	92.05	129.69	43.02
FIZ1	111.99	435.55	226.54	241.19	267.73	194.36	249.73	271.48	244.57	299.25	158.79	244.57	198.47	297.17	277.2	221.86	412.0	283.05	301.33	438.59	318.57	264.03	412.0	195.72	178.77	197.09	189.02	65.26	134.3	157.68	208.38	183.82	195.72	111.21	109.66	94.01	214.27	153.34	204.07	134.3
GON4L	221.86	1030.12	540.19	493.56	595.34	320.8	616.37	387.02	536.45	587.13	406.31	368.65	429.54	503.95	651.58	406.31	780.44	583.07	450.94	679.29	1151.06	954.43	780.44	353.59	242.88	239.52	236.21	119.26	190.34	279.14	229.72	206.94	1135.2	86.43	199.85	161.02	180.02	228.13	186.4	110.43
GTF2IRD2	92.7	599.49	108.9	303.44	447.82	262.2	241.19	343.89	660.68	379.04	297.17	307.69	305.55	713.11	366.09	412.0	1030.12	521.76	389.72	802.41	1572.76	934.76	718.08	255.0	232.94	267.73	172.65	162.14	115.16	151.22	361.04	121.79	532.74	77.79	143.01	42.41	84.04	224.97	80.01	87.65
HEXDC	253.23	1001.93	397.93	540.19	713.11	289.02	503.95	551.56	713.11	656.11	466.88	476.71	500.46	1044.52	1008.9	409.15	1191.69	1183.45	902.89	1397.83	1119.56	954.43	981.29	381.68	271.48	327.56	231.32	146.03	189.02	251.48	323.03	206.94	1304.15	145.02	153.34	373.81	343.89	185.11	262.2	164.42
HMGXB3	234.57	1111.82	305.55	309.83	318.57	348.71	346.29	281.09	249.73	406.31	249.73	237.86	251.48	305.55	483.38	234.57	379.04	669.92	320.8	301.33	624.99	507.46	343.89	224.97	231.32	223.41	181.28	94.01	241.19	232.94	246.28	195.72	802.41	114.36	162.14	297.17	214.27	181.28	229.72	158.79
INTS4	336.79	511.0	417.77	395.18	426.57	379.04	450.94	409.15	476.71	389.72	373.81	607.87	493.56	460.44	450.94	373.81	532.74	463.65	429.54	665.29	616.37	684.02	603.67	309.83	316.37	376.41	325.29	189.02	256.78	423.61	346.29	343.89	802.41	173.85	239.52	218.79	178.77	260.38	211.31	214.27
IRF3	1322.37	3419.52	2739.08	1594.73	1936.53	1628.26	1936.53	2224.63	2627.46	1697.45	1208.34	2018.8	2271.4	2796.65	1870.53	1208.34	2400.97	1605.83	2032.85	2255.7	2701.35	2032.85	2555.58	1159.07	961.07	1477.58	896.64	693.58	860.08	974.5	1359.57	1119.56	3589.58	381.68	830.75	1498.22	928.3	723.08	665.29	665.29
ITGA1	13.22	351.14	339.14	283.05	236.21	151.22	400.71	312.0	226.54	260.38	50.63	251.48	500.46	309.83	463.65	104.42	961.07	152.28	361.04	1277.29	1277.29	1651.0	713.11	23.93	32.82	18.7	28.86	17.13	14.56	24.11	10.16	24.81	1143.1	8.32	47.84	18.7	23.59	15.11	10.47	3.99
KIAA1841	242.88	529.06	457.25	158.79	231.32	94.01	273.37	49.91	198.47	341.51	226.54	220.32	224.97	441.64	371.22	242.88	547.75	249.73	381.68	480.04	447.82	507.46	563.18	130.6	125.24	90.77	114.36	173.85	40.93	149.12	157.68	78.34	629.35	114.36	141.02	83.45	115.16	53.19	79.45	112.77
LRP2BP	7.22	46.18	30.78	19.53	30.34	6.46	42.71	8.45	25.72	21.63	13.12	13.62	10.88	49.91	31.45	5.5	154.42	15.68	25.72	147.06	102.25	89.51	116.78	12.18	5.11	5.45	6.67	5.41	4.94	5.28	5.92	4.58	103.69	2.05	4.66	10.88	4.35	3.26	6.94	3.82
LUC7L	444.72	2148.82	1191.69	775.05	1167.14	941.27	1216.75	1015.93	1304.15	1051.79	967.76	1175.27	1295.13	1417.35	1583.71	759.08	3515.68	1529.73	1277.29	3124.78	3540.14	3146.52	2555.58	684.02	329.84	764.36	591.22	423.61	389.72	540.19	688.78	392.44	4210.15	176.29	312.0	536.45	466.88	215.77	279.14	423.61
MCM3AP	409.15	1388.16	836.53	974.5	934.76	872.1	941.27	802.41	915.51	961.07	775.05	791.35	723.08	728.11	1313.23	1081.39	1639.59	1167.14	819.3	1583.71	1832.01	1242.34	1359.57	848.22	579.04	688.78	642.59	299.25	620.67	575.03	769.69	759.08	1417.35	277.2	587.13	536.45	723.08	470.14	620.67	389.72
MDM4	84.63	429.54	221.86	215.77	256.78	151.22	339.14	125.24	256.78	244.57	198.47	239.52	190.34	264.03	441.64	218.79	563.18	248.0	395.18	476.71	713.11	571.05	536.45	181.28	93.35	92.7	63.89	88.88	51.35	108.9	75.64	65.72	988.12	13.93	68.07	67.59	63.89	51.35	45.85	29.7
MECP2	255.0	454.09	532.74	417.77	470.14	381.68	420.68	454.09	511.0	392.44	332.14	339.14	454.09	473.41	441.64	406.31	703.28	414.87	432.53	660.68	780.44	647.07	591.22	295.11	318.57	353.59	299.25	244.57	212.78	316.37	329.84	323.03	595.34	175.07	173.85	275.28	248.0	258.57	209.84	167.9
MICAL1	130.6	1313.23	836.53	432.53	860.08	518.15	525.39	624.99	312.0	351.14	429.54	392.44	480.04	532.74	819.3	563.18	1081.39	825.0	620.67	1304.15	1191.69	819.3	890.44	447.82	119.26	185.11	249.73	81.71	187.71	205.5	140.04	122.64	2956.17	180.02	176.29	277.2	251.48	134.3	134.3	103.69
MSANTD2	77.25	323.03	142.01	124.37	146.03	59.97	205.5	98.73	145.02	116.78	116.78	114.36	111.99	177.53	258.57	112.77	414.87	189.02	262.2	351.14	414.87	420.68	406.31	88.88	43.94	61.25	73.03	43.32	37.59	80.01	56.68	39.79	400.71	15.91	29.06	39.22	42.41	31.0	27.05	34.02
MYO15A	7.94	45.53	21.01	33.78	73.03	9.63	10.96	18.97	19.97	17.25	25.35	21.01	19.39	41.22	46.84	14.45	91.41	51.35	24.99	89.51	108.14	67.12	110.43	3.5	7.46	1.69	6.57	0.8	4.17	6.52	4.46	5.87	46.5	1.22	1.2	1.6	3.59	1.1	2.29	1.75
MYO9B	1081.39	1617.0	884.29	1208.34	1572.76	1572.76	1617.0	1519.15	1073.91	1378.57	934.76	1397.83	1529.73	1963.57	1572.76	1030.12	2104.58	1427.22	1259.69	1662.49	1950.0	1651.0	1963.57	674.59	775.05	764.36	543.96	232.94	420.68	708.18	890.44	684.02	3540.14	426.57	473.41	1051.79	551.56	518.15	525.39	373.81
NBPF11	164.42	529.06	283.05	251.48	293.07	111.99	241.19	232.94	232.94	279.14	262.2	194.36	141.02	264.03	353.59	237.86	748.61	325.29	392.44	693.58	551.56	620.67	521.76	285.03	186.4	197.09	182.55	105.89	79.45	232.94	218.79	142.01	1001.93	64.8	128.79	74.58	114.36	108.14	123.5	94.67
NEURL4	176.29	878.17	320.8	503.95	536.45	318.57	529.06	447.82	450.94	521.76	447.82	511.0	305.55	543.96	708.18	412.0	1183.45	521.76	703.28	1104.13	1073.91	884.29	872.1	267.73	171.45	217.27	177.53	62.56	131.51	226.54	256.78	177.53	934.76	57.89	145.02	114.36	166.73	151.22	162.14	96.01
NID1	47.17	2133.97	417.77	595.34	466.88	366.09	703.28	638.15	1350.18	941.27	78.89	381.68	327.56	454.09	1216.75	127.0	981.29	878.17	583.07	1378.57	4736.79	2384.37	1870.53	84.63	129.69	91.41	43.94	21.16	59.97	62.12	16.03	91.41	1259.69	141.02	37.32	33.3	167.9	18.43	47.5	96.01
NKTR	271.48	1159.07	902.89	575.03	854.13	361.04	1313.23	466.88	848.22	612.11	665.29	612.11	688.78	941.27	1685.71	638.15	1685.71	1119.56	860.08	1896.65	2209.26	2976.74	1819.35	366.09	131.51	152.28	215.77	77.25	61.25	237.86	176.29	119.26	1781.89	22.75	151.22	82.87	93.35	114.36	94.67	63.89
NME9	2.2	13.93	8.06	6.62	12.09	2.63	13.52	8.0	9.7	9.93	7.06	8.06	10.79	11.55	28.45	6.62	14.45	22.1	14.03	23.42	20.56	23.59	31.45	5.23	1.71	1.11	2.23	0.71	0.0	2.53	21.78	2.66	44.57	0.59	1.75	3.79	2.51	2.66	1.48	0.52
NOL9	72.52	264.03	132.44	181.28	198.47	202.66	182.55	166.73	249.73	208.38	164.42	146.03	136.19	183.82	163.28	155.5	220.32	187.71	167.9	206.94	283.05	231.32	181.28	158.79	77.25	140.04	103.69	50.27	102.25	99.43	127.0	102.97	191.67	68.07	71.5	107.38	72.52	140.04	98.73	119.26
NUTM2D	38.12	118.43	72.52	63.89	87.65	13.72	64.34	66.65	53.95	63.0	47.5	57.49	17.64	103.69	94.01	54.72	281.09	91.41	61.25	153.34	136.19	169.07	127.89	44.89	48.87	45.21	4.7	6.31	24.46	55.49	62.12	23.08	87.03	21.47	20.56	14.03	34.26	27.25	34.51	4.94
PABPN1	1605.83	4671.57	3794.3	3168.41	4419.52	4152.18	3982.99	3794.3	4358.66	4010.71	3235.01	4388.98	4010.71	6121.9	3847.29	2682.69	6164.49	2895.31	3467.27	5791.62	5791.62	6294.04	5672.41	2240.11	1572.76	2591.27	1551.09	819.3	1104.13	1331.57	2255.7	1331.57	4450.27	785.88	1883.54	1233.75	1572.76	1467.37	1044.52	974.5
PAN2	343.89	3325.99	854.13	808.0	890.44	403.5	1359.57	607.87	967.76	688.78	743.43	624.99	651.58	1143.1	2061.24	836.53	2434.5	1127.35	1111.82	3103.19	3081.75	2555.58	3168.41	318.57	232.94	232.94	237.86	126.12	93.35	285.03	297.17	177.53	3515.68	67.59	182.55	172.65	226.54	98.73	144.01	64.8
PCED1A	392.44	1208.34	444.72	525.39	525.39	441.64	563.18	454.09	587.13	400.71	403.5	387.02	669.92	967.76	660.68	444.72	1233.75	890.44	764.36	1151.06	1001.93	1030.12	1529.73	253.23	312.0	305.55	163.28	187.71	182.55	305.55	305.55	241.19	2133.97	172.65	204.07	249.73	332.14	177.53	198.47	171.45
PCNXL4	163.28	500.46	336.79	218.79	299.25	211.31	381.68	206.94	387.02	309.83	264.03	205.5	318.57	406.31	339.14	226.54	490.14	255.0	346.29	483.38	397.93	595.34	457.25	297.17	176.29	206.94	244.57	158.79	165.57	283.05	187.71	167.9	723.08	187.71	134.3	198.47	187.71	186.4	149.12	154.42
