	TCGA.GU.A42P.01A.11R.A23W.07	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.BT.A20J.01A.11R.A14Y.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.LN.A8HZ.01A.11R.A36D.31	TCGA.L5.A88Z.01A.11R.A36D.31	GTEX.11NV4.1326.SM.5HL6V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13N11.0926.SM.5IJG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.131XE.0326.SM.5LZVO	GTEX.11DXZ.0126.SM.5EGGY	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07
ABAT	28.86	334.46	529.06	229.72	18.7	395.18	20.56	19.11	3190.46	17558.94	514.56	8538.88	5112.16	39237.98	20737.16	1135.2	29736.59	7280.4	10154.69	0.0
ABHD6	74.58	111.21	98.04	89.51	54.33	144.01	122.64	100.83	571.05	1388.16	1572.76	1540.37	395.18	1331.57	2417.67	229.72	521.76	3018.3	3168.41	0.0
ACAA2	1733.13	199.85	1498.22	723.08	1216.75	105.89	206.94	228.13	12160.22	41188.81	25708.25	73730.83	19754.96	36864.92	18560.17	3467.27	16727.26	18819.27	66449.85	0.0
ACADM	1015.93	253.23	511.0	603.67	5594.3	1242.34	242.88	237.86	4152.18	5954.47	3928.15	7331.05	3742.05	5954.47	3303.0	785.88	4298.64	3491.39	8538.88	0.0
ACBD5	669.92	217.27	417.77	267.73	307.69	813.63	180.02	209.84	583.07	974.5	466.88	1487.87	532.74	1529.73	1088.92	229.72	1369.04	848.22	1417.35	0.0
ACMSD	4.94	0.68	1.83	0.0	1.04	4.62	0.95	1.19	934.76	20451.65	896.64	7537.18	2875.3	7382.04	14971.21	1331.57	7130.55	6935.54	18689.27	0.0
ACO1	438.59	112.77	293.07	217.27	289.02	244.57	183.82	156.59	1427.22	5913.33	2004.85	5995.9	1359.57	4123.49	1487.87	1447.15	3443.31	3257.52	5594.3	0.0
ACTR3C	158.79	42.41	31.9	115.16	107.38	140.04	35.76	21.47	109.66	579.04	126.12	435.55	267.73	285.03	493.56	426.57	323.03	620.67	490.14	0.0
ADH5	3847.29	1388.16	1286.18	3614.55	3928.15	2935.74	4704.07	3901.01	5076.84	6699.25	7130.55	10808.41	4152.18	8778.97	7803.01	1662.49	10014.87	8134.41	8658.09	0.0
AGMAT	49.21	25.17	61.25	56.68	49.56	31.0	15.8	11.04	1407.55	1059.11	2855.44	3419.52	708.18	4152.18	995.0	37.32	1191.69	1977.24	2895.31	105.15
AGPAT3	1233.75	934.76	529.06	228.13	540.19	764.36	438.59	305.55	1259.69	1111.82	647.07	1651.0	1143.1	1437.15	1883.54	341.51	1437.15	1605.83	1769.57	493.56
AGXT2	0.58	0.0	0.0	0.0	0.68	0.99	0.0	0.27	1427.22	17197.56	130.6	4512.4	1242.34	9344.14	11584.24	1359.57	12764.83	1498.22	1963.57	0.0
AK4	67.59	63.45	119.26	417.77	48.87	48.18	480.04	218.79	1159.07	1519.15	941.27	4210.15	1044.52	3794.3	1295.13	414.87	2367.9	1794.29	10883.59	995.0
AL163636.6	283.05	0.0	43.94	8.0	33.3	85.22	18.43	49.56	1127.35	2609.3	435.55	5831.91	3820.7	5594.3	4704.07	1407.55	3395.89	4481.23	3820.7	0.0
ALDH6A1	361.04	42.71	217.27	141.02	90.14	164.42	70.51	49.91	2935.74	22692.63	1066.48	16727.26	2209.26	34396.12	9151.82	2240.11	23169.48	3820.7	23009.42	120.94
ALDH8A1	0.32	13.72	0.95	1.48	1.07	2.03	8.0	62.12	3690.52	16045.82	339.14	14971.21	1923.14	26067.14	13872.08	95.34	16960.78	7695.57	11664.82	0.0
AQP11	29.06	9.48	15.91	14.24	11.73	18.97	13.42	10.47	277.2	483.38	108.14	503.95	104.42	915.51	329.84	81.71	323.03	248.0	785.88	0.0
ATRN	438.59	226.54	463.65	212.78	208.38	414.87	303.44	376.41	460.44	842.36	616.37	1617.0	947.83	2400.97	1832.01	376.41	2209.26	1963.57	1447.15	0.0
ATXN7L1	115.97	94.67	130.6	128.79	181.28	50.98	126.12	130.6	248.0	167.9	98.73	262.2	130.6	181.28	183.82	57.08	256.78	154.42	206.94	0.0
BHMT2	1.51	8.13	38.95	9.06	3.17	7.06	12.74	24.28	12329.98	15607.02	7130.55	17317.18	9740.98	42641.37	9215.48	454.09	30785.28	12853.63	23169.48	0.0
C11orf54	595.34	185.11	299.25	129.69	287.01	599.49	153.34	175.07	1662.49	5479.15	1870.53	4419.52	1963.57	5147.73	5479.15	748.61	6207.38	1733.13	5517.27	0.0
C1orf115	387.02	50.27	108.9	70.51	116.78	135.24	99.43	75.64	1331.57	2224.63	988.12	3190.46	1111.82	2875.3	1936.53	507.46	2018.8	1781.89	3212.66	0.0
