	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WZTO.1726.SM.4PQYV	GTEX.VUSG.1026.SM.4KKZN	GTEX.11GSP.1726.SM.5A5LI	GTEX.11EI6.0826.SM.5985V	GTEX.117YW.0526.SM.5H11C	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.FY.A3WA.01A.11R.A22L.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.14753.0926.SM.5Q5BI	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13FTW.0626.SM.5IFEX
AAR2	341.51	361.04	503.95	417.77	336.79	348.71	460.44	540.19	323.03	532.74	358.54	638.15	441.64	579.04	400.71	412.0	395.18	389.72	647.07	514.56	486.75	656.11	587.13	656.11	656.11	656.11	624.99	764.36	567.1	381.68	346.29	642.59	713.11	571.05	323.03	660.68	674.59	441.64	620.67	595.34	559.28	406.31	612.11	679.29	743.43	387.02	713.11	575.03	620.67	579.04	708.18	620.67	518.15	503.95	514.56	457.25	665.29
ABT1	190.34	194.36	190.34	256.78	167.9	195.72	271.48	381.68	205.5	358.54	301.33	373.81	218.79	351.14	253.23	260.38	279.14	303.44	392.44	307.69	293.07	353.59	381.68	392.44	353.59	341.51	397.93	435.55	343.89	275.28	246.28	395.18	441.64	299.25	212.78	366.09	457.25	271.48	366.09	395.18	295.11	260.38	358.54	353.59	486.75	271.48	379.04	332.14	348.71	346.29	406.31	379.04	299.25	316.37	381.68	251.48	392.44
AIMP2	117.6	190.34	162.14	153.34	116.78	119.26	486.75	656.11	444.72	579.04	371.22	1259.69	518.15	1066.48	525.39	447.82	480.04	314.17	1151.06	591.22	642.59	909.17	1044.52	909.17	1143.1	921.88	878.17	1175.27	463.65	450.94	450.94	684.02	1104.13	674.59	285.03	995.0	1044.52	470.14	878.17	1066.48	1066.48	514.56	1268.46	896.64	1151.06	447.82	981.29	1051.79	1044.52	802.41	1044.52	995.0	620.67	514.56	583.07	567.1	1487.87
ALG14	17.77	27.44	25.91	16.51	60.82	40.64	194.36	124.37	108.14	279.14	93.35	237.86	301.33	208.38	98.73	135.24	68.55	92.05	277.2	79.45	122.64	153.34	139.07	125.24	211.31	215.77	214.27	194.36	186.4	82.29	44.89	177.53	189.02	193.01	83.45	212.78	242.88	96.68	209.84	146.03	211.31	143.01	289.02	163.28	125.24	114.36	255.0	178.77	170.25	133.36	166.73	159.9	147.06	111.99	111.99	193.01	173.85
C16orf91	166.73	163.28	209.84	185.11	111.99	169.07	223.41	295.11	258.57	325.29	265.87	444.72	262.2	312.0	205.5	236.21	201.25	205.5	305.55	206.94	283.05	341.51	341.51	327.56	403.5	320.8	358.54	392.44	241.19	262.2	183.82	327.56	454.09	343.89	199.85	412.0	466.88	236.21	289.02	412.0	366.09	267.73	336.79	366.09	470.14	265.87	392.44	279.14	435.55	320.8	417.77	381.68	332.14	346.29	299.25	316.37	483.38
C21orf33	941.27	1008.9	902.89	961.07	928.3	1096.5	1769.57	2133.97	1259.69	2682.69	1359.57	2739.08	2178.83	2384.37	1806.78	2303.12	1896.65	2032.85	2061.24	2075.59	2255.7	2645.74	2255.7	2520.38	2417.67	2417.67	2417.67	2451.44	1697.45	2335.28	1794.29	2271.4	2537.92	2645.74	1819.35	2163.77	2591.27	1794.29	2104.58	2682.69	2855.44	1977.24	2434.5	2485.67	2664.15	2061.24	2178.83	2209.26	2537.92	2209.26	2816.11	2591.27	2384.37	2367.9	2720.15	2537.92	2915.45
C2orf47	127.89	158.79	151.22	154.42	180.02	143.01	275.28	271.48	262.2	332.14	194.36	420.68	251.48	353.59	275.28	329.84	223.41	195.72	368.65	320.8	275.28	303.44	480.04	389.72	403.5	373.81	420.68	409.15	287.01	277.2	244.57	376.41	444.72	289.02	178.77	348.71	423.61	246.28	358.54	518.15	406.31	267.73	346.29	361.04	426.57	249.73	395.18	327.56	447.82	366.09	450.94	395.18	339.14	351.14	299.25	343.89	480.04
C6orf47	166.73	239.52	262.2	249.73	212.78	231.32	366.09	429.54	299.25	426.57	457.25	571.05	334.46	450.94	343.89	318.57	387.02	305.55	497.0	438.59	301.33	514.56	463.65	532.74	555.41	483.38	551.56	612.11	397.93	301.33	381.68	536.45	591.22	403.5	267.73	518.15	518.15	358.54	503.95	423.61	551.56	361.04	547.75	624.99	551.56	392.44	559.28	432.53	450.94	555.41	540.19	521.76	403.5	438.59	395.18	371.22	514.56
CCDC94	289.02	231.32	249.73	336.79	226.54	211.31	457.25	543.96	260.38	624.99	234.57	679.29	536.45	638.15	587.13	444.72	346.29	693.58	802.41	583.07	567.1	836.53	651.58	753.83	753.83	759.08	624.99	866.07	738.29	540.19	384.34	785.88	974.5	796.86	297.17	802.41	848.22	616.37	775.05	813.63	647.07	575.03	718.08	748.61	854.13	571.05	651.58	563.18	1059.11	660.68	848.22	769.69	708.18	563.18	698.41	551.56	848.22
CLP1	42.71	81.14	93.35	81.71	69.03	97.36	115.97	146.03	84.04	180.02	166.73	256.78	98.73	218.79	98.73	115.16	163.28	104.42	226.54	190.34	140.04	206.94	264.03	289.02	260.38	241.19	281.09	329.84	166.73	166.73	155.5	256.78	341.51	111.21	128.79	251.48	314.17	117.6	253.23	265.87	237.86	117.6	262.2	267.73	320.8	139.07	312.0	244.57	267.73	248.0	329.84	283.05	137.14	144.01	181.28	105.89	305.55
