	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.BQ.7058.01A.11R.1965.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.145MO.2326.SM.5NQ9K	TCGA.J8.A3YF.01A.12R.A23N.07	TCGA.FE.A238.01A.11R.A16R.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.BJ.A291.01A.11R.A16R.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.EL.A4KG.01A.11R.A250.07	GTEX.133LE.0326.SM.5P9G4	GTEX.RWS6.0626.SM.2XCAS	GTEX.OOBJ.2626.SM.2I3F6	GTEX.Q2AH.0726.SM.2I3EA	GTEX.Q734.0526.SM.2I3EH	GTEX.111YS.0726.SM.5GZY8	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13QBU.1626.SM.5LU4S
AC003002.6	13.72	0.0	3.41	0.0	0.0	0.0	9.2	10.08	13.52	4.54	10.63	0.0	3.99	0.0	11.04	21.63	21.16	18.97	12.93	15.91	7.17	0.0
AC139426.2	10.96	7.51	5.06	2.25	0.0	1.03	0.21	6.94	4.43	5.41	4.1	6.46	7.94	3.86	40.07	57.49	32.36	44.57	61.25	33.06	48.52	5.73
AKAP8	470.14	591.22	135.24	143.01	166.73	136.19	127.0	312.0	271.48	293.07	229.72	231.32	366.09	281.09	420.68	490.14	457.25	473.41	435.55	486.75	633.73	432.53
AL354808.2	0.21	3.5	2.53	0.0	0.0	0.0	2.53	2.63	0.0	6.06	0.0	2.63	4.35	5.06	3.59	4.58	5.68	5.06	3.35	6.21	6.21	1.1
ANKHD1	1066.48	1359.57	536.45	674.59	679.29	674.59	559.28	1208.34	1088.92	921.88	684.02	1208.34	1259.69	860.08	1313.23	2193.99	2193.99	1991.0	1685.71	1832.01	2384.37	1088.92
ARFGAP2	1427.22	1950.0	1066.48	1397.83	1331.57	1331.57	1216.75	1639.59	1733.13	1662.49	1540.37	1583.71	1519.15	1806.78	1697.45	2119.22	2485.67	2193.99	2104.58	1806.78	2255.7	1529.73
ARIH2	954.43	1340.84	307.69	490.14	387.02	486.75	403.5	872.1	1044.52	633.73	638.15	693.58	753.83	693.58	872.1	1757.34	1233.75	1832.01	1216.75	1540.37	1936.53	1167.14
ATP9B	332.14	447.82	251.48	206.94	162.14	164.42	167.9	363.56	273.37	371.22	267.73	356.05	339.14	376.41	348.71	441.64	518.15	438.59	406.31	518.15	575.03	363.56
BBS1	674.59	1044.52	718.08	148.09	126.12	150.17	133.36	647.07	656.11	665.29	878.17	674.59	764.36	607.87	915.51	1268.46	1757.34	1369.04	1208.34	1059.11	1268.46	842.36
BCORL1	120.94	108.9	70.01	30.34	39.79	23.42	24.46	102.97	167.9	88.88	78.34	96.01	120.94	102.25	212.78	145.02	293.07	187.71	312.0	197.09	190.34	121.79
BOD1	1331.57	1015.93	435.55	423.61	447.82	540.19	392.44	1199.98	1397.83	1313.23	813.63	954.43	1111.82	1088.92	1250.98	1529.73	1806.78	1286.18	2047.0	1467.37	2104.58	1066.48
BSN	6.78	13.22	8.58	18.56	7.34	5.32	4.24	6.41	6.78	3.03	4.54	3.86	4.98	3.53	6.52	6.67	13.12	10.08	10.08	15.68	15.34	8.32
BUD13	323.03	412.0	115.97	135.24	195.72	143.01	157.68	316.37	283.05	248.0	265.87	271.48	314.17	299.25	373.81	366.09	543.96	417.77	483.38	379.04	470.14	417.77
C12orf66	95.34	180.02	58.71	87.03	115.16	85.22	93.35	62.12	93.35	73.03	68.07	76.71	76.71	80.01	107.38	142.01	106.63	123.5	139.07	142.01	118.43	55.49
C16orf3	7.46	18.97	3.08	4.74	0.0	0.0	0.12	7.94	4.9	3.96	1.36	6.84	15.68	5.77	7.06	23.59	34.02	28.45	13.03	17.51	15.34	10.16
C1orf174	497.0	490.14	283.05	297.17	366.09	258.57	346.29	466.88	476.71	356.05	327.56	521.76	466.88	414.87	563.18	603.67	551.56	490.14	525.39	571.05	633.73	395.18
CARF	121.79	148.09	35.25	21.94	28.86	18.16	21.63	111.21	116.78	99.43	53.57	106.63	115.97	77.79	140.04	208.38	232.94	185.11	214.27	206.94	325.29	152.28
CBLB	536.45	647.07	57.49	38.12	124.37	92.7	145.02	246.28	215.77	229.72	285.03	244.57	248.0	231.32	414.87	599.49	265.87	420.68	426.57	450.94	587.13	361.04
CDC23	403.5	329.84	305.55	193.01	214.27	212.78	181.28	295.11	318.57	256.78	279.14	389.72	325.29	287.01	358.54	435.55	511.0	358.54	532.74	397.93	559.28	476.71
CRAMP1L	314.17	348.71	69.03	34.02	28.24	23.42	22.43	215.77	171.45	129.69	116.78	175.07	228.13	128.79	255.0	426.57	381.68	438.59	412.0	309.83	470.14	307.69
CREBBP	470.14	693.58	271.48	151.22	176.29	147.06	167.9	301.33	389.72	287.01	246.28	283.05	356.05	275.28	444.72	638.15	713.11	684.02	688.78	651.58	651.58	447.82
