	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.AC.A4ZE.01A.11R.A41B.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.B6.A401.01A.11R.A239.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.LD.A7W6.01A.81R.A352.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.A1.A0SQ.01A.21R.A144.07
AATK	46.5	56.28	68.55	51.71	8.51	11.55	87.65	13.72	17.64	7.88	74.06	56.28	60.39	5.92	198.47	129.69	11.47	152.28	100.83	50.27
AC135048.1	4.13	8.71	23.08	10.16	0.0	13.03	31.9	1.97	9.2	0.0	14.67	48.52	6.21	9.7	12.64	9.2	4.86	23.93	11.73	2.01
AL591479.1	27.84	32.36	49.21	84.04	4.82	20.26	53.57	37.05	39.22	4.94	104.42	29.7	10.96	24.11	71.5	59.55	27.44	94.01	100.83	29.91
APC2	0.68	2.71	3.56	4.54	0.38	1.07	6.16	1.71	0.41	0.4	1.69	15.11	0.73	0.71	4.06	1.99	0.85	3.86	2.68	1.08
BBC3	217.27	312.0	507.46	660.68	42.11	107.38	363.56	251.48	142.01	20.86	285.03	525.39	108.9	49.91	490.14	361.04	182.55	381.68	435.55	218.79
C19orf68	18.29	68.55	82.87	98.04	8.85	9.13	81.71	21.01	26.28	3.38	44.25	66.65	16.75	12.27	70.51	62.12	53.19	105.89	69.03	31.67
C1orf35	480.04	493.56	830.75	1159.07	125.24	202.66	529.06	403.5	389.72	164.42	665.29	1359.57	236.21	518.15	723.08	414.87	221.86	796.86	674.59	400.71
C22orf46	42.71	185.11	258.57	236.21	40.64	151.22	262.2	244.57	246.28	28.86	316.37	279.14	256.78	67.12	339.14	228.13	162.14	234.57	273.37	197.09
CCDC9	384.34	651.58	1008.9	909.17	171.45	353.59	854.13	536.45	438.59	52.82	1199.98	915.51	507.46	507.46	928.3	674.59	387.02	872.1	836.53	490.14
CHTOP	934.76	2303.12	2400.97	3081.75	896.64	1350.18	1781.89	1583.71	1437.15	1397.83	2090.03	2591.27	1457.23	1794.29	2796.65	2133.97	884.29	2502.97	2133.97	1605.83
CIC	301.33	679.29	878.17	1437.15	285.03	540.19	1304.15	830.75	563.18	175.07	842.36	954.43	753.83	651.58	1350.18	878.17	633.73	1104.13	1757.34	563.18
CROCC	112.77	129.69	363.56	651.58	10.96	90.77	525.39	74.06	108.14	12.83	212.78	432.53	85.82	59.97	211.31	201.25	114.36	718.08	620.67	156.59
CSNK1E	1111.82	1388.16	3419.52	2627.46	848.22	947.83	3039.3	1963.57	1467.37	1088.92	2032.85	3419.52	1757.34	1199.98	3060.45	2555.58	1369.04	2163.77	3716.2	1639.59
CUL9	412.0	559.28	909.17	1127.35	156.59	275.28	753.83	497.0	466.88	50.27	571.05	753.83	473.41	521.76	525.39	567.1	358.54	1001.93	961.07	285.03
DENND4B	151.22	532.74	860.08	915.51	145.02	248.0	872.1	392.44	271.48	147.06	612.11	902.89	285.03	295.11	665.29	466.88	348.71	785.88	802.41	389.72
DNHD1	12.27	45.21	332.14	438.59	69.52	44.25	214.27	33.3	65.72	54.72	134.3	191.67	44.25	43.02	91.41	100.83	48.18	183.82	186.4	62.12
DUS3L	145.02	341.51	728.11	753.83	65.72	152.28	607.87	299.25	293.07	46.84	395.18	1008.9	127.89	229.72	420.68	332.14	264.03	759.08	733.19	291.04
EME2	51.71	108.14	312.0	264.03	50.63	108.9	186.4	72.01	64.8	36.79	115.16	339.14	60.82	107.38	165.57	156.59	41.52	307.69	395.18	50.63
FAM186B	3.29	3.35	8.78	9.78	4.58	6.26	10.96	5.45	6.21	3.38	15.91	19.68	6.16	1.87	13.83	10.55	5.41	8.45	17.64	4.28
FBF1	37.05	98.04	323.03	323.03	55.89	115.97	307.69	128.79	137.14	36.53	202.66	470.14	140.04	39.22	144.01	177.53	72.01	258.57	291.04	110.43
FSCN2	7.46	13.52	67.59	57.89	8.32	20.41	53.57	26.67	14.67	2.84	63.0	92.7	12.09	2.63	118.43	76.17	12.83	61.25	48.18	29.06
GLI3	80.57	353.59	429.54	246.28	164.42	101.54	435.55	127.89	142.01	221.86	420.68	144.01	265.87	80.57	575.03	351.14	92.7	525.39	395.18	135.24
GTF2F1	848.22	1407.55	1519.15	1745.2	454.09	909.17	1498.22	1277.29	1447.15	529.06	1477.58	1977.24	1242.34	921.88	1769.57	1498.22	1059.11	1697.45	1844.76	1331.57
GUCA1B	11.13	15.68	87.03	47.84	6.89	8.78	26.28	3.53	8.13	1.93	3.5	94.01	12.64	9.27	29.27	25.72	7.88	36.79	52.45	3.63
INTS3	376.41	1001.93	1757.34	2018.8	624.99	743.43	1225.22	1167.14	1175.27	656.11	1487.87	1651.0	1059.11	1225.22	1427.22	896.64	629.35	1662.49	1605.83	796.86
JMJD6	281.09	429.54	521.76	759.08	406.31	361.04	769.69	305.55	353.59	283.05	444.72	813.63	366.09	289.02	674.59	599.49	363.56	444.72	775.05	473.41
KCTD13	228.13	358.54	540.19	1001.93	246.28	426.57	656.11	269.6	325.29	373.81	423.61	961.07	314.17	241.19	397.93	366.09	189.02	674.59	620.67	204.07
KIFC2	84.63	258.57	1015.93	954.43	102.97	183.82	1001.93	105.89	102.25	108.9	366.09	2835.7	215.77	271.48	638.15	450.94	114.36	1008.9	813.63	199.85
KLF16	118.43	265.87	312.0	476.71	33.54	115.16	400.71	191.67	142.01	38.12	228.13	438.59	127.89	165.57	376.41	256.78	211.31	279.14	194.36	183.82
KLKB1	1.58	4.62	8.13	12.64	2.89	7.11	36.53	5.36	4.31	1.45	22.1	14.45	3.06	1.33	7.82	12.36	2.43	9.93	16.75	1.75
MEF2D	312.0	748.61	974.5	1135.2	343.89	490.14	866.07	802.41	647.07	297.17	1059.11	974.5	674.59	514.56	1340.84	884.29	387.02	967.76	941.27	896.64
MICALL2	248.0	346.29	1159.07	1259.69	68.07	248.0	974.5	264.03	237.86	191.67	540.19	1457.23	420.68	262.2	967.76	1023.0	476.71	830.75	1529.73	429.54
MLLT6	379.04	1407.55	1674.06	1963.57	256.78	624.99	1639.59	693.58	728.11	185.11	915.51	1628.26	836.53	551.56	2075.59	878.17	665.29	1806.78	2104.58	483.38
NAT9	303.44	638.15	995.0	1096.5	161.02	450.94	860.08	540.19	595.34	212.78	647.07	1359.57	444.72	343.89	848.22	674.59	514.56	796.86	1001.93	392.44
NOP56	1662.49	1977.24	2915.45	2664.15	1745.2	1529.73	2537.92	1909.85	1794.29	612.11	2224.63	4181.07	1844.76	1594.73	1781.89	2255.7	1417.35	2271.4	2367.9	1359.57
PAPD7	147.06	287.01	351.14	343.89	251.48	258.57	432.53	195.72	223.41	190.34	327.56	299.25	197.09	236.21	307.69	305.55	145.02	320.8	412.0	163.28
PPP1R12C	371.22	1081.39	1350.18	2255.7	205.5	363.56	2720.15	507.46	723.08	182.55	733.19	2335.28	543.96	518.15	1437.15	1001.93	954.43	1639.59	1977.24	368.65
PPP1R15A	486.75	642.59	872.1	1697.45	107.38	301.33	2468.49	435.55	373.81	220.32	490.14	1295.13	287.01	172.65	974.5	563.18	532.74	743.43	1378.57	320.8
PROCA1	22.1	31.0	73.54	94.01	14.56	27.64	89.51	24.99	39.22	11.73	65.26	120.1	30.78	9.85	65.26	72.01	21.47	75.64	88.88	18.03
PRRT2	18.97	84.04	88.88	260.38	8.32	43.02	154.42	35.5	26.86	21.78	159.9	460.44	48.18	9.85	159.9	135.24	10.39	303.44	172.65	45.21
RECQL5	246.28	353.59	915.51	941.27	371.22	423.61	674.59	447.82	476.71	303.44	551.56	1059.11	525.39	251.48	518.15	463.65	305.55	708.18	961.07	332.14
RGS11	55.1	67.59	107.38	429.54	101.54	48.52	153.34	28.45	103.69	25.17	291.04	457.25	73.03	17.38	248.0	271.48	61.25	221.86	336.79	17.77
RING1	684.02	665.29	967.76	1313.23	309.83	414.87	1051.79	656.11	571.05	332.14	890.44	896.64	525.39	708.18	1081.39	698.41	612.11	1259.69	1175.27	743.43
SAFB	651.58	1417.35	1628.26	2209.26	490.14	1073.91	1757.34	1259.69	1397.83	336.79	1628.26	2163.77	1225.22	1295.13	1551.09	1427.22	1059.11	2178.83	1991.0	1175.27
SBF1	406.31	420.68	525.39	674.59	89.51	163.28	808.0	420.68	318.57	55.1	679.29	884.29	285.03	275.28	579.04	420.68	323.03	454.09	796.86	265.87
SCGB2A2	736332.6	1800541.22	0.0	28723.62	55107.99	1318073.06	90146.51	1163466.92	1788103.97	87.65	1034138.94	66912.05	2279047.19	1668359.93	1600397.78	8805660.77	1345768.59	373305.21	29531.18	1578364.61
SLC2A11	212.78	171.45	460.44	371.22	88.26	151.22	379.04	223.41	218.79	164.42	316.37	423.61	221.86	121.79	351.14	327.56	204.07	339.14	392.44	157.68
SPHK2	199.85	183.82	356.05	583.07	101.54	126.12	312.0	191.67	199.85	82.29	228.13	392.44	183.82	118.43	273.37	224.97	146.03	339.14	351.14	145.02
STRN4	819.3	825.0	1477.58	1572.76	483.38	559.28	1304.15	928.3	830.75	463.65	836.53	1066.48	708.18	769.69	1081.39	884.29	802.41	1304.15	1605.83	669.92
TBC1D3B	0.0	6.89	13.93	15.34	0.0	3.63	17.9	13.22	11.21	2.27	15.8	40.36	3.56	11.13	22.26	17.38	4.66	17.51	11.47	4.7
TBC1D3F	21.32	117.6	521.76	435.55	35.5	83.45	265.87	91.41	74.58	40.36	139.07	403.5	109.66	21.01	185.11	147.06	81.71	348.71	223.41	29.27
TCF21	0.36	0.0	0.71	3.14	0.0	0.0	0.84	0.38	0.0	0.39	0.72	0.38	0.38	0.0	1.1	0.84	0.0	0.71	0.38	0.39
TCOF1	142.01	353.59	444.72	521.76	185.11	249.73	480.04	332.14	323.03	161.02	423.61	559.28	356.05	312.0	406.31	414.87	325.29	432.53	559.28	339.14
THBS3	253.23	460.44	981.29	1674.06	150.17	397.93	1896.65	547.75	412.0	277.2	624.99	1857.6	473.41	255.0	1127.35	733.19	395.18	1008.9	995.0	251.48
