	TCGA.CV.7183.11A.01R.2016.07	GTEX.N7MS.1626.SM.3LK5F	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CJ.4912.01A.01R.1426.07	GTEX.YB5E.0326.SM.5IFHU	TCGA.95.A4VK.01A.11R.A262.07	TCGA.86.8674.01A.21R.2403.07	TCGA.78.7156.01A.11R.2039.07	TCGA.44.2666.01A.01R.A278.07	TCGA.MP.A4TH.01A.31R.A262.07	TCGA.38.4625.01A.01R.1206.07	TCGA.49.4486.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.73.4675.01A.01R.1206.07	TCGA.73.4677.01A.01R.1206.07	TCGA.55.8512.01A.11R.2403.07	TCGA.73.7498.01A.12R.2187.07	TCGA.78.7537.01A.11R.2066.07	TCGA.44.2666.01A.01R.0946.07	TCGA.78.7152.01A.11R.2039.07	TCGA.97.A4M5.01A.11R.A24X.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.86.7713.01A.11R.2066.07	TCGA.49.4512.11A.01R.1858.07	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.SE5C.0526.SM.2XCE1	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.WH7G.0726.SM.3NMBM	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QCQG.0326.SM.2I3ES	GTEX.ZQG8.2126.SM.4YCF1
AGAP5	18.29	7.57	11.13	3.69	226.54	3.2	198.47	81.14	152.28	172.65	234.57	0.0	52.08	0.83	103.69	54.33	180.02	198.47	120.1	111.21	65.72	221.86	303.44	316.37	11.04	46.18	82.87	61.25	48.87	107.38	43.02	47.84	73.03	115.16	61.68	5.54
AGAP6	18.7	19.11	29.48	11.47	358.54	15.0	450.94	204.07	159.9	125.24	511.0	0.0	69.52	1.19	180.02	56.28	379.04	384.34	271.48	190.34	99.43	429.54	647.07	813.63	39.5	66.18	135.24	265.87	128.79	137.14	68.07	84.63	63.89	251.48	159.9	7.46
AKAP17A	100.83	54.33	106.63	20.71	371.22	65.26	329.84	432.53	368.65	285.03	603.67	0.0	186.4	1.03	285.03	190.34	941.27	543.96	384.34	305.55	135.24	373.81	616.37	490.14	78.89	169.07	260.38	191.67	148.09	248.0	181.28	239.52	131.51	264.03	157.68	49.56
ATAD3B	89.51	19.68	66.18	13.12	285.03	90.77	854.13	854.13	348.71	536.45	669.92	0.0	283.05	1.36	291.04	69.03	842.36	547.75	423.61	423.61	180.02	738.29	995.0	2502.97	76.71	103.69	149.12	353.59	141.02	182.55	118.43	161.02	158.79	121.79	180.02	46.18
C8orf31	2.51	9.56	3.06	6.31	647.07	8.19	108.14	28.04	57.49	61.68	32.82	0.0	41.52	0.58	11.21	6.06	87.65	48.87	29.06	98.73	64.34	74.58	88.88	181.28	8.85	18.97	19.97	26.86	1.93	24.28	16.15	55.89	20.71	39.22	20.56	4.5
CAPN10	154.42	106.63	100.13	182.55	599.49	76.17	743.43	555.41	356.05	547.75	928.3	0.0	387.02	1.03	406.31	195.72	921.88	981.29	518.15	441.64	275.28	808.0	909.17	1023.0	165.57	185.11	346.29	441.64	205.5	281.09	423.61	371.22	193.01	346.29	303.44	85.22
CARNS1	4.06	13.03	3.03	1.2	8.45	1.46	24.46	44.25	17.9	22.59	61.68	0.0	12.18	0.23	43.02	16.15	25.91	84.04	23.76	20.56	20.56	23.93	58.3	73.54	15.11	21.47	29.06	22.75	26.86	22.75	14.24	19.97	5.28	18.7	18.29	11.55
CATSPER2	8.25	5.87	4.62	22.1	101.54	3.2	198.47	48.18	37.05	57.08	167.9	0.0	35.25	0.64	52.08	14.67	138.1	80.01	98.73	30.12	64.8	106.63	181.28	164.42	38.12	35.0	38.95	91.41	20.41	43.02	18.29	53.19	47.5	22.43	84.63	6.78
DDX11	38.95	60.39	111.21	45.85	860.08	70.01	591.22	211.31	320.8	444.72	563.18	0.0	139.07	0.71	444.72	100.13	854.13	343.89	400.71	327.56	412.0	616.37	830.75	1286.18	92.05	297.17	185.11	271.48	202.66	72.01	190.34	165.57	139.07	70.01	163.28	83.45
ENTHD2	108.9	31.67	140.04	35.25	559.28	70.01	921.88	466.88	403.5	363.56	1030.12	0.0	214.27	0.99	368.65	194.36	688.78	854.13	423.61	435.55	218.79	688.78	1096.5	638.15	154.42	343.89	395.18	518.15	351.14	368.65	307.69	226.54	206.94	358.54	358.54	62.12
FLJ00104	5.19	5.19	7.57	2.01	40.07	0.45	307.69	44.89	24.81	24.46	96.01	0.0	19.11	0.62	38.12	16.88	102.97	64.8	47.17	42.71	13.83	103.69	96.01	71.5	8.85	14.45	53.19	23.25	17.77	17.13	15.22	20.86	23.59	18.56	17.51	1.19
HMGXB3	94.01	208.38	241.19	90.77	764.36	138.1	486.75	316.37	309.83	486.75	633.73	0.0	150.17	0.75	540.19	295.11	629.35	575.03	417.77	457.25	327.56	660.68	547.75	551.56	130.6	248.0	318.57	435.55	305.55	476.71	320.8	265.87	323.03	346.29	624.99	114.36
KLHL17	56.28	7.17	35.5	9.34	384.34	16.27	339.14	265.87	156.59	211.31	457.25	0.0	69.52	1.22	255.0	26.67	323.03	341.51	215.77	215.77	108.9	329.84	389.72	476.71	46.84	96.01	117.6	129.69	66.65	43.63	87.03	93.35	62.12	67.59	56.28	24.28
LRRC56	19.11	13.83	9.41	1.22	61.68	1.0	80.01	95.34	63.0	39.5	101.54	0.0	53.19	0.11	85.22	43.32	638.15	142.01	55.49	47.84	75.64	181.28	137.14	226.54	49.21	91.41	171.45	41.52	46.5	40.07	120.1	85.22	65.72	70.51	69.03	8.19
MAST2	49.91	115.16	115.16	15.45	269.6	51.35	571.05	281.09	199.85	332.14	392.44	0.0	156.59	0.82	392.44	129.69	497.0	392.44	299.25	384.34	301.33	493.56	397.93	656.11	84.04	191.67	147.06	273.37	162.14	279.14	138.1	316.37	107.38	221.86	260.38	186.4
MSLN	119.26	361.04	20451.65	0.8	69271.73	0.04	63302.6	46986.85	69271.73	49666.0	9279.58	0.0	33688.23	0.44	74243.68	37379.55	19618.49	16496.96	78476.96	74760.09	55491.3	31432.17	8963.45	10368.08	1936.53	54349.29	63302.6	63302.6	48307.85	89523.81	46986.85	49666.0	59063.35	69753.56	90773.53	0.0
MSS51	2.68	2.25	3.86	1.25	34.75	0.46	59.13	14.89	23.08	37.85	81.71	0.0	9.63	0.66	32.36	6.21	35.76	40.36	26.86	25.35	14.24	40.64	75.64	109.66	5.41	15.68	12.93	17.38	13.93	31.0	7.4	13.52	9.41	33.54	15.45	2.03
