	TCGA.KL.8335.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.G7.A4TM.01A.11R.A31O.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.O9.A75Z.01A.11R.A33Z.07	GTEX.1497J.0726.SM.5Q5D1
AASS	18.03	73.54	21.16	43.32	85.82	38.95	157.68	224.97	35.76	132.44	57.49	0.83	264.03	195.72	205.5	246.28	195.72	271.48	293.07	181.28	46.5	226.54	65.72
AC137932.1	4.5	3.08	2.89	6.11	3.2	1.36	7.75	7.06	2.71	4.28	11.82	1.25	23.08	20.56	14.24	57.08	26.86	24.99	39.22	15.45	17.0	14.67	4.58
ADAMTS9	61.68	567.1	125.24	54.72	132.44	95.34	42.11	2758.13	48.18	242.88	438.59	13.93	1135.2	1191.69	698.41	2075.59	995.0	1605.83	1277.29	785.88	1023.0	1051.79	202.66
AGBL2	33.54	57.89	10.55	26.86	87.65	18.84	24.28	100.13	31.22	6.16	51.35	11.13	341.51	211.31	198.47	587.13	371.22	460.44	441.64	389.72	186.4	256.78	41.52
AL079342.1	0.0	0.37	0.39	0.74	0.99	0.34	0.33	0.0	0.37	0.0	0.0	0.0	1.73	0.64	1.23	6.36	1.68	2.32	0.96	1.03	0.65	1.33	0.0
AL162407.1	50.63	147.06	150.17	183.82	224.97	36.27	143.01	127.89	251.48	44.25	208.38	80.01	460.44	368.65	239.52	381.68	409.15	262.2	432.53	339.14	267.73	275.28	122.64
ANKRD10	669.92	1023.0	1037.29	679.29	941.27	420.68	1437.15	1388.16	674.59	665.29	1242.34	476.71	2609.3	2240.11	1977.24	2555.58	4358.66	4575.41	4268.94	2758.13	2075.59	2997.45	483.38
AP000974.1	1.33	1.14	0.0	2.27	3.99	1.55	2.34	2.86	0.77	1.53	2.48	0.0	8.06	3.56	5.32	14.78	7.17	9.41	15.11	8.65	4.94	3.72	0.99
BBS5	61.68	173.85	73.03	48.87	163.28	95.34	57.89	59.97	118.43	49.56	149.12	11.73	142.01	118.43	162.14	262.2	273.37	208.38	212.78	175.07	136.19	135.24	49.21
BBS9	100.83	265.87	142.01	98.04	275.28	189.02	115.16	248.0	178.77	146.03	191.67	45.85	312.0	248.0	325.29	299.25	241.19	271.48	314.17	271.48	102.25	279.14	75.64
BLMH	190.34	698.41	279.14	194.36	387.02	473.41	559.28	629.35	205.5	157.68	607.87	49.56	1225.22	825.0	1167.14	1340.84	909.17	878.17	808.0	1015.93	624.99	836.53	583.07
C10orf2	74.58	100.83	78.34	94.67	111.21	95.34	67.59	348.71	96.01	66.65	87.65	20.41	217.27	299.25	157.68	182.55	177.53	253.23	163.28	287.01	186.4	178.77	97.36
C11orf42	0.0	1.11	0.0	0.0	0.52	0.84	1.64	2.01	0.0	0.38	0.0	0.0	2.76	4.78	0.62	12.0	10.39	11.55	3.82	6.84	0.99	4.98	0.22
C17orf85	206.94	389.72	186.4	265.87	435.55	152.28	473.41	358.54	104.42	185.11	426.57	44.57	791.35	665.29	521.76	1044.52	785.88	1081.39	836.53	733.19	429.54	629.35	239.52
C19orf55	92.7	64.34	88.88	113.56	99.43	57.49	133.36	137.14	23.42	75.11	86.43	19.82	295.11	293.07	167.9	555.41	193.01	309.83	320.8	273.37	153.34	267.73	38.12
C22orf43	3.14	2.32	1.66	0.42	3.5	1.91	5.06	1.28	0.42	4.24	9.34	0.0	53.19	7.22	63.45	81.71	41.22	71.5	90.77	48.18	25.17	31.0	2.43
C3orf35	4.5	8.38	4.5	3.86	5.02	0.67	10.79	7.46	1.57	1.58	10.71	1.25	20.56	13.12	20.26	46.5	33.06	30.78	57.49	21.32	24.28	15.68	4.13
C6ORF50	7.22	7.69	7.4	10.71	15.0	0.0	14.89	6.31	3.5	1.22	18.7	0.0	48.87	24.63	36.79	119.26	57.08	73.54	85.82	38.4	22.1	29.27	3.08
CCDC14	193.01	136.19	180.02	98.04	309.83	36.79	239.52	262.2	57.49	129.69	269.6	15.68	981.29	693.58	603.67	2664.15	819.3	2520.38	1769.57	961.07	684.02	638.15	97.36
CCDC40	69.52	152.28	36.01	46.5	127.89	34.75	53.57	228.13	32.36	28.86	180.02	10.31	567.1	665.29	638.15	884.29	743.43	521.76	1208.34	629.35	275.28	500.46	52.82
CDH24	36.79	16.39	21.16	35.76	87.65	39.79	19.97	17.9	11.13	9.7	36.01	8.45	133.36	94.67	70.51	271.48	100.83	244.57	215.77	176.29	128.79	85.82	16.88
CEP164	103.69	195.72	59.97	115.97	166.73	62.56	87.03	189.02	65.72	74.58	195.72	6.06	339.14	244.57	343.89	441.64	351.14	395.18	403.5	389.72	244.57	314.17	103.69
CEP290	64.8	114.36	63.45	85.22	143.01	80.01	90.77	117.6	112.77	86.43	121.79	41.52	400.71	217.27	123.5	358.54	307.69	305.55	220.32	221.86	148.09	186.4	26.1
CLASP1	183.82	339.14	150.17	228.13	373.81	258.57	152.28	234.57	91.41	157.68	201.25	17.51	307.69	353.59	271.48	571.05	543.96	480.04	346.29	312.0	332.14	412.0	100.83
CNTROB	217.27	426.57	231.32	320.8	395.18	215.77	473.41	616.37	239.52	221.86	414.87	44.89	1175.27	928.3	941.27	1378.57	1250.98	1313.23	1208.34	1088.92	723.08	1008.9	341.51
COLQ	24.28	17.38	33.3	19.68	14.67	5.59	29.7	32.82	3.47	12.64	35.76	0.44	53.19	66.18	80.01	164.42	84.63	115.97	94.01	86.43	59.55	57.08	15.0
CSAD	303.44	320.8	299.25	470.14	409.15	30.56	507.46	297.17	63.0	264.03	540.19	35.76	1051.79	872.1	723.08	1639.59	1233.75	1008.9	1498.22	1183.45	713.11	693.58	703.28
CTD-3193O13.9	50.98	78.34	26.28	21.47	107.38	13.83	14.14	51.35	8.58	8.25	36.53	4.31	131.51	205.5	87.65	161.02	183.82	303.44	181.28	100.13	197.09	186.4	11.3
DALRD3	819.3	988.12	785.88	780.44	2090.03	1073.91	802.41	1733.13	1540.37	595.34	928.3	1167.14	2090.03	1844.76	1617.0	3349.13	1896.65	2816.11	2133.97	1963.57	2119.22	1628.26	836.53
DCAF8	1111.82	1963.57	1183.45	1225.22	1572.76	1135.2	1359.57	1286.18	656.11	1183.45	2400.97	848.22	2047.0	1963.57	2209.26	3491.39	2351.53	2855.44	2701.35	2739.08	1685.71	2367.9	974.5
DENND3	87.65	201.25	71.5	212.78	163.28	54.33	112.77	166.73	60.82	71.0	303.44	37.32	896.64	703.28	679.29	1225.22	909.17	974.5	1135.2	974.5	638.15	928.3	327.56
DLEU2L	0.0	0.0	1.2	1.13	2.58	1.2	1.0	1.62	0.0	4.13	2.81	0.0	8.38	3.23	6.52	14.45	12.64	14.45	8.71	11.04	3.29	9.06	0.0
DMAP1	435.55	988.12	497.0	595.34	928.3	728.11	423.61	638.15	312.0	457.25	921.88	320.8	915.51	1096.5	974.5	836.53	1088.92	1066.48	1268.46	1225.22	813.63	878.17	802.41
DMTF1	325.29	239.52	353.59	232.94	536.45	93.35	379.04	500.46	185.11	341.51	403.5	75.11	2777.33	1977.24	1369.04	3103.19	2451.44	2591.27	4671.57	2018.8	775.05	2032.85	143.01
DPH1	409.15	575.03	373.81	555.41	651.58	305.55	738.29	1030.12	351.14	400.71	679.29	176.29	1015.93	1225.22	1104.13	1340.84	1044.52	961.07	1477.58	1487.87	713.11	1250.98	351.14
DYRK2	119.26	285.03	89.51	92.7	105.89	85.22	101.54	38.12	13.72	88.88	115.97	7.0	507.46	361.04	221.86	325.29	316.37	242.88	414.87	312.0	152.28	275.28	76.17
EBLN2	7.94	2.27	4.03	0.78	2.58	0.0	10.63	4.9	1.16	4.54	6.73	0.0	20.41	16.75	10.0	40.64	34.75	29.48	32.36	13.93	6.31	10.88	1.23
EGFL8	93.35	97.36	54.33	111.99	438.59	142.01	165.57	62.56	43.94	31.0	146.03	26.47	698.41	529.06	454.09	854.13	902.89	1051.79	1350.18	665.29	497.0	620.67	47.84
ERCC3	363.56	397.93	316.37	389.72	532.74	242.88	414.87	379.04	366.09	325.29	583.07	104.42	688.78	738.29	638.15	1037.29	988.12	866.07	988.12	703.28	599.49	703.28	343.89
ERVW-1	0.88	1.85	1.58	0.39	0.69	0.0	0.99	2.41	0.0	0.0	1.39	0.0	6.21	3.2	3.08	10.08	7.75	6.57	5.11	10.24	3.26	3.66	0.22
FAM227A	3.96	8.25	0.84	2.66	5.87	0.23	3.99	14.56	3.76	2.29	14.45	0.0	72.52	51.35	47.17	220.32	60.82	63.0	88.26	55.49	22.59	31.22	8.65
FBF1	107.38	180.02	75.11	109.66	153.34	66.65	153.34	206.94	37.05	36.79	81.14	7.17	299.25	291.04	297.17	329.84	258.57	441.64	329.84	438.59	297.17	303.44	49.91
FXYD2	327241.36	397335.0	301123.38	284880.02	520665.48	851707.37	378516.38	482442.34	520665.48	331809.5	263966.36	627822.72	47642.77	81809.59	45072.75	23009.42	48982.22	23986.58	85876.94	46986.85	46339.95	67846.12	593956.43
GPCPD1	43.94	107.38	128.79	131.51	262.2	75.64	112.77	150.17	111.99	145.02	148.09	13.72	444.72	229.72	267.73	551.56	420.68	579.04	361.04	384.34	332.14	409.15	105.15
GPR125	117.6	114.36	84.63	94.67	825.0	98.73	153.34	211.31	77.79	78.89	258.57	16.63	1175.27	819.3	728.11	848.22	890.44	995.0	796.86	791.35	583.07	1059.11	246.28
GTF2H4	150.17	463.65	147.06	191.67	323.03	279.14	384.34	271.48	316.37	156.59	674.59	115.97	708.18	669.92	884.29	1119.56	909.17	1051.79	1286.18	769.69	447.82	684.02	336.79
HGSNAT	441.64	633.73	629.35	376.41	764.36	353.59	791.35	603.67	211.31	297.17	629.35	138.1	1151.06	1023.0	902.89	2018.8	1143.1	1561.89	1304.15	1088.92	1119.56	1183.45	316.37
IFT81	56.68	138.1	47.5	35.0	267.73	86.43	95.34	180.02	94.01	60.82	182.55	15.68	532.74	334.46	255.0	638.15	356.05	384.34	329.84	277.2	183.82	224.97	49.56
INO80D	24.28	46.18	30.34	27.05	52.82	22.75	22.92	25.35	23.42	24.28	40.93	7.06	95.34	59.13	56.28	181.28	110.43	92.7	121.79	63.0	48.18	50.27	16.63
KANSL1	249.73	497.0	267.73	412.0	457.25	361.04	457.25	518.15	169.07	260.38	339.14	37.05	753.83	638.15	587.13	934.76	674.59	981.29	915.51	764.36	426.57	656.11	105.15
KAT2A	190.34	480.04	221.86	305.55	819.3	201.25	607.87	503.95	289.02	126.12	536.45	64.34	1806.78	1467.37	1359.57	2976.74	1697.45	3564.78	3690.52	1832.01	1313.23	1697.45	356.05
KCNAB3	15.22	30.34	13.03	11.55	12.55	1.55	35.5	20.71	1.22	5.87	21.94	0.0	37.85	87.65	40.36	138.1	73.54	175.07	105.15	68.07	30.78	37.85	5.02
KIAA0753	54.33	58.3	50.63	43.02	164.42	64.8	139.07	140.04	72.52	36.79	107.38	7.51	323.03	301.33	264.03	441.64	339.14	426.57	423.61	289.02	186.4	336.79	53.19
KIAA1875	6.36	8.13	6.62	19.25	10.88	0.0	8.58	3.41	2.39	4.31	14.14	0.47	29.06	13.93	16.03	55.1	27.64	30.12	48.18	27.25	10.55	29.7	11.3
LCA5L	21.47	93.35	14.56	16.27	89.51	90.14	10.47	92.7	81.71	19.97	36.53	33.78	208.38	120.1	112.77	153.34	157.68	185.11	159.9	146.03	69.52	108.14	28.65
LFNG	26.86	42.71	92.7	63.89	447.82	138.1	14.14	59.55	17.51	21.78	115.16	10.55	1304.15	454.09	708.18	1135.2	1628.26	1498.22	571.05	599.49	547.75	802.41	267.73
LRP2BP	42.71	13.42	31.0	18.03	26.28	14.56	30.78	19.11	23.08	22.59	7.06	12.93	58.71	37.05	52.08	91.41	55.89	44.89	42.41	46.18	43.32	45.21	11.04
