	TCGA.AK.3447.01A.01R.1766.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WHSB.0326.SM.5FQSD	GTEX.14ABY.1126.SM.5Q5F8	GTEX.145MH.0626.SM.5NQAK	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13NZ9.0926.SM.5KM12	GTEX.13FTZ.0526.SM.5IJCW	GTEX.U412.0826.SM.3DB9K	GTEX.QXCU.0626.SM.2TC69	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.OOBJ.0526.SM.48TDK	GTEX.Y111.1026.SM.4TT22	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.12WSE.0826.SM.5S2VL	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.WK11.0526.SM.3NB3O	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.139UW.0226.SM.5K7WU	GTEX.YJ8O.1826.SM.5HL82	GTEX.XQ8I.1126.SM.4BOO2	GTEX.146FH.1226.SM.5NQB6	GTEX.13OVL.0626.SM.5KM13	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ	GTEX.YFC4.2826.SM.5P9FR	GTEX.1313W.2826.SM.5P9G1
ABHD16A	346.29	486.75	387.02	860.08	1175.27	1369.04	507.46	830.75	981.29	1225.22	1037.29	1844.76	1447.15	1529.73	1639.59	698.41	1651.0	1427.22	2178.83	1397.83	1369.04	607.87	1322.37	1191.69	909.17	1322.37	896.64	825.0	785.88	1909.85	1277.29	1159.07	503.95	961.07	1015.93	1183.45	518.15	647.07	1467.37	995.0	967.76	555.41	1059.11	1051.79	1794.29	1044.52	1359.57	728.11	1225.22	1037.29	1572.76	1832.01	825.0	941.27	607.87	902.89	713.11	954.43	525.39	896.64	1950.0	1407.55
ACD	158.79	194.36	63.45	63.45	127.89	0.0	0.61	262.2	450.94	684.02	277.2	521.76	660.68	656.11	1059.11	64.34	583.07	351.14	941.27	599.49	423.61	212.78	287.01	426.57	356.05	753.83	256.78	197.09	387.02	791.35	595.34	612.11	253.23	536.45	353.59	529.06	149.12	258.57	733.19	343.89	343.89	127.0	412.0	642.59	988.12	255.0	595.34	283.05	769.69	285.03	684.02	1015.93	493.56	373.81	224.97	423.61	384.34	325.29	177.53	267.73	866.07	1127.35
ADCY4	16.15	41.22	32.13	27.44	28.24	0.0	0.82	371.22	638.15	2434.5	473.41	529.06	2335.28	1467.37	1359.57	161.02	624.99	995.0	1685.71	1498.22	961.07	616.37	723.08	460.44	1015.93	1936.53	981.29	353.59	769.69	1304.15	1551.09	429.54	285.03	1059.11	260.38	1487.87	214.27	325.29	624.99	447.82	674.59	218.79	830.75	808.0	2193.99	189.02	860.08	262.2	1001.93	208.38	1066.48	842.36	902.89	412.0	202.66	264.03	974.5	819.3	206.94	260.38	1757.34	1651.0
AGER	8.65	19.39	16.03	10.55	49.91	0.0	0.28	148488.36	459592.86	60304.42	502929.67	267651.2	66912.05	29531.18	74760.09	110983.6	355624.68	163620.18	147462.67	3372.43	336441.4	119776.72	181548.07	237899.7	370726.6	50709.61	139508.13	282912.21	394590.4	313910.86	109455.64	242898.5	64186.29	577714.63	269512.87	220434.95	286861.53	209994.66	152662.96	279017.26	249727.34	290865.98	209994.66	239554.43	67377.47	253213.41	383800.28	212926.09	21768.19	363097.14	67846.12	22850.48	373305.21	273275.14	482442.34	496005.67	180294.02	419990.32	155870.75	191899.64	660.68	211.31
ANKS3	69.52	37.59	64.8	53.19	108.9	0.0	0.78	113.56	237.86	607.87	206.94	269.6	567.1	395.18	579.04	96.01	309.83	409.15	351.14	497.0	229.72	105.89	198.47	239.52	381.68	651.58	114.36	102.25	305.55	693.58	373.81	79.45	127.0	269.6	217.27	463.65	215.77	145.02	981.29	201.25	180.02	173.85	279.14	379.04	854.13	145.02	397.93	190.34	624.99	325.29	305.55	591.22	229.72	248.0	336.79	108.14	234.57	141.02	165.57	138.1	981.29	866.07
AP4M1	223.41	95.34	64.8	187.71	127.0	0.0	0.31	356.05	473.41	1023.0	379.04	457.25	555.41	466.88	718.08	127.89	447.82	466.88	759.08	518.15	454.09	163.28	466.88	285.03	441.64	571.05	138.1	186.4	547.75	764.36	555.41	204.07	221.86	466.88	511.0	555.41	155.5	291.04	954.43	334.46	473.41	165.57	457.25	571.05	1001.93	409.15	669.92	215.77	830.75	323.03	603.67	587.13	567.1	660.68	368.65	318.57	283.05	265.87	139.07	325.29	1183.45	769.69
ATXN7L2	14.03	11.3	18.84	19.68	30.34	0.0	0.43	23.93	64.34	78.34	48.87	75.11	217.27	153.34	101.54	48.52	67.12	108.14	141.02	72.52	85.82	32.36	73.03	90.77	76.17	149.12	15.8	59.13	42.71	172.65	103.69	48.18	35.0	57.08	41.81	96.01	37.05	37.05	172.65	28.65	75.11	45.53	45.53	77.25	163.28	59.97	98.73	46.18	131.51	74.58	93.35	217.27	60.39	57.89	41.22	23.25	72.01	38.4	38.12	53.19	420.68	208.38
BGLAP	1.27	3.92	1.81	1.53	1.1	0.0	0.39	4.74	23.59	43.02	10.08	45.85	74.06	35.25	74.06	5.19	12.93	19.97	59.97	10.96	20.86	1.68	19.25	23.59	13.62	37.32	1.79	1.19	19.82	76.71	50.63	5.73	4.62	15.8	5.19	48.52	3.82	6.94	97.36	11.04	17.9	3.96	14.56	21.01	93.35	17.38	42.11	6.36	61.68	17.77	17.9	49.21	15.45	27.64	27.05	14.03	7.75	3.96	10.39	5.28	115.97	162.14
C14orf80	22.43	140.04	42.11	42.71	42.41	0.0	0.47	140.04	205.5	780.44	277.2	264.03	473.41	314.17	271.48	121.79	236.21	265.87	316.37	529.06	202.66	117.6	141.02	159.9	164.42	269.6	89.51	132.44	277.2	412.0	285.03	295.11	48.18	209.84	113.56	366.09	63.89	67.12	633.73	161.02	212.78	54.33	68.55	164.42	967.76	212.78	351.14	234.57	748.61	299.25	312.0	473.41	204.07	336.79	116.78	178.77	159.9	197.09	78.34	47.17	285.03	400.71
CCDC102A	12.93	18.7	27.25	57.08	7.4	0.0	0.19	199.85	435.55	764.36	267.73	314.17	591.22	579.04	356.05	35.25	224.97	363.56	693.58	514.56	76.71	130.6	220.32	218.79	500.46	450.94	166.73	43.02	358.54	500.46	476.71	147.06	88.88	325.29	176.29	555.41	63.45	205.5	780.44	138.1	135.24	113.56	229.72	301.33	429.54	145.02	543.96	120.94	769.69	251.48	309.83	356.05	329.84	159.9	246.28	163.28	199.85	190.34	102.97	100.83	1096.5	1066.48
