	GTEX.145MF.1526.SM.5LU95	GTEX.13O61.1226.SM.5KM21	GTEX.OIZG.0926.SM.3LK5Y	TCGA.VQ.AA6B.01A.11R.A414.31	TCGA.HU.A4GN.01A.11R.A251.31	TCGA.HU.A4GP.01A.11R.A251.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.VQ.AA6G.01A.11R.A414.31	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.WHWD.1426.SM.4OORU	GTEX.Y8E4.1526.SM.4WWDI	GTEX.12WSG.2026.SM.5FQUU	GTEX.13QJ3.2726.SM.5SI6L
AC026703.1	23.93	14.14	57.89	2.76	0.0	0.96	2.89	28.86	12.27	1.69	8.06	6.57	5.36	21.32	1.85	2.36	0.95	21.78	1.25	17.38	98.73	20.11	42.11	7.82	25.17	12.74	52.82	87.03	35.76	144.01
AC027763.2	187.71	255.0	206.94	39.22	76.17	36.27	121.79	214.27	58.71	45.85	83.45	97.36	43.32	229.72	63.0	50.27	62.56	69.03	77.25	107.38	224.97	115.16	251.48	140.04	127.0	231.32	232.94	269.6	194.36	193.01
ACADSB	303.44	303.44	450.94	223.41	149.12	108.9	61.25	283.05	256.78	191.67	185.11	567.1	46.84	186.4	291.04	356.05	150.17	208.38	232.94	309.83	507.46	279.14	358.54	336.79	239.52	249.73	348.71	444.72	521.76	406.31
ADAMTSL3	457.25	169.07	312.0	17.0	1.75	11.21	11.21	157.68	40.93	15.56	37.85	11.73	8.92	123.5	47.84	5.5	13.93	52.82	6.06	153.34	358.54	123.5	447.82	54.33	62.12	109.66	116.78	275.28	120.94	981.29
AMT	1208.34	941.27	1304.15	555.41	258.57	78.89	104.42	532.74	271.48	339.14	260.38	71.0	90.14	273.37	256.78	400.71	123.5	182.55	358.54	457.25	669.92	483.38	595.34	412.0	432.53	426.57	808.0	698.41	500.46	902.89
ANKRD34C	3.86	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.73	2.29	0.0	1.71	0.44	0.0	0.0	1.04	1.97	1.57	0.0
ANKRD65	551.56	420.68	1044.52	16.39	18.43	30.12	27.05	197.09	18.29	60.82	161.02	34.26	17.9	166.73	72.52	72.52	6.57	173.85	31.0	279.14	423.61	234.57	713.11	329.84	329.84	423.61	356.05	866.07	884.29	947.83
AP4S1	162.14	152.28	141.02	25.72	63.0	52.45	62.56	149.12	76.71	57.08	62.56	75.11	28.24	161.02	60.39	34.02	32.82	78.34	41.52	108.9	262.2	90.77	153.34	77.25	66.65	156.59	153.34	195.72	108.14	229.72
ARHGAP20	106.63	48.18	51.35	5.36	1.28	7.06	3.89	37.85	22.1	5.82	15.0	6.67	2.97	37.32	7.17	6.06	1.41	16.15	3.26	43.94	63.0	23.76	117.6	21.01	10.55	29.7	43.94	122.64	44.89	121.79
ASB10	5.02	3.23	1.13	0.0	0.0	0.0	0.0	1.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.71	3.99	0.0	0.68	0.0	0.0	0.0	2.23	6.11	0.78	1.46
ASB8	480.04	579.04	559.28	356.05	303.44	384.34	395.18	511.0	486.75	426.57	529.06	819.3	339.14	409.15	603.67	381.68	325.29	624.99	379.04	540.19	713.11	624.99	607.87	607.87	473.41	559.28	603.67	638.15	703.28	426.57
ATP2B2	10.16	4.43	9.27	0.0	0.0	1.19	0.17	2.05	0.83	0.0	0.0	0.0	0.83	1.3	0.23	0.0	0.84	2.71	0.18	2.23	51.71	2.58	11.47	0.36	0.0	3.08	4.58	6.62	12.55	12.64
AUH	518.15	511.0	532.74	457.25	185.11	305.55	289.02	555.41	567.1	336.79	346.29	161.02	242.88	400.71	255.0	500.46	438.59	409.15	376.41	406.31	575.03	466.88	500.46	567.1	532.74	651.58	559.28	423.61	607.87	417.77
BABAM1	1651.0	1819.35	1806.78	967.76	1242.34	1044.52	1216.75	1304.15	1427.22	1369.04	1529.73	1191.69	1233.75	1662.49	1662.49	1044.52	974.5	1350.18	1088.92	1540.37	1583.71	1870.53	1832.01	1477.58	1651.0	2485.67	1477.58	1721.16	1883.54	1806.78
BEND5	241.19	228.13	406.31	8.19	4.58	25.91	22.26	146.03	33.78	15.45	33.06	4.03	6.73	35.25	25.35	11.04	5.5	40.93	13.03	100.13	285.03	93.35	198.47	58.3	54.33	236.21	202.66	264.03	54.33	384.34
