	GTEX.13OVI.1126.SM.5KLZF	GTEX.1399S.0526.SM.5IJG8	GTEX.13FTX.0326.SM.5J2NG	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OXRK.0926.SM.2HMKP	TCGA.FY.A2QD.01A.11R.A19O.07	GTEX.WH7G.0526.SM.3NMBI	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.11I78.0526.SM.5986A	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.146FR.0326.SM.5SI8U	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YF7O.0726.SM.4W213	GTEX.XUJ4.0726.SM.4BOOP	GTEX.YB5E.0626.SM.4VDSE	GTEX.12WSJ.0326.SM.5GCMT	GTEX.T8EM.0226.SM.3DB7C
AC007405.2	19.25	8.58	31.9	139.07	15.45	0.4	4.7	2.07	3.08	1.13	3.82	5.02	1.95	1.07	4.7	2.03	5.32	1.11	1.51	5.92	1.5	1.1	1.04
ADAM28	1127.35	620.67	127.89	91.41	133.36	65.26	33.54	22.1	28.04	41.52	90.77	43.63	26.28	20.26	76.71	27.64	60.39	17.77	24.46	54.72	6.89	15.68	9.93
AL163636.6	2520.38	1388.16	1313.23	1081.39	1477.58	0.0	82.87	106.63	229.72	320.8	395.18	353.59	99.43	144.01	108.9	101.54	348.71	0.0	56.68	155.5	41.22	0.0	46.5
ALDH2	5183.54	3349.13	10883.59	19082.0	13306.94	1183.45	2104.58	2032.85	3847.29	2701.35	3515.68	3589.58	1909.85	2816.11	2075.59	1963.57	4239.45	2739.08	1991.0	3257.52	2178.83	1143.1	1832.01
ALOX5AP	567.1	1167.14	6426.31	5219.6	5183.54	39.79	149.12	258.57	318.57	579.04	748.61	571.05	148.09	371.22	309.83	426.57	435.55	86.43	353.59	559.28	70.01	248.0	76.71
ANG	1277.29	1119.56	1487.87	1674.06	2163.77	37.85	143.01	172.65	316.37	165.57	269.6	414.87	141.02	137.14	201.25	118.43	281.09	144.01	169.07	314.17	114.36	122.64	103.69
ARHGAP35	974.5	808.0	708.18	1151.06	1225.22	366.09	599.49	387.02	460.44	728.11	733.19	599.49	547.75	583.07	616.37	514.56	733.19	392.44	303.44	684.02	497.0	435.55	389.72
ARRB2	1250.98	1529.73	2555.58	1447.15	1651.0	223.41	260.38	171.45	339.14	555.41	587.13	583.07	253.23	318.57	483.38	346.29	450.94	265.87	242.88	536.45	173.85	224.97	162.14
BCL6	1066.48	830.75	1572.76	1096.5	1745.2	432.53	796.86	665.29	1104.13	1143.1	1135.2	1295.13	679.29	854.13	813.63	934.76	1233.75	547.75	423.61	1883.54	493.56	587.13	884.29
C16orf45	921.88	460.44	217.27	620.67	224.97	138.1	163.28	152.28	435.55	381.68	460.44	309.83	166.73	144.01	215.77	285.03	346.29	115.97	172.65	400.71	60.82	197.09	111.21
C17orf66	3.56	3.11	2.29	0.36	2.25	0.59	0.52	0.0	0.91	0.92	2.25	1.17	0.66	0.48	1.64	0.88	1.3	0.09	0.66	2.2	0.27	0.0	0.45
C19orf68	119.26	78.34	105.89	111.99	115.16	52.82	102.97	50.98	95.34	102.25	75.11	105.15	83.45	87.65	90.77	56.28	87.65	52.08	49.21	132.44	37.05	60.82	39.22
C1QA	3540.14	5076.84	19082.0	27745.15	32540.65	215.77	934.76	624.99	954.43	1844.76	1909.85	2701.35	656.11	1388.16	1651.0	878.17	2004.85	521.76	2104.58	2133.97	447.82	403.5	723.08
C1QB	3168.41	4358.66	19892.37	46339.95	39785.74	195.72	830.75	679.29	1191.69	2451.44	2400.97	2997.45	872.1	1519.15	1857.6	1008.9	2701.35	669.92	2047.0	2502.97	555.41	426.57	665.29
C1QC	3081.75	4038.61	9740.98	26986.43	25887.07	105.15	669.92	392.44	854.13	1583.71	1819.35	2591.27	642.59	1073.91	1250.98	728.11	1883.54	417.77	1359.57	1508.65	323.03	297.17	366.09
C3AR1	384.34	444.72	543.96	1073.91	2319.15	16.03	45.53	41.22	103.69	175.07	217.27	122.64	40.64	116.78	137.14	64.8	157.68	20.41	88.26	159.9	23.42	21.78	27.44
CD163	1259.69	1540.37	4152.18	6079.61	7382.04	100.13	323.03	297.17	503.95	902.89	1135.2	934.76	387.02	414.87	599.49	412.0	967.76	139.07	454.09	733.19	134.3	199.85	197.09
CD33	94.01	165.57	441.64	389.72	281.09	3.92	19.97	32.82	22.1	60.39	80.01	75.64	12.36	35.25	43.02	46.18	57.89	7.34	34.26	62.56	14.14	16.75	11.47
CD84	177.53	127.89	126.12	244.57	242.88	3.79	14.45	11.73	27.05	42.11	81.71	36.27	15.45	13.62	74.06	26.86	62.56	4.35	18.43	44.89	3.69	11.91	25.91
CD86	206.94	181.28	285.03	679.29	591.22	13.52	43.94	28.24	51.35	80.57	110.43	124.37	15.34	41.81	53.19	32.13	99.43	8.19	43.94	90.77	15.34	23.08	15.56
CD99L2	1111.82	1322.37	743.43	2303.12	995.0	457.25	529.06	587.13	591.22	518.15	647.07	651.58	376.41	417.77	521.76	450.94	728.11	389.72	423.61	819.3	356.05	409.15	325.29
CLN8	514.56	444.72	255.0	341.51	420.68	186.4	181.28	108.9	189.02	211.31	283.05	150.17	138.1	232.94	175.07	136.19	195.72	182.55	118.43	177.53	194.36	132.44	77.25
CSF1R	1081.39	934.76	872.1	1963.57	2400.97	30.34	81.14	98.73	94.67	241.19	318.57	194.36	80.57	143.01	231.32	136.19	159.9	40.36	137.14	255.0	35.5	74.58	63.45
CTSK	2163.77	1950.0	1119.56	780.44	1508.65	79.45	470.14	409.15	555.41	1135.2	1295.13	866.07	423.61	417.77	514.56	371.22	1529.73	195.72	417.77	684.02	201.25	147.06	343.89
CYB5R4	346.29	346.29	368.65	435.55	283.05	120.94	108.14	136.19	234.57	157.68	204.07	244.57	121.79	115.97	141.02	190.34	214.27	114.36	162.14	228.13	115.16	120.1	73.54
DAG1	1923.14	1388.16	1388.16	1794.29	1340.84	764.36	802.41	791.35	780.44	884.29	775.05	785.88	775.05	708.18	796.86	651.58	860.08	624.99	624.99	995.0	595.34	679.29	603.67
DMRT2	532.74	432.53	2.2	4.03	5.41	0.26	0.0	0.0	3.14	0.0	1.16	6.21	1.35	0.0	0.77	0.0	2.86	1.43	0.0	3.56	0.71	0.0	0.0
EVI2B	872.1	723.08	1191.69	1322.37	3060.45	21.94	95.34	54.33	109.66	220.32	189.02	194.36	42.41	45.53	163.28	90.77	320.8	20.86	113.56	161.02	33.3	26.47	55.1
FOLR2	1023.0	1233.75	941.27	2417.67	4095.0	82.29	127.89	85.22	190.34	297.17	353.59	368.65	114.36	202.66	314.17	77.79	327.56	83.45	236.21	329.84	68.07	20.41	98.04
GDF7	224.97	42.11	3.38	4.54	6.78	0.95	0.95	0.0	3.29	1.33	2.2	2.25	1.2	0.89	0.95	0.0	2.14	0.21	0.19	1.75	0.0	0.0	0.0
