	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	TCGA.BA.5149.01A.01R.1514.07	TCGA.CV.6959.01A.11R.1915.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.CN.5363.01A.01R.1436.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.DD.AACW.01A.11R.A41C.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A11B.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.05.4427.01A.21R.1858.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BK.A4ZD.01A.11R.A27V.07
AC114546.1	612.11	275.28	275.28	177.53	248.0	432.53	429.54	208.38	145.02	540.19	551.56	373.81	271.48	698.41	336.79	759.08	444.72	555.41	819.3	718.08	587.13	836.53	599.49	511.0	547.75	743.43	753.83	693.58	808.0	346.29	633.73	961.07	518.15	759.08	559.28	420.68	563.18	543.96	660.68	348.71	836.53	1081.39	0.0	412.0	0.56	323.03
ACOX2	6516.03	37.05	37.05	10.96	38.12	10.31	3.53	26.28	6.01	387.02	3257.52	708.18	2240.11	1417.35	1191.69	5954.47	5751.61	13306.94	11345.82	14971.21	19082.0	25005.23	8778.97	31650.8	8538.88	10585.95	7280.4	17197.56	25708.25	19892.37	19618.49	21919.61	13872.08	21320.18	10225.32	15607.02	7803.01	14867.79	19214.73	4736.79	21919.61	20030.74	0.0	368.65	0.45	13.93
ACSM5	5076.84	0.83	0.83	2.12	2.07	1.75	0.87	2.23	0.0	34.26	75.11	118.43	241.19	11.38	26.1	4095.0	2485.67	7857.29	9740.98	5292.48	6840.04	13681.08	4769.75	21172.91	8598.28	9279.58	5441.3	18689.27	25887.07	6250.56	14971.21	11504.21	19892.37	36357.37	4123.49	9215.48	4639.29	4298.64	14971.21	1304.15	7485.11	10440.2	0.0	11.55	0.14	3.92
AMT	1259.69	119.26	119.26	20.11	30.78	22.59	138.1	6.52	10.47	808.0	1242.34	884.29	684.02	551.56	848.22	1044.52	1233.75	2335.28	1991.0	1896.65	3235.01	2004.85	1540.37	2319.15	2303.12	1745.2	1487.87	2609.3	2835.7	2193.99	2400.97	2193.99	2335.28	3665.02	1477.58	1977.24	1369.04	1896.65	1909.85	1757.34	1950.0	1923.14	0.0	183.82	0.99	158.79
APOC1	731246.37	764.36	764.36	1216.75	713.11	414.87	204.07	1594.73	723.08	116501.39	509950.32	124863.17	343510.77	110983.6	103551.29	1005860.33	767601.56	2748093.15	1800541.22	1679964.3	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	2375828.71	3576208.94	2924988.47	5809569.18	1838374.44	2511293.86	6719860.18	2672946.37	2294899.22	2748093.15	2599854.48	2904784.09	3702323.71	1703415.74	3968052.37	3626130.97	11664.82	7589.61	1208.34	2682.69
ARMC5	303.44	198.47	198.47	134.3	166.73	120.1	194.36	100.83	119.26	194.36	102.97	103.69	190.34	144.01	54.33	444.72	389.72	567.1	830.75	329.84	698.41	769.69	395.18	651.58	563.18	988.12	902.89	698.41	703.28	555.41	656.11	796.86	708.18	915.51	348.71	486.75	460.44	303.44	587.13	426.57	718.08	915.51	0.0	69.03	0.21	159.9
ASPDH	3901.01	1.27	1.27	1.64	4.46	0.0	3.06	0.0	0.96	202.66	1529.73	55.49	175.07	25.72	202.66	3955.48	4575.41	17317.18	15075.35	8022.41	18950.18	17927.91	14461.21	26248.46	14971.21	17317.18	12943.04	28132.47	20030.74	23656.34	17317.18	22850.48	12943.04	31870.96	18689.27	18689.27	21468.49	14663.09	13492.72	13399.51	14065.74	20310.37	0.0	8.92	0.24	0.0
C11orf1	890.44	303.44	303.44	262.2	218.79	303.44	379.04	547.75	157.68	348.71	291.04	616.37	438.59	307.69	420.68	872.1	842.36	2875.3	1030.12	470.14	2502.97	674.59	902.89	854.13	1259.69	2178.83	1427.22	1081.39	1950.0	2609.3	1519.15	954.43	1487.87	1127.35	1030.12	1008.9	1350.18	1407.55	1216.75	1015.93	1199.98	1857.6	0.0	320.8	0.26	432.53
C7orf55	1242.34	150.17	150.17	89.51	149.12	57.89	127.89	159.9	130.6	1551.09	1819.35	679.29	967.76	884.29	507.46	1781.89	1037.29	2224.63	2417.67	1781.89	3018.3	2367.9	974.5	1896.65	1909.85	1225.22	1733.13	2319.15	1991.0	2739.08	2209.26	2319.15	3039.3	1487.87	1447.15	1286.18	1561.89	1397.83	2240.11	1457.23	2720.15	1950.0	0.0	181.28	0.16	591.22
CCDC101	532.74	454.09	454.09	368.65	199.85	182.55	343.89	249.73	281.09	674.59	567.1	218.79	457.25	239.52	177.53	878.17	473.41	473.41	1225.22	571.05	713.11	890.44	409.15	921.88	476.71	830.75	612.11	878.17	967.76	785.88	723.08	684.02	612.11	872.1	384.34	607.87	728.11	376.41	775.05	629.35	703.28	476.71	0.0	125.24	0.19	185.11
CHAD	633.73	1.46	1.46	0.97	3.29	0.68	2.73	3.76	0.62	224.97	599.49	251.48	108.14	679.29	327.56	563.18	679.29	1819.35	1167.14	2075.59	1561.89	1844.76	507.46	6037.61	1111.82	429.54	423.61	4419.52	1883.54	571.05	2119.22	1259.69	2468.49	2682.69	392.44	909.17	384.34	1923.14	2609.3	312.0	1477.58	1551.09	0.0	9.27	0.44	16.39
CISD3	3081.75	518.15	518.15	551.56	629.35	532.74	438.59	780.44	1001.93	1991.0	2997.45	2163.77	1277.29	2133.97	2193.99	4038.61	3716.2	5403.7	5219.6	3768.09	6699.25	5329.3	6516.03	5403.7	5403.7	4095.0	4388.98	5441.3	4095.0	6887.62	4450.27	5479.15	5751.61	3491.39	7331.05	6887.62	5255.91	3372.43	3614.55	3589.58	3955.48	5041.77	0.0	842.36	0.38	392.44
CRYM	438.59	0.0	0.0	35.5	8.99	17.25	1.25	2.23	1.55	170.25	59.55	53.95	82.29	60.39	132.44	131.51	343.89	305.55	68.55	426.57	1066.48	339.14	532.74	420.68	1295.13	466.88	638.15	500.46	366.09	2956.17	117.6	417.77	113.56	229.72	1844.76	733.19	748.61	890.44	567.1	397.93	848.22	202.66	0.0	15.91	0.0	2.92
CTD-2210P24.4	119.26	12.27	12.27	1.81	0.0	8.38	9.34	0.0	6.06	23.08	29.06	89.51	22.43	38.4	55.89	265.87	309.83	136.19	68.55	406.31	74.58	303.44	463.65	83.45	256.78	75.64	384.34	202.66	476.71	212.78	120.1	42.71	703.28	480.04	473.41	134.3	412.0	373.81	13.03	7.82	39.22	73.54	0.0	1.58	0.04	2.25
DCXR	45072.75	791.35	791.35	1896.65	1594.73	813.63	890.44	2255.7	2047.0	9215.48	12415.75	4704.07	5441.3	3168.41	5594.3	38966.94	49666.0	168220.2	212926.09	76330.98	292889.12	121448.75	110216.97	186652.11	195931.88	221968.2	76330.98	181548.07	135693.24	434801.29	179048.63	233003.78	110983.6	176583.6	174152.51	160252.91	160252.91	65990.84	217400.14	120609.84	193234.41	140478.49	0.0	693.58	0.13	2400.97
