	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.EA.A411.01A.11R.A24H.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.CR.7371.01A.11R.2016.07	TCGA.CR.7374.01A.11R.2016.07	TCGA.HD.8314.01A.11R.2403.07	TCGA.CV.7248.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.55.7724.01A.11R.2170.07	TCGA.85.7697.01A.11R.2125.07	TCGA.DJ.A1QO.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3T3.01A.11R.A22L.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.DJ.A3VI.01A.11R.A23N.07	TCGA.EL.A4JX.01A.12R.A250.07
ABCA12	10154.69	11267.44	102.25	145.02	65.26	120.94	164.42	30.78	0.0	115.16	97.36	10.96	1.33	1.38	9.93	10.08	1.19	2.61	3.5	4.24
ABCA13	785.88	1487.87	116.78	547.75	387.02	251.48	303.44	146.03	0.0	248.0	181.28	12.0	102.97	25.35	24.63	28.04	77.79	20.86	2.32	29.91
ABCC5	961.07	928.3	381.68	3124.78	2335.28	8421.31	2935.74	1369.04	0.0	1963.57	2555.58	138.1	131.51	232.94	72.52	71.0	193.01	251.48	129.69	198.47
ABHD17C	3018.3	2520.38	1119.56	866.07	1378.57	1183.45	1340.84	854.13	0.0	1447.15	947.83	438.59	343.89	426.57	529.06	470.14	514.56	441.64	432.53	764.36
AC006116.20	647.07	7280.4	14.45	248.0	118.43	145.02	191.67	191.67	0.0	138.1	96.01	0.0	3.14	5.96	2.46	4.24	10.79	4.54	7.28	0.0
ACAP2	884.29	379.04	348.71	1001.93	723.08	825.0	1498.22	616.37	0.0	878.17	743.43	223.41	218.79	189.02	269.6	187.71	187.71	206.94	249.73	241.19
ACER1	423.61	164.42	5.32	31.9	5.23	9.48	77.79	12.64	0.0	38.95	8.19	2.63	0.44	3.5	0.0	2.05	2.01	1.31	0.38	2.56
ACSL3	3419.52	2061.24	769.69	808.0	1857.6	769.69	1769.57	1457.23	796.86	2209.26	1639.59	967.76	733.19	318.57	836.53	493.56	688.78	493.56	669.92	540.19
ACTL6A	842.36	967.76	2178.83	2163.77	2682.69	5292.48	3395.89	1909.85	0.0	1923.14	2777.33	665.29	764.36	713.11	669.92	656.11	728.11	796.86	733.19	587.13
ADAM23	100.13	283.05	253.23	1030.12	591.22	121.79	273.37	532.74	0.0	226.54	212.78	9.48	5.59	5.77	3.0	3.79	18.29	3.08	11.13	2.86
ADCY2	3.0	56.28	11.04	73.03	48.52	191.67	163.28	18.29	0.0	212.78	18.03	4.21	7.82	0.0	7.28	2.48	2.97	0.0	3.47	1.51
ADH7	509950.32	2555.58	67.12	1628.26	389.72	656.11	3419.52	1977.24	0.0	1023.0	842.36	1.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADIPOR2	1628.26	890.44	532.74	1340.84	1208.34	1023.0	1225.22	1096.5	0.0	1331.57	1437.15	409.15	441.64	379.04	373.81	334.46	497.0	361.04	497.0	368.65
AP2M1	4671.57	5517.27	8901.53	10154.69	17681.08	30999.42	14461.21	9606.86	0.0	13399.51	15499.21	7803.01	6935.54	7081.29	8479.89	7485.11	5995.9	6935.54	5517.27	7589.61
ARHGAP28	96.01	656.11	33.3	47.84	49.21	81.71	115.97	24.11	0.0	283.05	69.03	50.27	18.16	11.82	45.21	12.55	21.94	14.45	11.21	13.42
