	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.A2.A3XX.01A.21R.A239.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.EW.A424.01A.11R.A24H.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.AC.A6IW.01A.12R.A33J.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A3Y0.01A.11R.A239.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.BH.A42T.01A.11R.A24H.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.E9.A3QA.01A.61R.A22K.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.W5X1.2326.SM.3GIL6	GTEX.T2IS.1526.SM.32QPR	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.A6.5656.01A.21R.1839.07	TCGA.N9.A4Q7.01A.11R.A28V.07
AP4S1	58.3	143.01	36.79	28.45	87.03	76.17	72.01	115.16	150.17	38.4	169.07	38.95	167.9	103.69	69.52	72.01	101.54	80.01	130.6	42.71	66.65	87.65	159.9	145.02	61.68	80.01	118.43	136.19	43.94	104.42	73.54	195.72	159.9	248.0	134.3	190.34	242.88	256.78	473.41	208.38	220.32	133.36	262.2	135.24	262.2	15.0	85.82
AP5M1	197.09	318.57	136.19	110.43	463.65	358.54	162.14	444.72	281.09	223.41	698.41	151.22	503.95	830.75	241.19	432.53	426.57	358.54	647.07	183.82	329.84	241.19	460.44	579.04	178.77	249.73	466.88	260.38	121.79	325.29	426.57	511.0	571.05	674.59	406.31	500.46	624.99	796.86	836.53	575.03	277.2	316.37	769.69	447.82	656.11	126.12	136.19
APC	37.85	68.07	47.84	24.63	98.73	246.28	61.68	125.24	70.51	48.87	214.27	17.51	195.72	215.77	76.71	139.07	84.04	100.83	173.85	67.59	119.26	43.02	120.1	181.28	60.82	58.3	173.85	70.01	43.02	87.65	90.77	205.5	173.85	267.73	84.04	167.9	297.17	205.5	679.29	164.42	96.01	71.0	343.89	93.35	327.56	59.13	20.41
ARHGAP5	151.22	466.88	186.4	124.37	651.58	624.99	181.28	896.64	500.46	177.53	503.95	171.45	718.08	1023.0	447.82	571.05	406.31	420.68	941.27	64.8	723.08	283.05	688.78	961.07	241.19	312.0	934.76	353.59	84.63	353.59	543.96	1127.35	988.12	1781.89	536.45	1991.0	1388.16	2119.22	2090.03	1963.57	1104.13	543.96	2875.3	775.05	1685.71	217.27	109.66
ARID4A	71.0	148.09	71.0	37.32	96.01	151.22	94.01	183.82	71.0	50.98	248.0	55.1	193.01	248.0	61.25	131.51	139.07	133.36	167.9	50.98	114.36	100.13	143.01	249.73	74.58	65.26	177.53	58.3	53.57	107.38	123.5	244.57	231.32	361.04	134.3	470.14	511.0	435.55	543.96	314.17	108.9	78.89	575.03	130.6	351.14	76.17	30.12
ATP6V1D	775.05	1216.75	1081.39	483.38	2956.17	1457.23	995.0	1896.65	1350.18	1015.93	2367.9	974.5	2090.03	2997.45	1331.57	2287.2	1697.45	1540.37	2997.45	878.17	1794.29	1225.22	1923.14	1477.58	1008.9	1208.34	1757.34	1008.9	785.88	1529.73	1233.75	1745.2	1697.45	1437.15	1457.23	1697.45	1477.58	1551.09	2664.15	1870.53	1304.15	2502.97	2351.53	2104.58	1923.14	497.0	612.11
ATXN3	152.28	232.94	327.56	269.6	265.87	314.17	126.12	444.72	312.0	232.94	339.14	242.88	379.04	289.02	187.71	343.89	262.2	339.14	493.56	157.68	381.68	195.72	305.55	441.64	255.0	309.83	325.29	336.79	100.13	223.41	373.81	293.07	392.44	518.15	299.25	438.59	486.75	271.48	420.68	281.09	275.28	299.25	540.19	258.57	353.59	81.14	156.59
BAG5	172.65	281.09	312.0	205.5	454.09	441.64	195.72	708.18	193.01	285.03	616.37	190.34	429.54	327.56	320.8	420.68	329.84	334.46	536.45	163.28	444.72	271.48	476.71	536.45	291.04	228.13	356.05	320.8	253.23	191.67	264.03	651.58	674.59	954.43	473.41	429.54	674.59	796.86	854.13	607.87	409.15	412.0	607.87	490.14	599.49	212.78	175.07
BTBD7	124.37	197.09	92.05	63.45	204.07	198.47	98.73	170.25	98.73	107.38	368.65	52.82	262.2	256.78	134.3	248.0	161.02	185.11	262.2	99.43	154.42	104.42	346.29	325.29	105.89	120.1	297.17	157.68	96.68	116.78	211.31	447.82	329.84	423.61	224.97	244.57	579.04	301.33	693.58	279.14	152.28	249.73	368.65	291.04	287.01	105.15	57.89
BTD	334.46	460.44	237.86	211.31	796.86	543.96	341.51	429.54	281.09	234.57	665.29	316.37	679.29	454.09	258.57	748.61	759.08	384.34	583.07	271.48	361.04	205.5	514.56	703.28	208.38	293.07	457.25	176.29	264.03	368.65	547.75	638.15	563.18	651.58	620.67	521.76	915.51	368.65	470.14	397.93	463.65	995.0	497.0	543.96	753.83	151.22	154.42
CASC4	507.46	718.08	450.94	175.07	1359.57	1794.29	759.08	1199.98	665.29	432.53	1769.57	348.71	1030.12	1721.16	698.41	1159.07	1023.0	981.29	1001.93	435.55	1304.15	514.56	1359.57	1757.34	559.28	651.58	2018.8	486.75	312.0	830.75	1304.15	1923.14	1651.0	2682.69	1104.13	2061.24	2319.15	1519.15	2895.31	1508.65	2104.58	915.51	2758.13	1551.09	2319.15	381.68	373.81
CCNK	417.77	514.56	463.65	559.28	753.83	660.68	293.07	684.02	708.18	503.95	902.89	470.14	860.08	656.11	555.41	529.06	547.75	830.75	753.83	392.44	620.67	470.14	629.35	718.08	441.64	490.14	651.58	629.35	406.31	457.25	647.07	759.08	688.78	921.88	514.56	665.29	723.08	525.39	941.27	836.53	723.08	507.46	890.44	486.75	921.88	426.57	387.02
CHURC1	884.29	825.0	518.15	426.57	1519.15	995.0	633.73	836.53	896.64	620.67	1350.18	723.08	1369.04	1870.53	684.02	1397.83	981.29	1127.35	1457.23	813.63	902.89	656.11	1008.9	1295.13	525.39	1313.23	974.5	647.07	947.83	1008.9	1008.9	1757.34	1340.84	2004.85	1378.57	1369.04	1015.93	1508.65	2976.74	1313.23	1561.89	4239.45	1883.54	1781.89	1651.0	460.44	866.07
CNIH1	500.46	1167.14	808.0	551.56	2163.77	1781.89	764.36	2104.58	2193.99	967.76	2018.8	1111.82	2417.67	2502.97	1250.98	1757.34	1313.23	4836.35	2047.0	660.68	1651.0	1096.5	2451.44	1806.78	1304.15	1119.56	2032.85	934.76	480.04	2104.58	1051.79	2609.3	1963.57	2682.69	1561.89	2032.85	1529.73	1457.23	4512.4	1909.85	2816.11	2682.69	2875.3	3491.39	2133.97	624.99	1015.93
DAAM1	123.5	273.37	246.28	91.41	403.5	616.37	189.02	269.6	251.48	169.07	607.87	155.5	476.71	656.11	316.37	503.95	395.18	435.55	429.54	118.43	403.5	327.56	490.14	703.28	98.73	161.02	224.97	177.53	204.07	181.28	281.09	703.28	723.08	1119.56	353.59	1030.12	708.18	1832.01	1159.07	2163.77	483.38	318.57	1447.15	332.14	684.02	78.34	35.5
DICER1	147.06	251.48	105.15	89.51	206.94	249.73	123.5	297.17	152.28	146.03	400.71	74.58	473.41	303.44	161.02	301.33	166.73	244.57	486.75	76.71	217.27	148.09	341.51	395.18	154.42	146.03	346.29	197.09	76.71	177.53	163.28	493.56	373.81	551.56	244.57	866.07	551.56	947.83	660.68	563.18	395.18	60.39	532.74	154.42	587.13	124.37	96.68
DNAJB14	92.7	201.25	122.64	52.08	285.03	353.59	205.5	346.29	144.01	84.63	392.44	74.06	305.55	325.29	139.07	256.78	164.42	229.72	327.56	115.97	239.52	135.24	239.52	351.14	190.34	118.43	356.05	99.43	59.97	190.34	217.27	371.22	343.89	511.0	167.9	473.41	429.54	470.14	921.88	432.53	223.41	139.07	507.46	214.27	551.56	186.4	78.34
DTWD2	24.46	50.27	14.45	6.41	89.51	111.99	33.54	43.02	75.11	17.51	152.28	35.5	123.5	162.14	27.84	103.69	85.82	105.89	97.36	51.35	40.93	12.27	83.45	125.24	22.43	40.93	120.1	31.9	14.45	85.22	40.93	80.57	103.69	176.29	53.19	226.54	211.31	239.52	122.64	92.05	95.34	88.88	320.8	91.41	303.44	19.53	10.63
FAM179B	72.01	193.01	64.8	40.64	226.54	145.02	112.77	327.56	126.12	89.51	417.77	41.52	236.21	341.51	109.66	221.86	163.28	136.19	217.27	63.0	107.38	67.59	255.0	267.73	66.65	69.03	164.42	83.45	57.89	253.23	180.02	299.25	295.11	332.14	176.29	620.67	426.57	283.05	785.88	175.07	167.9	90.14	403.5	147.06	507.46	59.13	48.18
FBXL17	102.25	164.42	99.43	13.42	228.13	379.04	141.02	158.79	82.29	65.72	429.54	52.08	301.33	376.41	105.89	285.03	218.79	182.55	314.17	142.01	141.02	71.5	232.94	325.29	89.51	92.7	305.55	76.71	60.82	327.56	138.1	343.89	353.59	567.1	214.27	674.59	480.04	579.04	866.07	591.22	231.32	215.77	1030.12	476.71	738.29	115.16	73.54
FBXO34	204.07	271.48	182.55	256.78	256.78	363.56	218.79	325.29	159.9	232.94	356.05	185.11	358.54	507.46	246.28	312.0	373.81	264.03	423.61	47.5	228.13	295.11	363.56	420.68	186.4	212.78	387.02	273.37	150.17	221.86	327.56	397.93	426.57	808.0	373.81	559.28	532.74	748.61	463.65	607.87	454.09	384.34	473.41	409.15	521.76	199.85	102.25
