	TCGA.E2.A158.11A.22R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.T6MO.0326.SM.32QOK	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.13X6I.2726.SM.5Q5ET	GTEX.13OW7.1926.SM.5LUB4	GTEX.11GSP.1726.SM.5A5LI	GTEX.YECK.0926.SM.4W214	GTEX.XMD2.1026.SM.4WWE8	GTEX.117YW.0526.SM.5H11C	GTEX.SIU8.0926.SM.5SI87	GTEX.QEG4.0526.SM.48TZD	GTEX.13NYB.0626.SM.5MR47
ARHGAP35	651.58	536.45	473.41	447.82	583.07	624.99	507.46	1001.93	669.92	1073.91	802.41	796.86	674.59	381.68	665.29	384.34	205.5	314.17	343.89	260.38	366.09	251.48	202.66	490.14	242.88
BCCIP	934.76	1023.0	1208.34	884.29	947.83	1001.93	915.51	1030.12	1794.29	1467.37	2104.58	1540.37	1508.65	1769.57	1159.07	884.29	629.35	638.15	728.11	563.18	460.44	381.68	389.72	450.94	514.56
C10orf2	135.24	69.52	49.56	65.26	81.14	84.63	61.68	163.28	153.34	237.86	273.37	119.26	201.25	161.02	231.32	68.07	40.93	37.85	36.27	45.21	36.27	32.36	22.92	30.78	35.25
C1orf109	389.72	341.51	358.54	249.73	356.05	392.44	275.28	368.65	283.05	470.14	441.64	265.87	490.14	480.04	444.72	256.78	123.5	151.22	173.85	120.94	86.43	87.65	98.73	153.34	142.01
C2orf44	111.21	118.43	71.0	77.79	91.41	82.87	88.88	148.09	146.03	114.36	117.6	95.34	130.6	139.07	105.89	46.84	47.5	57.49	78.34	31.45	55.1	41.22	25.72	39.79	32.82
CCT4	2645.74	2591.27	2319.15	2816.11	1909.85	2047.0	2591.27	3103.19	3928.15	4575.41	2855.44	2777.33	3124.78	4575.41	3018.3	1662.49	1397.83	1477.58	1388.16	1151.06	1151.06	1030.12	1059.11	1216.75	1447.15
CCT8	2224.63	2367.9	2417.67	2384.37	1781.89	2090.03	2351.53	1963.57	2915.45	3060.45	3303.0	1794.29	2255.7	4802.93	3467.27	2104.58	2303.12	1331.57	1540.37	1304.15	1331.57	1685.71	2178.83	1487.87	2061.24
CD3EAP	50.98	39.5	26.47	41.81	43.32	33.3	29.7	102.25	52.08	60.39	107.38	48.87	122.64	70.01	43.32	32.13	25.54	34.51	24.99	30.56	19.68	33.06	13.12	26.67	13.03
CHAMP1	269.6	361.04	220.32	275.28	299.25	256.78	327.56	633.73	521.76	420.68	395.18	457.25	395.18	429.54	490.14	295.11	145.02	119.26	177.53	112.77	194.36	220.32	117.6	167.9	170.25
CUL1	915.51	909.17	848.22	638.15	780.44	866.07	909.17	1008.9	988.12	1151.06	1277.29	928.3	934.76	1143.1	1119.56	759.08	490.14	490.14	728.11	426.57	379.04	403.5	457.25	656.11	426.57
