	GTEX.14AS3.1626.SM.5S2OY	GTEX.139TS.1926.SM.5IJFO	GTEX.ZPU1.1926.SM.57WDT	GTEX.ZYT6.2826.SM.5GICX	GTEX.U4B1.1126.SM.4DXV3	GTEX.147JS.2526.SM.5S2Q8	GTEX.WQUQ.2626.SM.4MVNP	GTEX.UPIC.1726.SM.4IHKG	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.ZVP2.1526.SM.5NQ82	GTEX.133LE.1526.SM.5IFEN	GTEX.13OW6.2126.SM.5N9GL	GTEX.XV7Q.2126.SM.4BRVX	GTEX.11O72.2226.SM.5PNW2	GTEX.PX3G.1426.SM.48U1J	GTEX.S4Q7.0826.SM.4AD5E	GTEX.ZAB4.2226.SM.5HL97	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.64.1678.01A.01R.0946.07	TCGA.B5.A1MS.01B.11R.A22K.07	GTEX.1399U.1326.SM.5IJET	GTEX.ZV6S.1526.SM.5NQ7O
ABCC3	121.79	4388.98	4869.99	117.6	4769.75	665.29	642.59	5366.37	6037.61	414.87	4298.64	6079.61	2335.28	3794.3	178.77	3280.18	4836.35	1295.13	167.9	5.32	417.77	1277.29	45.85	186.4
ABHD3	353.59	1674.06	2032.85	450.94	2758.13	896.64	733.19	2271.4	2664.15	703.28	2627.46	2976.74	1151.06	2163.77	1015.93	1304.15	1936.53	878.17	884.29	1540.37	616.37	275.28	172.65	114.36
ADTRP	185.11	4481.23	4836.35	113.56	4639.29	406.31	547.75	5831.91	3901.01	281.09	5479.15	4575.41	1447.15	4736.79	281.09	2537.92	3955.48	301.33	163.28	68.07	17.25	8.85	0.0	66.65
AMPD1	151.22	176.29	251.48	43.32	161.02	305.55	214.27	341.51	186.4	166.73	215.77	220.32	361.04	199.85	103.69	223.41	204.07	343.89	0.0	0.0	7.51	0.0	0.44	0.0
ARL14	6.73	1167.14	3491.39	32.82	1359.57	327.56	151.22	1662.49	1594.73	435.55	2061.24	2400.97	665.29	759.08	113.56	1457.23	4704.07	669.92	6.84	1.89	0.0	3.47	0.0	559.28
BIN2	236.21	454.09	323.03	62.56	332.14	438.59	293.07	503.95	514.56	244.57	591.22	379.04	486.75	412.0	269.6	332.14	287.01	532.74	132.44	38.67	31.22	32.36	30.34	10.31
BTNL8	1.16	1167.14	1685.71	32.13	1295.13	111.21	77.25	2451.44	1794.29	71.0	3847.29	3103.19	244.57	1923.14	32.59	1225.22	2537.92	112.77	1.51	18.29	1.07	0.0	0.96	19.25
C16orf54	138.1	111.21	127.0	14.89	117.6	189.02	136.19	223.41	277.2	75.64	176.29	130.6	246.28	162.14	55.1	177.53	175.07	87.65	4.78	4.98	8.92	5.87	26.28	5.5
C1orf147	0.75	6.78	9.13	0.0	5.96	8.78	2.43	11.47	15.91	3.41	8.85	3.38	6.11	10.16	2.23	8.65	2.92	8.32	0.39	0.0	0.0	2.27	0.0	0.0
CA4	180.02	20030.74	14561.8	941.27	26067.14	3081.75	1437.15	57448.23	53973.86	3467.27	26431.04	30785.28	5479.15	36610.26	3491.39	23009.42	16383.0	1001.93	111.99	384.34	33.3	2.16	703.28	536.45
CACNA2D4	48.87	139.07	128.79	42.71	149.12	147.06	129.69	441.64	143.01	104.42	135.24	169.07	164.42	90.14	78.34	198.47	158.79	289.02	22.59	18.16	42.41	38.95	75.11	27.84
CASP5	2.89	460.44	866.07	24.99	1896.65	88.88	63.0	1008.9	1073.91	198.47	2758.13	540.19	206.94	1295.13	118.43	830.75	902.89	110.43	2.23	0.0	0.0	2.39	2.71	8.65
