	TCGA.A8.A07B.01A.11R.A00Z.07	GTEX.11GSP.1826.SM.5N9DQ	GTEX.11GSP.1726.SM.5A5LI	GTEX.139TU.1326.SM.5LZXW	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5470.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.99.AA5R.01A.11R.A39D.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.55.7728.01A.11R.2187.07	TCGA.CG.5718.01A.11R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6454.11A.01R.1802.13	GTEX.13OW6.2526.SM.5IJEC	GTEX.XUZC.0726.SM.4BOPH	GTEX.13S7M.1826.SM.5RQK6	GTEX.ZYY3.1726.SM.5EGH3
ACTR6	743.43	218.79	228.13	236.21	551.56	493.56	575.03	651.58	642.59	457.25	486.75	785.88	559.28	665.29	607.87	587.13	587.13	543.96	620.67	551.56	441.64	595.34	435.55	397.93	438.59	417.77	414.87	332.14	0.31	162.14	186.4	139.07	198.47	201.25	237.86	171.45	128.79
ADK	1191.69	909.17	343.89	339.14	928.3	848.22	1498.22	1551.09	909.17	902.89	1088.92	1369.04	1030.12	1498.22	988.12	1286.18	1001.93	1191.69	1407.55	1088.92	947.83	1135.2	1008.9	679.29	688.78	813.63	909.17	941.27	0.39	397.93	275.28	249.73	265.87	395.18	363.56	400.71	366.09
ASB13	1498.22	242.88	269.6	371.22	454.09	915.51	941.27	878.17	1697.45	995.0	718.08	1529.73	1030.12	1073.91	830.75	902.89	1175.27	791.35	884.29	575.03	1259.69	669.92	802.41	1073.91	1883.54	1119.56	656.11	287.01	0.0	669.92	334.46	397.93	373.81	157.68	438.59	229.72	144.01
ASF1A	514.56	145.02	118.43	115.16	289.02	291.04	384.34	466.88	414.87	341.51	320.8	591.22	387.02	476.71	409.15	463.65	426.57	476.71	473.41	353.59	368.65	660.68	205.5	283.05	295.11	285.03	232.94	224.97	0.22	209.84	154.42	273.37	154.42	132.44	232.94	104.42	106.63
ATG3	1417.35	748.61	708.18	607.87	1073.91	1081.39	1259.69	1388.16	785.88	954.43	1259.69	1143.1	1119.56	1225.22	1104.13	1208.34	1175.27	1286.18	1242.34	1059.11	1001.93	1216.75	941.27	928.3	961.07	866.07	928.3	860.08	309.83	813.63	974.5	1001.93	1081.39	890.44	909.17	688.78	688.78
ATMIN	483.38	373.81	356.05	341.51	426.57	457.25	583.07	532.74	571.05	432.53	450.94	547.75	567.1	532.74	571.05	624.99	651.58	473.41	603.67	466.88	518.15	575.03	392.44	532.74	567.1	473.41	417.77	381.68	0.22	332.14	262.2	351.14	341.51	265.87	403.5	221.86	122.64
ATP2C1	2193.99	532.74	813.63	665.29	1733.13	1487.87	2075.59	2090.03	1674.06	1208.34	1977.24	1806.78	2224.63	2335.28	2047.0	2224.63	1709.26	1870.53	2061.24	2119.22	1781.89	2119.22	1447.15	1427.22	1457.23	1457.23	1437.15	1151.06	0.78	728.11	555.41	1015.93	698.41	587.13	500.46	669.92	723.08
ATXN10	3540.14	1313.23	967.76	1088.92	2609.3	1709.26	3847.29	3168.41	3081.75	2739.08	2335.28	2645.74	4095.0	4869.99	2777.33	2468.49	2816.11	3742.05	3419.52	3303.0	2701.35	2976.74	2645.74	1721.16	1508.65	2367.9	2855.44	1794.29	0.82	1175.27	1081.39	1030.12	1350.18	665.29	928.3	728.11	473.41
BTBD1	884.29	389.72	571.05	503.95	764.36	748.61	733.19	808.0	733.19	633.73	947.83	1175.27	995.0	1015.93	896.64	1208.34	961.07	791.35	967.76	860.08	620.67	1104.13	769.69	743.43	679.29	642.59	785.88	521.76	0.66	343.89	629.35	607.87	435.55	463.65	341.51	620.67	417.77
CAPRIN1	4736.79	1322.37	1378.57	1073.91	2047.0	1963.57	2816.11	2609.3	2240.11	1583.71	2451.44	2816.11	2796.65	3190.46	2537.92	3303.0	2739.08	2367.9	2935.74	2739.08	2224.63	3491.39	1883.54	1844.76	2032.85	2384.37	2061.24	1529.73	0.89	1359.57	1259.69	1572.76	1322.37	1104.13	1001.93	1304.15	1037.29
