	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.P4.AAVK.01A.11R.A42S.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BJ.A3F0.01A.11R.A206.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.TKQ1.0126.SM.33HB3	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.T8EM.0226.SM.3DB7C
ABCA5	105.15	130.6	96.01	171.45	115.16	0.0	0.73	149.12	397.93	204.07	199.85	297.17	642.59	267.73	293.07	303.44	429.54
AC006449.1	234.57	54.33	366.09	144.01	351.14	0.0	0.48	476.71	947.83	629.35	669.92	902.89	947.83	265.87	493.56	358.54	587.13
AC010441.1	139.07	103.69	220.32	256.78	212.78	0.0	0.6	363.56	454.09	397.93	497.0	423.61	591.22	400.71	229.72	334.46	363.56
ACOXL	1.64	0.0	0.78	1.35	1.04	0.0	0.0	1.71	9.63	36.53	38.67	14.03	25.54	16.15	53.19	8.92	18.56
AIMP1	559.28	587.13	376.41	536.45	842.36	0.0	0.56	559.28	1059.11	1015.93	1066.48	967.76	1073.91	780.44	1015.93	967.76	1088.92
AKAP13	665.29	808.0	698.41	954.43	693.58	0.0	0.61	884.29	2555.58	1498.22	1963.57	2664.15	1662.49	2004.85	2935.74	1233.75	1167.14
AL626787.1	4.98	2.56	5.06	12.27	3.53	0.0	0.04	2.46	9.34	18.56	7.94	5.15	11.91	9.2	4.9	9.48	7.17
AP4E1	40.93	20.56	36.53	43.94	54.72	0.0	0.33	26.1	106.63	62.56	85.82	82.29	83.45	75.64	82.87	59.97	98.73
AREL1	329.84	158.79	209.84	118.43	295.11	0.0	0.74	329.84	603.67	486.75	543.96	587.13	493.56	409.15	511.0	466.88	460.44
ARFGAP2	836.53	1066.48	1191.69	1175.27	1304.15	1487.87	669.92	1467.37	2018.8	1617.0	1991.0	2075.59	2090.03	1769.57	1769.57	1709.26	1794.29
ARFGAP3	854.13	612.11	642.59	669.92	603.67	0.0	0.56	819.3	1594.73	1322.37	1551.09	2061.24	1781.89	1051.79	1199.98	1277.29	1519.15
BAHD1	224.97	161.02	224.97	271.48	262.2	0.0	0.58	212.78	529.06	486.75	583.07	769.69	525.39	651.58	656.11	507.46	603.67
C6orf132	127.0	5.59	105.89	157.68	97.36	332.14	265.87	291.04	356.05	902.89	802.41	559.28	486.75	934.76	417.77	358.54	514.56
C9orf156	152.28	119.26	191.67	198.47	231.32	0.0	0.0	291.04	743.43	551.56	547.75	693.58	647.07	599.49	521.76	575.03	620.67
