	GTEX.S3XE.1226.SM.4AD4L	GTEX.U4B1.1226.SM.4DXT7	GTEX.S4Q7.0926.SM.4AD5D	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.UY.A78K.01A.11R.A33J.07	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.FD.A5BV.01A.11R.A26T.07	TCGA.SY.A9G0.01A.12R.A38B.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.5N.A9KM.01A.11R.A42T.07	TCGA.BT.A20R.01A.12R.A16R.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.GV.A40G.01A.11R.A23N.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.K4.AAQO.01A.11R.A38B.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.GV.A3QK.01B.11R.A23N.07	TCGA.ZF.A9R3.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.4Z.AA89.01A.11R.A39I.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.KQ.A41S.01A.12R.A33J.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A5BR.01A.11R.A26T.07	TCGA.BT.A20W.01A.21R.A14Y.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.FD.A3SL.01A.21R.A22U.07	TCGA.DK.A6B0.01A.11R.A31N.07	TCGA.XF.A9SH.01A.11R.A39I.07	TCGA.R3.A69X.01A.22R.A30C.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.FD.A5C0.01A.11R.A28M.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.FD.A3SQ.01A.21R.A22U.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.K4.A3WU.01B.11R.A23N.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.FD.A6TA.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.XF.A9T0.01A.11R.A39I.07	TCGA.BT.A20Q.01A.11R.A14Y.07	TCGA.GC.A3OO.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.CF.A27C.01A.11R.A16R.07	TCGA.E7.A85H.01A.11R.A352.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.UY.A9PH.01A.11R.A38B.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.GD.A2C5.01A.12R.A180.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.E7.A6MD.01A.41R.A352.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.CF.A1HR.01A.11R.A13Y.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.K4.A3WV.11A.21R.A22U.07	TCGA.GD.A3OQ.11A.21R.A220.07	TCGA.E9.A1RG.01A.11R.A14D.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.ZVZQ.0826.SM.51MRF	GTEX.YJ8O.2226.SM.5IFHW	GTEX.146FH.0826.SM.5SI8T	GTEX.TML8.0726.SM.4DXTT	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.131XF.1126.SM.5HL8J	GTEX.13FTW.1926.SM.5K7Y4	GTEX.131XE.1526.SM.5KM1A	GTEX.WYVS.1026.SM.4SOJW	GTEX.ZLWG.1226.SM.4WWFS	GTEX.WEY5.1026.SM.4LMK9	GTEX.QLQW.0626.SM.447A6	GTEX.ZXES.1226.SM.5NQ8G	GTEX.OIZI.1326.SM.3NB1B	GTEX.RU1J.0426.SM.46MUK	GTEX.11P7K.1226.SM.5HL4X	GTEX.ZXG5.0826.SM.5GID6	GTEX.11GSP.2426.SM.5N9BD	GTEX.XUJ4.1526.SM.4BONU	GTEX.13W3W.1426.SM.5LU56
FAM168A	332.14	536.45	291.04	197.09	94.01	214.27	232.94	161.02	260.38	138.1	165.57	432.53	128.79	86.43	120.1	267.73	167.9	376.41	305.55	139.07	143.01	209.84	242.88	173.85	175.07	212.78	99.43	124.37	218.79	87.03	173.85	140.04	125.24	82.87	176.29	249.73	312.0	106.63	226.54	80.57	153.34	540.19	133.36	140.04	176.29	231.32	82.87	208.38	195.72	231.32	177.53	183.82	89.51	223.41	127.89	183.82	289.02	178.77	140.04	146.03	159.9	221.86	112.77	129.69	171.45	158.79	108.9	96.68	120.1	218.79	96.01	194.36	59.97	166.73	157.68	239.52	379.04	204.07	748.61	414.87	693.58	420.68	417.77	629.35	460.44	536.45	518.15	579.04	420.68	536.45	466.88	559.28	511.0	525.39	429.54	547.75	323.03	441.64	660.68
FBXL7	223.41	309.83	206.94	96.01	38.67	21.32	19.53	19.39	67.59	32.59	38.12	236.21	9.34	3.5	23.25	172.65	29.27	44.57	16.27	5.28	29.27	75.11	173.85	17.13	16.39	13.03	5.77	4.06	187.71	40.36	114.36	8.85	37.59	6.89	15.11	45.85	46.18	63.89	170.25	7.0	17.64	75.64	19.82	37.59	71.0	108.9	22.75	53.95	35.76	121.79	59.13	52.08	39.79	9.06	20.56	57.89	80.57	42.71	59.97	31.67	32.36	61.68	8.19	16.75	49.21	53.57	29.27	23.76	59.97	38.12	21.16	38.95	4.78	28.86	74.06	62.12	202.66	287.01	454.09	575.03	1143.1	387.02	1066.48	713.11	420.68	389.72	228.13	289.02	323.03	423.61	218.79	339.14	299.25	358.54	409.15	1073.91	915.51	486.75	620.67
FGF2	67.59	301.33	287.01	30.34	12.45	10.0	11.04	9.2	11.38	9.34	14.67	169.07	1.68	0.89	9.06	37.05	9.27	15.0	3.14	1.33	6.21	13.72	92.7	7.11	11.21	5.28	1.62	0.65	66.18	14.56	22.92	1.85	14.35	4.03	2.86	22.75	17.0	15.56	57.49	1.55	9.93	37.59	4.58	16.88	20.71	34.02	4.31	17.77	13.22	102.97	6.06	15.22	3.0	1.58	8.58	19.82	34.02	15.11	14.35	13.52	15.0	18.16	3.92	10.08	6.73	17.64	11.82	10.31	14.03	13.32	3.86	21.94	2.39	7.69	5.32	35.0	80.57	1.62	314.17	255.0	1477.58	303.44	149.12	483.38	239.52	214.27	351.14	384.34	205.5	242.88	132.44	242.88	223.41	403.5	234.57	214.27	323.03	91.41	108.9
GLI2	84.04	88.88	13.22	37.05	4.1	6.41	12.36	2.71	14.67	4.7	5.82	81.71	0.36	0.6	3.35	14.35	4.17	31.45	4.5	1.97	0.57	17.64	31.9	5.68	1.13	5.54	0.99	0.34	40.36	15.68	17.77	0.33	17.25	0.0	7.88	9.41	5.73	9.06	38.4	0.33	4.24	32.82	2.46	11.13	24.46	66.65	4.98	30.34	3.5	35.5	10.96	26.47	4.86	2.2	6.78	28.45	18.56	14.35	29.27	1.73	12.18	30.78	0.68	8.92	8.45	6.73	10.31	1.75	18.03	14.56	1.64	17.0	0.82	5.54	12.27	18.43	79.45	7.82	71.5	39.22	52.45	59.55	255.0	164.42	84.63	110.43	218.79	190.34	236.21	299.25	204.07	105.15	86.43	297.17	88.88	111.99	163.28	246.28	136.19
GPR161	92.7	170.25	75.11	67.12	50.63	22.1	115.16	85.82	69.52	49.21	42.41	116.78	27.84	23.59	21.78	94.01	19.68	27.84	35.5	32.59	10.39	71.0	71.0	11.82	17.25	26.86	26.86	24.99	94.01	25.35	59.55	32.36	21.16	16.51	53.95	63.0	108.14	25.91	99.43	40.07	21.94	61.25	15.68	26.47	44.25	101.54	24.46	41.81	33.54	132.44	37.85	65.72	133.36	112.77	50.98	82.87	49.91	68.07	90.77	42.71	37.32	37.85	8.25	81.14	202.66	19.11	27.25	64.34	47.84	28.86	37.59	38.67	8.32	48.52	412.0	51.71	92.05	60.82	169.07	120.1	166.73	148.09	123.5	346.29	387.02	332.14	256.78	316.37	121.79	336.79	547.75	384.34	432.53	287.01	253.23	171.45	128.79	387.02	158.79
HSF2	248.0	314.17	197.09	140.04	146.03	176.29	356.05	209.84	212.78	94.01	193.01	201.25	119.26	111.99	145.02	186.4	67.12	191.67	99.43	96.68	158.79	151.22	215.77	133.36	186.4	155.5	72.01	122.64	170.25	158.79	162.14	127.89	102.25	97.36	99.43	114.36	193.01	158.79	102.97	113.56	121.79	130.6	108.9	147.06	120.1	103.69	93.35	117.6	162.14	221.86	161.02	226.54	113.56	255.0	93.35	175.07	165.57	123.5	100.83	205.5	126.12	119.26	194.36	182.55	139.07	140.04	155.5	170.25	87.65	155.5	120.94	130.6	177.53	118.43	124.37	170.25	177.53	120.1	281.09	262.2	224.97	211.31	525.39	441.64	281.09	420.68	312.0	395.18	483.38	438.59	301.33	540.19	403.5	387.02	392.44	206.94	476.71	559.28	228.13
JAZF1	248.0	1051.79	463.65	128.79	32.82	71.0	44.57	44.25	64.8	39.79	46.5	289.02	16.63	5.23	61.68	127.89	29.06	74.06	12.83	28.24	30.56	101.54	336.79	38.4	40.07	30.34	10.55	24.63	332.14	71.0	80.01	32.82	63.0	51.35	80.01	97.36	71.0	77.79	167.9	40.07	34.51	127.0	22.59	64.8	80.57	182.55	21.78	119.26	50.98	429.54	78.89	71.5	44.57	36.79	48.87	112.77	142.01	90.14	101.54	88.26	50.98	80.57	27.64	27.84	53.19	187.71	54.72	63.89	112.77	62.56	47.17	137.14	14.14	68.07	98.04	142.01	256.78	63.0	432.53	642.59	713.11	503.95	1088.92	2287.2	587.13	660.68	551.56	507.46	536.45	660.68	400.71	642.59	802.41	529.06	563.18	1051.79	473.41	819.3	473.41
KATNAL1	76.71	256.78	214.27	40.07	10.88	19.53	65.26	11.38	40.07	8.45	27.64	88.26	5.36	6.36	24.46	58.3	20.41	27.64	3.53	10.16	9.78	41.81	83.45	13.12	8.06	7.17	2.92	4.7	76.17	9.85	38.95	7.63	17.77	7.46	13.83	26.67	27.84	16.39	43.32	13.03	7.75	42.41	3.72	42.71	25.91	57.08	8.65	18.84	14.24	43.94	17.38	25.35	6.41	9.63	13.93	43.02	55.1	16.39	27.25	29.06	11.91	23.59	7.57	30.34	16.63	10.31	17.0	15.22	18.84	17.9	11.91	40.36	1.22	9.93	21.78	25.35	87.03	34.75	325.29	336.79	406.31	397.93	115.97	884.29	241.19	234.57	258.57	297.17	312.0	291.04	107.38	307.69	299.25	293.07	323.03	368.65	129.69	110.43	89.51
KIF1B	260.38	379.04	379.04	151.22	59.97	138.1	55.1	97.36	177.53	111.99	147.06	277.2	111.99	84.63	76.17	206.94	100.83	185.11	193.01	122.64	163.28	189.02	208.38	115.16	74.06	84.63	69.52	82.29	146.03	60.39	119.26	81.71	113.56	66.18	162.14	142.01	217.27	112.77	177.53	59.55	111.21	152.28	193.01	161.02	120.94	145.02	73.54	108.14	120.94	169.07	183.82	113.56	75.11	167.9	108.14	149.12	189.02	128.79	116.78	116.78	87.65	150.17	159.9	148.09	201.25	99.43	65.72	46.5	81.14	142.01	70.01	226.54	67.12	73.03	97.36	138.1	264.03	103.69	583.07	341.51	500.46	389.72	183.82	866.07	503.95	493.56	480.04	698.41	624.99	540.19	518.15	656.11	599.49	802.41	543.96	400.71	363.56	246.28	279.14
MAP1A	120.1	612.11	387.02	89.51	12.83	20.71	45.85	7.75	51.71	19.97	9.7	209.84	5.32	3.47	19.25	51.71	8.99	52.82	8.32	1.99	6.52	39.79	189.02	18.43	10.55	33.3	2.89	2.51	228.13	15.45	33.78	7.63	47.17	7.11	16.88	32.59	21.78	26.47	100.83	5.5	21.78	100.83	24.28	28.04	57.89	102.97	10.55	28.04	14.45	71.5	23.93	52.82	21.16	5.32	14.78	48.52	100.83	32.13	45.85	19.53	29.7	46.18	3.92	17.0	27.84	16.15	18.16	12.74	58.71	25.72	7.06	40.36	8.99	35.5	45.53	46.5	356.05	61.68	211.31	189.02	291.04	197.09	665.29	2148.82	295.11	339.14	297.17	363.56	236.21	323.03	463.65	348.71	379.04	381.68	208.38	120.1	65.26	136.19	358.54
