	GTEX.S3XE.1226.SM.4AD4L	GTEX.U4B1.1226.SM.4DXT7	GTEX.S4Q7.0926.SM.4AD5D	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.UY.A78K.01A.11R.A33J.07	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.FD.A5BV.01A.11R.A26T.07	TCGA.SY.A9G0.01A.12R.A38B.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.5N.A9KM.01A.11R.A42T.07	TCGA.BT.A20R.01A.12R.A16R.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.GV.A40G.01A.11R.A23N.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.K4.AAQO.01A.11R.A38B.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.GV.A3QK.01B.11R.A23N.07	TCGA.ZF.A9R3.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.4Z.AA89.01A.11R.A39I.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.KQ.A41S.01A.12R.A33J.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A5BR.01A.11R.A26T.07	TCGA.BT.A20W.01A.21R.A14Y.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.FD.A3SL.01A.21R.A22U.07	TCGA.DK.A6B0.01A.11R.A31N.07	TCGA.XF.A9SH.01A.11R.A39I.07	TCGA.R3.A69X.01A.22R.A30C.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.FD.A5C0.01A.11R.A28M.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.FD.A3SQ.01A.21R.A22U.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.K4.A3WU.01B.11R.A23N.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.FD.A6TA.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.XF.A9T0.01A.11R.A39I.07	TCGA.BT.A20Q.01A.11R.A14Y.07	TCGA.GC.A3OO.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.CF.A27C.01A.11R.A16R.07	TCGA.E7.A85H.01A.11R.A352.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.UY.A9PH.01A.11R.A38B.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.GD.A2C5.01A.12R.A180.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.E7.A6MD.01A.41R.A352.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.CF.A1HR.01A.11R.A13Y.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.K4.A3WV.11A.21R.A22U.07	TCGA.GD.A3OQ.11A.21R.A220.07	TCGA.E9.A1RG.01A.11R.A14D.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.ZVZQ.0826.SM.51MRF	GTEX.YJ8O.2226.SM.5IFHW	GTEX.146FH.0826.SM.5SI8T	GTEX.TML8.0726.SM.4DXTT	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.131XF.1126.SM.5HL8J	GTEX.13FTW.1926.SM.5K7Y4	GTEX.131XE.1526.SM.5KM1A	GTEX.WYVS.1026.SM.4SOJW	GTEX.ZLWG.1226.SM.4WWFS	GTEX.WEY5.1026.SM.4LMK9	GTEX.QLQW.0626.SM.447A6	GTEX.ZXES.1226.SM.5NQ8G	GTEX.OIZI.1326.SM.3NB1B	GTEX.RU1J.0426.SM.46MUK	GTEX.11P7K.1226.SM.5HL4X	GTEX.ZXG5.0826.SM.5GID6	GTEX.11GSP.2426.SM.5N9BD	GTEX.XUJ4.1526.SM.4BONU	GTEX.13W3W.1426.SM.5LU56
MAP1B	389.72	1304.15	674.59	237.86	42.71	32.59	50.63	18.56	66.18	46.18	15.22	490.14	20.26	19.82	17.51	94.67	26.28	49.21	8.38	3.32	36.27	73.03	406.31	18.29	17.51	12.74	4.54	4.06	384.34	35.25	65.26	10.39	101.54	12.45	9.2	58.71	78.89	68.55	262.2	8.25	17.77	187.71	32.59	78.89	125.24	98.73	20.11	66.18	49.91	329.84	123.5	70.01	29.27	9.41	25.54	98.73	194.36	52.82	58.3	40.93	30.56	64.8	10.79	15.91	45.85	49.91	26.1	38.4	60.39	61.25	15.45	61.25	3.2	27.05	66.65	106.63	529.06	38.95	441.64	463.65	1617.0	543.96	162.14	5711.87	1051.79	1991.0	620.67	607.87	1199.98	1437.15	674.59	2319.15	1081.39	1583.71	1540.37	387.02	142.01	738.29	2895.31
MAP3K3	476.71	507.46	599.49	242.88	152.28	239.52	220.32	123.5	182.55	182.55	157.68	470.14	92.05	104.42	127.89	285.03	226.54	154.42	115.16	65.72	242.88	253.23	395.18	140.04	175.07	518.15	95.34	84.63	351.14	128.79	339.14	145.02	170.25	148.09	103.69	387.02	232.94	239.52	318.57	142.01	154.42	295.11	159.9	217.27	265.87	412.0	139.07	269.6	463.65	363.56	287.01	218.79	180.02	59.13	139.07	223.41	295.11	148.09	138.1	212.78	140.04	297.17	224.97	60.82	164.42	139.07	131.51	189.02	173.85	318.57	154.42	264.03	206.94	186.4	152.28	285.03	392.44	242.88	559.28	616.37	583.07	642.59	441.64	1304.15	1023.0	764.36	848.22	947.83	785.88	769.69	579.04	954.43	860.08	974.5	1259.69	866.07	679.29	563.18	884.29
MAPK14	483.38	842.36	836.53	470.14	299.25	258.57	444.72	389.72	536.45	660.68	297.17	884.29	314.17	444.72	507.46	470.14	341.51	305.55	403.5	358.54	432.53	854.13	764.36	409.15	299.25	412.0	248.0	336.79	507.46	332.14	529.06	277.2	332.14	293.07	392.44	480.04	379.04	395.18	483.38	356.05	358.54	532.74	314.17	642.59	432.53	500.46	438.59	518.15	400.71	493.56	1051.79	503.95	253.23	248.0	429.54	460.44	607.87	371.22	384.34	231.32	329.84	532.74	417.77	195.72	297.17	547.75	334.46	379.04	309.83	579.04	334.46	500.46	336.79	371.22	647.07	435.55	743.43	314.17	854.13	688.78	785.88	921.88	511.0	1175.27	651.58	728.11	728.11	842.36	660.68	759.08	521.76	819.3	1135.2	769.69	728.11	688.78	660.68	638.15	607.87
METTL24	30.56	202.66	76.17	12.83	4.39	1.23	10.63	2.68	8.32	5.96	8.58	55.1	4.58	0.0	3.32	13.52	10.08	6.11	0.0	0.0	0.0	23.42	45.53	0.87	2.56	2.16	0.34	0.0	17.13	3.38	10.88	3.92	8.78	0.64	0.65	7.34	7.94	3.99	26.1	0.0	5.32	16.51	2.73	8.13	19.39	36.27	0.67	11.64	7.17	24.63	8.06	12.36	0.0	3.41	2.16	14.56	25.54	13.12	9.13	8.71	3.53	13.42	0.66	0.61	2.81	5.11	2.2	4.78	6.46	7.57	1.3	11.91	0.0	7.94	1.48	9.63	69.03	1.23	13.12	16.15	76.17	22.1	248.0	293.07	93.35	149.12	131.51	197.09	180.02	181.28	124.37	150.17	125.24	176.29	158.79	166.73	115.16	98.04	68.55
MMGT1	447.82	669.92	429.54	236.21	69.52	167.9	285.03	267.73	312.0	193.01	178.77	392.44	139.07	237.86	202.66	329.84	218.79	122.64	138.1	134.3	201.25	297.17	283.05	178.77	159.9	195.72	115.97	211.31	316.37	74.06	332.14	104.42	107.38	130.6	215.77	215.77	223.41	147.06	231.32	224.97	226.54	320.8	234.57	271.48	197.09	242.88	185.11	295.11	158.79	253.23	379.04	327.56	92.05	96.01	258.57	204.07	334.46	152.28	158.79	267.73	191.67	318.57	177.53	242.88	201.25	156.59	136.19	214.27	205.5	275.28	111.99	379.04	237.86	242.88	234.57	289.02	395.18	389.72	532.74	480.04	521.76	500.46	366.09	603.67	435.55	466.88	470.14	587.13	463.65	447.82	387.02	540.19	567.1	450.94	660.68	728.11	351.14	392.44	551.56
MN1	75.64	123.5	40.36	36.01	3.06	5.19	8.13	5.06	47.84	3.03	9.34	60.82	1.68	2.61	12.27	64.34	7.34	14.56	1.75	2.29	4.35	55.1	36.79	1.73	5.45	2.81	1.3	4.03	57.89	9.78	20.11	2.76	5.54	5.28	6.62	39.5	9.06	12.0	62.12	1.85	9.2	21.16	3.96	18.29	22.75	59.97	3.66	26.28	13.83	17.0	11.3	18.56	5.59	1.89	8.0	45.85	14.14	14.03	12.74	6.41	14.67	13.93	2.94	5.36	11.64	5.15	10.96	8.25	16.15	18.03	3.23	23.59	1.99	5.87	15.8	19.53	69.03	11.3	147.06	69.52	303.44	46.5	271.48	536.45	417.77	521.76	473.41	629.35	237.86	392.44	256.78	281.09	267.73	323.03	232.94	571.05	59.55	36.79	1427.22
NAP1L3	62.56	281.09	60.82	206.94	7.06	14.78	46.5	6.26	29.7	3.35	12.18	102.97	0.36	0.6	12.83	50.27	9.2	23.25	1.41	0.67	2.18	24.81	46.84	1.45	3.66	7.06	0.99	1.87	64.8	10.47	28.45	1.55	17.9	4.35	5.63	21.01	13.62	18.03	70.01	5.45	8.0	40.64	2.46	18.29	25.91	48.52	4.62	24.63	17.51	92.05	9.2	21.16	6.31	3.41	5.54	25.35	30.56	12.18	24.63	12.09	11.82	27.25	2.29	7.4	7.06	6.31	6.89	9.93	38.4	22.59	1.31	34.26	0.8	7.06	16.03	36.79	100.13	15.68	94.67	130.6	273.37	77.79	3081.75	158.79	49.21	49.56	74.06	141.02	46.5	63.45	65.26	71.5	56.28	47.84	67.59	140.04	94.67	981.29	759.08
NEGR1	480.04	1030.12	860.08	52.82	3.41	9.41	32.36	15.68	52.08	7.69	16.63	376.41	3.35	0.6	26.28	70.51	16.51	19.39	5.54	1.33	0.57	30.56	316.37	6.57	4.39	10.79	0.67	1.27	193.01	27.25	41.22	0.34	48.18	1.27	2.86	64.34	34.26	44.57	187.71	1.25	15.68	79.45	3.38	77.79	54.72	125.24	7.57	45.85	22.59	51.71	11.3	46.84	19.25	1.28	10.71	99.43	172.65	48.18	50.98	12.18	47.5	35.76	1.01	2.41	20.71	28.86	18.97	11.04	49.91	42.71	2.27	48.18	4.74	16.51	30.78	44.57	368.65	20.26	647.07	571.05	316.37	175.07	114.36	1757.34	669.92	620.67	571.05	764.36	698.41	616.37	371.22	974.5	595.34	1015.93	591.22	503.95	420.68	177.53	483.38
PCYT1B	7.75	13.42	11.13	8.71	1.03	0.62	1.31	1.2	1.69	0.68	1.62	11.91	1.66	0.0	0.92	4.43	0.97	0.71	0.37	0.0	0.56	1.36	13.72	0.0	0.0	0.33	0.34	0.33	7.4	2.27	2.41	8.99	4.03	0.33	0.0	0.0	3.0	1.46	5.87	0.0	0.4	3.66	0.32	0.89	0.73	4.62	2.97	2.03	6.57	14.89	5.63	2.39	1.87	0.33	0.64	3.08	5.02	1.13	1.0	1.69	0.66	1.68	0.0	5.02	1.07	1.58	0.65	7.17	2.53	2.86	2.25	2.68	0.0	0.64	1.19	6.11	18.29	2.01	26.28	14.03	55.89	4.43	150.17	173.85	108.9	158.79	28.65	27.64	49.91	181.28	17.25	208.38	187.71	159.9	60.82	22.26	2.12	414.87	183.82
PLCL1	108.9	95.34	61.25	20.56	8.45	11.21	4.58	6.84	14.03	7.0	6.11	57.89	3.63	2.58	4.82	18.7	11.73	9.85	2.78	0.99	6.73	17.38	40.64	4.82	6.16	4.62	1.28	3.38	34.75	11.21	13.32	4.24	4.06	0.64	2.53	11.38	24.28	17.0	40.64	2.14	4.98	30.12	5.77	15.45	13.93	12.83	5.28	18.03	15.34	92.7	35.0	17.51	8.51	5.87	6.46	15.0	31.67	11.82	20.86	10.08	17.25	11.91	2.94	8.0	9.48	20.41	9.7	9.93	11.55	13.93	3.2	18.03	3.14	3.99	15.45	11.64	45.21	19.25	236.21	255.0	669.92	251.48	48.87	1991.0	460.44	447.82	105.15	159.9	307.69	518.15	84.63	395.18	728.11	316.37	651.58	346.29	106.63	50.98	150.17
PMP2	4.74	49.56	17.0	38.67	0.33	0.3	0.64	1.46	0.66	0.0	0.0	23.93	0.0	0.0	0.59	5.02	0.0	0.67	0.68	0.64	0.0	4.94	7.51	0.0	0.36	0.0	0.31	0.0	14.45	2.94	0.34	0.3	0.0	0.3	0.61	0.99	0.99	2.84	5.45	0.29	1.13	12.74	0.0	0.87	0.71	0.33	0.0	0.99	1.23	0.0	3.47	0.33	0.0	0.6	0.0	0.34	0.93	0.0	0.0	0.33	0.0	1.95	0.0	1.75	0.35	0.0	0.0	0.34	0.72	0.62	0.0	1.31	0.39	0.3	0.0	11.82	19.97	0.0	1.38	4.03	16.88	1.68	71.5	320.8	7.22	40.07	20.26	41.22	15.68	34.26	17.0	13.03	38.67	14.67	12.74	1.95	3.03	1.68	11.64
PRKG1	90.14	318.57	281.09	57.89	10.79	10.31	19.39	15.45	42.71	17.0	25.17	171.45	5.32	1.75	18.29	56.68	8.92	20.71	2.78	1.0	9.2	41.52	115.16	9.63	4.39	6.78	2.58	1.57	102.25	20.56	26.28	5.77	32.59	2.2	8.51	25.35	25.91	30.34	116.78	2.16	6.16	42.11	7.28	28.24	53.57	74.58	10.24	20.71	15.11	50.98	43.02	29.91	17.0	7.11	10.47	46.5	61.68	26.47	26.67	12.83	19.53	26.28	2.63	8.32	16.15	25.35	9.41	9.27	35.76	24.99	5.45	22.59	1.6	8.32	38.4	36.01	158.79	33.54	87.65	166.73	599.49	113.56	169.07	1051.79	221.86	248.0	226.54	253.23	158.79	229.72	169.07	217.27	309.83	175.07	171.45	480.04	271.48	299.25	967.76
RAB23	651.58	1561.89	1073.91	368.65	57.89	77.25	232.94	107.38	309.83	157.68	175.07	1233.75	62.56	71.0	120.94	603.67	153.34	149.12	70.01	42.11	133.36	186.4	1023.0	121.79	52.45	142.01	34.26	56.68	595.34	98.04	223.41	68.55	275.28	40.07	89.51	209.84	112.77	144.01	1259.69	59.97	81.71	389.72	84.04	376.41	332.14	511.0	125.24	173.85	85.22	599.49	135.24	275.28	83.45	85.22	94.01	339.14	688.78	139.07	242.88	144.01	80.57	253.23	64.34	63.0	137.14	109.66	52.08	90.14	180.02	255.0	49.56	149.12	58.3	122.64	109.66	185.11	775.05	87.03	287.01	346.29	1225.22	414.87	884.29	6745.86	743.43	1073.91	387.02	543.96	629.35	819.3	221.86	743.43	890.44	836.53	791.35	785.88	842.36	334.46	356.05
RBMS3	52.08	217.27	316.37	76.71	16.51	10.96	8.51	11.04	23.76	13.72	16.75	127.89	4.66	1.19	14.78	55.49	25.72	12.36	7.63	2.97	12.18	28.04	74.58	3.76	8.06	9.56	4.17	2.51	94.01	27.64	70.01	7.34	21.32	10.55	3.2	32.59	38.4	30.34	81.71	3.99	8.06	38.67	7.06	17.51	15.8	49.91	6.62	24.81	18.56	73.54	35.5	23.59	7.82	5.63	11.38	28.65	39.5	24.63	34.75	14.56	17.9	26.47	10.08	6.01	20.71	24.81	10.96	12.45	21.63	18.7	6.78	31.0	1.22	13.52	20.56	84.63	100.13	18.97	318.57	329.84	651.58	309.83	136.19	307.69	209.84	249.73	111.21	148.09	164.42	186.4	57.08	208.38	195.72	163.28	171.45	591.22	587.13	159.9	500.46
REEP1	204.07	490.14	318.57	25.17	2.05	68.07	87.03	4.78	3.38	1.03	1.64	206.94	2.34	1.46	6.06	45.53	7.06	10.96	3.82	3.29	8.38	10.39	258.57	3.17	3.32	0.96	0.66	0.34	218.79	25.72	111.99	1.55	31.45	0.34	6.62	25.17	14.35	18.43	120.1	1.23	5.41	86.43	3.38	51.71	39.79	36.53	5.32	78.34	5.41	59.13	8.19	14.56	1.89	18.84	9.85	11.64	89.51	12.55	9.2	10.47	3.26	11.64	1.0	7.46	10.96	6.73	0.97	17.13	24.81	23.08	2.92	18.03	0.82	3.72	3.56	81.71	264.03	2.25	35.5	149.12	854.13	132.44	57.49	2148.82	1295.13	915.51	808.0	1073.91	1359.57	1111.82	555.41	1378.57	1008.9	825.0	1119.56	796.86	81.14	540.19	728.11
RNF150	72.52	297.17	191.67	25.54	5.77	9.41	28.65	2.71	21.01	1.36	6.78	154.42	2.01	0.6	4.24	100.13	10.24	7.88	3.14	2.29	2.18	13.32	116.78	3.14	6.89	7.11	0.66	3.08	81.14	10.16	16.03	3.06	17.25	3.41	5.96	16.15	14.03	17.77	58.3	9.93	8.78	37.05	3.96	22.43	29.06	36.01	1.68	22.43	6.62	69.03	9.93	15.22	3.38	12.36	5.54	25.54	72.01	16.63	16.03	15.11	8.0	23.08	4.58	13.93	5.68	4.35	5.63	52.82	9.06	8.58	5.45	18.7	2.76	4.62	11.73	60.39	122.64	2.94	728.11	186.4	444.72	379.04	397.93	854.13	226.54	299.25	555.41	629.35	320.8	371.22	320.8	244.57	249.73	500.46	167.9	166.73	299.25	521.76	195.72
RNF217	143.01	202.66	163.28	100.83	46.84	11.13	9.63	78.89	141.02	39.79	82.29	88.26	51.71	6.46	11.91	64.34	22.26	29.27	10.16	75.11	27.25	94.01	98.73	6.41	7.06	7.57	53.57	63.45	56.28	25.35	50.98	32.13	13.52	49.56	66.65	71.5	33.78	16.63	70.51	46.5	10.16	30.34	7.75	54.33	23.25	55.1	5.06	39.22	75.64	72.01	14.67	33.78	7.22	62.12	43.32	102.97	44.89	95.34	50.63	36.01	77.25	48.52	9.27	9.7	59.55	50.98	17.38	9.13	41.52	18.29	39.79	21.63	1.64	12.18	73.54	83.45	141.02	24.99	214.27	65.26	112.77	217.27	45.53	232.94	151.22	181.28	217.27	153.34	262.2	164.42	205.5	656.11	358.54	287.01	187.71	251.48	260.38	236.21	361.04
RUNX1T1	26.86	186.4	163.28	26.86	8.78	5.5	9.13	4.78	37.59	2.03	10.55	110.43	1.03	3.76	6.62	18.7	19.68	18.7	8.25	1.66	6.52	18.29	70.51	0.88	2.2	5.28	1.62	0.34	53.19	11.21	50.63	3.06	11.38	2.2	4.1	8.06	9.7	15.91	73.54	0.93	9.93	33.3	0.95	13.72	27.05	36.27	3.66	25.91	7.28	30.56	15.11	33.06	7.82	2.81	6.46	29.48	42.11	14.78	14.03	3.41	9.63	21.01	1.33	5.68	18.56	11.38	5.02	4.86	18.03	22.43	1.64	21.63	1.2	5.23	15.45	23.59	75.64	7.69	178.77	239.52	490.14	327.56	241.19	316.37	220.32	169.07	269.6	318.57	118.43	131.51	100.83	185.11	157.68	148.09	112.77	406.31	1135.2	111.21	249.73
RUSC2	265.87	830.75	656.11	138.1	94.67	145.02	133.36	63.0	138.1	49.21	70.51	423.61	12.64	13.83	64.34	128.79	140.04	156.59	17.77	37.59	92.7	120.94	409.15	25.35	25.17	121.79	56.68	30.34	339.14	50.27	104.42	28.65	87.65	46.84	94.67	76.17	107.38	78.89	379.04	76.17	98.04	193.01	31.0	114.36	121.79	236.21	30.34	84.04	70.01	199.85	63.0	141.02	66.65	43.02	61.68	119.26	166.73	81.14	156.59	115.16	59.55	126.12	27.44	52.82	83.45	78.89	36.53	50.27	96.01	137.14	57.89	115.16	38.4	68.55	166.73	132.44	291.04	146.03	490.14	373.81	890.44	353.59	674.59	1551.09	684.02	579.04	1088.92	1183.45	708.18	728.11	1225.22	674.59	693.58	928.3	647.07	532.74	802.41	616.37	1295.13
SGCB	444.72	1008.9	599.49	269.6	92.05	147.06	177.53	104.42	384.34	130.6	151.22	400.71	62.56	76.71	204.07	291.04	111.99	137.14	69.52	46.18	148.09	110.43	381.68	47.84	48.87	70.51	81.71	104.42	366.09	85.22	224.97	100.13	97.36	64.8	147.06	180.02	134.3	105.15	318.57	131.51	82.87	265.87	34.75	234.57	118.43	273.37	34.26	104.42	69.52	281.09	131.51	138.1	43.63	92.05	70.51	205.5	242.88	105.89	150.17	154.42	120.1	305.55	114.36	130.6	90.77	139.07	99.43	149.12	177.53	147.06	68.07	283.05	85.22	82.87	154.42	212.78	521.76	163.28	1191.69	884.29	1819.35	1143.1	775.05	4268.94	1030.12	896.64	830.75	1199.98	1208.34	1015.93	698.41	1167.14	1096.5	1111.82	1304.15	1781.89	483.38	928.3	1457.23
SLC16A2	102.25	346.29	226.54	143.01	23.08	15.91	32.13	54.72	106.63	32.36	35.76	248.0	12.93	4.1	20.26	115.97	66.18	54.72	15.91	9.48	15.8	68.07	106.63	9.78	10.31	12.45	6.11	12.36	154.42	30.78	113.56	10.71	31.45	6.26	20.86	100.83	38.95	44.57	171.45	14.03	26.1	76.17	23.08	59.55	64.34	129.69	12.0	49.56	82.29	147.06	29.7	86.43	20.86	11.55	20.71	58.3	83.45	47.5	69.03	35.76	28.86	57.49	9.85	18.84	25.72	42.11	17.0	29.91	69.52	42.11	15.45	88.88	3.99	26.1	64.34	53.19	195.72	46.5	848.22	567.1	1721.16	543.96	483.38	262.2	221.86	183.82	435.55	336.79	193.01	234.57	293.07	202.66	178.77	215.77	178.77	909.17	579.04	536.45	291.04
SLIT2	511.0	258.57	323.03	96.01	3.08	33.78	18.56	3.63	52.45	2.73	12.27	291.04	0.37	0.32	17.77	92.05	23.59	25.54	0.39	0.0	4.66	75.64	117.6	2.61	0.4	25.17	1.0	0.0	159.9	4.94	96.01	0.65	32.59	0.66	2.56	28.24	17.0	42.11	159.9	1.57	22.59	68.07	2.18	27.05	59.13	68.55	12.55	66.18	16.63	119.26	9.27	67.12	9.7	18.16	12.27	35.76	48.87	21.78	31.22	8.85	10.96	48.18	2.66	19.53	5.36	7.94	15.0	6.94	41.52	15.91	0.36	71.5	1.22	10.79	46.18	181.28	251.48	15.91	420.68	392.44	703.28	285.03	1208.34	1477.58	759.08	785.88	169.07	358.54	698.41	743.43	190.34	723.08	371.22	830.75	723.08	2434.5	287.01	264.03	679.29
SNCG	15715.58	2148.82	6516.03	44145.15	69271.73	48307.85	35856.82	23492.92	19348.38	30151.71	31215.04	12415.75	47974.16	40904.3	36106.23	11189.6	52497.92	48982.22	47974.16	49666.0	32767.0	47974.16	23330.64	40062.48	38697.77	71219.26	36610.26	24832.5	27745.15	65082.31	30999.42	34158.52	51775.15	71714.63	52863.07	82951.62	43840.21	63742.91	53973.86	44145.15	39237.98	36106.23	46662.28	52135.28	49322.93	32092.64	36106.23	37121.34	44145.15	29531.18	50709.61	44452.21	43840.21	42346.82	33455.53	38966.94	27363.16	43840.21	51417.5	35363.15	57051.4	41188.81	34158.52	43537.38	37379.55	46986.85	75280.1	76330.98	52497.92	68793.23	81809.59	42054.3	60304.42	48643.87	35363.15	48643.87	26800.01	38430.46	36610.26	26431.04	76330.98	53973.86	40062.48	1104.13	1037.29	1059.11	15075.35	14361.31	1369.04	607.87	12502.12	612.11	511.0	764.36	1286.18	25005.23	29736.59	63742.91	158046.64
STARD9	85.82	117.6	83.45	42.71	16.63	48.18	20.11	9.56	13.72	8.06	9.7	102.97	4.35	2.63	13.32	27.05	9.63	35.25	10.71	5.92	17.25	15.45	71.5	3.76	9.48	8.06	2.61	4.06	74.58	23.59	30.78	8.25	12.55	1.58	6.36	18.84	27.44	18.56	30.56	2.16	10.79	19.53	5.54	15.22	23.25	29.27	6.31	15.11	20.11	47.84	24.11	18.7	10.08	24.63	7.75	13.72	38.12	19.97	9.56	10.88	12.27	24.28	3.96	8.13	9.63	20.56	10.71	13.83	12.36	18.43	4.86	24.11	2.39	10.79	10.0	29.91	95.34	13.03	175.07	175.07	237.86	176.29	94.01	860.08	483.38	376.41	450.94	470.14	435.55	384.34	397.93	514.56	329.84	384.34	260.38	269.6	373.81	223.41	201.25
STX2	244.57	358.54	228.13	107.38	41.52	269.6	102.97	29.06	63.0	22.92	59.55	214.27	28.86	16.51	49.21	103.69	22.92	44.57	33.54	30.56	30.12	63.0	158.79	21.16	19.39	24.81	15.11	7.82	208.38	40.93	162.14	24.11	33.78	13.42	47.17	56.68	86.43	64.8	125.24	11.64	34.51	102.97	23.93	44.25	80.57	118.43	15.34	81.14	36.01	144.01	58.71	65.72	38.95	12.18	25.91	72.01	102.97	36.53	53.95	57.89	46.18	62.56	40.36	62.12	38.67	36.27	43.94	25.91	73.54	71.0	18.97	75.11	46.84	25.91	86.43	61.68	211.31	62.12	246.28	166.73	423.61	343.89	281.09	2240.11	718.08	612.11	738.29	642.59	808.0	587.13	454.09	703.28	480.04	981.29	718.08	620.67	293.07	376.41	392.44
TNFAIP8L3	281.09	884.29	379.04	96.68	6.16	119.26	26.67	40.93	35.76	3.72	11.3	277.2	6.36	5.5	32.13	177.53	12.83	24.63	24.11	6.21	17.0	42.71	167.9	6.31	6.26	13.93	3.89	4.98	201.25	13.93	26.86	1.27	72.01	1.6	4.13	56.68	15.11	27.64	236.21	5.5	15.8	85.22	5.82	55.1	53.57	99.43	16.15	100.83	7.34	121.79	16.63	32.36	4.13	12.45	19.11	34.26	108.9	32.59	18.43	21.01	18.97	32.82	0.69	9.85	6.78	11.13	10.08	12.83	41.81	50.98	1.97	41.81	1.62	25.35	26.1	109.66	214.27	115.97	24.99	116.78	381.68	172.65	198.47	587.13	273.37	223.41	665.29	713.11	543.96	194.36	412.0	159.9	309.83	348.71	381.68	295.11	332.14	2004.85	575.03
