	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.44.A4SS.01A.11R.A24X.07	TCGA.38.4626.01A.01R.1206.07	TCGA.69.8453.01A.12R.2326.07	TCGA.55.8619.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.55.8513.01A.11R.2403.07	TCGA.55.8505.01A.11R.2403.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	TCGA.77.8007.11A.01R.2187.07
ABCC1	320.8	470.14	146.03	87.65	176.29	108.9	85.82	15.34	46.84	104.42	16.39	65.72	255.0	26.47	18.97	18.7	29.06	8.99	26.86	29.91	34.75	14.24	8.78	764.36	493.56	555.41	599.49	497.0	521.76	1030.12	480.04	348.71	305.55	320.8	426.57
ABHD17C	90.77	159.9	131.51	106.63	265.87	208.38	67.12	85.22	181.28	185.11	14.03	154.42	105.89	85.22	84.63	31.67	164.42	69.03	113.56	88.26	46.5	59.13	90.14	791.35	620.67	1388.16	1073.91	476.71	872.1	1397.83	470.14	239.52	277.2	305.55	514.56
ABHD5	414.87	231.32	211.31	271.48	260.38	246.28	163.28	205.5	178.77	201.25	204.07	231.32	289.02	193.01	400.71	228.13	169.07	273.37	251.48	279.14	387.02	102.25	536.45	567.1	483.38	603.67	397.93	373.81	476.71	332.14	529.06	583.07	1073.91	1225.22	426.57
ADAM15	1183.45	2287.2	2816.11	2537.92	2816.11	4481.23	1572.76	1015.93	2875.3	1745.2	518.15	2061.24	3018.3	473.41	1359.57	583.07	3018.3	497.0	1023.0	387.02	563.18	780.44	476.71	4419.52	3303.0	3982.99	6426.31	2609.3	4066.71	1819.35	2178.83	1950.0	3614.55	1883.54	2351.53
ADAM9	1135.2	1199.98	361.04	197.09	1350.18	384.34	88.88	285.03	119.26	44.25	190.34	209.84	656.11	80.01	57.89	74.58	414.87	122.64	158.79	135.24	148.09	40.36	295.11	3280.18	2701.35	1794.29	2255.7	1529.73	2032.85	3039.3	2319.15	1350.18	3491.39	884.29	2090.03
AFAP1	64.8	162.14	47.84	47.17	55.89	36.79	10.71	26.47	14.78	4.82	11.64	15.22	116.78	13.22	4.43	12.09	29.48	6.36	10.24	9.06	19.53	5.92	14.03	343.89	175.07	173.85	229.72	138.1	178.77	336.79	70.51	316.37	551.56	48.87	113.56
AGFG1	780.44	954.43	1159.07	780.44	1143.1	825.0	1008.9	629.35	703.28	518.15	381.68	599.49	1233.75	371.22	457.25	287.01	759.08	262.2	323.03	543.96	525.39	218.79	583.07	2485.67	1199.98	1268.46	1277.29	909.17	1259.69	2976.74	1119.56	1259.69	2119.22	2018.8	1417.35
AHNAK2	921.88	1551.09	123.5	33.3	39.79	11.73	1.97	0.0	9.41	4.39	0.0	6.01	195.72	8.19	14.35	0.65	31.67	1.45	19.97	4.28	2.94	0.54	1.3	934.76	128.79	981.29	371.22	242.88	698.41	1477.58	50.63	152.28	77.79	177.53	158.79
ALS2CL	307.69	105.89	503.95	381.68	583.07	264.03	115.16	796.86	525.39	2163.77	297.17	343.89	316.37	96.01	199.85	156.59	307.69	119.26	149.12	332.14	96.68	242.88	125.24	1519.15	660.68	656.11	819.3	967.76	1508.65	928.3	312.0	190.34	258.57	1397.83	490.14
ANKRD1	33.06	170.25	49.91	30.12	1.14	92.05	0.77	6.31	1.55	0.0	39.5	3.26	656.11	3.79	4.98	40.07	5.77	13.12	3.76	3.82	5.77	0.0	0.0	9.78	39.22	336.79	108.9	194.36	400.71	18.56	7.0	3614.55	518.15	620.67	409.15
ARF4	4152.18	3419.52	3901.01	3515.68	6079.61	4181.07	3467.27	2997.45	3372.43	2061.24	2255.7	3467.27	4152.18	2335.28	3928.15	1662.49	5006.93	2485.67	3235.01	3103.19	3168.41	1529.73	2956.17	6607.01	6207.38	5479.15	4802.93	3901.01	5076.84	6337.83	5255.91	7749.1	5219.6	3325.99	7180.15
ARHGAP21	246.28	343.89	175.07	229.72	332.14	171.45	204.07	194.36	131.51	194.36	299.25	71.5	267.73	82.29	123.5	158.79	212.78	100.83	98.73	163.28	181.28	171.45	217.27	974.5	412.0	441.64	638.15	429.54	507.46	785.88	265.87	395.18	563.18	275.28	373.81
ATP6V0A2	125.24	153.34	143.01	78.89	112.77	98.04	107.38	72.01	97.36	94.67	53.95	96.68	170.25	52.82	78.89	70.51	105.15	55.1	61.25	93.35	88.26	67.12	105.15	323.03	287.01	346.29	226.54	253.23	289.02	228.13	197.09	178.77	237.86	156.59	273.37
BCAR1	1508.65	1159.07	579.04	848.22	1242.34	743.43	669.92	314.17	612.11	363.56	293.07	693.58	769.69	656.11	514.56	409.15	796.86	265.87	521.76	703.28	470.14	438.59	555.41	1639.59	825.0	1225.22	1733.13	813.63	1340.84	1883.54	387.02	1397.83	1909.85	420.68	591.22
C15orf48	981.29	674.59	713.11	84.63	281.09	348.71	45.53	10.39	61.25	1733.13	27.25	642.59	1369.04	22.59	31.67	11.55	90.14	17.51	11.47	13.83	54.33	5.59	27.25	2573.36	591.22	2303.12	3794.3	486.75	1388.16	3349.13	1088.92	113.56	551.56	2271.4	785.88
CAPN2	1697.45	2119.22	1417.35	1044.52	1111.82	1721.16	1081.39	743.43	1191.69	638.15	642.59	974.5	1277.29	551.56	420.68	132.44	1313.23	438.59	384.34	591.22	476.71	563.18	500.46	6250.56	4671.57	5594.3	5954.47	3955.48	5006.93	3874.05	2816.11	1721.16	2682.69	2032.85	4010.71
CAPN8	11.13	26.47	7.94	41.52	242.88	28.04	7.57	17.0	28.04	10.08	7.46	40.36	17.64	1.13	2.58	2.1	18.97	0.0	8.32	3.86	4.98	13.03	0.0	2163.77	1561.89	3124.78	4010.71	830.75	4419.52	1199.98	848.22	3794.3	819.3	14461.21	1259.69
CARD6	105.89	162.14	84.63	92.05	157.68	51.35	19.25	65.26	58.71	63.0	34.75	40.93	118.43	30.34	15.11	14.56	49.91	9.56	41.52	34.02	158.79	22.92	36.01	232.94	232.94	209.84	244.57	231.32	291.04	224.97	269.6	384.34	169.07	232.94	267.73
CCND3	1233.75	1340.84	493.56	395.18	909.17	728.11	316.37	186.4	279.14	358.54	231.32	507.46	961.07	334.46	323.03	190.34	684.02	220.32	450.94	587.13	258.57	195.72	316.37	1605.83	2417.67	2351.53	2777.33	1857.6	2303.12	3614.55	2720.15	1167.14	3190.46	4038.61	2520.38
CD151	11424.74	8963.45	7032.37	6037.61	8778.97	13123.73	5913.33	7280.4	4181.07	10808.41	2997.45	11664.82	8479.89	2816.11	3081.75	1044.52	9344.14	2451.44	1781.89	6381.92	3372.43	1529.73	2573.36	7803.01	7749.1	10154.69	12589.08	6699.25	7642.41	11664.82	6381.92	9088.59	6561.36	10659.59	9088.59
CD55	540.19	728.11	366.09	651.58	713.11	258.57	38.95	255.0	339.14	260.38	314.17	115.16	616.37	400.71	423.61	116.78	1794.29	583.07	346.29	214.27	473.41	90.77	647.07	1508.65	8363.13	5791.62	4869.99	4671.57	4298.64	5555.65	3716.2	1378.57	7537.18	3124.78	7857.29
CD63	82378.63	67846.12	25354.3	26067.14	38430.46	18304.63	21919.61	22225.61	18304.63	12502.12	16611.71	21172.91	33922.56	11664.82	11664.82	13968.57	35609.13	12502.12	13776.25	14361.31	17681.08	5913.33	13586.57	30151.71	45072.75	50011.46	30999.42	50709.61	35363.15	31215.04	65990.84	67377.47	48307.85	97965.44	54727.32
CDC42SE1	896.64	1051.79	1437.15	638.15	669.92	1051.79	536.45	813.63	647.07	854.13	497.0	660.68	1111.82	265.87	518.15	265.87	1143.1	234.57	297.17	507.46	511.0	387.02	339.14	2520.38	2400.97	2119.22	2224.63	1977.24	2400.97	2148.82	1794.29	2255.7	4358.66	2004.85	2133.97
CLCF1	511.0	212.78	102.25	47.17	86.43	164.42	183.82	6.84	79.45	50.98	13.83	80.57	92.05	14.56	105.89	9.93	128.79	14.78	43.63	53.57	10.71	18.43	18.03	1081.39	185.11	221.86	151.22	185.11	151.22	420.68	87.03	255.0	679.29	145.02	153.34
CMTM3	1369.04	2148.82	403.5	339.14	167.9	303.44	172.65	301.33	215.77	97.36	603.67	521.76	974.5	149.12	77.79	85.82	242.88	79.45	150.17	115.97	277.2	102.25	96.01	1359.57	921.88	1175.27	890.44	1350.18	1030.12	825.0	1066.48	1844.76	1844.76	616.37	1268.46
CNKSR1	14.03	55.1	5.96	7.28	8.99	9.41	67.12	1.66	4.62	3.96	0.97	2.73	17.38	63.89	25.35	12.0	16.51	1.36	43.02	4.58	2.68	65.26	6.46	808.0	507.46	555.41	521.76	543.96	961.07	525.39	145.02	361.04	177.53	420.68	327.56
CRABP2	339.14	155.5	73.54	40.64	96.68	13.12	15.45	14.14	15.34	4.13	8.13	15.56	269.6	13.72	11.55	34.75	8.92	0.0	16.39	6.36	3.82	42.41	17.64	12589.08	1104.13	796.86	2018.8	1015.93	723.08	1617.0	34.26	529.06	339.14	92.7	361.04
DAZAP2	8078.22	7803.01	5954.47	4543.8	5403.7	3614.55	4607.24	5791.62	3257.52	3467.27	3146.52	2485.67	5831.91	4869.99	2895.31	4802.93	3901.01	4937.99	3190.46	4419.52	7230.1	2573.36	6426.31	9088.59	8598.28	8421.31	6652.97	7911.95	8134.41	8963.45	9945.68	5112.16	15607.02	4481.23	9344.14
DOK4	1447.15	723.08	647.07	1781.89	947.83	543.96	244.57	262.2	808.0	307.69	620.67	392.44	532.74	454.09	239.52	791.35	312.0	414.87	567.1	559.28	403.5	473.41	1051.79	890.44	967.76	878.17	1250.98	909.17	941.27	934.76	620.67	1388.16	98.73	1081.39	836.53
DRAM1	1175.27	1143.1	198.47	148.09	211.31	208.38	136.19	144.01	146.03	136.19	66.65	82.29	460.44	54.72	120.1	68.07	75.64	63.0	104.42	49.91	86.43	77.25	130.6	426.57	2664.15	1037.29	961.07	1870.53	543.96	470.14	2271.4	2855.44	872.1	1427.22	2875.3
EFHD2	1628.26	2075.59	967.76	785.88	780.44	995.0	967.76	688.78	684.02	808.0	733.19	981.29	1883.54	759.08	392.44	921.88	878.17	743.43	607.87	392.44	660.68	813.63	1051.79	3665.02	1832.01	3794.3	3564.78	2032.85	2319.15	2119.22	1572.76	1870.53	2573.36	2367.9	1909.85
EHD2	860.08	1467.37	679.29	343.89	400.71	316.37	301.33	164.42	267.73	118.43	121.79	70.01	848.22	148.09	57.89	77.79	743.43	96.68	99.43	115.16	127.89	87.65	113.56	2224.63	2664.15	1540.37	2591.27	2367.9	1540.37	1313.23	1397.83	2240.11	1857.6	3103.19	1745.2
EPHX3	31.9	34.51	7.69	5.11	1.62	7.88	0.55	1.5	2.68	1.53	1.66	2.18	13.93	2.48	0.0	9.63	15.56	1.87	2.89	4.24	8.45	2.53	5.59	17.38	122.64	70.01	185.11	63.0	149.12	563.18	68.07	48.52	14.03	432.53	115.97
EREG	31.0	1.68	0.45	0.0	63.0	0.0	0.0	13.22	0.73	0.0	0.0	1.14	4.98	0.0	3.69	0.0	0.74	0.0	3.03	0.0	1.14	0.31	0.0	28.04	145.02	23.25	16.63	76.71	3.86	39.79	23.59	61.25	323.03	43.94	75.11
