	TCGA.FJ.A871.01A.11R.A352.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.38.4625.01A.01R.1206.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.OIZI.0726.SM.2XCEI	GTEX.OHPM.2626.SM.33HC5	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.YF7O.0726.SM.4W213	GTEX.XUJ4.0726.SM.4BOOP	GTEX.T6MO.0226.SM.32QOL	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C	TCGA.N9.A4Q7.01A.11R.A28V.07
PROSER1	258.57	206.94	180.02	0.0	540.19	356.05	339.14	409.15	293.07	293.07	316.37	406.31	412.0	291.04	314.17	325.29	320.8	441.64	307.69	384.34	503.95	361.04
PUM1	273.37	361.04	493.56	540.19	1331.57	1143.1	1378.57	1639.59	819.3	733.19	825.0	1096.5	1350.18	684.02	718.08	684.02	995.0	1331.57	819.3	791.35	748.61	473.41
RAB2A	1359.57	1119.56	1135.2	4095.0	2915.45	2835.7	2627.46	3212.66	2400.97	2520.38	2664.15	2451.44	2720.15	2163.77	2255.7	2627.46	2178.83	2591.27	2319.15	2645.74	2591.27	1208.34
RAB7L1	140.04	132.44	429.54	379.04	1313.23	915.51	435.55	1304.15	543.96	896.64	802.41	764.36	1030.12	429.54	361.04	460.44	511.0	1023.0	738.29	688.78	620.67	221.86
RABGAP1L	78.89	215.77	236.21	0.0	392.44	403.5	409.15	387.02	202.66	120.1	202.66	289.02	332.14	209.84	283.05	229.72	190.34	271.48	279.14	217.27	273.37	376.41
RABGEF1	460.44	309.83	303.44	0.0	599.49	583.07	616.37	563.18	497.0	532.74	638.15	511.0	743.43	503.95	624.99	579.04	514.56	603.67	389.72	599.49	698.41	170.25
RALGPS2	27.84	120.1	31.45	0.0	205.5	144.01	229.72	239.52	59.55	119.26	86.43	143.01	190.34	41.81	87.65	61.68	67.59	146.03	59.13	78.89	113.56	57.08
RNF11	483.38	450.94	651.58	0.0	2573.36	2255.7	2163.77	2417.67	1769.57	1437.15	2018.8	1819.35	2075.59	1417.35	1819.35	1769.57	1685.71	2468.49	1268.46	2075.59	2351.53	323.03
RNF14	368.65	397.93	532.74	571.05	1191.69	1208.34	1709.26	1498.22	796.86	1008.9	1216.75	808.0	1286.18	775.05	769.69	954.43	860.08	981.29	825.0	921.88	954.43	289.02
RNF145	616.37	540.19	738.29	995.0	1066.48	967.76	896.64	1529.73	708.18	796.86	878.17	1183.45	1437.15	836.53	796.86	759.08	567.1	1697.45	1008.9	1127.35	1143.1	728.11
RNF180	5.19	11.38	11.04	0.0	444.72	348.71	476.71	486.75	217.27	94.01	244.57	248.0	353.59	115.16	237.86	190.34	221.86	318.57	132.44	293.07	303.44	2.46
RP11-343C2.11	77.25	0.0	0.0	0.0	66.18	84.63	182.55	119.26	12.55	63.89	65.26	98.04	95.34	37.05	0.0	7.17	30.34	125.24	50.98	26.47	285.03	3.89
RP11-47I22.3	78.89	7.88	0.38	0.0	15.8	10.63	9.48	12.18	9.56	3.0	2.94	5.92	10.39	7.17	8.45	6.16	6.01	16.39	4.06	8.0	7.11	4.5
RP11-886H22.1	0.0	0.0	0.0	0.0	6.46	0.0	3.72	0.0	0.0	0.0	0.0	5.5	4.35	0.0	0.0	2.63	0.0	0.0	0.0	0.0	0.0	0.0
SEC63	909.17	521.76	457.25	759.08	2434.5	2004.85	2163.77	1447.15	1896.65	2178.83	1685.71	1617.0	2032.85	1594.73	1721.16	1721.16	1225.22	2434.5	1583.71	1832.01	1529.73	896.64
SERAC1	74.58	36.27	65.72	0.0	170.25	170.25	208.38	248.0	136.19	102.25	156.59	189.02	191.67	114.36	133.36	127.0	119.26	206.94	146.03	143.01	212.78	65.26
SETD9	118.43	93.35	167.9	0.0	450.94	312.0	412.0	291.04	221.86	122.64	80.57	244.57	395.18	106.63	157.68	211.31	167.9	297.17	164.42	281.09	258.57	88.88
SKA2	1832.01	555.41	470.14	679.29	802.41	808.0	872.1	1322.37	571.05	647.07	698.41	830.75	921.88	532.74	559.28	796.86	708.18	934.76	665.29	921.88	698.41	571.05
SLC11A2	236.21	323.03	532.74	780.44	1519.15	1340.84	1313.23	1135.2	967.76	1295.13	1159.07	1143.1	1561.89	1066.48	1199.98	1037.29	1295.13	1721.16	1096.5	1051.79	1250.98	361.04
SLC25A24	178.77	104.42	153.34	0.0	603.67	343.89	438.59	612.11	329.84	265.87	343.89	511.0	555.41	341.51	346.29	429.54	314.17	423.61	325.29	361.04	480.04	136.19
SLC25A30	57.89	60.82	256.78	0.0	150.17	144.01	193.01	265.87	100.13	133.36	102.25	110.43	248.0	112.77	140.04	139.07	157.68	180.02	124.37	182.55	172.65	62.56
SLC37A3	341.51	217.27	629.35	0.0	656.11	723.08	743.43	819.3	633.73	647.07	521.76	764.36	830.75	529.06	651.58	540.19	525.39	638.15	612.11	693.58	748.61	447.82
SLC39A6	258.57	3665.02	366.09	0.0	748.61	674.59	866.07	802.41	438.59	612.11	665.29	612.11	836.53	450.94	500.46	567.1	470.14	633.73	432.53	607.87	518.15	271.48
SLCO1A2	20.71	0.0	0.3	0.0	9.56	6.31	2.43	7.57	0.0	0.0	0.74	4.31	7.69	1.1	0.36	0.12	2.68	8.78	0.0	0.13	2.86	55.89
SMAD4	169.07	237.86	236.21	0.0	2209.26	1487.87	2956.17	2018.8	1037.29	954.43	1096.5	1417.35	1857.6	1015.93	947.83	854.13	1208.34	1529.73	684.02	1457.23	1135.2	165.57
SMARCA1	387.02	85.22	177.53	0.0	1183.45	1008.9	1561.89	2104.58	974.5	974.5	1199.98	808.0	1427.22	775.05	915.51	825.0	941.27	1277.29	884.29	1268.46	909.17	111.99
SNX25	102.97	80.57	35.25	0.0	470.14	334.46	476.71	529.06	249.73	124.37	249.73	483.38	660.68	277.2	299.25	212.78	201.25	633.73	229.72	389.72	343.89	81.14
SNX4	106.63	193.01	271.48	0.0	1417.35	1417.35	1467.37	1529.73	947.83	1073.91	1191.69	967.76	1242.34	698.41	1001.93	1199.98	848.22	1388.16	921.88	1119.56	1073.91	260.38
SPAST	75.64	63.45	64.34	0.0	191.67	151.22	202.66	228.13	103.69	98.73	154.42	109.66	205.5	129.69	133.36	151.22	128.79	154.42	129.69	181.28	165.57	111.99
SPIN3	22.59	19.68	26.67	0.0	99.43	99.43	120.94	110.43	79.45	77.79	113.56	105.89	132.44	112.77	93.35	76.17	107.38	109.66	88.26	96.68	108.9	38.12
SSX2IP	56.68	36.27	99.43	249.73	201.25	205.5	170.25	283.05	101.54	133.36	178.77	159.9	212.78	73.54	97.36	127.0	127.89	239.52	164.42	138.1	127.89	295.11
STAG1	59.55	104.42	75.64	0.0	575.03	466.88	503.95	460.44	336.79	198.47	289.02	343.89	353.59	267.73	366.09	256.78	297.17	389.72	239.52	353.59	299.25	82.29
STAU1	780.44	1127.35	1135.2	0.0	2240.11	2133.97	2133.97	2485.67	1909.85	1331.57	1467.37	1794.29	2303.12	1191.69	1378.57	1594.73	1605.83	2645.74	1378.57	1487.87	1819.35	1233.75
STX12	267.73	339.14	444.72	444.72	3303.0	2758.13	3982.99	3039.3	2133.97	2384.37	2271.4	2777.33	3467.27	2018.8	1991.0	2520.38	2335.28	3235.01	1583.71	3168.41	3665.02	299.25
STX2	392.44	67.12	148.09	0.0	460.44	281.09	185.11	293.07	237.86	127.89	163.28	293.07	289.02	194.36	301.33	164.42	218.79	242.88	249.73	269.6	217.27	226.54
SWT1	32.82	18.29	20.86	0.0	82.87	92.7	124.37	125.24	58.71	46.84	49.21	74.58	97.36	72.01	71.5	66.18	56.68	88.88	49.91	89.51	77.79	29.7
SYDE2	2.05	6.89	4.62	0.0	98.04	86.43	115.97	100.13	43.02	42.41	75.64	87.65	115.97	45.53	57.49	58.71	49.56	80.01	62.12	74.06	100.13	11.55
SYNE2	161.02	1111.82	743.43	248.0	3190.46	2468.49	2502.97	3168.41	1923.14	2287.2	2777.33	1794.29	2627.46	2018.8	1781.89	1733.13	2224.63	2335.28	2367.9	2451.44	1950.0	387.02
TGFA	4.35	85.22	232.94	0.0	187.71	228.13	241.19	327.56	81.71	103.69	106.63	140.04	438.59	55.1	170.25	115.97	159.9	351.14	109.66	262.2	297.17	11.82
THOC2	376.41	414.87	113.56	0.0	1378.57	1030.12	1119.56	1159.07	693.58	674.59	842.36	967.76	1359.57	842.36	1008.9	785.88	854.13	1208.34	842.36	1023.0	1001.93	624.99
TIFA	47.84	114.36	164.42	0.0	620.67	529.06	327.56	1044.52	379.04	473.41	417.77	307.69	612.11	273.37	303.44	514.56	318.57	708.18	332.14	403.5	341.51	236.21
TMEM106B	100.83	94.67	163.28	0.0	796.86	684.02	825.0	1119.56	493.56	420.68	547.75	551.56	738.29	368.65	336.79	529.06	532.74	819.3	518.15	616.37	612.11	258.57
TMTC2	26.1	62.56	152.28	0.0	185.11	144.01	156.59	249.73	84.04	81.71	114.36	197.09	246.28	71.0	77.79	92.7	126.12	195.72	126.12	131.51	150.17	57.49
TPO	1.73	5.32	0.0	0.0	645473.24	757033.75	66449.85	260332.24	828417.36	716197.51	1078054.48	641014.63	687022.54	636586.81	598087.73	919186.72	492579.5	736332.6	875652.15	386469.83	2111737.85	0.0
TRAM1	660.68	703.28	1167.14	5672.41	4607.24	3982.99	3874.05	6699.25	2895.31	3103.19	3467.27	3103.19	3349.13	2287.2	2573.36	3874.05	2627.46	6471.02	3168.41	3103.19	3443.31	718.08
TRIB1	155.5	334.46	514.56	819.3	6652.97	4066.71	5076.84	3639.7	3103.19	2682.69	3081.75	4769.75	3168.41	2417.67	3515.68	2224.63	3060.45	2287.2	2451.44	3716.2	2720.15	187.71
TSPAN12	39.79	127.89	934.76	0.0	1015.93	813.63	1037.29	1519.15	363.56	543.96	543.96	629.35	1066.48	518.15	470.14	624.99	490.14	954.43	376.41	1208.34	579.04	368.65
TSPAN3	3564.78	1832.01	4836.35	3564.78	5995.9	6164.49	8247.98	7749.1	6426.31	5954.47	5954.47	7130.55	8538.88	5076.84	5711.87	5872.48	6792.79	8658.09	4972.34	7433.4	6471.02	2682.69
TTC37	178.77	157.68	55.89	0.0	780.44	616.37	981.29	830.75	511.0	591.22	497.0	521.76	836.53	563.18	583.07	397.93	547.75	780.44	518.15	616.37	866.07	169.07
UHRF1BP1L	110.43	82.29	46.84	180.02	314.17	260.38	287.01	339.14	178.77	146.03	120.94	205.5	208.38	156.59	186.4	136.19	193.01	262.2	116.78	159.9	195.72	88.88
UNC13C	0.0	0.29	0.0	0.0	72.01	17.38	12.27	28.86	16.75	9.56	6.78	32.13	71.0	5.87	2.36	22.43	17.0	34.51	1.17	32.36	18.03	0.54
UPF3B	242.88	120.1	29.48	0.0	297.17	265.87	551.56	339.14	173.85	224.97	253.23	325.29	256.78	275.28	285.03	228.13	204.07	269.6	208.38	273.37	258.57	518.15
UTRN	24.63	94.01	66.18	0.0	1617.0	988.12	1697.45	1561.89	878.17	476.71	679.29	1111.82	1572.76	387.02	629.35	460.44	825.0	1397.83	336.79	1066.48	703.28	40.07
UXS1	603.67	423.61	813.63	0.0	921.88	848.22	785.88	1208.34	633.73	743.43	607.87	866.07	1088.92	603.67	457.25	674.59	733.19	954.43	764.36	1104.13	665.29	941.27
VEGFC	29.91	162.14	134.3	0.0	854.13	1051.79	785.88	1259.69	559.28	941.27	896.64	974.5	1561.89	563.18	607.87	1008.9	995.0	981.29	769.69	1023.0	743.43	63.45
WDSUB1	57.49	133.36	90.77	0.0	379.04	432.53	518.15	733.19	283.05	264.03	258.57	339.14	532.74	291.04	295.11	403.5	283.05	547.75	236.21	447.82	358.54	166.73
ZFYVE20	120.94	109.66	102.97	0.0	551.56	392.44	435.55	403.5	387.02	256.78	361.04	361.04	457.25	223.41	283.05	234.57	403.5	511.0	205.5	412.0	312.0	80.01
ZHX1	156.59	151.22	79.45	460.44	1096.5	854.13	981.29	1417.35	493.56	423.61	607.87	698.41	1135.2	444.72	612.11	698.41	518.15	988.12	559.28	854.13	796.86	81.14
ZNF221	34.02	11.82	2.68	0.0	26.86	15.68	59.55	41.22	19.25	20.86	27.44	32.82	44.25	25.35	22.59	8.92	23.25	31.9	18.97	23.76	32.36	16.15
ZNF248	69.52	51.71	67.12	0.0	406.31	332.14	343.89	406.31	199.85	218.79	258.57	361.04	323.03	312.0	241.19	287.01	208.38	373.81	277.2	289.02	269.6	113.56
ZNF486	72.52	20.86	80.57	0.0	1225.22	1709.26	1883.54	1417.35	748.61	575.03	728.11	1216.75	2119.22	334.46	426.57	1322.37	660.68	1250.98	271.48	1844.76	995.0	7.28
ZNF607	62.56	32.59	23.25	0.0	144.01	99.43	124.37	127.0	88.26	98.04	105.15	111.21	137.14	104.42	101.54	111.99	87.65	113.56	101.54	130.6	116.78	72.01
ZNF682	56.28	51.71	23.42	0.0	323.03	190.34	231.32	102.25	289.02	346.29	457.25	223.41	339.14	299.25	206.94	224.97	127.0	122.64	145.02	239.52	426.57	84.04
ZNF711	31.9	42.41	23.42	0.0	212.78	148.09	161.02	166.73	58.71	85.22	84.04	157.68	169.07	59.13	93.35	90.77	92.7	329.84	71.5	129.69	99.43	24.63
ZNF774	6.36	20.26	9.7	0.0	80.01	76.17	57.08	80.01	47.17	57.49	61.68	51.35	82.29	62.12	54.72	53.57	64.34	59.13	58.3	53.95	96.01	10.0
