	TCGA.FJ.A871.01A.11R.A352.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.38.4625.01A.01R.1206.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.OIZI.0726.SM.2XCEI	GTEX.OHPM.2626.SM.33HC5	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.YF7O.0726.SM.4W213	GTEX.XUJ4.0726.SM.4BOOP	GTEX.T6MO.0226.SM.32QOL	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C	TCGA.N9.A4Q7.01A.11R.A28V.07
CCDC110	4.58	5.23	1.35	0.0	141.02	95.34	155.5	198.47	50.98	89.51	115.16	98.73	239.52	88.88	143.01	144.01	120.1	176.29	70.51	221.86	130.6	6.06
CCDC178	0.0	2.05	9.63	0.0	81.71	38.12	52.45	53.95	30.78	4.98	23.76	40.64	96.68	5.06	12.0	21.01	15.45	43.63	4.06	19.97	30.34	2.43
CD2AP	92.05	79.45	140.04	414.87	447.82	371.22	563.18	624.99	239.52	217.27	301.33	275.28	363.56	215.77	260.38	275.28	189.02	381.68	260.38	351.14	307.69	318.57
CDK13	262.2	251.48	236.21	0.0	703.28	620.67	660.68	703.28	514.56	450.94	518.15	642.59	674.59	595.34	599.49	543.96	454.09	599.49	543.96	579.04	532.74	269.6
CEP63	236.21	269.6	88.88	255.0	674.59	500.46	728.11	583.07	356.05	444.72	698.41	493.56	583.07	403.5	435.55	490.14	507.46	447.82	429.54	476.71	454.09	187.71
CHML	54.72	13.83	11.13	0.0	114.36	91.41	112.77	165.57	48.18	47.17	50.27	75.11	75.64	52.08	65.72	51.35	52.82	87.65	52.08	53.95	71.0	77.79
CLUL1	2.89	10.0	25.17	0.0	420.68	291.04	483.38	432.53	215.77	146.03	127.89	414.87	329.84	63.89	111.21	273.37	170.25	363.56	130.6	223.41	293.07	2.58
CMTM6	312.0	395.18	633.73	1322.37	1216.75	1127.35	1628.26	1819.35	830.75	866.07	974.5	738.29	1030.12	575.03	708.18	1151.06	688.78	1286.18	728.11	902.89	902.89	346.29
COMMD2	229.72	178.77	258.57	693.58	612.11	507.46	603.67	647.07	441.64	363.56	463.65	559.28	532.74	483.38	470.14	412.0	384.34	547.75	395.18	540.19	595.34	291.04
CREBZF	190.34	224.97	242.88	0.0	1369.04	1037.29	1059.11	854.13	718.08	748.61	1001.93	1467.37	1304.15	915.51	1250.98	974.5	1081.39	1199.98	902.89	1030.12	1159.07	299.25
CRK	490.14	318.57	497.0	426.57	1015.93	954.43	1001.93	1073.91	813.63	679.29	934.76	954.43	1127.35	753.83	819.3	866.07	802.41	909.17	633.73	1044.52	941.27	473.41
CTCFL	0.29	0.0	0.0	0.0	2.2	0.0	1.01	1.28	0.75	0.96	0.39	2.34	1.62	0.39	1.03	0.0	0.0	0.71	1.57	0.99	1.2	0.0
CYP1A2	0.0	3.2	0.33	0.0	48.87	76.71	46.18	104.42	26.1	3.26	23.08	54.33	64.34	9.85	27.05	13.93	30.56	59.13	5.92	68.07	22.26	0.0
DCAF17	41.22	48.52	53.57	0.0	514.56	346.29	603.67	624.99	244.57	190.34	267.73	327.56	466.88	239.52	269.6	269.6	260.38	518.15	265.87	334.46	309.83	67.59
DNAJC10	460.44	493.56	314.17	0.0	1697.45	1037.29	1457.23	1369.04	947.83	1104.13	878.17	995.0	1467.37	1001.93	808.0	836.53	802.41	2520.38	1001.93	921.88	1119.56	507.46
DSTN	3419.52	5672.41	3325.99	10225.32	11504.21	12329.98	13872.08	16960.78	8363.13	8363.13	8022.41	10014.87	11909.94	7230.1	8421.31	10440.2	8022.41	13776.25	8421.31	11584.24	11664.82	3540.14
DTX4	99.43	67.59	50.63	0.0	902.89	329.84	693.58	571.05	141.02	187.71	151.22	312.0	1242.34	109.66	191.67	246.28	211.31	896.64	55.89	928.3	128.79	55.1
DUSP16	36.27	182.55	187.71	0.0	466.88	327.56	295.11	429.54	253.23	151.22	251.48	316.37	356.05	180.02	189.02	121.79	269.6	339.14	172.65	236.21	285.03	115.97
EIF4E	575.03	470.14	318.57	1639.59	1277.29	1242.34	1081.39	2178.83	1447.15	1397.83	1639.59	1233.75	1594.73	995.0	1191.69	1135.2	1066.48	1359.57	1127.35	1183.45	1250.98	327.56
ELF1	92.7	341.51	271.48	450.94	1832.01	1225.22	1769.57	2004.85	1388.16	1051.79	1467.37	981.29	1208.34	1250.98	1001.93	1104.13	1066.48	1259.69	769.69	1407.55	1540.37	232.94
ERCC6	25.17	30.12	26.1	0.0	134.3	99.43	127.89	135.24	85.22	63.0	78.89	133.36	119.26	82.87	85.82	72.52	93.35	92.7	81.14	90.77	84.04	23.59
