	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.2668.11A.01R.1758.07	GTEX.13NYS.1626.SM.5J2MU	GTEX.13U4I.1426.SM.5J2M3	GTEX.1313W.0926.SM.5EQ56	GTEX.XV7Q.0426.SM.4BRVN	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YECK.0926.SM.4W214	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.111FC.1126.SM.5GZWU	GTEX.WY7C.0426.SM.3NB3C	GTEX.11I78.0126.SM.5HL6F	GTEX.11ZUS.0126.SM.5EQM5	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.P78B.0926.SM.2I5FA	GTEX.13OW6.0826.SM.5L3GA	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.13FTX.0326.SM.5J2NG	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.131XH.0426.SM.5DUWU	TCGA.43.6143.11A.01R.1820.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EM.A4FK.01A.11R.A250.07
AC104809.3	0.0	0.15	5.32	82.29	16.03	8.19	6.26	29.91	239.52	265.87	0.03	24.99	119.26	105.15	71.0	392.44	253.23	392.44	836.53	323.03	54.72	9.27	256.78	329.84	575.03	136.19	181.28	463.65	371.22	12.27	309.83	5.06	0.0	1.39	0.0
ACTN2	0.0	0.39	28.65	74.58	43.94	30.12	14.89	87.65	708.18	75.11	26.28	50.63	229.72	53.95	38.67	432.53	105.89	89.51	234.57	157.68	275.28	42.11	57.08	206.94	28.24	42.71	164.42	152.28	90.77	61.68	511.0	54.72	2.2	3.82	13.93
ANKK1	0.0	0.3	3.41	18.43	10.88	3.82	5.15	16.15	128.79	18.56	4.31	8.78	25.72	5.06	6.94	40.64	29.91	30.12	145.02	275.28	18.97	2.16	16.88	44.57	59.55	32.82	29.48	77.25	59.97	13.72	34.26	10.71	3.96	1.19	3.5
ANKRD45	0.0	0.0	8.06	114.36	47.5	29.27	14.24	63.89	124.37	65.72	28.65	40.07	173.85	114.36	29.06	98.04	260.38	303.44	279.14	559.28	111.99	3.92	183.82	201.25	981.29	84.04	94.01	400.71	140.04	23.42	293.07	31.9	3.23	3.53	2.14
BARX2	0.0	0.14	1.95	40.64	5.41	0.0	6.01	12.0	72.01	17.77	4.54	4.98	55.1	17.25	4.17	74.06	110.43	77.79	271.48	361.04	8.71	3.41	37.05	109.66	642.59	44.89	31.67	248.0	46.5	3.76	108.14	8.0	1.0	0.21	0.0
BCAS1	0.0	0.16	14.67	45.85	13.62	17.77	0.06	12.64	231.32	25.91	11.21	2.66	234.57	52.08	48.52	120.1	229.72	157.68	1388.16	2224.63	111.99	49.21	72.52	493.56	7280.4	71.0	166.73	1135.2	217.27	13.93	967.76	17.0	0.0	2.05	0.69
C11orf53	0.0	0.0	2.23	12.93	0.0	0.0	9.13	7.22	1437.15	18.03	2.63	3.29	6.21	7.22	13.32	45.53	66.18	17.25	178.77	28.04	1.83	1.62	6.21	34.26	201.25	10.0	7.94	22.75	21.16	5.92	33.78	0.75	0.0	0.0	0.0
C1orf110	0.0	0.0	2.39	73.54	14.03	39.22	9.27	38.67	283.05	74.06	31.0	3.69	202.66	49.21	69.52	102.97	167.9	343.89	1844.76	3372.43	212.78	6.57	61.68	669.92	7382.04	58.71	165.57	547.75	808.0	0.0	1008.9	1.58	0.0	0.0	0.0
C1orf173	0.0	0.0	2.61	135.24	31.0	20.56	12.18	110.43	543.96	173.85	9.2	24.99	353.59	136.19	82.87	368.65	547.75	476.71	896.64	915.51	72.52	5.87	403.5	389.72	1119.56	204.07	318.57	872.1	318.57	4.46	334.46	1.69	0.0	0.39	0.0
C20orf26	0.0	0.0	4.9	79.45	12.83	29.91	10.16	52.82	249.73	87.65	12.83	15.91	175.07	84.04	31.67	149.12	195.72	180.02	420.68	307.69	76.71	10.24	229.72	208.38	543.96	106.63	150.17	371.22	94.01	8.78	185.11	7.46	3.99	6.67	7.46
C5orf49	0.0	0.0	15.45	1023.0	101.54	82.29	68.55	463.65	2133.97	1066.48	25.91	106.63	1508.65	791.35	220.32	1572.76	1936.53	1662.49	5076.84	6037.61	450.94	47.84	1950.0	2351.53	5112.16	1044.52	1437.15	3742.05	1277.29	41.81	1639.59	7.06	2.73	4.17	5.28
CACNG6	0.0	0.0	3.23	114.36	17.9	23.76	14.45	72.01	651.58	163.28	14.78	37.05	246.28	123.5	147.06	426.57	265.87	395.18	759.08	1183.45	96.68	8.06	226.54	395.18	1487.87	195.72	279.14	612.11	381.68	25.17	473.41	3.08	0.0	0.0	0.0
CCDC160	0.0	0.0	0.29	20.11	6.62	1.83	13.83	9.06	81.14	13.52	16.39	4.82	53.95	22.26	7.57	50.98	68.55	71.0	177.53	144.01	10.88	5.54	80.01	71.0	242.88	47.84	36.79	149.12	47.84	0.0	99.43	0.35	0.62	0.58	2.68
CCDC19	0.0	0.05	26.28	234.57	41.52	62.12	30.78	234.57	1340.84	303.44	24.11	62.56	470.14	249.73	105.89	1008.9	713.11	647.07	1369.04	1583.71	156.59	191.67	660.68	633.73	1674.06	356.05	547.75	1216.75	361.04	38.4	1015.93	25.35	3.72	13.62	3.06
CCDC33	0.0	0.0	1.14	129.69	13.42	20.26	10.88	43.02	289.02	131.51	4.86	18.97	166.73	67.12	49.91	281.09	204.07	199.85	575.03	743.43	84.63	8.58	165.57	256.78	599.49	81.71	180.02	361.04	204.07	3.38	237.86	0.04	3.59	0.36	1.04
CHST9	0.0	0.0	6.31	325.29	17.0	21.78	15.91	226.54	890.44	232.94	0.0	25.54	629.35	182.55	81.14	414.87	1259.69	713.11	3039.3	2434.5	121.79	23.42	412.0	896.64	2609.3	429.54	595.34	2935.74	1225.22	0.0	759.08	0.75	0.0	0.0	0.75
CP	0.0	0.37	202.66	3103.19	267.73	387.02	169.07	450.94	8963.45	514.56	194.36	551.56	2777.33	1697.45	379.04	2573.36	1467.37	2855.44	3303.0	14361.31	435.55	497.0	2895.31	3235.01	17927.91	1605.83	381.68	12415.75	1096.5	447.82	6983.79	361.04	29.06	11.73	0.0
DNAH9	0.0	0.0	7.69	660.68	24.81	102.25	29.7	141.02	813.63	379.04	16.15	51.71	688.78	414.87	144.01	890.44	995.0	769.69	3491.39	1963.57	205.5	23.59	902.89	954.43	3349.13	575.03	764.36	1832.01	808.0	15.56	1015.93	5.73	15.91	14.35	9.2
DTHD1	0.0	0.0	6.57	96.68	12.93	31.0	7.69	75.64	361.04	153.34	17.0	26.47	246.28	94.67	44.57	351.14	332.14	228.13	511.0	432.53	36.27	9.93	224.97	228.13	808.0	116.78	217.27	567.1	206.94	8.65	316.37	14.14	2.86	0.6	0.3
FOXA1	0.0	0.13	163.28	371.22	303.44	215.77	149.12	703.28	808.0	743.43	497.0	346.29	346.29	748.61	665.29	728.11	1350.18	1769.57	2627.46	1259.69	363.56	791.35	825.0	988.12	5366.37	974.5	384.34	3874.05	884.29	660.68	1721.16	143.01	4.31	2.01	10.39
GSTA1	0.0	0.0	56.68	656.11	351.14	314.17	57.08	693.58	1225.22	1540.37	33.78	221.86	1397.83	2451.44	830.75	1605.83	11035.54	13123.73	22535.88	19214.73	819.3	95.34	6250.56	12329.98	124863.17	2855.44	12676.65	25887.07	8305.36	26.1	13681.08	55.1	0.0	0.0	0.0
GSTA2	0.0	0.0	12.64	76.71	43.02	202.66	0.0	22.59	152.28	48.18	0.0	18.16	87.03	98.73	327.56	55.49	669.92	1008.9	679.29	3928.15	88.88	57.08	117.6	728.11	17681.08	201.25	1757.34	3901.01	4010.71	11.73	2855.44	0.0	0.0	0.0	0.0
HEPACAM2	0.0	0.0	0.97	5.68	0.95	0.0	4.46	9.34	12.27	11.82	0.0	0.0	22.59	3.03	0.85	25.35	22.59	3.99	74.58	74.58	0.99	0.85	4.9	28.04	54.72	197.09	22.26	113.56	1.0	5.77	30.12	0.38	0.67	0.0	1.03
HHLA2	0.0	0.0	10.39	679.29	56.68	10.63	14.89	165.57	780.44	332.14	2.53	21.47	759.08	131.51	26.86	854.13	1407.55	743.43	1467.37	1794.29	51.35	6.78	759.08	884.29	3614.55	373.81	915.51	1806.78	309.83	16.03	1397.83	22.75	0.0	0.96	1.28
