	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A50L.01A.11R.A260.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A51D.01A.11R.A36D.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.IG.A3Y9.01A.12R.A24K.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.SNMC.0526.SM.4DM69	GTEX.ZTSS.0626.SM.59867	GTEX.V1D1.1026.SM.4JBHE	GTEX.11P7K.1326.SM.5BC5G	GTEX.NFK9.1126.SM.3LK78	GTEX.131XE.1426.SM.5HL7V	GTEX.Y3IK.1126.SM.51MSV	GTEX.1399R.0826.SM.5IJEL	GTEX.14BMU.0926.SM.5S2QB	GTEX.VJYA.0726.SM.4KL1T	GTEX.RN64.1026.SM.48FDX	GTEX.14AS3.0626.SM.5QGQD	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AAED1	26.28	115.16	332.14	450.94	22.59	277.2	74.58	73.54	83.45	66.18	108.14	176.29	159.9	175.07	26.47	81.14	229.72	228.13	100.13	44.25	77.79	41.22	45.21	54.33	74.58	41.22	73.54	70.01	136.19	54.33	42.41	39.22	100.83	140.04
ABL2	33.3	92.05	156.59	221.86	84.63	181.28	55.89	73.54	69.03	77.25	120.1	132.44	127.89	169.07	35.0	49.56	84.63	154.42	166.73	37.32	46.5	36.01	57.89	48.87	49.21	52.08	50.27	51.35	119.26	37.59	42.41	50.27	33.78	27.84
AC010441.1	148.09	142.01	796.86	941.27	500.46	974.5	656.11	1437.15	603.67	698.41	356.05	769.69	529.06	1340.84	253.23	447.82	723.08	796.86	1127.35	329.84	373.81	104.42	114.36	123.5	229.72	215.77	190.34	173.85	674.59	151.22	92.7	191.67	135.24	224.97
ACSL4	629.35	217.27	511.0	486.75	249.73	480.04	249.73	82.87	231.32	307.69	363.56	283.05	256.78	314.17	166.73	185.11	406.31	291.04	1199.98	161.02	173.85	228.13	234.57	205.5	178.77	251.48	426.57	199.85	947.83	256.78	81.14	209.84	201.25	336.79
AL360004.1	0.0	0.73	3.72	1.73	0.0	0.91	0.18	0.16	0.0	0.15	1.3	0.44	0.62	1.04	0.0	0.0	0.35	0.13	3.66	0.19	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.0
ALKBH2	483.38	1015.93	463.65	595.34	624.99	579.04	406.31	819.3	432.53	529.06	511.0	612.11	444.72	620.67	373.81	525.39	432.53	500.46	728.11	356.05	361.04	353.59	309.83	269.6	334.46	329.84	346.29	232.94	444.72	384.34	334.46	351.14	444.72	395.18
ARPC1B	1498.22	2400.97	5751.61	5751.61	2178.83	21768.19	2956.17	4328.55	7695.57	5183.54	5255.91	8901.53	7230.1	4736.79	1508.65	4066.71	8778.97	11267.44	3589.58	1378.57	1617.0	518.15	1051.79	684.02	1259.69	1242.34	921.88	995.0	2133.97	1191.69	591.22	995.0	1794.29	1437.15
ARSB	14.14	36.27	457.25	152.28	20.86	2287.2	36.01	21.01	156.59	81.14	43.63	133.36	29.27	78.89	8.78	17.64	76.17	114.36	189.02	17.64	35.76	32.82	24.46	18.97	22.75	26.1	36.27	53.95	97.36	19.97	14.14	20.56	37.05	13.12
BFAR	599.49	974.5	1143.1	941.27	718.08	921.88	543.96	536.45	532.74	521.76	599.49	947.83	1388.16	988.12	318.57	629.35	738.29	743.43	1250.98	341.51	454.09	395.18	395.18	403.5	441.64	376.41	511.0	329.84	571.05	381.68	293.07	400.71	457.25	480.04
BICD1	95.34	63.89	423.61	547.75	149.12	223.41	91.41	176.29	136.19	164.42	228.13	336.79	239.52	205.5	42.71	124.37	159.9	371.22	651.58	55.49	42.71	15.22	40.36	38.67	30.12	28.04	59.97	40.07	78.34	40.64	42.41	35.0	15.91	22.26
BOLA2B	1936.53	2468.49	1963.57	3395.89	4038.61	3794.3	2367.9	3325.99	5112.16	2796.65	2255.7	3124.78	1950.0	5041.77	1806.78	2609.3	1781.89	2178.83	1923.14	1242.34	1594.73	1639.59	1487.87	1233.75	1477.58	1242.34	1721.16	1407.55	1977.24	1051.79	1883.54	1870.53	2915.45	2004.85
C17orf96	483.38	26.1	166.73	155.5	224.97	82.29	119.26	43.02	981.29	109.66	60.82	141.02	87.03	147.06	35.5	81.14	57.08	147.06	239.52	44.57	49.56	21.47	16.39	20.26	37.32	33.78	18.84	12.27	199.85	51.71	19.25	19.11	47.17	51.35
C1QA	688.78	1498.22	6983.79	2032.85	1467.37	7081.29	2271.4	842.36	2417.67	5183.54	1037.29	4388.98	5366.37	2935.74	1088.92	1467.37	1259.69	3742.05	2777.33	301.33	775.05	208.38	251.48	217.27	277.2	441.64	397.93	536.45	1437.15	325.29	66.18	143.01	1081.39	1697.45
C1QB	595.34	1159.07	13306.94	3395.89	2335.28	12853.63	4066.71	1008.9	2502.97	8363.13	1883.54	9740.98	8247.98	4607.24	1844.76	2133.97	1963.57	9025.81	5555.65	341.51	981.29	289.02	301.33	381.68	353.59	656.11	616.37	603.67	2351.53	403.5	96.68	173.85	1551.09	2367.9
C1QC	540.19	974.5	9409.14	2451.44	1617.0	8598.28	2520.38	514.56	1304.15	4639.29	1199.98	5555.65	4358.66	2555.58	1199.98	1950.0	1242.34	5517.27	4123.49	277.2	660.68	202.66	206.94	303.44	269.6	551.56	409.15	486.75	1572.76	351.14	68.07	136.19	981.29	1685.71
