	GTEX.145MN.0326.SM.5QGQI	GTEX.R55G.0826.SM.2TC5U	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A2MX.11C.11R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.11ZTS.1126.SM.5LU9X	GTEX.14E6C.2626.SM.5RQJP	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.148VJ.0726.SM.5LU8J	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.14753.0926.SM.5Q5BI	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.139YR.1226.SM.5IFEU	GTEX.XUW1.1026.SM.4BONY	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.RWSA.0826.SM.2XCBF	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13QJC.0826.SM.5RQKC	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.11UD2.0626.SM.5GU6L	GTEX.13W46.0926.SM.5LU3T	GTEX.ZYT6.0426.SM.5GID3	GTEX.XBEW.0126.SM.4AT66	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13O3P.0726.SM.5J2OM	GTEX.Z9EW.0226.SM.5CVM7	GTEX.V1D1.0926.SM.4JBHQ
AP2B1	3564.78	3018.3	1388.16	1183.45	1242.34	1151.06	1073.91	1977.24	2104.58	1674.06	1832.01	1870.53	1721.16	1745.2	2104.58	1250.98	1794.29	1806.78	1662.49	1322.37	988.12	1059.11	921.88	1427.22	2367.9	1268.46	2119.22	2047.0	1639.59	1183.45	1628.26	1733.13	2018.8	1844.76	1923.14	981.29	1709.26	1870.53	2018.8	1477.58	1674.06	2090.03	1529.73	1350.18	1540.37	1721.16	2032.85	1175.27	1733.13	1769.57	1175.27	1340.84	2004.85	1487.87	1561.89	1250.98	1806.78	2075.59	1883.54	1233.75	1304.15	1519.15	1322.37	1844.76	2004.85	1378.57	2485.67	2119.22	1605.83	1936.53	1340.84	1685.71	1322.37	1950.0	1498.22	1331.57	1662.49	1295.13	1896.65	1104.13	1111.82	1044.52	1322.37	1369.04	1923.14	1322.37	2061.24	1242.34
ATP6V1A	4181.07	1417.35	819.3	591.22	514.56	660.68	638.15	1127.35	928.3	748.61	1001.93	915.51	1008.9	967.76	934.76	679.29	769.69	1104.13	902.89	629.35	476.71	432.53	417.77	693.58	1259.69	532.74	854.13	909.17	748.61	651.58	796.86	629.35	1127.35	884.29	1059.11	318.57	775.05	988.12	928.3	928.3	1008.9	1008.9	511.0	591.22	836.53	860.08	954.43	525.39	753.83	836.53	624.99	934.76	1073.91	679.29	896.64	607.87	1044.52	928.3	825.0	571.05	988.12	1088.92	638.15	642.59	808.0	733.19	1088.92	974.5	947.83	1322.37	571.05	688.78	819.3	988.12	1159.07	490.14	733.19	713.11	981.29	470.14	483.38	460.44	616.37	669.92	961.07	397.93	872.1	518.15
BPNT1	1268.46	1023.0	389.72	262.2	295.11	316.37	346.29	503.95	651.58	532.74	514.56	521.76	480.04	571.05	595.34	379.04	532.74	483.38	616.37	339.14	253.23	287.01	246.28	412.0	813.63	320.8	450.94	476.71	563.18	457.25	400.71	490.14	647.07	587.13	603.67	236.21	571.05	532.74	547.75	547.75	559.28	587.13	414.87	327.56	320.8	603.67	551.56	299.25	476.71	567.1	356.05	432.53	738.29	529.06	450.94	339.14	547.75	514.56	463.65	329.84	595.34	674.59	417.77	486.75	473.41	444.72	529.06	587.13	547.75	583.07	323.03	563.18	239.52	551.56	638.15	348.71	417.77	438.59	403.5	279.14	358.54	316.37	356.05	500.46	525.39	293.07	616.37	320.8
C1GALT1C1	780.44	884.29	373.81	500.46	438.59	463.65	432.53	603.67	693.58	547.75	486.75	575.03	521.76	532.74	743.43	476.71	579.04	563.18	723.08	318.57	293.07	287.01	287.01	466.88	684.02	384.34	579.04	529.06	397.93	473.41	493.56	483.38	723.08	473.41	633.73	237.86	642.59	536.45	507.46	559.28	551.56	532.74	500.46	420.68	346.29	543.96	583.07	356.05	454.09	669.92	406.31	500.46	808.0	511.0	521.76	320.8	540.19	438.59	486.75	409.15	651.58	703.28	412.0	414.87	536.45	532.74	587.13	620.67	532.74	532.74	368.65	642.59	363.56	555.41	466.88	460.44	466.88	460.44	543.96	316.37	228.13	381.68	525.39	414.87	684.02	426.57	603.67	444.72
CAPZA2	4903.87	6164.49	1457.23	1322.37	2104.58	1225.22	1781.89	2520.38	3257.52	2018.8	2537.92	2255.7	2400.97	2935.74	2976.74	1806.78	2271.4	2627.46	3419.52	1572.76	1104.13	1551.09	1467.37	2163.77	4419.52	1936.53	2835.7	2609.3	2255.7	2193.99	2178.83	1832.01	3303.0	1909.85	2061.24	1359.57	2573.36	2163.77	2609.3	2835.7	2004.85	2935.74	1769.57	2271.4	1561.89	2271.4	1977.24	1498.22	1883.54	2701.35	1175.27	1733.13	3665.02	2255.7	2303.12	1936.53	2240.11	2335.28	2032.85	1781.89	2537.92	2502.97	1685.71	1909.85	2591.27	2104.58	2758.13	2417.67	1909.85	2367.9	1617.0	2485.67	1572.76	2193.99	2537.92	1685.71	1781.89	2287.2	2018.8	1674.06	1208.34	1896.65	1991.0	1909.85	2664.15	1733.13	2193.99	1477.58
CCNY	1896.65	1832.01	733.19	624.99	629.35	612.11	718.08	1059.11	1304.15	1151.06	1417.35	1088.92	872.1	1051.79	1167.14	819.3	1175.27	1030.12	1250.98	1183.45	633.73	571.05	651.58	836.53	1233.75	995.0	1233.75	915.51	1191.69	1066.48	764.36	1081.39	988.12	1250.98	1051.79	638.15	1023.0	902.89	1268.46	1073.91	1104.13	1104.13	1151.06	1135.2	884.29	1259.69	1191.69	836.53	921.88	1088.92	785.88	718.08	1208.34	928.3	759.08	802.41	1151.06	1111.82	988.12	967.76	884.29	941.27	647.07	1073.91	1175.27	995.0	1119.56	1088.92	748.61	1096.5	674.59	947.83	1268.46	1104.13	1175.27	988.12	866.07	759.08	1104.13	748.61	656.11	848.22	1030.12	733.19	1277.29	587.13	896.64	607.87
CHCHD3	1870.53	1674.06	848.22	808.0	1250.98	819.3	848.22	1250.98	1216.75	1008.9	1250.98	1066.48	1073.91	1331.57	1447.15	860.08	1081.39	878.17	1508.65	633.73	536.45	587.13	450.94	1135.2	1467.37	921.88	1081.39	961.07	866.07	974.5	921.88	728.11	1167.14	1369.04	1487.87	441.64	1242.34	1008.9	1167.14	1175.27	1111.82	1268.46	854.13	860.08	748.61	1268.46	1250.98	633.73	884.29	1467.37	684.02	878.17	1277.29	1104.13	941.27	967.76	1127.35	1369.04	825.0	616.37	1225.22	1331.57	769.69	1096.5	1208.34	860.08	1104.13	1417.35	1350.18	974.5	688.78	1225.22	791.35	1111.82	1467.37	647.07	842.36	878.17	1015.93	718.08	441.64	583.07	941.27	753.83	1250.98	463.65	1295.13	521.76
CHMP3	2935.74	3589.58	1936.53	1617.0	1467.37	1651.0	1639.59	2319.15	2720.15	2451.44	2367.9	2573.36	2271.4	2609.3	2816.11	1529.73	2255.7	2240.11	3235.01	1832.01	1277.29	1639.59	1111.82	2287.2	2351.53	1806.78	2915.45	2485.67	2224.63	2485.67	1991.0	2032.85	2384.37	2287.2	2240.11	1304.15	2835.7	2271.4	2502.97	2609.3	2032.85	2400.97	2664.15	2609.3	2047.0	2384.37	2591.27	1457.23	2209.26	2400.97	1572.76	1757.34	2935.74	1963.57	2255.7	2133.97	2303.12	2240.11	2090.03	1697.45	1991.0	1950.0	1936.53	2645.74	2609.3	2047.0	2287.2	2032.85	2193.99	2855.44	1991.0	2520.38	1806.78	2075.59	2178.83	1639.59	1819.35	2018.8	2720.15	1594.73	1104.13	1844.76	2178.83	1806.78	2520.38	1551.09	2485.67	1477.58
CLCN3	1359.57	642.59	291.04	273.37	265.87	271.48	277.2	555.41	583.07	429.54	497.0	503.95	466.88	500.46	525.39	417.77	507.46	389.72	525.39	232.94	271.48	318.57	163.28	318.57	698.41	336.79	441.64	441.64	423.61	381.68	381.68	346.29	642.59	435.55	429.54	183.82	521.76	457.25	483.38	483.38	400.71	514.56	420.68	239.52	323.03	529.06	454.09	273.37	395.18	486.75	363.56	426.57	684.02	376.41	392.44	332.14	438.59	473.41	466.88	273.37	429.54	559.28	363.56	450.94	400.71	412.0	525.39	587.13	353.59	486.75	334.46	417.77	212.78	518.15	525.39	316.37	447.82	323.03	376.41	217.27	226.54	320.8	376.41	312.0	567.1	289.02	503.95	293.07
DAG1	2555.58	1733.13	551.56	480.04	420.68	432.53	518.15	878.17	884.29	674.59	802.41	825.0	759.08	1073.91	825.0	620.67	802.41	575.03	748.61	454.09	363.56	438.59	379.04	575.03	934.76	400.71	866.07	764.36	612.11	603.67	684.02	713.11	878.17	860.08	764.36	356.05	878.17	909.17	909.17	842.36	723.08	909.17	738.29	397.93	651.58	748.61	684.02	417.77	753.83	890.44	591.22	591.22	825.0	708.18	679.29	521.76	813.63	802.41	620.67	470.14	624.99	624.99	551.56	791.35	941.27	665.29	764.36	909.17	595.34	802.41	412.0	848.22	503.95	842.36	780.44	463.65	665.29	616.37	559.28	432.53	432.53	540.19	733.19	563.18	921.88	435.55	878.17	457.25
