	TCGA.E7.A541.01A.11R.A26T.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	GTEX.132AR.0826.SM.5EGK6	GTEX.YJ8O.2226.SM.5IFHW	GTEX.146FH.0826.SM.5SI8T	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.ZH.A8Y6.01A.11R.A41I.07	GTEX.12WSG.0826.SM.5EQ5A	TCGA.B4.5836.01A.11R.1672.07	TCGA.B0.5812.01A.11R.1672.07	TCGA.B2.5639.01A.01R.1541.07	TCGA.B4.5843.01A.11R.1672.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CZ.5463.01A.01R.1503.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.AK.3456.01A.02R.1325.07	TCGA.B8.5546.01A.01R.1541.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5834.01A.11R.1672.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.B0.5701.01A.11R.1541.07	TCGA.B0.5711.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.F9.A8NY.01A.11R.A36F.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.BQ.5888.11A.01R.1592.07	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.CD.5801.01A.11R.1602.13	TCGA.B7.5818.01A.11R.1602.13	GTEX.1399T.0126.SM.5KM15
AFF4	131.51	1096.5	780.44	679.29	921.88	1304.15	212.78	748.61	743.43	486.75	371.22	836.53	1477.58	511.0	1175.27	660.68	780.44	1135.2	660.68	518.15	1104.13	848.22	974.5	802.41	638.15	620.67	1037.29	579.04	753.83	454.09	1037.29	1175.27	947.83	1233.75	848.22	255.0	414.87	327.56	218.79	420.68	165.57	334.46	305.55	376.41	493.56	441.64	412.0	232.94	480.04	441.64	395.18	197.09	450.94	223.41	181.28	412.0	185.11	660.68	363.56	470.14	318.57	309.83	414.87	392.44	563.18	571.05	503.95	860.08	309.83	262.2	514.56	318.57	819.3	287.01	543.96	373.81	493.56	271.48	343.89	703.28	490.14	406.31	113.56	260.38	208.38	234.57	228.13	175.07	309.83	423.61	490.14	299.25	251.48	248.0	358.54	651.58	366.09	1066.48	460.44	285.03	417.77	269.6	175.07	198.47	171.45	389.72	426.57	289.02	381.68	346.29	260.38	277.2	209.84	208.38	167.9	209.84	624.99
AKAP11	115.16	490.14	698.41	633.73	473.41	1183.45	241.19	414.87	435.55	314.17	353.59	848.22	651.58	236.21	366.09	316.37	348.71	373.81	314.17	264.03	480.04	307.69	346.29	289.02	232.94	353.59	361.04	285.03	305.55	96.01	373.81	316.37	346.29	435.55	336.79	87.03	147.06	135.24	99.43	120.94	47.84	173.85	69.03	153.34	162.14	152.28	114.36	142.01	143.01	229.72	186.4	107.38	126.12	110.43	88.88	189.02	67.12	236.21	105.15	205.5	130.6	84.63	153.34	175.07	241.19	273.37	142.01	283.05	96.68	92.05	275.28	86.43	248.0	97.36	178.77	135.24	199.85	109.66	152.28	256.78	155.5	141.02	38.4	85.22	83.45	84.63	123.5	62.56	94.67	128.79	191.67	103.69	93.35	97.36	137.14	236.21	129.69	307.69	164.42	140.04	151.22	88.88	63.89	47.17	76.17	131.51	167.9	96.68	193.01	173.85	182.55	128.79	116.78	142.01	107.38	95.34	312.0
APC	41.52	267.73	297.17	305.55	432.53	679.29	242.88	507.46	336.79	384.34	258.57	289.02	327.56	223.41	221.86	205.5	253.23	127.0	173.85	277.2	305.55	228.13	195.72	206.94	159.9	299.25	242.88	132.44	211.31	119.26	244.57	305.55	285.03	155.5	242.88	60.82	115.97	116.78	56.68	80.01	41.52	66.65	57.49	99.43	73.03	81.14	96.68	39.79	190.34	106.63	72.52	59.55	84.63	46.84	70.51	94.67	40.07	241.19	75.11	98.73	71.0	55.1	94.01	129.69	249.73	140.04	95.34	165.57	125.24	57.89	132.44	60.39	166.73	48.18	190.34	68.07	108.9	56.68	124.37	180.02	135.24	85.82	15.8	85.82	53.95	57.49	62.56	41.52	56.68	73.54	136.19	60.82	57.89	53.57	91.41	204.07	85.22	583.07	147.06	53.95	105.15	66.65	16.15	42.71	31.22	52.08	142.01	48.18	99.43	169.07	172.65	241.19	55.1	52.45	35.0	59.97	94.67
API5	444.72	2047.0	1674.06	1572.76	1437.15	3124.78	830.75	1757.34	1572.76	1127.35	1277.29	2061.24	2209.26	1030.12	1651.0	1216.75	1175.27	1119.56	1183.45	1088.92	1331.57	1378.57	1331.57	1551.09	1037.29	1340.84	1073.91	1250.98	1111.82	915.51	1233.75	1030.12	1167.14	954.43	1233.75	555.41	961.07	718.08	583.07	638.15	656.11	651.58	638.15	642.59	620.67	769.69	607.87	579.04	819.3	854.13	563.18	616.37	642.59	674.59	395.18	941.27	603.67	620.67	688.78	647.07	587.13	612.11	703.28	921.88	1111.82	836.53	796.86	1183.45	633.73	547.75	947.83	575.03	1023.0	612.11	848.22	698.41	708.18	476.71	733.19	934.76	928.3	669.92	262.2	688.78	555.41	638.15	620.67	514.56	688.78	743.43	780.44	775.05	476.71	656.11	612.11	1001.93	679.29	1467.37	866.07	620.67	791.35	684.02	521.76	587.13	567.1	624.99	915.51	808.0	974.5	808.0	511.0	543.96	629.35	878.17	392.44	511.0	836.53
ATE1	103.69	536.45	567.1	759.08	713.11	1183.45	162.14	403.5	647.07	463.65	343.89	438.59	612.11	457.25	928.3	460.44	414.87	395.18	536.45	438.59	738.29	379.04	567.1	514.56	420.68	525.39	503.95	384.34	500.46	269.6	387.02	429.54	470.14	409.15	551.56	153.34	361.04	241.19	178.77	371.22	118.43	309.83	258.57	241.19	190.34	275.28	231.32	170.25	384.34	275.28	181.28	273.37	215.77	343.89	182.55	384.34	175.07	503.95	260.38	295.11	221.86	224.97	221.86	325.29	595.34	325.29	334.46	438.59	171.45	165.57	507.46	215.77	595.34	144.01	395.18	307.69	366.09	136.19	190.34	387.02	348.71	223.41	93.35	281.09	189.02	258.57	231.32	172.65	258.57	289.02	373.81	206.94	181.28	214.27	223.41	441.64	299.25	921.88	463.65	297.17	417.77	221.86	100.83	153.34	206.94	212.78	371.22	303.44	283.05	339.14	285.03	293.07	201.25	149.12	134.3	129.69	314.17
C11orf58	1883.54	5076.84	4639.29	4481.23	5112.16	8247.98	3349.13	4639.29	4836.35	4972.34	2645.74	4869.99	6294.04	4607.24	4123.49	4607.24	5594.3	3794.3	4607.24	2997.45	5831.91	6699.25	3589.58	3639.7	3794.3	4450.27	5041.77	3589.58	5791.62	2875.3	4419.52	4419.52	5672.41	4903.87	4358.66	1936.53	3742.05	2255.7	1923.14	3039.3	2104.58	2004.85	2956.17	2758.13	2104.58	2573.36	2997.45	2178.83	4210.15	3103.19	1721.16	2434.5	2701.35	2645.74	1286.18	3639.7	2240.11	3768.09	2956.17	2178.83	2224.63	2193.99	2956.17	3639.7	3982.99	2997.45	3168.41	4152.18	2367.9	2303.12	3443.31	2384.37	3235.01	1794.29	2682.69	3491.39	2485.67	1963.57	2627.46	3639.7	3419.52	2682.69	928.3	3018.3	2645.74	2520.38	2682.69	2319.15	2555.58	2739.08	3742.05	2591.27	2240.11	2645.74	2400.97	2739.08	3060.45	2956.17	3124.78	3212.66	2777.33	2664.15	1883.54	1936.53	3235.01	2271.4	4066.71	2271.4	3768.09	3280.18	2537.92	2287.2	1331.57	1769.57	2351.53	2335.28	4419.52
CAB39L	14.24	1950.0	1378.57	967.76	1037.29	1096.5	112.77	1832.01	567.1	2047.0	151.22	825.0	941.27	189.02	595.34	135.24	191.67	301.33	229.72	595.34	221.86	389.72	791.35	283.05	271.48	1037.29	189.02	228.13	157.68	39.79	180.02	289.02	264.03	211.31	269.6	82.29	316.37	104.42	165.57	67.12	133.36	159.9	43.32	110.43	150.17	147.06	150.17	120.94	244.57	255.0	147.06	65.72	138.1	153.34	75.11	113.56	57.49	176.29	152.28	183.82	80.57	156.59	134.3	232.94	379.04	325.29	84.04	202.66	83.45	87.03	114.36	82.29	158.79	98.04	221.86	138.1	141.02	108.14	146.03	156.59	172.65	229.72	40.93	265.87	73.54	105.15	127.89	71.0	76.17	119.26	551.56	104.42	82.87	84.63	149.12	139.07	143.01	1286.18	128.79	58.3	118.43	140.04	66.65	148.09	61.68	111.99	248.0	119.26	334.46	384.34	271.48	473.41	49.56	24.81	87.65	46.84	206.94
CCNY	466.88	1487.87	1208.34	1508.65	1605.83	1697.45	1259.69	1857.6	1216.75	1963.57	1225.22	961.07	1119.56	902.89	1216.75	1883.54	1781.89	1508.65	2255.7	785.88	1819.35	3303.0	1286.18	1199.98	1167.14	1044.52	1529.73	896.64	1662.49	612.11	1498.22	1322.37	1487.87	1437.15	1216.75	579.04	825.0	759.08	579.04	444.72	693.58	698.41	748.61	941.27	723.08	842.36	830.75	674.59	934.76	836.53	507.46	346.29	748.61	1167.14	353.59	514.56	540.19	759.08	896.64	703.28	567.1	764.36	733.19	698.41	1135.2	808.0	656.11	988.12	656.11	441.64	860.08	713.11	769.69	503.95	890.44	878.17	684.02	543.96	599.49	866.07	915.51	633.73	1008.9	796.86	780.44	603.67	665.29	473.41	748.61	836.53	954.43	684.02	591.22	878.17	595.34	764.36	802.41	1143.1	878.17	713.11	830.75	674.59	713.11	435.55	543.96	543.96	1059.11	555.41	1225.22	1322.37	830.75	1467.37	656.11	441.64	842.36	872.1	684.02
CCSER2	104.42	915.51	921.88	860.08	866.07	1407.55	368.65	1304.15	612.11	708.18	426.57	708.18	1199.98	591.22	323.03	543.96	514.56	329.84	603.67	612.11	563.18	563.18	575.03	332.14	381.68	698.41	480.04	395.18	591.22	212.78	543.96	503.95	620.67	571.05	518.15	112.77	241.19	223.41	187.71	171.45	90.14	237.86	309.83	256.78	198.47	267.73	180.02	114.36	420.68	264.03	214.27	144.01	223.41	217.27	202.66	242.88	175.07	507.46	167.9	239.52	166.73	190.34	291.04	285.03	540.19	334.46	229.72	414.87	237.86	139.07	503.95	170.25	332.14	105.89	406.31	305.55	232.94	149.12	194.36	265.87	339.14	178.77	86.43	221.86	104.42	232.94	323.03	92.7	202.66	186.4	371.22	181.28	113.56	232.94	305.55	493.56	228.13	753.83	346.29	236.21	301.33	186.4	87.03	131.51	119.26	224.97	332.14	149.12	309.83	638.15	529.06	775.05	122.64	165.57	271.48	141.02	743.43
CDC40	116.78	457.25	612.11	571.05	409.15	1437.15	190.34	346.29	409.15	327.56	281.09	525.39	559.28	348.71	379.04	366.09	429.54	291.04	366.09	426.57	450.94	420.68	358.54	260.38	289.02	341.51	307.69	293.07	351.14	133.36	332.14	287.01	420.68	305.55	327.56	170.25	212.78	260.38	205.5	234.57	195.72	187.71	180.02	221.86	176.29	228.13	223.41	195.72	187.71	258.57	178.77	269.6	232.94	209.84	153.34	223.41	187.71	258.57	237.86	232.94	212.78	148.09	218.79	229.72	346.29	262.2	255.0	348.71	102.97	155.5	305.55	177.53	339.14	185.11	283.05	283.05	251.48	170.25	206.94	251.48	249.73	236.21	104.42	220.32	193.01	189.02	170.25	178.77	127.0	236.21	228.13	190.34	71.0	187.71	148.09	307.69	239.52	417.77	299.25	269.6	265.87	223.41	124.37	169.07	162.14	186.4	273.37	234.57	260.38	178.77	149.12	164.42	193.01	181.28	150.17	147.06	346.29
