	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.L5.A4OG.11A.12R.A260.31	GTEX.ZYWO.1126.SM.5U3SH	GTEX.XBED.1126.SM.48TCF	GTEX.PWOO.1026.SM.48TCN	GTEX.XBED.0926.SM.48TCE	GTEX.SNOS.0726.SM.4DM5Z	GTEX.ZXES.1226.SM.5NQ8G	GTEX.U4B1.0926.SM.4DXUV	GTEX.S4Q7.0526.SM.4AD5N	GTEX.O5YT.0726.SM.3MJHA	GTEX.ZLFU.1026.SM.5EQMZ	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.UB.AA0V.01A.11R.A38B.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.HC.7079.01A.11R.1965.07	TCGA.KK.A8IC.01A.11R.A36G.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.FP.8209.01A.11R.2343.13	TCGA.VQ.A8P8.01A.11R.A39E.31
AC096677.1	71.0	31.0	42.71	13.62	71.0	42.41	30.56	43.94	48.87	50.27	70.51	36.27	18.56	13.32	2.61	3.0	0.0	0.0	4.66	0.0	6.73	0.0	0.0	0.0	3.08	11.47	0.0	0.0	0.0	7.69	0.0	10.0	0.0	0.0	41.52	18.7	41.81	198.47	35.25
AGPAT4	441.64	194.36	403.5	212.78	255.0	201.25	318.57	217.27	194.36	156.59	195.72	151.22	82.29	37.85	27.05	37.32	9.34	8.99	19.97	8.0	50.63	10.39	4.35	3.17	35.25	7.51	14.35	28.65	50.63	17.51	35.76	60.82	20.71	10.39	114.36	107.38	94.67	182.55	80.57
AP1S2	7382.04	339.14	1561.89	1073.91	791.35	1378.57	1023.0	1151.06	1477.58	878.17	1216.75	1295.13	314.17	206.94	57.08	122.64	52.45	64.8	48.87	59.13	126.12	80.57	61.68	54.72	114.36	137.14	44.89	91.41	139.07	70.51	74.06	96.68	39.22	76.71	540.19	248.0	454.09	1674.06	327.56
AP4E1	129.69	93.35	153.34	130.6	136.19	127.89	105.89	145.02	145.02	108.9	144.01	215.77	58.3	61.25	22.43	26.86	38.95	30.56	28.45	41.81	26.86	44.89	25.91	47.17	65.72	23.08	28.65	45.85	43.63	33.3	20.71	37.32	17.38	52.45	112.77	48.87	95.34	120.94	102.97
APOC3	0.0	0.0	4.82	0.0	1.53	0.0	7.0	4.39	6.26	1.51	8.85	14.56	151608.43	527933.71	9243449.07	7719092.49	5420519.65	5809569.18	4621724.04	4107985.47	7202167.89	8928583.23	7612821.45	3551506.25	5163792.94	1.24530853E7	5611673.89	3968052.37	3223059.86	3968052.37	1.032758687E7	7152418.87	1.09164457E7	4023444.33	0.0	0.0	7.11	0.0	1.71
ASB5	5219.6	4.1	426.57	39.79	187.71	189.02	108.9	253.23	346.29	183.82	289.02	102.25	0.0	0.0	0.0	0.34	1.17	0.0	1.85	0.08	0.0	2.23	0.0	2.46	0.0	1.22	0.0	0.0	1.16	0.0	0.0	0.0	0.0	1.89	60.82	51.71	3.56	432.53	2.92
CAMSAP2	403.5	241.19	693.58	341.51	309.83	301.33	269.6	341.51	503.95	332.14	309.83	429.54	176.29	134.3	65.72	50.27	23.93	34.75	25.17	36.27	41.81	50.98	20.56	32.59	88.26	48.87	31.45	79.45	77.79	16.51	35.76	86.43	28.65	87.03	220.32	217.27	314.17	373.81	351.14
CDK17	2018.8	409.15	915.51	532.74	607.87	718.08	511.0	647.07	463.65	723.08	563.18	555.41	242.88	199.85	137.14	281.09	97.36	109.66	88.26	138.1	145.02	112.77	145.02	115.97	183.82	106.63	88.26	253.23	224.97	127.89	258.57	182.55	101.54	167.9	473.41	389.72	595.34	884.29	351.14
CHST10	205.5	94.01	197.09	218.79	177.53	190.34	199.85	190.34	208.38	157.68	138.1	229.72	55.89	43.94	27.25	2.48	6.16	17.0	25.17	3.47	42.41	3.86	23.76	4.82	22.59	4.17	8.71	57.89	58.71	48.52	22.92	11.73	1.46	8.0	180.02	117.6	120.1	159.9	58.3
CLIP3	4543.8	417.77	1617.0	1457.23	1519.15	1295.13	1572.76	1950.0	1745.2	1369.04	1639.59	2720.15	185.11	81.71	20.56	37.32	21.32	35.5	35.5	20.86	133.36	48.52	23.08	15.34	19.25	15.91	32.36	50.98	94.67	32.59	38.4	42.41	9.63	42.11	400.71	251.48	435.55	1844.76	438.59
CRBN	791.35	708.18	854.13	1059.11	599.49	860.08	785.88	1037.29	842.36	547.75	688.78	1111.82	555.41	559.28	559.28	417.77	332.14	438.59	376.41	480.04	529.06	457.25	500.46	642.59	400.71	417.77	480.04	532.74	688.78	503.95	587.13	583.07	346.29	583.07	616.37	591.22	660.68	647.07	507.46
CSGALNACT2	1143.1	289.02	669.92	616.37	470.14	579.04	406.31	483.38	463.65	529.06	529.06	511.0	258.57	197.09	112.77	127.89	118.43	87.03	67.59	118.43	75.64	88.26	78.34	82.29	120.1	88.26	85.22	128.79	177.53	86.43	77.79	101.54	92.05	125.24	444.72	285.03	764.36	567.1	450.94
CSRNP2	454.09	289.02	511.0	420.68	444.72	423.61	406.31	368.65	532.74	368.65	444.72	447.82	194.36	112.77	53.57	110.43	77.25	111.99	85.82	57.08	97.36	63.0	47.5	58.71	73.03	156.59	58.71	69.52	71.5	88.26	67.12	79.45	27.44	66.65	339.14	232.94	329.84	438.59	265.87
DAAM1	1111.82	612.11	1081.39	713.11	1096.5	1135.2	813.63	1457.23	921.88	1250.98	1167.14	660.68	392.44	329.84	138.1	339.14	52.45	120.94	76.71	183.82	234.57	198.47	154.42	84.04	157.68	221.86	148.09	397.93	353.59	90.77	206.94	289.02	90.77	249.73	450.94	316.37	400.71	708.18	320.8
DBN1	1991.0	1331.57	1286.18	1477.58	1467.37	1250.98	1359.57	2163.77	1674.06	1561.89	1322.37	1794.29	599.49	323.03	43.02	15.34	46.18	17.77	65.72	17.38	102.97	21.32	28.04	26.47	31.22	299.25	12.27	84.63	100.83	61.68	71.0	79.45	21.47	80.57	620.67	1119.56	708.18	1167.14	693.58
DNAJC27	166.73	81.14	108.9	166.73	130.6	146.03	85.82	163.28	153.34	147.06	116.78	149.12	45.21	31.67	19.11	46.5	7.94	15.45	15.56	17.38	29.91	17.64	16.27	19.11	12.64	28.04	20.11	15.45	50.27	38.12	17.25	32.59	18.03	21.94	71.0	64.34	135.24	118.43	75.11
DYNC1LI2	2133.97	1594.73	2591.27	2047.0	1950.0	2004.85	2224.63	2520.38	2915.45	1977.24	2163.77	2645.74	708.18	688.78	264.03	297.17	79.45	318.57	231.32	267.73	426.57	420.68	275.28	206.94	157.68	156.59	429.54	358.54	629.35	392.44	285.03	612.11	104.42	400.71	1044.52	1233.75	1662.49	3515.68	1259.69
