	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4782.01A.02R.1420.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.BP.4342.01A.01R.1289.07	TCGA.B0.4815.01A.01R.1503.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.BP.4345.01A.01R.1289.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.85.A4PA.01A.11R.A24Z.07
ABHD16A	785.88	567.1	854.13	769.69	854.13	633.73	934.76	525.39	723.08	1167.14	723.08	988.12	995.0	703.28	819.3	775.05	607.87	813.63	1250.98	974.5	1104.13	529.06	819.3	836.53	647.07	703.28	567.1	1051.79	785.88	890.44	511.0	947.83	808.0	583.07	612.11	346.29	713.11	842.36	825.0	981.29	860.08	769.69	764.36	718.08	343.89	638.15	728.11	571.05	995.0	607.87	1208.34	1427.22	1304.15
AC093157.1	14.24	5.32	8.99	7.06	17.38	7.94	2.48	0.85	1.53	41.22	5.23	11.13	1.64	0.4	9.13	0.78	3.79	9.48	20.26	11.64	14.78	7.22	9.7	2.18	6.01	0.83	3.2	44.25	3.11	9.27	5.87	7.63	17.77	4.62	4.58	0.0	3.32	14.14	6.89	10.88	12.93	6.11	18.43	11.82	5.45	0.8	6.52	1.22	4.7	1.53	19.53	13.72	29.7
AC131971.1	0.78	1.53	0.41	3.14	5.28	1.99	4.39	0.43	2.25	9.63	3.72	4.74	0.0	1.48	6.78	1.13	1.89	1.99	5.11	3.03	5.5	2.41	4.31	0.39	1.89	0.0	0.82	6.52	1.95	2.12	2.36	3.99	2.32	1.93	1.16	0.0	1.83	4.1	2.32	5.45	1.87	8.0	2.51	2.39	0.0	0.0	1.64	0.41	1.45	1.89	6.67	5.59	5.15
ACAP3	420.68	125.24	283.05	318.57	450.94	309.83	195.72	121.79	198.47	1037.29	381.68	384.34	54.72	190.34	366.09	70.01	122.64	490.14	638.15	426.57	551.56	351.14	486.75	312.0	159.9	145.02	114.36	1350.18	201.25	490.14	205.5	480.04	309.83	197.09	229.72	31.0	121.79	642.59	320.8	470.14	743.43	309.83	607.87	420.68	239.52	86.43	483.38	147.06	248.0	78.34	1313.23	1628.26	1143.1
AGAP3	1023.0	579.04	961.07	915.51	1427.22	813.63	693.58	780.44	947.83	1457.23	780.44	1037.29	536.45	764.36	1037.29	389.72	555.41	1023.0	1340.84	1111.82	842.36	551.56	1529.73	1857.6	878.17	607.87	497.0	1733.13	718.08	791.35	703.28	1008.9	896.64	819.3	713.11	218.79	679.29	1191.69	1127.35	1340.84	1104.13	796.86	1199.98	941.27	555.41	967.76	878.17	638.15	813.63	684.02	3419.52	2591.27	1216.75
AGAP5	142.01	25.35	72.52	82.29	117.6	173.85	21.78	11.55	24.46	361.04	69.52	135.24	24.28	45.53	152.28	21.63	24.99	145.02	244.57	183.82	175.07	48.52	124.37	71.0	98.73	32.13	30.56	334.46	53.57	109.66	27.84	98.04	177.53	50.27	79.45	3.69	41.22	166.73	71.0	159.9	119.26	151.22	62.12	76.71	40.07	12.74	142.01	15.11	81.14	24.81	209.84	303.44	195.72
ANKRD13D	493.56	248.0	591.22	514.56	473.41	426.57	305.55	165.57	258.57	2004.85	476.71	915.51	172.65	291.04	591.22	170.25	201.25	599.49	1015.93	688.78	575.03	361.04	567.1	607.87	283.05	299.25	239.52	1709.26	242.88	525.39	358.54	738.29	571.05	309.83	285.03	111.99	217.27	728.11	429.54	753.83	854.13	603.67	432.53	684.02	199.85	325.29	466.88	158.79	651.58	218.79	1757.34	2090.03	3235.01
AP003733.1	11.55	3.38	10.0	19.11	7.22	20.26	5.32	10.0	9.48	44.89	19.68	19.82	9.93	10.71	16.39	3.29	7.4	13.22	23.59	5.19	20.56	4.35	21.94	3.89	5.54	4.28	7.0	35.0	4.58	17.77	7.69	5.73	7.69	9.41	5.59	3.5	4.31	9.56	14.67	14.67	22.26	10.55	5.63	5.45	2.48	1.14	3.99	2.71	3.89	4.43	9.34	14.14	5.82
AP5Z1	718.08	387.02	483.38	507.46	629.35	503.95	256.78	287.01	457.25	1008.9	379.04	620.67	106.63	287.01	521.76	171.45	136.19	460.44	738.29	547.75	525.39	417.77	521.76	753.83	356.05	291.04	351.14	915.51	293.07	332.14	346.29	480.04	493.56	279.14	346.29	167.9	223.41	616.37	473.41	536.45	928.3	356.05	414.87	514.56	343.89	368.65	450.94	265.87	381.68	301.33	1015.93	1104.13	1378.57
ARFGAP1	1191.69	1001.93	1685.71	921.88	2193.99	1286.18	674.59	629.35	1259.69	2351.53	1313.23	1143.1	409.15	651.58	836.53	476.71	368.65	1477.58	1857.6	1447.15	1030.12	1023.0	1467.37	1183.45	612.11	698.41	1081.39	2004.85	536.45	1119.56	860.08	954.43	1199.98	791.35	830.75	171.45	483.38	1447.15	1001.93	1081.39	1662.49	1051.79	1529.73	995.0	688.78	466.88	961.07	642.59	961.07	753.83	2061.24	2193.99	2255.7
