	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	GTEX.WHSB.0326.SM.5FQSD	GTEX.13D11.0326.SM.5LZXX	GTEX.O5YW.0526.SM.2YUMX	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFG8.0926.SM.3GIKJ	GTEX.SNOS.0426.SM.32PMH	GTEX.139YR.0926.SM.5LZYB	GTEX.XUJ4.1426.SM.4BONT	GTEX.R55G.0826.SM.2TC5U	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.P4QS.0526.SM.2I3ET	GTEX.13VXT.1426.SM.5LU4B	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.UJHI.0726.SM.3DB92	GTEX.11TT1.1626.SM.5EQL7	GTEX.S7SF.0426.SM.3K2B7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.UJMC.0726.SM.3GADX	GTEX.QEG5.1126.SM.33HC2	TCGA.33.4589.01A.01R.1443.07
ACBD4	25.35	38.12	108.9	0.0	466.88	158.79	412.0	373.81	180.02	194.36	69.52	316.37	236.21	679.29	497.0	208.38	463.65	194.36	389.72	486.75	420.68	660.68	100.13	150.17	718.08	281.09	146.03	202.66	507.46	221.86	567.1	507.46	229.72	27.84
ADD1	2720.15	909.17	1259.69	0.0	5872.48	2645.74	5913.33	8718.32	3540.14	3190.46	1857.6	4481.23	3212.66	6121.9	5292.48	3665.02	4736.79	4095.0	4937.99	3395.89	6164.49	4450.27	1651.0	3467.27	4512.4	2720.15	1794.29	2796.65	6745.86	3235.01	4671.57	5913.33	3820.7	1427.22
AHSA2	45.85	146.03	144.01	0.0	371.22	201.25	221.86	295.11	329.84	140.04	122.64	447.82	218.79	1104.13	785.88	325.29	1044.52	145.02	406.31	486.75	414.87	1733.13	88.26	128.79	358.54	318.57	82.29	267.73	309.83	236.21	928.3	674.59	381.68	32.59
AMT	4.13	234.57	18.03	0.0	201.25	65.26	205.5	346.29	158.79	74.58	58.3	438.59	119.26	1023.0	476.71	172.65	503.95	76.71	289.02	264.03	190.34	775.05	68.07	33.54	616.37	287.01	41.52	115.16	480.04	115.16	514.56	351.14	208.38	10.39
ARVCF	44.25	118.43	110.43	0.0	281.09	165.57	256.78	281.09	108.9	194.36	128.79	353.59	208.38	379.04	332.14	126.12	343.89	163.28	490.14	152.28	329.84	356.05	73.03	152.28	171.45	215.77	78.89	279.14	281.09	156.59	303.44	507.46	112.77	63.0
BZRAP1	12.09	12.83	12.18	0.0	231.32	133.36	283.05	277.2	91.41	77.25	36.01	234.57	211.31	791.35	277.2	81.71	480.04	121.79	583.07	866.07	177.53	769.69	49.91	25.54	348.71	217.27	55.1	67.59	435.55	96.68	423.61	460.44	134.3	3.29
C5orf56	33.3	49.21	17.13	0.0	211.31	126.12	260.38	353.59	91.41	140.04	201.25	217.27	208.38	289.02	248.0	209.84	460.44	136.19	249.73	275.28	234.57	299.25	152.28	123.5	246.28	145.02	82.87	120.94	220.32	197.09	314.17	283.05	186.4	79.45
CALCOCO1	301.33	187.71	343.89	0.0	5076.84	1268.46	4450.27	4704.07	2434.5	1745.2	1322.37	5672.41	1733.13	4869.99	3257.52	1745.2	7911.95	1639.59	3467.27	6792.79	4836.35	6079.61	1277.29	1216.75	5517.27	2682.69	884.29	1936.53	4802.93	2468.49	4802.93	5292.48	2875.3	392.44
CBX7	36.79	17.25	46.84	0.0	1340.84	289.02	2148.82	1447.15	438.59	483.38	155.5	825.0	447.82	1388.16	1674.06	559.28	1844.76	348.71	1407.55	2004.85	1572.76	1883.54	297.17	246.28	1551.09	698.41	271.48	651.58	1745.2	591.22	961.07	1617.0	647.07	22.75
CRAMP1L	56.68	41.52	63.45	0.0	130.6	73.54	258.57	285.03	94.01	152.28	92.7	199.85	98.04	289.02	242.88	108.14	447.82	94.01	273.37	305.55	209.84	293.07	111.21	64.34	258.57	162.14	92.05	140.04	346.29	145.02	232.94	318.57	204.07	21.78
DCAF8	624.99	743.43	698.41	1295.13	1769.57	934.76	2104.58	1950.0	1111.82	1331.57	934.76	2032.85	1331.57	2434.5	2178.83	1498.22	3212.66	941.27	1832.01	1896.65	2119.22	3614.55	1151.06	785.88	1870.53	1340.84	947.83	1477.58	2193.99	1457.23	2178.83	3280.18	2148.82	341.51
DMPK	115.16	90.77	118.43	0.0	536.45	373.81	563.18	723.08	279.14	281.09	98.04	511.0	283.05	791.35	547.75	575.03	616.37	287.01	753.83	463.65	447.82	848.22	241.19	473.41	743.43	432.53	202.66	373.81	748.61	264.03	607.87	638.15	309.83	45.85
ECHDC2	148.09	320.8	127.89	0.0	2119.22	836.53	2090.03	2451.44	1359.57	961.07	532.74	2875.3	1250.98	4704.07	4152.18	1378.57	3540.14	450.94	2835.7	4358.66	2104.58	6079.61	738.29	536.45	3928.15	1457.23	890.44	785.88	4972.34	1268.46	3768.09	4010.71	995.0	108.9
GPLD1	0.0	1.68	1.89	0.0	71.5	27.05	50.63	73.54	12.55	21.94	9.85	70.51	33.54	44.25	51.71	13.83	87.03	14.89	60.82	51.35	82.29	39.5	22.75	4.17	25.91	33.78	10.88	16.15	42.71	39.79	14.45	53.19	25.17	4.66
GPRASP1	2.78	4.1	1.04	0.0	70.01	17.38	78.89	55.89	21.78	34.75	15.34	53.19	18.43	120.1	96.68	40.07	145.02	19.97	79.45	148.09	73.54	180.02	16.88	11.73	86.43	29.27	16.75	31.67	76.17	24.81	77.25	79.45	80.01	0.71
GSTM2	23.42	293.07	36.53	0.0	909.17	231.32	1259.69	486.75	620.67	156.59	39.5	1233.75	281.09	4972.34	1225.22	466.88	860.08	397.93	1685.71	2090.03	679.29	3665.02	120.94	176.29	2303.12	423.61	211.31	297.17	1111.82	212.78	1857.6	1583.71	305.55	40.36
HECTD4	103.69	47.84	32.36	0.0	281.09	158.79	371.22	366.09	158.79	305.55	239.52	316.37	392.44	674.59	447.82	124.37	575.03	260.38	361.04	371.22	426.57	583.07	194.36	165.57	271.48	291.04	214.27	234.57	493.56	189.02	387.02	293.07	271.48	32.59
HKR1	121.79	136.19	164.42	0.0	234.57	150.17	255.0	356.05	218.79	275.28	139.07	316.37	186.4	698.41	403.5	193.01	363.56	193.01	379.04	287.01	228.13	620.67	169.07	198.47	171.45	152.28	161.02	241.19	279.14	137.14	361.04	429.54	253.23	66.65
ICAM5	28.45	9.63	37.59	0.0	173.85	35.76	162.14	151.22	143.01	71.0	39.5	118.43	64.34	890.44	318.57	93.35	1519.15	10.31	236.21	503.95	316.37	497.0	39.22	45.21	1088.92	144.01	27.25	62.12	301.33	109.66	343.89	403.5	209.84	20.71
KHNYN	281.09	134.3	120.1	0.0	463.65	387.02	669.92	753.83	417.77	507.46	226.54	669.92	368.65	1268.46	599.49	447.82	1304.15	320.8	854.13	759.08	909.17	1350.18	529.06	217.27	403.5	454.09	346.29	547.75	796.86	470.14	435.55	1159.07	529.06	314.17
LDB1	320.8	356.05	529.06	0.0	1008.9	518.15	1127.35	1151.06	748.61	703.28	507.46	909.17	559.28	1340.84	1023.0	616.37	1447.15	624.99	909.17	1427.22	954.43	2209.26	540.19	417.77	1023.0	796.86	540.19	718.08	1167.14	620.67	1350.18	1096.5	647.07	305.55
LENG8	271.48	239.52	253.23	0.0	1044.52	780.44	1685.71	1963.57	656.11	954.43	679.29	2224.63	532.74	3768.09	2573.36	1437.15	4937.99	995.0	2178.83	1991.0	1369.04	5147.73	854.13	595.34	6337.83	1322.37	518.15	896.64	2255.7	1208.34	3039.3	1745.2	1175.27	151.22
LPIN3	37.32	66.18	120.1	159.9	189.02	100.83	164.42	224.97	96.68	204.07	93.35	234.57	115.97	368.65	295.11	125.24	244.57	124.37	201.25	301.33	187.71	490.14	72.52	97.36	249.73	139.07	81.14	94.67	273.37	117.6	236.21	336.79	181.28	74.06
LRP2BP	1.55	11.73	3.89	0.0	133.36	57.08	189.02	159.9	109.66	63.0	25.91	101.54	116.78	603.67	281.09	85.82	194.36	51.35	112.77	297.17	191.67	267.73	82.29	38.4	620.67	80.01	30.56	74.58	185.11	108.9	395.18	180.02	148.09	1.97
MACF1	698.41	808.0	353.59	0.0	6745.86	2047.0	5329.3	4239.45	2434.5	1977.24	1883.54	3874.05	4671.57	3303.0	2555.58	2287.2	5954.47	1844.76	4575.41	2739.08	4575.41	5329.3	2209.26	1233.75	3257.52	2720.15	1199.98	3540.14	3124.78	2701.35	4123.49	4512.4	3212.66	463.65
MAP2K7	285.03	109.66	178.77	0.0	316.37	281.09	423.61	500.46	229.72	361.04	307.69	395.18	341.51	587.13	497.0	264.03	830.75	366.09	457.25	587.13	470.14	1001.93	285.03	329.84	476.71	271.48	223.41	327.56	599.49	361.04	540.19	595.34	346.29	141.02
MINK1	191.67	325.29	718.08	603.67	1073.91	679.29	921.88	1104.13	796.86	896.64	934.76	1051.79	785.88	1286.18	967.76	759.08	2004.85	884.29	961.07	842.36	775.05	1844.76	848.22	595.34	1233.75	647.07	688.78	748.61	954.43	884.29	921.88	1119.56	974.5	348.71
MROH7	0.0	1.58	1.53	0.0	13.72	4.46	23.25	6.01	5.02	6.01	1.73	22.59	6.01	73.54	53.57	9.78	27.44	6.73	23.25	24.63	7.28	53.19	3.23	5.54	25.35	5.45	4.82	7.51	15.56	8.38	24.63	14.35	13.32	0.0
NEIL1	9.78	77.25	42.71	0.0	473.41	127.0	336.79	836.53	228.13	137.14	73.03	575.03	169.07	1322.37	825.0	267.73	698.41	176.29	656.11	854.13	457.25	1639.59	79.45	132.44	429.54	277.2	186.4	267.73	808.0	341.51	1037.29	1199.98	236.21	31.45
NISCH	140.04	85.22	208.38	0.0	764.36	599.49	1096.5	1225.22	599.49	764.36	587.13	1073.91	624.99	1844.76	1322.37	860.08	1844.76	796.86	1199.98	1651.0	1051.79	1870.53	764.36	723.08	1250.98	854.13	547.75	656.11	1250.98	791.35	872.1	1427.22	954.43	65.72
NOL3	54.72	450.94	698.41	0.0	1208.34	764.36	961.07	679.29	688.78	961.07	376.41	651.58	493.56	1529.73	1896.65	947.83	1015.93	540.19	1295.13	1151.06	921.88	2271.4	921.88	423.61	1617.0	1015.93	651.58	684.02	1350.18	819.3	1467.37	1304.15	575.03	567.1
NUMA1	708.18	242.88	1233.75	0.0	3639.7	1407.55	5076.84	3901.01	2835.7	1963.57	1295.13	4358.66	1963.57	4607.24	5672.41	2018.8	4736.79	1923.14	3124.78	5441.3	3564.78	6607.01	1407.55	1819.35	3955.48	2287.2	1088.92	1721.16	4972.34	2061.24	4512.4	4152.18	2627.46	232.94
PCF11	111.99	112.77	84.63	0.0	348.71	264.03	435.55	343.89	242.88	262.2	181.28	559.28	371.22	575.03	559.28	234.57	884.29	241.19	536.45	507.46	426.57	669.92	376.41	147.06	521.76	277.2	217.27	351.14	551.56	395.18	395.18	414.87	320.8	57.08
PEAR1	33.78	52.08	83.45	0.0	201.25	108.9	295.11	420.68	162.14	209.84	48.18	231.32	137.14	366.09	224.97	183.82	283.05	115.97	228.13	267.73	194.36	312.0	149.12	63.89	248.0	166.73	63.89	154.42	406.31	181.28	251.48	376.41	353.59	4.31
PLEKHH2	17.64	9.56	2.61	0.0	447.82	81.71	400.71	417.77	134.3	157.68	84.04	540.19	214.27	332.14	432.53	190.34	432.53	67.12	368.65	457.25	409.15	941.27	40.07	37.05	417.77	181.28	27.44	125.24	336.79	82.87	343.89	454.09	223.41	6.52
PLXNB1	234.57	180.02	283.05	0.0	1037.29	591.22	1008.9	1397.83	514.56	713.11	323.03	1151.06	738.29	2224.63	1331.57	748.61	2855.44	769.69	2133.97	1769.57	1183.45	2119.22	392.44	197.09	1519.15	836.53	480.04	1216.75	1806.78	866.07	1529.73	2303.12	1119.56	158.79
POMT1	239.52	147.06	159.9	0.0	454.09	269.6	536.45	547.75	327.56	316.37	229.72	466.88	392.44	591.22	575.03	327.56	698.41	277.2	612.11	642.59	403.5	878.17	215.77	249.73	490.14	426.57	231.32	309.83	473.41	281.09	638.15	518.15	327.56	164.42
