	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0B7.11A.34R.A115.07	GTEX.WYVS.1726.SM.3NMAY	TCGA.KM.8639.01A.11R.2403.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OVL.1826.SM.5KLZR	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.MH.A857.01A.11R.A355.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.EM.A2OV.01A.11R.A206.07	GTEX.OIZI.0726.SM.2XCEI
ABI1	1119.56	1407.55	1233.75	1081.39	890.44	409.15	514.56	361.04	229.72	503.95	620.67	819.3	466.88	579.04	384.34	463.65	332.14	532.74	698.41	175.07	249.73	486.75	961.07
ANAPC1	295.11	507.46	361.04	368.65	115.97	91.41	77.79	92.7	103.69	166.73	96.68	173.85	104.42	127.89	121.79	136.19	82.29	190.34	111.21	78.34	84.04	156.59	267.73
ANKFY1	547.75	591.22	591.22	698.41	435.55	166.73	271.48	202.66	221.86	417.77	158.79	532.74	277.2	82.87	156.59	256.78	30.56	698.41	397.93	153.34	187.71	454.09	406.31
AP2B1	2739.08	2255.7	2287.2	2367.9	2351.53	1583.71	961.07	947.83	1175.27	1662.49	2047.0	1617.0	2004.85	1242.34	1044.52	1159.07	429.54	2739.08	1457.23	417.77	723.08	2664.15	2739.08
ARID4B	934.76	825.0	825.0	775.05	150.17	108.9	110.43	141.02	138.1	234.57	126.12	447.82	143.01	53.95	189.02	182.55	72.52	271.48	148.09	20.86	66.18	371.22	1295.13
ASXL2	384.34	368.65	277.2	299.25	186.4	69.52	97.36	83.45	67.59	156.59	194.36	189.02	116.78	90.77	122.64	110.43	25.17	158.79	149.12	23.25	35.76	198.47	220.32
ATF6	660.68	616.37	493.56	497.0	220.32	127.0	198.47	176.29	109.66	438.59	152.28	373.81	198.47	115.97	224.97	211.31	137.14	262.2	260.38	195.72	237.86	363.56	470.14
BBS4	743.43	603.67	529.06	830.75	450.94	271.48	348.71	136.19	329.84	571.05	223.41	651.58	460.44	426.57	183.82	423.61	161.02	651.58	403.5	52.82	106.63	759.08	884.29
BCLAF1	2875.3	3168.41	2701.35	2682.69	620.67	273.37	305.55	305.55	336.79	1001.93	656.11	1350.18	909.17	199.85	775.05	507.46	99.43	1037.29	480.04	140.04	146.03	1183.45	3060.45
BDP1	633.73	674.59	529.06	525.39	127.89	88.26	97.36	106.63	186.4	190.34	67.12	279.14	150.17	100.83	228.13	138.1	85.22	221.86	185.11	23.42	98.73	287.01	563.18
