	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A7.A26F.01A.21R.A169.07	TCGA.A7.A26F.01A.21R.A169.07.1	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.C5.A7CJ.01A.11R.A32P.07	TCGA.EA.A3HT.01A.61R.A21T.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.B5.A5OE.01A.11R.A31O.07
ABCD3	320.8	1936.53	1331.57	1233.75	890.44	262.2	521.76	669.92	397.93	226.54	406.31
AFF4	135.24	1709.26	1378.57	1104.13	915.51	201.25	629.35	412.0	162.14	100.83	102.25
AKAP11	83.45	785.88	656.11	490.14	88.88	120.94	237.86	241.19	48.87	36.53	29.06
ALG11	36.01	379.04	312.0	339.14	57.89	62.56	96.68	127.89	49.21	33.78	35.0
ANKHD1	559.28	2119.22	1583.71	1551.09	1819.35	902.89	1709.26	1143.1	764.36	351.14	18.29
ANKRD13C	105.89	679.29	860.08	567.1	111.99	150.17	260.38	275.28	50.27	83.45	140.04
APC	40.07	518.15	493.56	271.48	112.77	88.26	136.19	141.02	32.82	25.35	19.82
AQP3	490.14	466.88	1794.29	2351.53	8866908.99	13215.02	17317.18	34396.12	414.87	40.07	120.94
BIVM-ERCC5	0.0	273.37	281.09	116.78	7.94	0.0	85.22	22.1	0.0	0.0	0.0
BLZF1	215.77	1096.5	890.44	836.53	1883.54	236.21	497.0	708.18	253.23	111.21	108.14
C12orf4	144.01	426.57	571.05	463.65	85.82	256.78	265.87	255.0	119.26	78.89	42.41
C5orf24	246.28	802.41	728.11	713.11	228.13	397.93	647.07	444.72	189.02	176.29	376.41
CANX	3212.66	9606.86	29327.18	20170.07	4095.0	2384.37	4512.4	4038.61	3018.3	3039.3	105.15
CAPZA1	1427.22	2758.13	4328.55	4010.71	5872.48	2119.22	4095.0	3614.55	718.08	878.17	703.28
CAST	2502.97	3515.68	3716.2	4869.99	46986.85	3395.89	5831.91	6121.9	1487.87	1127.35	860.08
CDC23	366.09	599.49	559.28	620.67	358.54	500.46	483.38	507.46	277.2	262.2	182.55
CEPT1	309.83	967.76	1277.29	1008.9	532.74	414.87	599.49	633.73	205.5	137.14	218.79
CLINT1	348.71	1304.15	1304.15	1277.29	4543.8	866.07	1350.18	1662.49	460.44	514.56	368.65
CLOCK	93.35	764.36	674.59	470.14	260.38	148.09	271.48	204.07	43.94	65.26	98.04
CNOT6	159.9	769.69	860.08	1088.92	414.87	258.57	412.0	312.0	80.57	159.9	78.89
COG6	63.0	503.95	647.07	651.58	251.48	183.82	217.27	297.17	63.45	83.45	57.08
CSNK1A1	1733.13	5183.54	6164.49	4836.35	5517.27	2032.85	3690.52	3280.18	642.59	1066.48	583.07
CSNK1G3	175.07	1286.18	1037.29	536.45	277.2	293.07	318.57	351.14	85.82	113.56	92.7
CTNNA1	1295.13	6426.31	6607.01	5711.87	13776.25	3564.78	4671.57	5255.91	2645.74	4575.41	1745.2
CWF19L2	80.01	316.37	343.89	258.57	88.88	205.5	209.84	170.25	95.34	75.11	81.14
DDX46	336.79	921.88	503.95	896.64	346.29	547.75	854.13	698.41	348.71	293.07	303.44
DGKH	19.11	373.81	273.37	122.64	27.25	63.89	88.88	151.22	10.88	11.82	22.1
DIS3	102.25	559.28	759.08	769.69	743.43	323.03	463.65	540.19	76.71	150.17	75.64
DR1	575.03	819.3	1127.35	1216.75	1081.39	587.13	1529.73	1350.18	237.86	214.27	669.92
EEA1	46.5	348.71	295.11	262.2	287.01	256.78	320.8	244.57	102.97	23.93	24.63
ELF1	332.14	2255.7	2075.59	1572.76	995.0	896.64	1844.76	1159.07	208.38	241.19	178.77
ERBB2IP	180.02	2591.27	1832.01	934.76	403.5	325.29	825.0	647.07	193.01	262.2	143.01
ETF1	909.17	1331.57	2193.99	2367.9	1651.0	1242.34	1628.26	1417.35	423.61	713.11	483.38
EXPH5	6.67	165.57	497.0	132.44	514.56	43.02	72.52	38.4	7.46	33.06	18.56
FAF2	356.05	1001.93	1183.45	1183.45	460.44	507.46	525.39	521.76	265.87	309.83	204.07
FAM114A2	161.02	703.28	450.94	384.34	373.81	239.52	217.27	267.73	99.43	116.78	45.53
FAT1	665.29	1369.04	4450.27	2502.97	559.28	1594.73	2193.99	1745.2	432.53	1119.56	518.15
FBXL3	221.86	1639.59	1498.22	1111.82	332.14	339.14	543.96	500.46	119.26	91.41	144.01
FBXO38	164.42	995.0	620.67	470.14	525.39	248.0	426.57	318.57	202.66	83.45	81.71
FBXW11	236.21	947.83	1111.82	842.36	1023.0	351.14	620.67	450.94	197.09	142.01	193.01
FNDC3A	127.0	928.3	1250.98	796.86	41.22	215.77	309.83	299.25	141.02	177.53	63.0
FNIP1	70.51	954.43	753.83	281.09	54.33	90.14	155.5	136.19	62.12	41.52	42.71
FOXO1	131.51	332.14	287.01	277.2	63.89	295.11	363.56	248.0	79.45	93.35	109.66
FPGT	108.9	473.41	529.06	536.45	202.66	190.34	343.89	363.56	66.18	100.83	68.07
FRMD8	785.88	500.46	698.41	497.0	5751.61	1135.2	1350.18	1350.18	320.8	368.65	316.37
G3BP1	1417.35	2119.22	2502.97	1883.54	1832.01	1143.1	2075.59	1781.89	665.29	1001.93	616.37
GABPA	121.79	674.59	624.99	466.88	239.52	190.34	218.79	244.57	140.04	93.35	120.1
GDAP2	158.79	476.71	529.06	473.41	164.42	125.24	236.21	316.37	72.52	102.25	246.28
GNAI3	1051.79	1697.45	2758.13	2148.82	2133.97	1250.98	1977.24	2287.2	363.56	493.56	884.29
HIAT1	395.18	1467.37	1457.23	1208.34	638.15	587.13	1388.16	872.1	162.14	232.94	412.0
HIST2H3C	9.34	866.07	854.13	16.75	297.17	57.49	13.42	41.52	3.92	7.63	21.32
HMGXB3	244.57	607.87	529.06	435.55	234.57	204.07	363.56	251.48	204.07	323.03	172.65
HSPA9	1963.57	3039.3	5366.37	5112.16	2935.74	2664.15	2796.65	2434.5	2335.28	1991.0	2032.85
IPO7	325.29	1794.29	1639.59	1359.57	890.44	457.25	928.3	629.35	271.48	297.17	285.03
IPO8	246.28	848.22	748.61	718.08	183.82	297.17	406.31	412.0	208.38	186.4	79.45
IPP	52.45	540.19	591.22	555.41	291.04	116.78	262.2	220.32	90.77	106.63	141.02
IREB2	90.77	896.64	476.71	486.75	258.57	281.09	511.0	305.55	125.24	111.99	175.07
KDM3B	305.55	1331.57	1183.45	878.17	371.22	332.14	669.92	503.95	256.78	297.17	194.36
KDM4C	150.17	571.05	612.11	312.0	279.14	183.82	281.09	251.48	132.44	74.06	54.33
KIAA0247	476.71	896.64	1066.48	1135.2	878.17	620.67	1044.52	753.83	167.9	170.25	149.12
KIAA0754	1.36	96.01	262.2	114.36	13.42	2.41	32.82	24.81	1.0	1.11	0.73
KIF2A	162.14	884.29	928.3	764.36	229.72	221.86	543.96	529.06	70.01	201.25	185.11
KPNA3	242.88	607.87	947.83	1111.82	599.49	265.87	460.44	525.39	157.68	236.21	140.04
KRT6B	974.5	34.75	11745.96	9740.98	9.677103146E8	3060.45	6426.31	5555.65	2.18	77.25	4.62
LACC1	77.25	83.45	353.59	429.54	55.49	115.16	197.09	251.48	38.12	33.54	19.39
LARP4	220.32	1015.93	915.51	713.11	297.17	165.57	426.57	320.8	173.85	105.15	163.28
LARS	780.44	1674.06	2193.99	1651.0	616.37	1015.93	1073.91	1037.29	447.82	679.29	444.72
LNPEP	66.18	1001.93	796.86	260.38	195.72	100.83	202.66	140.04	31.9	35.5	35.5
LRCH1	114.36	285.03	232.94	275.28	49.21	131.51	197.09	217.27	84.63	48.87	30.34
LRRC40	97.36	397.93	848.22	698.41	119.26	129.69	295.11	277.2	64.8	85.22	73.03
LTN1	52.45	679.29	629.35	327.56	84.04	94.67	118.43	153.34	51.35	34.02	51.71
LYSMD3	87.65	470.14	490.14	435.55	141.02	104.42	208.38	164.42	91.41	62.12	42.11
MAML1	224.97	334.46	384.34	713.11	182.55	212.78	547.75	327.56	130.6	190.34	138.1
MATR3	2148.82	5711.87	4543.8	5255.91	2855.44	3018.3	4419.52	3372.43	1617.0	2119.22	1685.71
MCC	78.34	536.45	583.07	343.89	211.31	202.66	373.81	267.73	11.21	32.59	2.63
MFAP3	148.09	1159.07	620.67	470.14	299.25	187.71	295.11	285.03	76.17	75.64	60.39
MIER1	220.32	934.76	1175.27	842.36	277.2	297.17	571.05	420.68	121.79	134.3	127.89
MIER3	47.17	514.56	457.25	366.09	78.34	66.65	141.02	125.24	56.68	78.34	54.33
MTX3	6.73	490.14	389.72	158.79	19.97	25.72	86.43	76.71	7.17	3.79	5.41
MYCBP2	232.94	1508.65	2178.83	1151.06	1015.93	607.87	1208.34	633.73	151.22	132.44	49.56
NEK7	202.66	1594.73	1233.75	819.3	348.71	307.69	591.22	563.18	356.05	90.14	220.32
NR3C1	262.2	403.5	669.92	473.41	277.2	316.37	336.79	303.44	218.79	48.18	51.35
NSD1	145.02	884.29	1044.52	748.61	224.97	185.11	559.28	379.04	150.17	145.02	130.6
NUFIP1	50.98	102.97	117.6	193.01	44.89	77.79	74.58	122.64	47.5	87.03	53.95
NUP98	624.99	2075.59	1709.26	802.41	703.28	563.18	1096.5	708.18	638.15	961.07	503.95
PAPOLG	88.26	332.14	356.05	246.28	163.28	146.03	220.32	153.34	63.45	72.01	85.82
PGGT1B	144.01	723.08	599.49	339.14	187.71	224.97	269.6	239.52	88.26	116.78	65.72
PHAX	435.55	759.08	884.29	1119.56	543.96	679.29	728.11	540.19	318.57	281.09	339.14
PJA2	312.0	1870.53	1572.76	1313.23	642.59	525.39	967.76	728.11	327.56	194.36	131.51
PRKAR1A	1143.1	5147.73	3820.7	3212.66	2178.83	1709.26	2351.53	2255.7	1216.75	842.36	842.36
PRMT3	114.36	518.15	289.02	251.48	231.32	153.34	211.31	239.52	135.24	115.16	80.57
PRRC1	420.68	1819.35	1685.71	1561.89	503.95	438.59	748.61	802.41	463.65	363.56	253.23
PRRG4	177.53	620.67	775.05	612.11	9673.69	866.07	1119.56	429.54	232.94	55.89	37.85
PURA	115.16	483.38	507.46	287.01	209.84	142.01	191.67	198.47	84.63	78.89	38.12
PUS7L	31.9	559.28	450.94	148.09	55.49	48.87	84.63	59.55	30.56	27.25	30.34
RAD50	165.57	1023.0	830.75	941.27	226.54	215.77	381.68	297.17	137.14	147.06	121.79
RB1	214.27	1437.15	1639.59	1322.37	1350.18	518.15	1051.79	974.5	87.03	195.72	140.04
RBM26	187.71	902.89	981.29	934.76	366.09	497.0	764.36	612.11	167.9	217.27	202.66
RBM27	107.38	679.29	674.59	417.77	170.25	134.3	190.34	181.28	71.5	72.52	56.68
RNF14	307.69	988.12	995.0	1225.22	255.0	293.07	698.41	450.94	305.55	320.8	237.86
RNF219	62.56	363.56	521.76	389.72	36.01	109.66	195.72	204.07	43.32	91.41	39.79
RNF38	217.27	532.74	426.57	490.14	217.27	148.09	314.17	197.09	128.79	73.03	98.73
RP2	84.63	353.59	395.18	275.28	314.17	95.34	236.21	305.55	45.21	44.25	37.85
RPAP2	232.94	420.68	483.38	583.07	246.28	336.79	679.29	406.31	83.45	189.02	186.4
S100A9	41475.31	1030.12	260332.24	223512.12	4.94682652E7	292889.12	290865.98	805764.22	373.81	4181.07	15392.14
SEC24A	105.89	497.0	718.08	660.68	406.31	98.04	251.48	194.36	125.24	46.5	45.85
SECISBP2L	60.82	688.78	674.59	447.82	277.2	84.63	217.27	156.59	75.64	50.27	67.12
SEPT8	412.0	1709.26	769.69	775.05	909.17	529.06	775.05	848.22	289.02	289.02	125.24
SERPINB13	9.06	3.35	45.53	34.02	5.413281112E7	583.07	5147.73	5555.65	0.0	2.34	0.0
SLC25A24	291.04	1572.76	1135.2	1199.98	460.44	285.03	813.63	1135.2	29.48	186.4	195.72
SLC38A9	115.16	587.13	603.67	432.53	228.13	149.12	194.36	305.55	301.33	74.58	153.34
SMAD5	129.69	1008.9	915.51	651.58	414.87	201.25	612.11	283.05	253.23	102.97	64.8
SNRK	139.07	620.67	532.74	341.51	395.18	125.24	237.86	201.25	123.5	98.73	110.43
SNX18	125.24	348.71	595.34	432.53	103.69	88.26	217.27	173.85	112.77	53.57	55.1
SRBD1	117.6	429.54	476.71	291.04	223.41	128.79	139.07	164.42	76.71	153.34	51.35
SRFBP1	74.58	483.38	575.03	287.01	78.34	120.94	162.14	164.42	47.5	59.13	32.36
STAT3	1250.98	3639.7	3491.39	2835.7	1709.26	1268.46	3039.3	2701.35	884.29	954.43	808.0
SUCLA2	269.6	808.0	1127.35	1167.14	775.05	514.56	638.15	633.73	156.59	293.07	406.31
TMED5	441.64	660.68	1088.92	1437.15	267.73	409.15	733.19	651.58	368.65	228.13	591.22
TMED7	591.22	1991.0	2090.03	1359.57	633.73	514.56	743.43	860.08	738.29	353.59	228.13
TRIM23	42.71	376.41	299.25	163.28	100.83	54.72	133.36	83.45	27.84	32.82	30.56
UCHL5	414.87	1023.0	603.67	1096.5	1313.23	371.22	909.17	988.12	486.75	265.87	329.84
UEVLD	115.16	785.88	414.87	368.65	264.03	131.51	242.88	229.72	111.99	89.51	92.05
