	GTEX.1399U.2226.SM.5KLZI	GTEX.14A5H.1626.SM.5SIAN	GTEX.14A5I.2426.SM.5Q5CP	GTEX.12WSJ.0826.SM.5PNWV	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13YAN.2026.SM.5Q5EY	GTEX.N7MS.1626.SM.3LK5F	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.Y8E4.0526.SM.4V6GC	GTEX.14A5H.0726.SM.5Q5DW
AC004466.1	46.5	170.25	77.79	64.8	201.25	253.23	23.76	22.1	6.84	47.17	211.31
ADAM19	102.97	1407.55	220.32	195.72	941.27	457.25	7.34	0.82	16.75	120.94	197.09
AKR1E2	29.91	60.82	35.0	60.39	51.35	108.9	31.9	24.28	4.74	181.28	26.67
AL353583.1	0.0	10.08	5.82	0.0	0.0	8.92	0.0	0.0	0.0	0.0	5.28
AL354808.2	0.0	13.62	5.5	1.93	5.96	7.17	0.0	0.0	0.0	6.06	10.71
AP002884.2	0.66	6.31	0.0	0.0	5.73	2.58	0.0	0.0	0.0	1.22	3.26
ATAD5	7.88	19.11	10.47	8.06	15.11	32.13	1.58	0.8	0.0	18.43	14.14
ATP13A2	457.25	1199.98	656.11	507.46	728.11	511.0	289.02	86.43	120.1	703.28	307.69
ATP6V0A2	110.43	429.54	166.73	72.52	376.41	511.0	59.13	127.0	52.82	175.07	412.0
BAP1	1225.22	1991.0	1519.15	854.13	2075.59	1806.78	1081.39	587.13	961.07	1295.13	1977.24
BCOR	273.37	785.88	348.71	255.0	1066.48	392.44	239.52	31.45	147.06	293.07	753.83
BMP1	205.5	3280.18	753.83	595.34	2434.5	2047.0	35.76	9.34	420.68	361.04	620.67
BTAF1	137.14	759.08	229.72	152.28	638.15	961.07	39.22	20.86	53.19	237.86	1008.9
C4orf21	32.36	72.01	27.84	15.11	130.6	102.97	4.86	1.22	1.99	41.22	63.0
CARD18	0.0	4.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.262692391E7	0.0
CARKD	921.88	1806.78	995.0	819.3	2178.83	1769.57	1096.5	579.04	860.08	567.1	1313.23
CATSPER2	27.05	76.71	108.14	36.01	187.71	395.18	5.87	22.1	3.14	151.22	175.07
CCDC84	224.97	830.75	603.67	441.64	2573.36	2645.74	64.34	137.14	65.26	941.27	1572.76
CCNB3	5.77	15.0	2.36	1.77	8.19	9.48	5.68	1.57	1.75	22.75	9.41
CCZ1B	915.51	2047.0	1857.6	825.0	1628.26	1498.22	503.95	921.88	420.68	1295.13	1457.23
CDK5RAP1	346.29	909.17	723.08	629.35	1119.56	1183.45	212.78	791.35	400.71	848.22	1199.98
CEACAM19	29.48	441.64	206.94	83.45	1963.57	1044.52	42.41	7.63	17.64	74.58	638.15
CELSR3	16.63	56.68	18.16	5.77	125.24	100.83	2.43	0.84	4.86	26.47	12.09
CHD1	246.28	830.75	334.46	150.17	1605.83	1175.27	127.89	46.5	48.87	329.84	878.17
CHD2	249.73	1059.11	397.93	152.28	1111.82	909.17	208.38	54.33	94.67	348.71	1936.53
