	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.UPIC.1126.SM.4IHLO	GTEX.XPVG.0526.SM.4B65N	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CW.5589.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.B9.4115.11A.01R.1758.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
KLHDC9	486.75	703.28	688.78	759.08	559.28	438.59	447.82	438.59	457.25	743.43	450.94	575.03	34.75	112.77	525.39	363.56	327.56	32.36	157.68	320.8	406.31	269.6	248.0	258.57	368.65	127.0	269.6	201.25	0.0	0.22
L3MBTL1	70.51	63.0	81.14	109.66	66.65	43.94	40.93	74.58	46.5	57.89	55.89	114.36	11.55	43.02	5.19	23.25	22.59	12.27	36.53	19.68	13.72	22.75	33.78	26.67	34.26	22.26	36.53	5.41	0.0	0.92
LCA5L	85.22	90.14	104.42	164.42	59.97	61.68	64.34	100.13	84.04	96.68	123.5	53.95	6.52	9.56	18.43	13.93	15.68	42.71	12.18	32.36	14.24	15.22	31.67	16.75	18.7	24.46	44.57	6.89	0.0	0.0
LRRC19	624.99	473.41	842.36	759.08	1322.37	1331.57	854.13	842.36	791.35	470.14	1369.04	860.08	3.06	2.25	4.7	13.72	40.07	155.5	7.06	61.25	10.71	81.14	8.99	8.25	11.47	4.21	34.75	1.41	0.0	0.0
LY6K	49.91	63.89	51.71	2224.63	48.18	27.25	18.84	38.95	20.11	94.67	9.13	28.24	6.84	0.0	1.85	0.77	4.35	5.96	2.34	4.17	1.36	7.28	0.34	2.41	2.81	1.2	6.84	0.0	0.0	0.48
LYG1	486.75	435.55	1350.18	5751.61	514.56	1277.29	791.35	629.35	473.41	947.83	551.56	414.87	17.77	21.94	20.56	26.1	10.47	4.82	12.93	9.13	29.48	8.19	7.75	33.06	12.93	19.68	17.38	7.28	0.0	0.72
MACC1	228.13	111.21	129.69	941.27	595.34	376.41	435.55	287.01	253.23	158.79	231.32	249.73	1.43	2.41	0.35	29.27	0.0	11.21	4.03	2.36	0.83	4.03	6.73	17.77	5.36	11.55	6.73	0.04	102.25	161.02
MAP2K4	373.81	327.56	327.56	629.35	400.71	420.68	460.44	397.93	403.5	303.44	444.72	325.29	94.01	98.73	121.79	190.34	205.5	521.76	269.6	420.68	239.52	244.57	277.2	182.55	244.57	251.48	397.93	158.79	0.0	0.54
MED11	902.89	1175.27	1407.55	1583.71	854.13	947.83	830.75	928.3	785.88	1378.57	961.07	1008.9	420.68	366.09	679.29	796.86	674.59	454.09	743.43	961.07	921.88	698.41	974.5	1216.75	775.05	555.41	860.08	878.17	0.0	0.41
MED31	341.51	423.61	595.34	511.0	237.86	303.44	312.0	414.87	318.57	511.0	293.07	316.37	140.04	119.26	165.57	361.04	180.02	334.46	316.37	320.8	186.4	249.73	244.57	279.14	287.01	269.6	348.71	185.11	0.0	0.42
MEIOB	13.42	8.06	21.16	43.32	3.76	32.13	22.1	10.31	5.32	21.32	23.93	5.87	0.48	2.12	13.62	1.62	11.21	3.38	4.66	5.32	0.61	1.75	6.26	0.78	18.7	7.22	18.7	0.72	0.0	0.14
MFSD6L	60.82	96.68	64.34	348.71	147.06	34.51	66.65	49.21	75.11	74.06	44.25	71.5	0.4	0.77	0.0	1.46	2.48	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.43	2.36	0.58	0.0	0.1
MLF1	470.14	559.28	642.59	540.19	466.88	500.46	525.39	536.45	463.65	563.18	414.87	414.87	5.32	15.56	12.27	74.06	16.27	14.14	36.27	9.63	55.49	30.56	52.45	17.25	22.59	61.68	26.1	11.21	0.0	0.27
MPDU1	2224.63	2502.97	3060.45	4123.49	2537.92	3146.52	2502.97	2384.37	2573.36	2520.38	2485.67	2287.2	1733.13	1143.1	1331.57	2855.44	2835.7	3928.15	2739.08	2451.44	2224.63	2520.38	2240.11	3235.01	3303.0	2720.15	2777.33	2935.74	0.0	0.22
MUSTN1	103.69	206.94	100.13	1417.35	785.88	217.27	55.89	111.99	86.43	432.53	69.03	214.27	8.38	0.0	0.0	28.45	3.86	8.65	15.45	4.62	13.42	1.83	32.82	8.85	17.13	31.45	60.39	2.89	0.0	0.47
