	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.UPIC.1126.SM.4IHLO	GTEX.XPVG.0526.SM.4B65N	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CW.5589.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.B9.4115.11A.01R.1758.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
CHRNB1	301.33	327.56	248.0	718.08	189.02	244.57	241.19	236.21	366.09	332.14	191.67	265.87	34.02	120.1	141.02	231.32	346.29	127.89	249.73	500.46	220.32	470.14	454.09	267.73	242.88	125.24	327.56	170.25	0.0	0.35
CKMT2	507.46	1023.0	988.12	1781.89	1313.23	348.71	423.61	511.0	397.93	848.22	426.57	791.35	6.57	10.08	14.89	72.01	23.42	32.13	105.89	6.57	55.89	9.34	48.52	17.13	23.93	59.97	96.01	5.15	0.0	0.37
CLCNKB	3146.52	10296.45	9151.82	26614.89	1104.13	3146.52	4543.8	4903.87	8247.98	7331.05	8247.98	6792.79	0.0	0.0	0.0	0.0	1.03	0.41	1.17	0.0	1.06	1.17	0.0	2.53	1.06	0.0	0.0	0.0	0.0	0.0
CLDN24	19.39	1.33	9.41	11.55	6.62	12.36	11.91	8.78	6.01	1.95	20.86	14.45	5.41	0.0	0.0	2.61	0.0	0.0	0.0	0.0	0.0	1.83	0.0	0.0	3.41	0.0	4.46	0.0	0.0	0.0
CLDN7	2287.2	2627.46	3540.14	14561.8	2178.83	1963.57	1909.85	1697.45	2004.85	2835.7	1350.18	2627.46	854.13	454.09	1844.76	647.07	511.0	447.82	2319.15	540.19	161.02	647.07	934.76	941.27	1037.29	379.04	583.07	1832.01	0.0	0.65
CLEC18A	981.29	941.27	1183.45	954.43	688.78	1950.0	848.22	1259.69	896.64	693.58	1794.29	1397.83	1.77	7.51	1.13	8.38	2.97	3.53	5.02	0.0	9.56	3.82	3.66	12.36	0.0	7.06	10.39	2.18	0.0	0.56
CLEC18B	1030.12	1233.75	1183.45	2032.85	2520.38	2209.26	1015.93	1561.89	769.69	915.51	1697.45	1397.83	10.39	0.0	3.56	14.56	0.0	0.0	6.16	6.73	9.7	4.94	3.89	5.23	8.99	20.86	8.0	0.0	0.0	0.59
CXCL14	16960.78	13681.08	16611.71	20737.16	29124.6	18052.61	11992.79	13399.51	7695.57	15075.35	22072.07	14065.74	1.0	0.99	0.55	3018.3	1781.89	633.73	343.89	1628.26	748.61	1977.24	1844.76	1216.75	4704.07	1407.55	10659.59	356.05	64.34	995.0
CYB5D2	1111.82	1277.29	1295.13	2032.85	1135.2	1143.1	1127.35	1008.9	1199.98	1104.13	1059.11	1059.11	186.4	285.03	239.52	802.41	1369.04	540.19	1183.45	1697.45	1051.79	1233.75	1250.98	603.67	1059.11	872.1	981.29	1119.56	0.0	0.1
CYP27B1	555.41	271.48	693.58	536.45	293.07	1594.73	262.2	223.41	158.79	1304.15	1639.59	1322.37	5.32	17.25	4.46	2.07	0.95	3.32	6.57	3.14	1.51	2.48	1.6	0.0	2.46	22.92	7.28	0.0	0.0	0.24
CYS1	5672.41	6935.54	3955.48	9151.82	6792.79	3564.78	5954.47	3564.78	5995.9	5633.22	4010.71	4010.71	0.0	2.53	5.63	86.43	45.53	42.41	171.45	28.04	95.34	52.82	139.07	40.36	55.89	23.93	198.47	3.0	0.0	0.0
DCDC2	1159.07	547.75	642.59	3280.18	2178.83	669.92	1259.69	915.51	921.88	629.35	599.49	633.73	16.27	6.57	57.08	368.65	8.51	102.97	107.38	21.32	336.79	50.27	157.68	454.09	133.36	182.55	417.77	2.51	0.0	0.0
DEFB1	33224.42	56265.94	68793.23	370726.6	13399.51	34396.12	59887.86	76330.98	97965.44	82951.62	76330.98	73730.83	2351.53	785.88	5183.54	35118.87	336.79	264.03	3372.43	4802.93	55491.3	7032.37	6792.79	153724.82	12764.83	26067.14	10585.95	33224.42	0.0	0.19
DHRS7B	1081.39	1111.82	1437.15	1857.6	1388.16	1304.15	1111.82	902.89	1044.52	1225.22	1073.91	988.12	500.46	283.05	848.22	728.11	866.07	723.08	764.36	693.58	934.76	738.29	921.88	1104.13	563.18	567.1	624.99	432.53	0.0	0.51
DLGAP2	33.78	40.64	20.71	11.47	25.91	44.89	24.11	17.64	14.78	9.56	71.0	37.05	0.0	0.0	2.46	2.46	1.45	3.11	1.62	2.16	4.94	4.24	3.38	2.18	10.24	1.81	13.72	4.94	0.0	0.0
DNER	583.07	351.14	400.71	2047.0	460.44	547.75	507.46	409.15	432.53	420.68	334.46	241.19	0.0	0.0	0.0	2.76	144.01	4.94	0.49	0.0	0.0	28.24	0.0	3.86	4.43	1.14	1.16	0.0	0.0	0.09
DPCD	884.29	995.0	1350.18	902.89	748.61	934.76	909.17	866.07	733.19	1151.06	703.28	764.36	214.27	211.31	273.37	199.85	231.32	116.78	98.73	190.34	102.97	176.29	249.73	193.01	181.28	97.36	144.01	120.94	0.0	0.08
DRG2	693.58	775.05	775.05	1437.15	669.92	595.34	674.59	669.92	743.43	775.05	693.58	830.75	429.54	253.23	733.19	403.5	371.22	236.21	423.61	441.64	389.72	341.51	490.14	466.88	463.65	497.0	514.56	483.38	0.0	0.57
EHD3	830.75	1143.1	480.04	633.73	612.11	403.5	612.11	1023.0	642.59	486.75	1008.9	921.88	22.43	13.72	11.47	258.57	265.87	171.45	295.11	348.71	358.54	529.06	480.04	111.99	194.36	141.02	115.16	72.01	0.0	0.44
ERBB4	147.06	194.36	69.03	486.75	117.6	142.01	307.69	154.42	320.8	107.38	162.14	120.1	0.0	0.0	0.0	1.16	0.0	0.29	0.77	0.0	0.0	0.0	0.0	0.85	0.27	0.25	0.0	0.32	0.0	0.0
FAM154B	50.98	79.45	81.71	123.5	47.17	96.01	71.5	73.54	98.04	76.71	91.41	39.5	40.07	19.11	5.28	2.34	13.62	13.12	19.82	2.51	7.4	14.89	8.71	2.41	3.44	12.45	26.86	0.39	0.0	0.0
FBXO15	87.03	114.36	134.3	178.77	75.64	105.15	90.77	120.1	88.26	92.05	128.79	94.01	20.26	2.97	6.46	72.52	25.35	22.1	22.59	34.26	43.02	47.84	43.63	34.75	28.24	38.4	24.81	16.03	0.0	0.0
FHIT	607.87	738.29	723.08	733.19	612.11	713.11	909.17	896.64	718.08	813.63	902.89	813.63	116.78	273.37	155.5	198.47	287.01	177.53	211.31	234.57	293.07	236.21	236.21	277.2	154.42	204.07	234.57	269.6	0.0	0.37
FLRT3	759.08	567.1	607.87	1135.2	2148.82	629.35	915.51	872.1	836.53	651.58	591.22	470.14	85.22	190.34	29.7	40.93	13.42	220.32	444.72	67.12	769.69	112.77	92.7	78.89	113.56	248.0	100.13	480.04	0.0	0.02
