	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.ZF.AA5N.01A.11R.A42T.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.UY.A9PH.01A.11R.A38B.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.DK.A3IL.01A.11R.A20F.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.OOBK.0526.SM.2HMJJ	GTEX.Y5LM.0726.SM.4VBRP	GTEX.11EQ9.0226.SM.5A5JX	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.139YR.0926.SM.5LZYB	GTEX.QDVJ.0926.SM.2I5FU	GTEX.RWSA.1126.SM.2XCAZ	GTEX.WFON.0426.SM.3GIL4	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.11TT1.1626.SM.5EQL7	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.WRHU.0926.SM.4E3IG	GTEX.1399T.0126.SM.5KM15	GTEX.12584.0826.SM.5FQSK	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZVT3.0726.SM.5GICN	GTEX.RU72.0126.SM.2TF6Z	GTEX.WVLH.0626.SM.3MJG7	GTEX.117YW.0126.SM.5EGGN	GTEX.WYVS.0326.SM.3NM9V	GTEX.12WSD.0926.SM.5GCNL	GTEX.1212Z.0426.SM.5FQT6	GTEX.13O1R.0826.SM.5J2MB
POLK	68.07	158.79	43.02	73.03	58.3	48.87	72.52	37.85	43.94	82.87	78.89	76.71	98.04	38.12	81.14	33.3	65.26	79.45	26.1	140.04	84.04	59.97	38.67	129.69	65.26	75.64	46.5	58.3	52.45	35.5	66.65	147.06	236.21	63.89	55.1	70.51	18.29	85.22	148.09	178.77	228.13	201.25	220.32	150.17	279.14	246.28	217.27	134.3	320.8	281.09	166.73	241.19	116.78	166.73	236.21	246.28	199.85	164.42	177.53	348.71	514.56	395.18	507.46	529.06	325.29	387.02	291.04	463.65	463.65	454.09	412.0	242.88
POLR2A	1151.06	1051.79	414.87	497.0	651.58	866.07	669.92	1242.34	1242.34	633.73	954.43	1277.29	1457.23	620.67	1340.84	400.71	1331.57	872.1	723.08	1407.55	463.65	961.07	1277.29	884.29	591.22	624.99	1151.06	860.08	808.0	620.67	1127.35	1175.27	1583.71	126.12	178.77	208.38	420.68	463.65	1066.48	738.29	1268.46	651.58	854.13	1340.84	1487.87	1167.14	1508.65	1175.27	2816.11	921.88	1322.37	1487.87	3443.31	1259.69	1519.15	1066.48	1551.09	1037.29	665.29	1304.15	2163.77	2915.45	2061.24	1977.24	2271.4	1561.89	2956.17	2816.11	1191.69	2047.0	2935.74	2367.9
PRKD3	211.31	65.72	109.66	176.29	236.21	215.77	37.85	166.73	146.03	201.25	126.12	80.01	287.01	67.59	173.85	71.5	113.56	435.55	96.68	150.17	124.37	177.53	162.14	166.73	121.79	131.51	102.25	155.5	76.71	135.24	149.12	387.02	612.11	45.85	55.1	67.59	39.5	123.5	139.07	265.87	267.73	239.52	303.44	262.2	507.46	241.19	190.34	224.97	607.87	356.05	426.57	208.38	287.01	285.03	258.57	217.27	265.87	231.32	221.86	295.11	281.09	267.73	287.01	301.33	163.28	435.55	246.28	281.09	389.72	353.59	258.57	264.03
PTAR1	57.49	156.59	76.71	55.1	24.99	99.43	64.8	46.84	74.58	120.94	33.3	82.87	129.69	63.45	87.65	85.82	93.35	110.43	38.95	86.43	125.24	84.04	153.34	66.18	89.51	71.5	76.17	96.68	31.22	92.05	117.6	237.86	325.29	50.98	120.1	36.27	59.13	111.99	138.1	195.72	217.27	234.57	228.13	205.5	295.11	253.23	220.32	149.12	334.46	265.87	273.37	255.0	223.41	195.72	176.29	248.0	201.25	156.59	297.17	251.48	275.28	205.5	397.93	281.09	202.66	327.56	170.25	281.09	368.65	289.02	273.37	221.86
PTPDC1	29.7	54.33	32.82	37.05	64.8	90.77	38.95	50.63	30.56	87.65	40.07	45.21	50.27	19.82	46.18	43.63	31.0	50.27	34.51	57.49	51.35	60.39	94.01	30.78	44.89	26.47	44.57	68.07	25.72	57.08	68.07	72.01	70.51	18.43	25.91	19.68	10.08	34.51	61.68	132.44	115.97	198.47	169.07	119.26	112.77	217.27	86.43	65.26	94.67	178.77	63.89	102.25	45.53	132.44	62.56	92.05	133.36	149.12	162.14	141.02	73.54	57.89	110.43	59.55	62.56	92.7	63.45	55.49	129.69	138.1	71.0	154.42
RAB11FIP2	40.93	115.97	26.47	56.28	25.91	45.21	37.59	33.06	75.64	55.49	84.04	45.85	56.28	35.25	47.5	33.3	33.06	104.42	28.45	65.26	40.93	35.0	59.97	40.93	59.55	33.3	47.17	39.22	32.82	33.78	75.64	132.44	144.01	28.45	35.25	27.05	13.42	42.11	129.69	206.94	260.38	206.94	221.86	154.42	202.66	166.73	119.26	323.03	480.04	414.87	157.68	195.72	244.57	214.27	208.38	285.03	186.4	239.52	135.24	262.2	198.47	221.86	358.54	226.54	172.65	239.52	183.82	260.38	303.44	325.29	220.32	221.86
RLIM	79.45	155.5	88.88	136.19	154.42	149.12	107.38	84.04	84.63	180.02	102.25	137.14	285.03	101.54	125.24	92.7	88.88	176.29	66.18	187.71	178.77	157.68	150.17	166.73	124.37	178.77	166.73	121.79	76.17	134.3	177.53	205.5	289.02	59.55	69.03	47.84	51.35	63.89	195.72	180.02	215.77	223.41	211.31	182.55	220.32	197.09	246.28	194.36	395.18	201.25	318.57	265.87	262.2	199.85	283.05	236.21	234.57	206.94	264.03	234.57	295.11	341.51	379.04	271.48	341.51	384.34	301.33	356.05	329.84	327.56	314.17	275.28
RNF38	152.28	180.02	72.01	100.83	65.26	189.02	83.45	157.68	102.97	217.27	82.29	102.25	253.23	96.68	118.43	132.44	96.01	187.71	91.41	137.14	75.11	217.27	128.79	103.69	194.36	84.63	113.56	150.17	93.35	117.6	182.55	536.45	629.35	35.5	93.35	80.57	100.83	92.7	163.28	493.56	473.41	414.87	368.65	291.04	633.73	363.56	255.0	366.09	961.07	470.14	417.77	343.89	400.71	387.02	376.41	314.17	264.03	316.37	339.14	361.04	555.41	559.28	688.78	733.19	389.72	579.04	486.75	429.54	656.11	656.11	483.38	351.14
RP11-146D12.2	2.03	0.0	0.89	0.0	0.0	1.69	10.08	3.79	7.82	1.3	7.06	3.76	5.06	0.0	0.35	0.0	0.67	1.39	0.0	0.0	1.87	1.01	0.0	0.0	1.27	8.65	3.03	4.86	1.62	2.36	0.0	6.26	31.9	1.97	7.22	3.38	1.83	12.93	8.65	16.27	9.56	27.84	0.0	17.51	17.51	27.44	49.21	19.25	48.52	37.05	7.57	9.13	6.67	28.45	6.46	13.83	5.77	8.19	21.63	9.93	26.47	185.11	94.01	93.35	74.06	64.8	66.65	71.5	39.22	80.01	48.52	32.36
RP11-195B21.3	0.0	0.0	0.87	0.0	0.0	1.33	0.0	0.0	0.0	0.0	0.92	0.0	1.89	0.0	0.0	0.0	1.28	0.0	0.65	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	1.35	3.5	3.96	0.0	0.0	0.0	0.0	1.81	0.0	0.91	3.89	5.02	7.94	0.67	4.9	2.29	2.01	2.32	1.83	4.58	3.14	2.25	1.81	2.81	1.22	1.51	1.14	4.17	10.39	1.19	11.73	15.11	26.28	8.51	22.1	7.06	5.68	35.76	23.42	23.08	5.73	2.63
RSBN1	68.55	98.73	54.72	108.9	47.17	66.65	78.34	65.26	96.68	75.11	86.43	78.89	100.13	31.45	138.1	63.0	85.22	106.63	68.55	98.04	75.64	64.8	100.13	132.44	85.22	141.02	108.9	103.69	71.5	32.36	64.34	186.4	209.84	36.27	24.81	29.7	23.59	40.64	157.68	142.01	307.69	156.59	147.06	135.24	149.12	208.38	150.17	258.57	595.34	346.29	173.85	146.03	169.07	217.27	273.37	256.78	153.34	167.9	189.02	258.57	167.9	146.03	215.77	209.84	172.65	246.28	111.21	137.14	299.25	177.53	211.31	173.85
SCAI	12.83	34.75	31.0	22.43	23.93	39.5	26.67	23.42	26.67	28.65	16.63	24.99	75.11	23.93	38.67	37.59	21.32	40.64	40.07	22.26	22.92	28.86	53.95	31.67	23.76	22.1	23.59	49.91	17.0	42.41	38.4	40.64	59.55	17.0	27.64	16.27	7.34	15.34	61.68	65.26	111.21	49.91	60.39	52.82	138.1	81.14	52.82	68.07	46.18	131.51	100.13	81.14	34.26	72.52	73.54	75.11	66.65	71.5	49.91	126.12	60.39	50.63	98.73	51.35	90.77	96.01	53.57	73.54	82.87	81.71	49.56	25.91
SNAPC3	153.34	175.07	163.28	141.02	101.54	143.01	101.54	164.42	113.56	201.25	125.24	205.5	223.41	141.02	181.28	190.34	142.01	204.07	91.41	164.42	120.1	221.86	137.14	202.66	148.09	151.22	85.22	193.01	100.83	229.72	187.71	429.54	674.59	72.52	102.25	129.69	105.15	177.53	175.07	301.33	325.29	346.29	454.09	269.6	343.89	341.51	384.34	273.37	133.36	447.82	132.44	271.48	178.77	262.2	283.05	320.8	379.04	265.87	277.2	392.44	343.89	305.55	353.59	251.48	204.07	312.0	299.25	246.28	368.65	381.68	281.09	236.21
SPAG9	406.31	764.36	212.78	343.89	336.79	346.29	325.29	314.17	540.19	651.58	262.2	363.56	353.59	470.14	435.55	559.28	255.0	688.78	242.88	217.27	291.04	237.86	305.55	314.17	323.03	264.03	521.76	371.22	275.28	291.04	273.37	368.65	318.57	172.65	271.48	177.53	142.01	265.87	595.34	743.43	1651.0	1159.07	836.53	743.43	1286.18	1008.9	988.12	728.11	1277.29	1359.57	1277.29	2287.2	624.99	1233.75	928.3	1008.9	967.76	902.89	1001.93	1250.98	1167.14	921.88	2178.83	1467.37	1369.04	1127.35	902.89	1628.26	1233.75	1437.15	1457.23	902.89
TACC2	1001.93	785.88	312.0	314.17	295.11	1883.54	457.25	476.71	607.87	267.73	679.29	361.04	336.79	84.63	896.64	591.22	279.14	432.53	728.11	363.56	175.07	82.29	480.04	579.04	500.46	226.54	389.72	159.9	343.89	129.69	514.56	384.34	540.19	460.44	426.57	595.34	226.54	406.31	2956.17	3614.55	8363.13	4450.27	6471.02	4268.94	6164.49	3395.89	2645.74	3665.02	2075.59	3690.52	1378.57	7130.55	1037.29	5995.9	1250.98	5219.6	4836.35	4388.98	3982.99	6037.61	2104.58	1639.59	1551.09	1331.57	1073.91	1143.1	1175.27	1331.57	1081.39	1175.27	1447.15	1378.57
TAF1	151.22	206.94	127.0	158.79	111.99	215.77	186.4	108.14	134.3	180.02	163.28	115.97	314.17	106.63	307.69	143.01	96.68	400.71	86.43	217.27	140.04	130.6	271.48	187.71	136.19	199.85	191.67	180.02	161.02	88.26	180.02	214.27	320.8	49.56	49.91	37.59	39.79	51.35	265.87	194.36	457.25	287.01	289.02	318.57	397.93	336.79	215.77	239.52	521.76	341.51	325.29	450.94	299.25	305.55	454.09	466.88	242.88	287.01	351.14	532.74	395.18	500.46	656.11	493.56	358.54	563.18	371.22	543.96	579.04	463.65	414.87	718.08
TRIM25	457.25	403.5	236.21	287.01	244.57	198.47	164.42	251.48	368.65	329.84	142.01	279.14	166.73	325.29	197.09	165.57	133.36	255.0	221.86	170.25	151.22	212.78	189.02	133.36	185.11	152.28	116.78	403.5	229.72	194.36	223.41	733.19	525.39	114.36	211.31	409.15	81.71	253.23	486.75	320.8	638.15	860.08	346.29	708.18	591.22	629.35	2004.85	389.72	995.0	417.77	595.34	748.61	647.07	567.1	759.08	961.07	387.02	603.67	500.46	547.75	511.0	435.55	599.49	738.29	607.87	633.73	314.17	660.68	503.95	503.95	368.65	493.56
TRIM56	86.43	242.88	45.85	78.89	82.29	75.11	54.72	68.07	37.05	105.89	76.71	72.52	98.73	93.35	78.89	37.05	59.97	248.0	43.32	42.71	32.59	94.67	128.79	131.51	87.65	133.36	51.71	99.43	80.01	63.0	214.27	208.38	314.17	42.11	43.32	48.87	43.32	97.36	346.29	108.9	318.57	346.29	202.66	358.54	387.02	470.14	309.83	454.09	312.0	180.02	351.14	450.94	497.0	303.44	493.56	417.77	182.55	260.38	507.46	409.15	224.97	129.69	228.13	172.65	92.7	447.82	126.12	145.02	353.59	205.5	176.29	400.71
TTC7A	140.04	403.5	120.1	177.53	836.53	204.07	119.26	157.68	96.68	836.53	120.94	249.73	460.44	387.02	244.57	242.88	133.36	232.94	152.28	157.68	161.02	698.41	193.01	251.48	218.79	169.07	138.1	198.47	127.89	237.86	146.03	555.41	397.93	151.22	563.18	113.56	138.1	155.5	836.53	406.31	417.77	532.74	866.07	679.29	403.5	674.59	543.96	836.53	836.53	679.29	802.41	629.35	738.29	525.39	780.44	503.95	414.87	684.02	1044.52	723.08	567.1	780.44	571.05	684.02	733.19	728.11	620.67	738.29	633.73	785.88	723.08	447.82
UHRF2	444.72	379.04	195.72	279.14	206.94	281.09	353.59	242.88	251.48	376.41	191.67	293.07	336.79	163.28	221.86	281.09	164.42	234.57	175.07	267.73	175.07	343.89	209.84	138.1	283.05	199.85	111.99	277.2	217.27	212.78	463.65	769.69	780.44	81.14	127.89	141.02	82.87	115.16	231.32	303.44	409.15	316.37	339.14	242.88	518.15	289.02	301.33	221.86	1044.52	486.75	194.36	432.53	173.85	166.73	309.83	224.97	199.85	195.72	371.22	341.51	607.87	429.54	780.44	607.87	595.34	647.07	511.0	595.34	607.87	638.15	476.71	463.65
VPS13C	343.89	420.68	236.21	389.72	171.45	293.07	271.48	327.56	470.14	242.88	343.89	218.79	234.57	136.19	397.93	204.07	295.11	447.82	161.02	323.03	285.03	232.94	444.72	397.93	373.81	215.77	379.04	223.41	209.84	156.59	299.25	1073.91	1001.93	108.14	127.89	90.77	77.79	195.72	242.88	612.11	854.13	480.04	753.83	518.15	624.99	555.41	669.92	316.37	536.45	1199.98	486.75	620.67	234.57	525.39	339.14	420.68	400.71	490.14	780.44	647.07	563.18	507.46	775.05	607.87	521.76	723.08	466.88	532.74	656.11	733.19	486.75	389.72
VPS53	244.57	309.83	141.02	77.79	187.71	303.44	78.89	228.13	255.0	177.53	256.78	244.57	281.09	353.59	236.21	189.02	316.37	211.31	170.25	223.41	97.36	172.65	275.28	133.36	166.73	132.44	195.72	150.17	102.97	211.31	275.28	130.6	211.31	127.0	98.73	64.8	154.42	181.28	406.31	205.5	420.68	336.79	432.53	368.65	379.04	470.14	406.31	486.75	373.81	307.69	444.72	470.14	486.75	392.44	450.94	466.88	341.51	312.0	595.34	490.14	265.87	435.55	444.72	547.75	616.37	567.1	231.32	486.75	356.05	329.84	521.76	256.78
ZBTB34	25.72	45.21	16.51	34.51	27.44	78.34	35.76	48.52	29.7	51.71	32.13	50.63	81.71	38.95	62.12	34.02	31.45	43.32	21.94	58.71	29.27	48.18	62.12	40.07	48.87	25.54	31.9	42.41	26.86	31.67	70.51	108.9	87.65	11.38	11.13	20.11	14.67	37.32	38.95	46.18	87.03	91.41	63.0	78.34	71.5	117.6	100.83	62.56	70.01	88.88	89.51	68.55	51.35	75.64	85.22	94.01	64.34	73.03	87.65	87.03	108.14	79.45	128.79	42.71	97.36	84.63	59.13	84.63	133.36	65.26	87.65	61.25
ZC3H7A	514.56	423.61	406.31	414.87	273.37	470.14	447.82	343.89	551.56	476.71	457.25	420.68	559.28	295.11	567.1	503.95	414.87	532.74	309.83	551.56	309.83	341.51	490.14	486.75	497.0	493.56	575.03	426.57	379.04	547.75	529.06	780.44	921.88	312.0	454.09	309.83	220.32	376.41	358.54	651.58	775.05	567.1	551.56	438.59	974.5	753.83	551.56	403.5	1340.84	796.86	941.27	1015.93	547.75	665.29	612.11	476.71	450.94	612.11	848.22	688.78	1242.34	1191.69	1467.37	1191.69	1096.5	1111.82	1001.93	1104.13	1059.11	1508.65	1175.27	674.59
ZNF236	41.81	57.89	21.01	37.85	8.78	38.12	35.25	17.9	33.3	28.24	37.85	24.81	49.91	19.82	62.12	18.56	17.25	65.26	11.82	67.12	15.34	18.03	46.18	58.71	35.0	35.76	32.59	36.27	31.22	16.75	44.25	70.01	72.01	8.99	11.38	12.36	16.15	21.78	33.3	36.53	59.13	42.71	61.25	47.84	71.0	69.03	57.89	37.59	77.79	49.21	48.52	40.36	96.01	45.85	56.68	47.5	33.3	41.52	36.79	68.55	96.01	111.21	121.79	117.6	111.99	75.11	181.28	156.59	87.03	83.45	102.97	44.25
ZNF451	237.86	205.5	98.73	237.86	217.27	312.0	164.42	146.03	249.73	220.32	208.38	173.85	228.13	137.14	260.38	241.19	139.07	255.0	108.9	262.2	202.66	125.24	256.78	218.79	214.27	185.11	223.41	295.11	181.28	130.6	171.45	400.71	312.0	120.1	81.14	92.7	60.39	92.7	173.85	251.48	381.68	309.83	228.13	255.0	299.25	269.6	246.28	197.09	529.06	351.14	353.59	368.65	242.88	287.01	211.31	205.5	226.54	246.28	283.05	260.38	403.5	389.72	679.29	529.06	450.94	466.88	285.03	559.28	493.56	591.22	518.15	327.56
ZZEF1	265.87	118.43	43.02	79.45	66.65	120.94	63.89	100.13	206.94	143.01	173.85	144.01	147.06	98.04	118.43	79.45	105.89	112.77	83.45	116.78	45.21	102.25	162.14	80.57	96.68	67.12	93.35	137.14	84.63	76.71	147.06	220.32	204.07	45.85	53.57	35.25	64.34	125.24	232.94	152.28	309.83	226.54	143.01	316.37	397.93	279.14	244.57	209.84	438.59	265.87	435.55	343.89	239.52	312.0	325.29	202.66	180.02	269.6	185.11	281.09	466.88	438.59	579.04	656.11	559.28	470.14	356.05	624.99	447.82	483.38	457.25	555.41
