	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.ZF.AA5N.01A.11R.A42T.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.UY.A9PH.01A.11R.A38B.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.DK.A3IL.01A.11R.A20F.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.OOBK.0526.SM.2HMJJ	GTEX.Y5LM.0726.SM.4VBRP	GTEX.11EQ9.0226.SM.5A5JX	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.139YR.0926.SM.5LZYB	GTEX.QDVJ.0926.SM.2I5FU	GTEX.RWSA.1126.SM.2XCAZ	GTEX.WFON.0426.SM.3GIL4	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.11TT1.1626.SM.5EQL7	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.WRHU.0926.SM.4E3IG	GTEX.1399T.0126.SM.5KM15	GTEX.12584.0826.SM.5FQSK	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZVT3.0726.SM.5GICN	GTEX.RU72.0126.SM.2TF6Z	GTEX.WVLH.0626.SM.3MJG7	GTEX.117YW.0126.SM.5EGGN	GTEX.WYVS.0326.SM.3NM9V	GTEX.12WSD.0926.SM.5GCNL	GTEX.1212Z.0426.SM.5FQT6	GTEX.13O1R.0826.SM.5J2MB
NBEAL1	40.07	94.01	74.58	34.75	18.16	35.76	34.02	41.81	66.18	62.56	45.21	26.1	49.56	21.63	84.63	65.72	31.0	85.22	39.22	42.11	28.86	22.59	49.21	54.72	46.84	43.02	27.25	56.28	26.47	55.1	24.11	55.89	47.5	67.59	70.01	55.49	44.57	100.13	77.79	90.77	78.34	84.04	126.12	57.49	105.89	100.83	127.89	91.41	262.2	146.03	157.68	110.43	94.01	73.03	128.79	102.25	53.57	123.5	103.69	100.83	145.02	204.07	153.34	138.1	131.51	132.44	119.26	197.09	138.1	127.89	127.0	72.01
NHLRC2	34.02	84.63	70.51	46.84	34.26	31.9	34.26	21.63	46.84	47.17	56.28	37.32	74.58	32.82	79.45	29.91	37.05	65.26	10.47	28.04	35.5	25.72	48.18	66.65	77.25	53.95	43.02	37.85	24.28	35.25	38.12	78.89	178.77	25.91	27.84	13.72	34.75	58.3	55.1	98.04	109.66	103.69	106.63	70.51	108.14	100.13	96.01	96.01	156.59	93.35	92.7	106.63	98.04	75.64	107.38	92.7	99.43	85.82	124.37	136.19	143.01	105.89	205.5	136.19	102.97	154.42	80.57	167.9	191.67	197.09	144.01	92.05
NPAT	73.54	141.02	79.45	40.07	53.19	88.26	85.82	73.54	55.1	115.16	55.89	77.79	109.66	53.95	56.68	57.08	80.57	133.36	39.79	75.11	137.14	61.25	103.69	57.08	89.51	80.01	84.63	58.71	47.84	47.17	148.09	141.02	161.02	32.82	34.51	41.52	12.64	26.86	57.89	73.03	138.1	110.43	117.6	95.34	175.07	121.79	90.77	85.22	150.17	133.36	135.24	92.05	175.07	100.13	71.5	86.43	128.79	74.58	84.04	116.78	199.85	148.09	155.5	262.2	185.11	171.45	126.12	154.42	248.0	171.45	204.07	105.89
OPHN1	15.91	28.45	10.55	17.38	18.97	24.11	11.13	7.63	9.41	46.5	13.62	9.13	63.0	57.08	28.24	19.97	15.8	19.97	8.85	12.64	18.16	6.73	28.65	33.54	5.36	26.47	13.12	13.22	11.55	29.48	25.35	206.94	148.09	1.57	3.44	1.95	1.81	17.9	29.91	44.89	65.72	81.71	76.71	73.54	167.9	114.36	71.5	53.57	197.09	123.5	98.73	73.03	58.71	49.56	31.45	59.97	75.64	47.5	115.16	105.89	124.37	104.42	145.02	90.77	146.03	134.3	95.34	151.22	103.69	136.19	105.15	19.68
OR52N4	2.68	0.0	0.0	0.0	0.87	0.0	0.0	0.0	2.25	1.91	0.0	0.0	0.64	0.0	0.99	0.66	0.97	0.0	0.0	0.0	0.0	1.66	0.74	0.0	2.48	0.6	0.0	0.0	0.0	0.0	0.0	4.13	4.62	0.0	2.07	0.0	2.23	1.77	2.63	7.28	2.78	7.22	2.39	4.74	12.74	7.0	0.69	3.44	13.62	6.52	15.91	4.62	7.88	11.38	2.71	4.66	17.64	7.63	0.42	2.61	8.99	1.0	1.07	3.2	4.58	4.66	7.75	12.18	3.03	8.0	6.31	25.17
OTUD7A	2.39	4.62	9.56	2.86	0.89	0.69	3.32	0.97	2.27	2.58	0.95	6.84	4.74	1.57	0.68	1.99	8.99	1.39	3.59	0.4	0.39	1.68	7.69	4.58	6.84	5.06	4.03	0.59	1.3	5.82	8.06	23.25	28.24	14.78	3.82	7.34	11.13	6.57	15.45	33.54	13.32	35.5	17.25	37.59	22.26	35.76	13.52	15.34	21.32	36.79	31.22	59.55	15.22	15.56	45.21	20.41	26.67	12.09	56.28	20.56	27.44	35.25	33.54	46.5	24.63	31.9	38.4	41.22	30.78	18.84	33.3	12.45
PHF3	157.68	183.82	146.03	152.28	223.41	187.71	170.25	139.07	153.34	183.82	193.01	176.29	228.13	85.82	295.11	127.89	161.02	239.52	94.01	212.78	214.27	151.22	215.77	242.88	178.77	199.85	251.48	137.14	157.68	98.04	127.0	480.04	571.05	165.57	175.07	163.28	58.3	96.01	156.59	289.02	525.39	348.71	460.44	281.09	429.54	339.14	341.51	256.78	728.11	514.56	497.0	438.59	273.37	414.87	373.81	314.17	231.32	258.57	444.72	473.41	688.78	679.29	1135.2	961.07	842.36	902.89	483.38	743.43	860.08	848.22	514.56	420.68
PIAS1	185.11	256.78	221.86	329.84	336.79	151.22	291.04	186.4	241.19	223.41	202.66	249.73	511.0	176.29	258.57	163.28	169.07	258.57	135.24	221.86	214.27	150.17	275.28	267.73	229.72	301.33	287.01	166.73	197.09	132.44	246.28	429.54	575.03	138.1	93.35	129.69	106.63	145.02	267.73	348.71	507.46	447.82	457.25	476.71	808.0	470.14	514.56	400.71	830.75	555.41	599.49	379.04	384.34	543.96	679.29	547.75	363.56	368.65	460.44	819.3	575.03	651.58	718.08	753.83	497.0	660.68	441.64	698.41	764.36	660.68	525.39	392.44
PIK3C2A	134.3	137.14	92.7	148.09	64.34	87.65	115.16	72.01	82.29	123.5	98.73	92.05	178.77	84.63	108.14	79.45	97.36	185.11	42.71	156.59	100.13	60.82	114.36	87.03	76.71	115.97	117.6	89.51	50.63	58.71	96.68	253.23	339.14	54.33	64.8	65.72	23.93	96.01	185.11	438.59	514.56	412.0	361.04	373.81	713.11	460.44	246.28	406.31	780.44	583.07	253.23	476.71	450.94	392.44	420.68	358.54	514.56	400.71	426.57	480.04	438.59	551.56	743.43	521.76	343.89	417.77	318.57	620.67	713.11	567.1	551.56	612.11
PIKFYVE	95.34	194.36	42.11	71.5	19.97	43.32	63.89	40.36	60.39	57.49	67.12	49.91	68.07	32.13	86.43	54.33	50.98	110.43	76.17	94.67	54.33	34.75	67.59	63.89	78.89	57.49	65.72	63.89	48.18	36.79	48.52	169.07	194.36	42.41	48.52	19.97	28.86	38.4	73.03	97.36	140.04	126.12	111.99	108.14	159.9	114.36	89.51	94.01	320.8	162.14	178.77	111.21	169.07	112.77	128.79	190.34	84.63	131.51	126.12	154.42	217.27	181.28	255.0	228.13	199.85	224.97	125.24	229.72	260.38	220.32	208.38	194.36
