	TCGA.AA.3489.11A.01R.1839.07	GTEX.12WSJ.0826.SM.5PNWV	GTEX.13O61.1226.SM.5KM21	TCGA.35.4122.01A.01R.1107.07	TCGA.50.5066.01A.01R.1628.07	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.33.4589.01A.01R.1443.07	TCGA.18.3421.01A.01R.0980.07	TCGA.37.4133.01A.01R.1100.07	TCGA.66.2778.01A.02R.0851.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.34.5234.01A.01R.1635.07	TCGA.37.3783.01A.01R.1201.07	TCGA.AG.3725.11A.01R.1736.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.BR.8367.01A.11R.2343.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8373.01A.11R.2343.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
RAI1	138.1	244.57	293.07	55.89	76.17	133.36	69.52	50.27	126.12	301.33	126.12	98.04	58.71	80.57	571.05	371.22	624.99	371.22	426.57	234.57	429.54	400.71	642.59	764.36	679.29	283.05	327.56	441.64	351.14	267.73	244.57	336.79	265.87	65.72	327.56	191.67
RAPH1	96.68	87.03	75.64	83.45	120.1	208.38	39.79	40.07	108.9	72.52	108.9	42.41	80.57	47.84	493.56	329.84	500.46	281.09	253.23	497.0	215.77	371.22	563.18	480.04	223.41	176.29	251.48	312.0	224.97	232.94	43.32	73.54	183.82	28.24	148.09	50.63
RREB1	115.16	94.01	237.86	58.71	44.57	490.14	38.95	81.71	58.3	139.07	58.3	60.82	94.67	85.22	575.03	387.02	620.67	460.44	381.68	412.0	307.69	381.68	1216.75	603.67	403.5	267.73	373.81	423.61	409.15	409.15	177.53	271.48	232.94	71.0	236.21	140.04
SEC16A	525.39	764.36	1208.34	269.6	336.79	825.0	275.28	381.68	368.65	228.13	368.65	376.41	409.15	417.77	1977.24	2255.7	1639.59	2451.44	2209.26	1896.65	1721.16	2163.77	1605.83	2816.11	4671.57	1397.83	1721.16	1781.89	2178.83	1508.65	1167.14	1498.22	981.29	551.56	1551.09	836.53
SMCR8	73.03	19.11	100.83	21.16	26.1	209.84	12.55	14.35	17.25	43.94	17.25	25.35	12.09	56.68	267.73	186.4	255.0	187.71	218.79	118.43	139.07	234.57	343.89	214.27	212.78	130.6	190.34	244.57	212.78	205.5	141.02	132.44	161.02	35.25	129.69	128.79
STK35	149.12	89.51	208.38	114.36	82.29	244.57	53.57	108.9	101.54	167.9	101.54	127.0	151.22	137.14	435.55	253.23	379.04	376.41	351.14	148.09	346.29	303.44	638.15	429.54	536.45	155.5	269.6	285.03	253.23	237.86	187.71	199.85	195.72	62.56	181.28	141.02
SUSD1	107.38	104.42	62.56	301.33	217.27	435.55	103.69	100.13	111.99	121.79	111.99	183.82	136.19	88.88	376.41	373.81	316.37	339.14	318.57	189.02	329.84	229.72	921.88	389.72	381.68	368.65	307.69	293.07	379.04	301.33	269.6	262.2	356.05	212.78	214.27	215.77
TBC1D13	312.0	327.56	417.77	154.42	181.28	633.73	81.14	73.54	138.1	94.67	138.1	154.42	155.5	269.6	423.61	463.65	417.77	476.71	376.41	173.85	368.65	314.17	708.18	432.53	356.05	293.07	551.56	529.06	540.19	500.46	387.02	470.14	334.46	186.4	497.0	395.18
TBC1D16	121.79	194.36	269.6	88.26	81.14	246.28	69.03	127.0	37.32	87.65	37.32	98.04	25.91	100.83	463.65	202.66	420.68	353.59	368.65	136.19	339.14	312.0	872.1	743.43	325.29	164.42	256.78	363.56	244.57	244.57	177.53	248.0	120.94	37.32	269.6	114.36
TET3	19.39	18.03	58.3	23.08	23.08	120.1	24.11	51.35	47.5	51.35	47.5	21.63	28.86	15.56	289.02	166.73	220.32	191.67	194.36	152.28	150.17	166.73	363.56	251.48	211.31	88.26	170.25	156.59	182.55	152.28	58.71	84.04	94.67	16.39	91.41	41.81
TMEM57	193.01	212.78	258.57	146.03	132.44	309.83	108.9	137.14	89.51	173.85	89.51	135.24	140.04	177.53	334.46	368.65	409.15	320.8	348.71	236.21	373.81	314.17	486.75	346.29	571.05	305.55	293.07	314.17	457.25	339.14	332.14	356.05	242.88	229.72	403.5	251.48
UBN1	246.28	231.32	389.72	116.78	95.34	381.68	120.94	98.73	128.79	163.28	128.79	170.25	145.02	226.54	607.87	438.59	693.58	599.49	529.06	379.04	384.34	473.41	660.68	656.11	802.41	336.79	457.25	480.04	457.25	381.68	303.44	373.81	312.0	136.19	339.14	256.78
UHRF1BP1	57.89	24.99	94.01	66.18	55.1	126.12	17.9	56.28	77.25	42.41	77.25	39.79	42.71	38.4	159.9	124.37	132.44	138.1	125.24	175.07	104.42	131.51	291.04	154.42	110.43	59.97	107.38	157.68	130.6	71.5	88.88	78.89	120.94	33.3	77.79	74.58
USP22	941.27	591.22	1519.15	392.44	476.71	1447.15	583.07	366.09	314.17	854.13	314.17	521.76	224.97	743.43	2119.22	1883.54	3372.43	1498.22	1594.73	2032.85	1991.0	1508.65	3614.55	2895.31	2255.7	1233.75	1674.06	2255.7	1781.89	1709.26	1143.1	1519.15	1242.34	612.11	1286.18	1183.45
VPRBP	262.2	171.45	397.93	120.1	110.43	406.31	81.14	151.22	144.01	136.19	144.01	122.64	112.77	180.02	764.36	490.14	708.18	612.11	457.25	571.05	444.72	480.04	1143.1	500.46	540.19	397.93	316.37	460.44	457.25	384.34	318.57	297.17	289.02	163.28	297.17	271.48
VPS53	211.31	108.9	249.73	154.42	133.36	265.87	138.1	137.14	163.28	111.99	163.28	115.97	82.29	119.26	775.05	429.54	791.35	368.65	647.07	264.03	629.35	460.44	571.05	633.73	579.04	412.0	291.04	454.09	493.56	460.44	297.17	293.07	307.69	132.44	381.68	264.03
WDR37	124.37	65.72	206.94	92.7	84.04	358.54	64.8	45.85	71.0	115.16	71.0	97.36	64.34	115.16	358.54	297.17	223.41	262.2	242.88	157.68	217.27	183.82	232.94	336.79	264.03	158.79	208.38	237.86	246.28	205.5	189.02	190.34	187.71	102.97	214.27	145.02
ZBED4	79.45	52.82	73.03	75.64	57.49	124.37	63.89	84.04	89.51	92.7	89.51	86.43	77.79	66.65	281.09	177.53	291.04	248.0	177.53	141.02	178.77	176.29	406.31	206.94	248.0	128.79	164.42	153.34	175.07	152.28	115.97	118.43	137.14	66.65	117.6	96.68
ZBTB39	45.21	31.67	69.52	22.75	19.39	89.51	9.34	21.78	24.46	19.53	24.46	20.26	17.38	32.13	103.69	86.43	113.56	122.64	66.18	84.63	100.83	73.03	194.36	86.43	130.6	52.08	54.33	83.45	71.5	67.12	69.03	64.34	45.21	17.0	53.57	45.85
ZFYVE27	414.87	244.57	463.65	312.0	186.4	414.87	159.9	332.14	258.57	260.38	258.57	262.2	281.09	521.76	743.43	486.75	551.56	575.03	536.45	547.75	406.31	256.78	759.08	540.19	583.07	540.19	514.56	500.46	417.77	514.56	480.04	366.09	463.65	366.09	334.46	400.71
ZKSCAN1	212.78	90.14	320.8	72.52	105.15	217.27	59.13	102.97	101.54	70.01	101.54	87.03	140.04	217.27	759.08	743.43	909.17	684.02	511.0	1143.1	872.1	688.78	2163.77	693.58	1605.83	525.39	420.68	825.0	842.36	738.29	332.14	518.15	387.02	220.32	500.46	246.28
ZNF142	140.04	99.43	299.25	38.95	31.67	307.69	17.77	35.5	46.5	65.26	46.5	50.27	59.55	73.03	457.25	403.5	470.14	435.55	353.59	295.11	297.17	312.0	642.59	460.44	301.33	229.72	264.03	329.84	277.2	206.94	197.09	267.73	197.09	58.71	169.07	194.36
ZNF398	84.04	69.03	112.77	73.54	47.17	135.24	33.78	87.65	97.36	69.52	97.36	67.59	82.87	66.65	248.0	135.24	237.86	217.27	170.25	131.51	151.22	164.42	267.73	197.09	226.54	140.04	133.36	169.07	133.36	149.12	106.63	122.64	147.06	76.17	82.87	118.43
ZNF41	86.43	21.16	66.18	46.84	57.89	125.24	18.56	88.88	55.1	43.02	55.1	59.13	49.21	88.88	162.14	185.11	141.02	163.28	93.35	123.5	130.6	102.25	139.07	127.89	295.11	126.12	75.64	115.16	142.01	94.01	99.43	82.87	102.97	105.89	92.05	108.14
ZNF592	167.9	111.99	314.17	46.84	44.89	353.59	21.78	86.43	54.72	87.03	54.72	88.26	82.87	134.3	514.56	339.14	490.14	392.44	417.77	232.94	293.07	232.94	518.15	500.46	381.68	260.38	366.09	376.41	356.05	318.57	256.78	262.2	256.78	84.63	242.88	215.77
ZNF664	896.64	379.04	825.0	567.1	423.61	1561.89	220.32	486.75	529.06	412.0	529.06	435.55	283.05	753.83	890.44	1167.14	1594.73	1397.83	1044.52	1844.76	1216.75	1950.0	2645.74	884.29	1721.16	1175.27	1286.18	1304.15	1225.22	1870.53	848.22	1023.0	915.51	802.41	854.13	748.61
