	TCGA.AA.3489.11A.01R.1839.07	GTEX.12WSJ.0826.SM.5PNWV	GTEX.13O61.1226.SM.5KM21	TCGA.35.4122.01A.01R.1107.07	TCGA.50.5066.01A.01R.1628.07	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.33.4589.01A.01R.1443.07	TCGA.18.3421.01A.01R.0980.07	TCGA.37.4133.01A.01R.1100.07	TCGA.66.2778.01A.02R.0851.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.34.5234.01A.01R.1635.07	TCGA.37.3783.01A.01R.1201.07	TCGA.AG.3725.11A.01R.1736.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.BR.8367.01A.11R.2343.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8373.01A.11R.2343.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
CLEC16A	164.42	137.14	287.01	116.78	66.65	314.17	74.58	94.01	53.19	108.9	53.19	116.78	94.67	123.5	460.44	301.33	395.18	480.04	327.56	351.14	229.72	248.0	450.94	417.77	409.15	249.73	358.54	295.11	314.17	429.54	287.01	253.23	246.28	62.12	212.78	208.38
CPEB4	172.65	111.99	224.97	103.69	108.14	414.87	59.13	73.03	90.14	70.51	90.14	105.15	128.79	136.19	420.68	356.05	343.89	299.25	392.44	248.0	412.0	98.04	497.0	612.11	624.99	256.78	226.54	301.33	463.65	363.56	273.37	256.78	406.31	111.99	253.23	237.86
CTTN	2573.36	915.51	4268.94	1242.34	1081.39	1832.01	1508.65	909.17	1096.5	1135.2	1096.5	1397.83	1322.37	1639.59	2976.74	2682.69	3564.78	2777.33	3103.19	3419.52	2915.45	1844.76	2976.74	3325.99	5954.47	3060.45	2537.92	3257.52	2816.11	2047.0	1594.73	2032.85	2240.11	1073.91	2061.24	1467.37
CYB561D1	88.26	84.04	127.0	41.22	47.5	197.09	32.59	17.51	25.17	106.63	25.17	53.19	35.5	90.77	293.07	143.01	251.48	172.65	149.12	76.71	127.89	70.51	432.53	167.9	111.99	64.34	199.85	167.9	147.06	114.36	144.01	127.0	58.3	49.56	120.94	90.77
DDI2	94.67	63.45	123.5	51.71	70.01	163.28	50.98	97.36	87.65	84.04	87.65	74.58	68.07	72.52	295.11	241.19	343.89	223.41	141.02	142.01	223.41	143.01	503.95	323.03	258.57	115.16	164.42	206.94	142.01	202.66	96.68	135.24	139.07	70.51	126.12	115.16
DHX33	105.89	48.18	115.97	48.52	67.59	113.56	41.22	74.58	71.0	49.21	71.0	66.65	46.84	74.58	214.27	172.65	314.17	152.28	164.42	126.12	224.97	187.71	258.57	242.88	231.32	146.03	147.06	152.28	162.14	130.6	120.1	101.54	114.36	69.52	117.6	93.35
DNAJC11	529.06	376.41	521.76	358.54	251.48	612.11	195.72	497.0	228.13	303.44	228.13	224.97	297.17	417.77	684.02	575.03	780.44	915.51	902.89	511.0	624.99	511.0	708.18	532.74	759.08	595.34	679.29	571.05	651.58	848.22	525.39	432.53	575.03	329.84	507.46	450.94
DOCK5	98.04	44.89	231.32	52.45	49.91	232.94	62.56	63.89	111.99	77.79	111.99	54.72	58.3	77.79	743.43	366.09	521.76	409.15	215.77	334.46	503.95	161.02	842.36	759.08	182.55	209.84	299.25	229.72	234.57	224.97	121.79	202.66	155.5	90.77	251.48	92.05
EAF1	198.47	82.87	115.97	228.13	277.2	551.56	105.15	189.02	169.07	123.5	169.07	176.29	157.68	177.53	318.57	283.05	336.79	341.51	363.56	381.68	220.32	293.07	412.0	392.44	289.02	265.87	246.28	312.0	323.03	285.03	208.38	234.57	273.37	162.14	234.57	228.13
ENTPD4	343.89	159.9	483.38	130.6	146.03	346.29	64.34	297.17	312.0	249.73	312.0	163.28	98.04	279.14	1216.75	1096.5	780.44	780.44	660.68	759.08	708.18	540.19	1250.98	1199.98	896.64	583.07	432.53	624.99	764.36	521.76	624.99	500.46	497.0	223.41	420.68	420.68
