	TCGA.BH.A209.01A.11R.A157.07	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZYT6.0526.SM.5GIEA	GTEX.11P81.0226.SM.5HL5M	GTEX.VJYA.0326.SM.3GAEX	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ
ACBD6	1331.57	813.63	1030.12	0.0	0.48	612.11	348.71	323.03	848.22	146.03	151.22	341.51	507.46	320.8	642.59	612.11	830.75	543.96	299.25	356.05	563.18	336.79	320.8
ACPL2	397.93	242.88	339.14	0.0	0.59	48.52	64.8	94.01	154.42	56.68	62.12	120.1	104.42	38.67	267.73	128.79	144.01	126.12	73.03	59.55	169.07	50.27	123.5
ACTR3B	361.04	157.68	291.04	336.79	532.74	107.38	155.5	39.79	271.48	55.89	82.87	76.71	101.54	64.8	98.04	148.09	115.16	107.38	64.34	77.25	56.68	102.97	75.11
AIG1	1407.55	2434.5	2627.46	0.0	0.59	974.5	915.51	759.08	1583.71	1175.27	981.29	791.35	941.27	934.76	1119.56	1498.22	884.29	1519.15	713.11	1477.58	607.87	796.86	713.11
ALKBH3	928.3	1295.13	1111.82	0.0	0.23	693.58	414.87	228.13	995.0	126.12	127.0	195.72	579.04	297.17	616.37	872.1	591.22	928.3	191.67	226.54	435.55	271.48	229.72
ANAPC10	563.18	684.02	703.28	0.0	0.29	532.74	567.1	285.03	785.88	212.78	212.78	167.9	363.56	251.48	603.67	674.59	575.03	616.37	198.47	221.86	303.44	320.8	226.54
ANAPC16	2303.12	2976.74	6935.54	0.0	0.33	2018.8	2209.26	934.76	4543.8	1844.76	748.61	1277.29	1977.24	1417.35	5292.48	4010.71	3060.45	5441.3	1662.49	2384.37	2351.53	1369.04	1709.26
APTX	483.38	759.08	616.37	0.0	0.88	928.3	1073.91	769.69	423.61	277.2	305.55	400.71	995.0	1135.2	764.36	483.38	665.29	684.02	381.68	387.02	836.53	638.15	325.29
ARPC4	5913.33	5791.62	6607.01	6426.31	60304.42	4704.07	5255.91	3639.7	5292.48	2193.99	2163.77	3928.15	4769.75	4181.07	5555.65	5076.84	5255.91	10084.54	3349.13	3742.05	3540.14	3768.09	3564.78
ARV1	785.88	599.49	1023.0	0.0	0.0	395.18	470.14	157.68	583.07	148.09	58.3	151.22	303.44	228.13	967.76	728.11	698.41	954.43	224.97	241.19	305.55	226.54	185.11
