	TCGA.VS.A959.01A.11R.A42T.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.W5.AA2X.01A.11R.A41I.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9H6.01A.11R.A39D.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.RU72.1426.SM.46MUF	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR	TCGA.90.A4ED.01A.31R.A24Z.07	TCGA.37.A5EN.01A.21R.A26W.07	TCGA.58.8388.01A.11R.2326.07
AAAS	1199.98	1216.75	1059.11	679.29	1540.37	2119.22	878.17	708.18	1135.2	1369.04	934.76	825.0	915.51	961.07	961.07	1030.12	1216.75	1111.82	860.08	941.27	791.35	447.82	493.56	642.59	674.59	934.76	738.29	620.67	529.06	866.07	426.57	713.11	470.14	669.92	1096.5	575.03	728.11	616.37	688.78	703.28	748.61	642.59	693.58	802.41	915.51	1008.9	587.13	532.74	638.15	813.63	884.29	603.67	775.05	1088.92	518.15	830.75	813.63	633.73	688.78	842.36	480.04	251.48	389.72	713.11	703.28	688.78	1427.22	1651.0	1350.18
AC026740.1	48.18	21.78	65.26	23.25	85.82	75.11	77.25	12.83	15.34	38.95	43.32	81.71	77.25	44.25	44.25	9.13	48.52	50.98	19.39	59.13	4.43	2.23	2.76	8.32	7.57	10.08	29.91	13.72	15.91	11.82	3.47	5.63	2.61	17.0	22.59	12.0	25.17	3.08	17.25	3.03	10.55	29.91	4.17	22.75	18.43	24.11	13.72	2.97	10.88	11.91	5.15	0.14	26.67	19.97	7.4	15.34	17.0	3.99	12.93	11.21	2.61	7.17	9.27	0.0	6.84	12.74	27.84	20.41	77.79
ACIN1	2758.13	3589.58	3419.52	1008.9	3212.66	3018.3	1950.0	1397.83	1794.29	2895.31	1540.37	1388.16	1977.24	2090.03	2032.85	1304.15	2976.74	2061.24	1721.16	1397.83	529.06	723.08	532.74	555.41	511.0	718.08	819.3	836.53	1250.98	1304.15	529.06	532.74	693.58	915.51	1487.87	647.07	1037.29	633.73	1233.75	656.11	890.44	660.68	733.19	878.17	1216.75	1605.83	764.36	669.92	954.43	1081.39	854.13	718.08	1233.75	1159.07	947.83	525.39	934.76	1059.11	1127.35	1295.13	264.03	599.49	728.11	836.53	579.04	620.67	3081.75	2609.3	2796.65
AHSA2	1322.37	1369.04	3443.31	392.44	2104.58	2609.3	1001.93	1030.12	988.12	2609.3	1467.37	1286.18	1216.75	872.1	921.88	551.56	2178.83	1199.98	1457.23	1143.1	44.89	150.17	182.55	60.39	244.57	332.14	299.25	231.32	480.04	361.04	82.29	356.05	206.94	224.97	595.34	175.07	559.28	264.03	470.14	228.13	343.89	256.78	312.0	318.57	470.14	591.22	314.17	123.5	307.69	400.71	244.57	111.21	426.57	432.53	314.17	220.32	371.22	348.71	432.53	470.14	124.37	126.12	146.03	447.82	229.72	215.77	2956.17	3168.41	1651.0
ANKS3	343.89	775.05	651.58	191.67	540.19	497.0	329.84	483.38	395.18	420.68	460.44	293.07	381.68	480.04	536.45	211.31	507.46	341.51	336.79	287.01	50.98	106.63	64.34	63.0	100.13	112.77	189.02	151.22	167.9	242.88	58.3	120.1	128.79	234.57	249.73	155.5	229.72	134.3	231.32	89.51	136.19	111.21	161.02	176.29	251.48	312.0	155.5	139.07	185.11	271.48	118.43	88.26	167.9	269.6	120.94	95.34	136.19	165.57	139.07	204.07	40.36	104.42	95.34	199.85	97.36	133.36	723.08	547.75	525.39
ANKZF1	1059.11	1806.78	2796.65	579.04	1883.54	1909.85	633.73	866.07	836.53	884.29	884.29	688.78	890.44	583.07	1044.52	555.41	1651.0	753.83	884.29	616.37	208.38	256.78	217.27	271.48	265.87	339.14	379.04	361.04	503.95	575.03	164.42	285.03	480.04	409.15	684.02	392.44	493.56	193.01	703.28	271.48	332.14	389.72	273.37	457.25	480.04	660.68	414.87	283.05	384.34	373.81	379.04	258.57	490.14	651.58	303.44	232.94	334.46	329.84	463.65	559.28	159.9	110.43	195.72	450.94	256.78	363.56	2537.92	967.76	1794.29
APOC1	10883.59	7803.01	5292.48	1100706.72	743.43	237.86	573724.06	402881.61	299043.36	217400.14	762299.34	711250.37	663619.99	513497.31	391864.76	527933.71	146444.06	425853.18	682276.92	1012856.65	701458.36	589853.66	887875.81	1048575.0	1611529.43	2748093.15	1622738.51	1800541.22	1679964.3	1715263.94	129266.49	2310861.52	1147449.11	1442359.14	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	1085552.95	4526610.31	2375828.71	3576208.94	2924988.47	783730.52	1093103.58	5809569.18	1838374.44	2511293.86	6719860.18	894051.48	1611529.43	2672946.37	1691649.38	2294899.22	2748093.15	2599854.48	2904784.09	3702323.71	677564.08	489177.0	1703415.74	3968052.37	3626130.97	1514068.5	2701.35	3395.89	6699.25
ARHGEF11	647.07	947.83	723.08	156.59	514.56	642.59	503.95	947.83	426.57	769.69	435.55	305.55	511.0	642.59	514.56	423.61	785.88	514.56	543.96	256.78	123.5	92.7	117.6	120.94	105.89	143.01	135.24	101.54	187.71	190.34	102.97	113.56	71.5	146.03	297.17	193.01	147.06	105.89	135.24	91.41	193.01	127.89	113.56	126.12	226.54	361.04	131.51	136.19	173.85	159.9	187.71	155.5	202.66	332.14	156.59	71.0	113.56	153.34	190.34	190.34	42.41	43.63	92.05	186.4	137.14	69.52	688.78	514.56	669.92
C1orf35	693.58	1081.39	1023.0	289.02	511.0	825.0	981.29	559.28	532.74	974.5	674.59	551.56	435.55	836.53	693.58	438.59	651.58	728.11	587.13	432.53	126.12	221.86	176.29	141.02	163.28	204.07	190.34	341.51	228.13	339.14	58.3	208.38	147.06	269.6	351.14	198.47	341.51	246.28	281.09	171.45	316.37	232.94	246.28	273.37	307.69	351.14	251.48	186.4	343.89	361.04	234.57	136.19	249.73	409.15	182.55	204.07	265.87	246.28	150.17	267.73	114.36	157.68	214.27	329.84	223.41	180.02	825.0	1250.98	802.41
CCDC142	221.86	397.93	175.07	104.42	209.84	224.97	264.03	229.72	186.4	381.68	220.32	209.84	133.36	223.41	305.55	212.78	325.29	159.9	237.86	172.65	40.93	33.54	51.35	61.25	53.19	69.03	49.21	58.71	76.17	121.79	44.57	52.82	44.25	73.54	129.69	88.26	49.91	42.11	110.43	41.52	68.07	77.79	43.32	82.29	72.52	134.3	84.04	60.39	116.78	101.54	85.22	72.01	87.65	138.1	50.98	30.12	76.71	84.04	91.41	105.15	12.55	27.05	24.99	72.01	64.34	32.36	336.79	244.57	318.57
