	TCGA.BT.A20U.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZVP2.1326.SM.57WCE	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.14E6E.0726.SM.5S2R3	GTEX.13FTX.0526.SM.5IFGS	GTEX.WRHK.0526.SM.4MVOF	GTEX.ZXES.1126.SM.5GZXN	GTEX.QESD.0826.SM.47J4G	GTEX.14ICL.0526.SM.5RQJ6	GTEX.14H4A.1626.SM.5SI69	GTEX.Y5LM.1026.SM.4VDSQ	GTEX.ZPU1.1426.SM.4WWFU	GTEX.139T6.0626.SM.5IFF9	GTEX.13FH7.0526.SM.5IJF8	GTEX.1211K.0926.SM.5FQTL	GTEX.14BMU.0926.SM.5S2QB	GTEX.U4B1.0826.SM.4DXTW	GTEX.13OVI.2626.SM.5KM4T	GTEX.S95S.0426.SM.4B64I	GTEX.W5WG.1626.SM.4LMKG	GTEX.ZT9W.1326.SM.51MTB	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.ZVT2.1326.SM.5E45H	GTEX.11P81.0826.SM.5P9GR	GTEX.131XG.1026.SM.5GCMX	GTEX.ZDYS.0826.SM.4WWCR	GTEX.1122O.1726.SM.5GICM	GTEX.QV44.1126.SM.4R1KO	GTEX.XMK1.1326.SM.4B65Q	GTEX.ZZ64.0226.SM.5E44X	GTEX.QLQ7.0926.SM.447BC	GTEX.YEC3.2526.SM.4YCDN	GTEX.PWCY.0726.SM.48TCS	GTEX.WFON.0826.SM.4LVMI	GTEX.P4PQ.0626.SM.3NMCU	GTEX.11DXX.1126.SM.5GZZK	GTEX.13RTK.0526.SM.5S2QF	GTEX.13PVR.1826.SM.5Q5CC	GTEX.1399S.1326.SM.5P9GH	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.145LU.1326.SM.5LU9N	GTEX.139TS.1426.SM.5IFJD	GTEX.XBEC.1526.SM.4AT68	GTEX.13SLX.1226.SM.5S2Q6	GTEX.132NY.0926.SM.5P9G3	GTEX.REY6.1226.SM.48FDR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8663.11A.01R.2402.13
ABCF1	743.43	988.12	1407.55	1051.79	1135.2	988.12	1151.06	1088.92	1225.22	1143.1	718.08	1059.11	1225.22	656.11	728.11	1359.57	759.08	607.87	1119.56	974.5	890.44	1059.11	1073.91	1073.91	1216.75	825.0	1397.83	1096.5	1183.45	1175.27	1594.73	1044.52	728.11	934.76	890.44	928.3	802.41	769.69	915.51	1208.34	1111.82	1059.11	941.27	954.43	825.0	1104.13	981.29	1088.92	947.83	902.89	753.83	1447.15	1313.23	748.61	995.0	1216.75	406.31	54.72	536.45	896.64	693.58	603.67	723.08	642.59	503.95	764.36	688.78	493.56	551.56	808.0	759.08	567.1	521.76	909.17	1175.27	1331.57	1111.82	1639.59	1304.15	988.12	759.08
ADAM17	320.8	679.29	299.25	332.14	463.65	361.04	325.29	264.03	444.72	547.75	277.2	341.51	389.72	239.52	255.0	336.79	189.02	239.52	351.14	260.38	239.52	195.72	486.75	392.44	514.56	166.73	299.25	373.81	353.59	327.56	473.41	291.04	283.05	228.13	265.87	212.78	208.38	208.38	256.78	307.69	339.14	346.29	258.57	277.2	124.37	379.04	299.25	289.02	258.57	273.37	223.41	460.44	551.56	215.77	262.2	379.04	301.33	24.81	26.1	24.81	37.85	43.63	39.79	23.59	34.51	31.22	42.11	49.91	24.46	45.85	46.18	34.51	34.75	403.5	525.39	915.51	336.79	368.65	395.18	332.14	172.65
AHCTF1	329.84	164.42	366.09	361.04	435.55	595.34	392.44	260.38	463.65	483.38	201.25	287.01	339.14	275.28	303.44	376.41	258.57	205.5	460.44	301.33	460.44	231.32	400.71	460.44	356.05	295.11	348.71	473.41	466.88	518.15	571.05	409.15	281.09	358.54	209.84	289.02	253.23	397.93	295.11	420.68	457.25	466.88	262.2	329.84	212.78	432.53	395.18	351.14	361.04	381.68	371.22	447.82	555.41	194.36	231.32	447.82	178.77	67.12	185.11	176.29	223.41	142.01	142.01	48.52	169.07	220.32	175.07	281.09	80.57	153.34	127.89	118.43	66.18	221.86	368.65	503.95	253.23	267.73	204.07	214.27	255.0
AMD1	1487.87	1388.16	1457.23	1225.22	1250.98	1508.65	1225.22	1733.13	1331.57	1378.57	1286.18	1304.15	1008.9	1183.45	961.07	1447.15	941.27	961.07	1745.2	1467.37	1572.76	1127.35	1844.76	1662.49	1457.23	1651.0	1909.85	1487.87	1883.54	1583.71	2193.99	1991.0	1135.2	780.44	1388.16	1407.55	941.27	1233.75	1551.09	2148.82	1407.55	1857.6	1259.69	1051.79	1498.22	2018.8	1628.26	1628.26	1477.58	1498.22	1369.04	2090.03	1508.65	1388.16	1111.82	1819.35	1721.16	348.71	529.06	176.29	314.17	366.09	397.93	201.25	309.83	432.53	318.57	267.73	381.68	264.03	351.14	371.22	379.04	2758.13	1909.85	2468.49	1806.78	1963.57	1551.09	2018.8	1268.46
ANXA1	120609.84	1970321.01	447025.24	721179.07	573724.06	509950.32	345900.08	682276.92	517068.97	614902.29	1355129.16	711250.37	453265.5	1364554.84	208544.12	217400.14	233003.78	184082.4	139508.13	211455.3	218912.29	118127.7	186652.11	144427.91	277089.94	179048.63	155870.75	146444.06	104271.56	154794.07	221968.2	151608.43	194578.47	190574.09	217400.14	200048.85	190574.09	269512.87	211455.3	239554.43	141455.6	101420.22	189257.69	279017.26	189257.69	180294.02	153724.82	211455.3	207103.59	185362.8	211455.3	187950.38	152662.96	182810.84	167058.21	324980.94	437825.58	591.22	432.53	444.72	237.86	417.77	599.49	211.31	299.25	356.05	356.05	529.06	414.87	718.08	525.39	339.14	155.5	573724.06	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81	223512.12
AP1S3	105.15	329.84	127.89	75.64	518.15	215.77	277.2	61.25	81.14	105.15	69.03	140.04	234.57	58.3	118.43	139.07	68.07	83.45	209.84	177.53	120.1	73.03	283.05	327.56	144.01	141.02	205.5	212.78	253.23	158.79	332.14	291.04	146.03	111.99	157.68	81.14	90.77	112.77	171.45	329.84	172.65	215.77	132.44	169.07	127.89	239.52	187.71	199.85	142.01	161.02	117.6	305.55	226.54	119.26	75.11	269.6	226.54	7.63	9.93	5.19	14.35	6.11	10.79	8.06	4.94	11.82	8.58	15.68	9.7	19.68	11.38	7.75	3.96	423.61	237.86	733.19	236.21	141.02	208.38	81.14	208.38
ARIH2	842.36	371.22	836.53	872.1	848.22	1081.39	1151.06	928.3	961.07	842.36	748.61	1001.93	941.27	902.89	802.41	1104.13	878.17	748.61	1127.35	1066.48	921.88	796.86	1104.13	1081.39	1037.29	974.5	848.22	1191.69	974.5	1175.27	1277.29	1242.34	753.83	1096.5	884.29	947.83	848.22	1059.11	854.13	941.27	1250.98	1030.12	1059.11	848.22	802.41	1447.15	1104.13	1037.29	941.27	1030.12	830.75	1119.56	1167.14	775.05	896.64	1030.12	941.27	441.64	297.17	454.09	395.18	555.41	616.37	366.09	486.75	387.02	486.75	389.72	361.04	647.07	543.96	540.19	473.41	703.28	529.06	974.5	743.43	563.18	848.22	514.56	836.53
ATXN1L	131.51	117.6	198.47	239.52	185.11	234.57	181.28	260.38	264.03	220.32	206.94	199.85	239.52	231.32	262.2	291.04	218.79	256.78	289.02	255.0	295.11	191.67	281.09	229.72	373.81	217.27	293.07	299.25	307.69	336.79	332.14	293.07	307.69	214.27	287.01	208.38	334.46	226.54	246.28	248.0	361.04	264.03	228.13	176.29	158.79	334.46	309.83	236.21	293.07	285.03	258.57	251.48	363.56	181.28	224.97	309.83	84.63	33.06	64.34	64.8	70.51	77.79	78.89	72.52	84.04	59.55	48.87	55.49	58.3	65.72	53.57	44.57	53.95	157.68	236.21	128.79	199.85	214.27	178.77	169.07	197.09
BAG5	339.14	723.08	397.93	497.0	327.56	466.88	420.68	361.04	525.39	414.87	389.72	406.31	450.94	466.88	567.1	547.75	432.53	379.04	532.74	480.04	563.18	447.82	529.06	612.11	642.59	366.09	624.99	595.34	599.49	503.95	525.39	551.56	525.39	341.51	429.54	476.71	412.0	420.68	483.38	559.28	656.11	567.1	432.53	438.59	312.0	563.18	567.1	540.19	507.46	450.94	500.46	483.38	769.69	438.59	389.72	813.63	429.54	218.79	87.65	131.51	122.64	129.69	127.89	100.13	126.12	145.02	119.26	146.03	128.79	155.5	104.42	91.41	63.45	713.11	921.88	854.13	503.95	579.04	642.59	775.05	500.46
BCL9L	397.93	476.71	753.83	1242.34	1044.52	1250.98	1963.57	1119.56	1242.34	1286.18	1540.37	967.76	1313.23	1030.12	934.76	708.18	633.73	981.29	915.51	1119.56	511.0	647.07	842.36	921.88	915.51	540.19	1159.07	1127.35	1096.5	1407.55	1191.69	738.29	1143.1	759.08	660.68	490.14	1030.12	921.88	825.0	825.0	1369.04	1159.07	1051.79	995.0	373.81	1225.22	915.51	878.17	947.83	665.29	693.58	915.51	1051.79	423.61	1059.11	403.5	368.65	14.89	60.82	91.41	91.41	91.41	120.94	100.83	112.77	42.71	47.5	51.71	48.52	153.34	74.58	117.6	88.88	279.14	1572.76	684.02	830.75	769.69	819.3	563.18	842.36
