	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.T5JC.1526.SM.4DM68	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.12WSG.0826.SM.5EQ5A	TCGA.B2.5641.01A.01R.1541.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5088.01A.01R.1334.07	TCGA.B0.5075.01A.01R.1334.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5102.01A.01R.1420.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.CW.5581.01A.02R.1541.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.CZ.5985.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.CJ.4897.01A.03R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4814.01A.01R.1277.07	TCGA.B0.5077.01A.01R.1334.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B0.5697.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.13YAN.1026.SM.5O9CF	GTEX.ZZPT.1326.SM.5E43H	TCGA.BJ.A191.01A.11R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.S4Q7.0326.SM.3K2B1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.U3ZM.0126.SM.3DB8M	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11LCK.0526.SM.5A5M9	GTEX.ZTPG.0826.SM.5DUVC	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S
ARHGAP30	127.0	45.85	15.68	100.13	81.71	39.5	11.21	87.03	58.3	66.65	5.41	22.75	12.55	58.71	107.38	37.05	738.29	395.18	336.79	540.19	154.42	169.07	438.59	435.55	248.0	140.04	172.65	137.14	206.94	616.37	414.87	356.05	158.79	88.26	211.31	275.28	40.07	19.97	52.82	45.21	191.67	65.26	96.01	21.47	111.21	82.87	40.64	34.75	53.19	37.85	65.72	29.27	53.95	57.89	33.78	71.0	56.68	47.17	39.79	157.68	91.41	148.09	131.51	152.28	325.29	473.41	1073.91	457.25	239.52	186.4	733.19	175.07	379.04	96.68	44.25	28.45	371.22	35.0	26.47	66.65	49.91	38.4	23.25	50.98	31.67	60.82	234.57	80.01	50.63	232.94	318.57	181.28	72.52	67.59	616.37	47.17	106.63	19.97	69.52	139.07	40.36	48.87	23.76	120.1	24.81	110.43	195.72	99.43	26.28	34.26	142.01	100.13	65.72	85.22	58.3	21.47
ARHGAP9	165.57	71.5	42.41	124.37	92.7	60.39	10.55	47.17	103.69	44.89	33.06	24.99	21.63	38.67	76.17	42.11	796.86	473.41	733.19	595.34	214.27	208.38	466.88	392.44	208.38	256.78	305.55	111.99	182.55	713.11	403.5	339.14	151.22	155.5	334.46	358.54	70.51	22.43	64.8	59.55	190.34	100.13	63.45	23.25	139.07	63.89	41.22	37.85	36.53	37.59	119.26	47.84	36.53	56.28	37.05	70.01	81.14	101.54	48.52	197.09	83.45	164.42	115.16	150.17	483.38	466.88	1088.92	343.89	339.14	148.09	525.39	241.19	400.71	234.57	64.8	35.0	493.56	57.89	25.91	63.89	70.51	45.85	21.16	51.35	23.08	82.87	187.71	72.01	59.97	329.84	307.69	1081.39	194.36	156.59	633.73	105.89	122.64	52.82	115.97	194.36	165.57	50.98	43.63	120.1	122.64	59.55	295.11	69.03	29.06	37.05	171.45	122.64	34.75	108.14	32.59	13.32
BIN2	100.13	56.28	41.52	83.45	69.52	60.39	35.5	60.39	71.5	52.82	14.56	36.53	12.83	55.1	98.73	37.85	373.81	332.14	409.15	450.94	109.66	178.77	289.02	301.33	226.54	191.67	141.02	103.69	120.1	426.57	384.34	314.17	118.43	96.01	158.79	277.2	55.1	25.91	57.49	81.71	123.5	50.98	85.22	44.25	108.14	55.1	31.67	38.12	50.98	48.18	86.43	32.82	55.89	52.08	40.64	57.89	76.71	65.72	43.63	163.28	73.54	130.6	100.13	95.34	291.04	316.37	941.27	262.2	180.02	171.45	447.82	172.65	267.73	99.43	46.84	42.11	267.73	51.71	20.71	48.52	87.65	49.91	31.67	52.08	26.86	53.95	152.28	58.71	42.41	312.0	303.44	334.46	66.65	56.68	327.56	30.56	63.0	26.86	60.82	141.02	59.97	15.56	36.27	61.68	48.18	49.91	114.36	34.26	9.41	10.16	98.04	86.43	34.26	60.39	24.28	21.01
BTK	47.84	18.29	12.93	48.52	28.86	32.36	5.82	26.86	31.45	18.43	7.4	9.7	3.35	22.75	39.22	10.55	287.01	291.04	283.05	368.65	223.41	100.83	186.4	199.85	99.43	102.25	72.52	67.12	70.01	332.14	329.84	244.57	84.63	53.57	117.6	145.02	23.59	12.09	19.68	58.3	91.41	51.71	35.25	8.13	67.59	49.56	20.71	26.47	30.12	18.29	56.28	16.27	18.56	38.12	10.63	19.11	30.12	39.5	13.42	142.01	31.45	72.52	75.11	82.87	363.56	420.68	665.29	212.78	177.53	154.42	295.11	165.57	228.13	120.1	21.94	17.9	148.09	22.43	5.59	20.26	33.54	17.25	5.59	31.45	13.12	33.54	103.69	28.24	17.25	87.65	381.68	92.7	39.5	13.83	258.57	18.7	54.72	23.76	23.08	107.38	95.34	11.38	15.0	43.63	52.82	8.32	41.22	33.54	9.13	4.1	54.72	80.57	30.34	42.11	18.97	10.88
C3AR1	176.29	50.98	32.82	131.51	90.14	93.35	8.65	161.02	60.82	108.9	15.68	15.34	4.58	76.71	223.41	50.98	785.88	1183.45	521.76	1001.93	169.07	220.32	638.15	743.43	447.82	260.38	301.33	251.48	237.86	941.27	769.69	571.05	312.0	171.45	183.82	211.31	80.57	31.45	65.72	48.18	273.37	86.43	73.54	45.21	146.03	183.82	74.58	107.38	99.43	63.45	125.24	42.71	63.89	107.38	52.45	61.68	107.38	112.77	71.0	432.53	108.14	186.4	158.79	191.67	435.55	872.1	2367.9	1519.15	351.14	336.79	995.0	397.93	934.76	312.0	98.04	43.02	309.83	73.03	36.01	128.79	105.15	100.13	54.33	136.19	67.59	98.73	253.23	96.68	125.24	336.79	175.07	356.05	92.7	47.17	314.17	102.25	84.63	17.13	87.03	218.79	78.89	40.36	17.9	81.71	14.03	125.24	145.02	115.97	28.86	23.42	137.14	157.68	47.84	111.21	43.63	32.59
CD300A	82.29	53.95	34.02	98.73	64.8	67.12	13.52	34.51	79.45	38.4	4.54	35.0	34.26	36.01	98.73	37.59	583.07	656.11	500.46	543.96	113.56	351.14	507.46	409.15	269.6	190.34	143.01	171.45	157.68	607.87	490.14	2133.97	189.02	128.79	204.07	1388.16	49.56	16.15	26.1	49.56	98.73	44.25	42.71	15.45	113.56	64.8	39.22	27.84	41.81	27.64	87.03	16.27	45.53	47.84	31.0	41.81	53.57	86.43	25.91	166.73	74.58	135.24	91.41	76.17	271.48	660.68	1119.56	511.0	327.56	253.23	836.53	303.44	656.11	206.94	70.01	33.3	178.77	33.3	21.94	41.52	36.27	33.06	23.76	56.68	26.1	37.05	112.77	36.27	34.51	591.22	336.79	802.41	43.94	34.51	217.27	102.25	78.34	10.24	38.4	78.89	43.02	9.13	30.78	39.22	42.11	18.29	36.01	30.78	5.82	13.22	76.71	87.03	49.56	40.93	44.89	7.88
CD300C	28.04	12.74	4.62	22.59	16.39	16.75	0.0	27.25	9.85	10.24	1.89	0.0	1.87	8.99	36.27	4.7	165.57	126.12	56.28	139.07	29.06	51.35	111.21	55.49	39.22	46.84	16.63	44.89	28.86	107.38	136.19	212.78	46.84	22.26	57.49	43.94	9.63	4.43	11.3	7.4	26.47	10.47	11.04	3.44	23.25	19.53	6.21	4.43	9.56	3.2	16.27	6.52	6.11	12.45	8.92	11.21	17.64	17.0	6.62	42.41	13.42	26.47	18.56	17.0	58.3	115.97	151.22	176.29	77.79	77.79	148.09	51.71	108.9	60.39	9.85	6.01	56.28	7.11	5.5	9.63	13.12	9.13	8.06	9.85	8.0	14.56	58.3	5.96	7.57	56.68	152.28	50.98	3.86	54.33	75.64	13.62	19.53	3.17	25.72	10.96	17.51	9.48	9.13	25.17	14.89	18.03	25.54	24.81	11.73	7.28	50.98	27.05	10.16	20.41	9.85	10.08
CD300LB	13.72	6.67	6.01	19.97	18.97	2.94	1.22	5.63	6.78	3.41	0.0	6.06	1.45	2.53	31.0	53.95	33.78	31.22	35.25	47.84	48.87	17.13	32.36	27.05	9.2	10.47	8.99	12.18	6.94	38.12	32.82	55.49	13.32	4.06	18.56	16.27	3.99	0.44	6.01	3.69	24.28	3.96	7.75	1.91	15.91	6.16	6.21	1.46	4.03	3.59	5.41	2.68	3.41	4.5	3.63	7.28	8.38	9.41	4.28	20.56	16.39	15.68	16.15	9.06	20.41	62.56	125.24	69.03	37.85	34.75	48.18	17.51	43.02	12.27	5.23	3.53	46.5	6.73	1.97	4.98	2.53	1.97	3.29	10.96	3.79	5.82	34.02	2.78	5.54	33.54	63.89	78.34	1.1	2.53	29.48	13.22	7.75	2.46	6.26	5.73	1.93	2.73	3.14	4.78	5.19	6.57	7.28	2.01	0.88	1.57	9.93	9.85	3.76	0.87	2.05	0.0
CD300LF	21.94	9.06	11.38	25.72	12.18	15.11	1.57	7.88	19.97	10.08	0.0	5.15	0.0	10.24	28.65	8.06	157.68	195.72	226.54	429.54	43.32	96.01	108.9	175.07	44.25	56.28	32.36	38.95	50.27	258.57	253.23	158.79	56.28	40.93	62.56	118.43	7.69	4.9	11.38	9.85	30.78	12.0	14.24	1.55	21.32	31.9	6.67	7.0	9.93	8.85	15.91	9.2	11.47	17.38	6.89	9.27	13.62	15.0	8.19	49.91	18.29	20.26	24.11	25.72	291.04	473.41	718.08	470.14	156.59	157.68	529.06	120.1	325.29	55.89	10.55	3.56	67.12	8.99	6.73	11.21	8.38	11.91	4.06	16.15	7.22	14.24	53.95	5.63	12.0	40.07	199.85	155.5	17.51	9.27	34.02	11.91	11.13	4.46	13.83	17.38	3.72	8.51	22.92	8.85	7.46	9.06	17.0	12.93	1.2	0.78	11.73	28.04	4.62	1.16	8.92	0.0
CD33	108.14	28.24	16.51	64.34	53.95	53.95	5.11	55.1	62.56	74.58	19.53	9.85	2.68	45.85	124.37	26.86	341.51	371.22	269.6	341.51	120.94	152.28	351.14	297.17	115.16	121.79	95.34	59.97	61.25	283.05	258.57	229.72	139.07	112.77	127.89	146.03	31.45	14.35	36.79	70.01	100.83	52.82	67.59	28.65	87.03	87.65	20.26	28.65	49.56	36.53	68.07	30.56	32.82	34.26	23.76	43.02	30.34	54.72	26.86	152.28	44.89	96.68	95.34	64.34	242.88	397.93	703.28	279.14	171.45	145.02	381.68	173.85	301.33	151.22	50.98	17.9	186.4	25.72	15.56	38.12	21.63	18.43	19.68	51.71	30.34	33.54	182.55	50.27	32.59	323.03	178.77	209.84	37.32	33.06	139.07	20.86	62.56	8.13	50.98	154.42	41.22	16.51	52.45	34.26	18.7	20.26	53.95	55.1	14.56	14.14	54.33	35.76	11.64	57.49	18.84	7.51
