	TCGA.C4.A0EZ.01A.21R.A24X.07	TCGA.G2.A2EL.01A.12R.A18C.07	TCGA.AC.A7VB.01A.11R.A352.07	TCGA.A1.A0SK.01A.12R.A084.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	TCGA.B0.4691.01A.01R.1277.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.UPK5.1126.SM.3GAEJ
ANLN	490.14	511.0	325.29	1008.9	17.38	217.27	273.37	12.64	114.36	3.14	249.73
ARHGAP11A	237.86	438.59	223.41	435.55	25.17	55.49	8.06	5.36	63.45	6.26	147.06
ASF1B	1467.37	1870.53	392.44	1721.16	1.6	13.62	0.0	2.41	214.27	6.84	228.13
ASPM	620.67	356.05	131.51	351.14	0.47	48.18	0.0	0.0	40.07	1.13	78.34
ATAD2	728.11	1001.93	620.67	2835.7	41.22	158.79	63.89	171.45	90.14	65.72	228.13
ATAD5	110.43	170.25	58.3	128.79	11.21	38.4	7.28	19.82	14.45	1.57	43.02
AURKA	1008.9	974.5	616.37	954.43	17.77	106.63	15.45	15.68	75.11	32.13	457.25
AURKB	3039.3	1175.27	441.64	1304.15	1.77	166.73	0.0	13.03	176.29	7.17	242.88
BIRC5	2209.26	1832.01	1167.14	1081.39	1.41	28.45	0.0	1.22	158.79	6.46	361.04
BRIP1	175.07	291.04	79.45	175.07	0.17	16.51	0.25	4.82	13.52	7.82	32.36
BRIX1	1457.23	1605.83	878.17	2163.77	348.71	607.87	351.14	392.44	571.05	336.79	1119.56
BUB1B	470.14	723.08	389.72	438.59	2.84	21.32	0.0	3.03	51.35	6.62	110.43
C14orf80	909.17	470.14	1397.83	255.0	77.79	283.05	195.72	178.77	154.42	151.22	183.82
C17orf53	153.34	152.28	183.82	102.25	7.0	106.63	32.82	9.13	42.71	5.68	47.17
C5orf34	146.03	147.06	73.03	124.37	29.7	42.71	21.01	28.86	31.0	1.28	19.11
CASC5	198.47	173.85	111.21	117.6	0.0	14.14	0.0	1.81	90.14	36.79	103.69
CCDC171	115.16	189.02	55.49	69.03	28.65	27.44	20.56	42.41	20.56	6.36	46.18
CCNA2	928.3	559.28	406.31	934.76	21.47	275.28	7.69	24.63	96.01	4.28	199.85
CCNB1	3190.46	3325.99	1369.04	2193.99	36.01	295.11	12.83	9.27	514.56	35.25	785.88
CCNB2	1794.29	1104.13	764.36	1883.54	6.67	63.0	0.18	0.23	166.73	4.17	297.17
CCNF	651.58	1088.92	303.44	429.54	13.03	74.58	12.18	17.51	39.22	6.78	95.34
CCT5	9279.58	8963.45	5791.62	15824.9	1896.65	3146.52	2351.53	1819.35	2701.35	1508.65	9876.98
CDC20	3928.15	3955.48	1030.12	2351.53	10.0	334.46	0.0	3.06	293.07	7.69	353.59
CDC25A	320.8	255.0	100.13	409.15	1.55	10.55	0.14	4.94	18.7	2.25	81.14
CDC25C	379.04	358.54	191.67	189.02	0.4	2.03	0.0	0.64	22.43	0.0	48.52
CDC45	1151.06	1135.2	237.86	1216.75	0.39	19.39	0.0	0.0	94.01	10.96	334.46
CDC7	500.46	802.41	206.94	669.92	21.01	175.07	39.79	42.71	90.14	5.87	107.38
CDCA3	1950.0	1208.34	507.46	2178.83	24.99	320.8	9.48	23.93	195.72	8.32	224.97
CDCA4	1457.23	791.35	547.75	769.69	135.24	540.19	98.04	60.82	106.63	33.06	283.05
CDCA5	1896.65	1909.85	791.35	1378.57	6.67	96.68	7.34	6.21	90.14	4.58	334.46
CDCA8	1183.45	1950.0	518.15	896.64	3.86	70.51	0.0	10.31	84.04	2.53	248.0
CDK1	2573.36	2796.65	1104.13	2855.44	3.79	178.77	0.0	8.13	312.0	2.76	954.43
CDK2	1617.0	1594.73	547.75	2400.97	587.13	1242.34	1073.91	642.59	547.75	264.03	866.07
CDKN3	2047.0	1350.18	748.61	1477.58	32.82	559.28	21.94	39.79	130.6	15.45	486.75
CDT1	1250.98	1175.27	256.78	1359.57	6.46	74.06	0.39	1.99	109.66	5.5	90.77
CENPA	1519.15	395.18	299.25	896.64	1.39	61.68	0.0	0.0	69.52	5.32	209.84
CENPE	199.85	154.42	97.36	154.42	9.48	94.67	11.04	18.29	16.51	0.57	48.87
CENPF	2384.37	1844.76	928.3	1508.65	6.84	74.06	1.13	3.5	117.6	3.03	231.32
CENPH	1417.35	1674.06	733.19	866.07	81.71	158.79	35.25	44.89	187.71	22.26	312.0
