	TCGA.A2.A0EM.01A.11R.A034.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.A2.A0EM.01A.11R.A034.07.1	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A18M.11A.33R.A12D.07	GTEX.RWS6.1926.SM.47JXY	GTEX.ZLV1.1426.SM.4WWES	GTEX.X15G.1626.SM.3NMB3	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC
ABR	878.17	733.19	733.19	878.17	830.75	830.75	1073.91	1208.34	1286.18	967.76	1551.09	532.74	356.05	409.15	106.63	226.54	122.64	164.42	262.2	53.95	201.25	262.2	341.51	49.21	59.97	205.5	246.28	129.69	226.54	136.19	395.18	40.93	129.69	26.28	51.71	142.01	194.36	102.25
AC005609.1	4.58	12.09	12.09	4.58	3.32	3.32	11.21	9.93	19.39	16.75	15.56	0.96	0.0	5.5	0.0	0.0	0.0	0.0	2.29	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0
AC010536.1	2.46	4.58	4.58	2.46	7.34	7.34	9.41	8.71	5.41	8.13	4.9	2.46	1.3	5.28	0.71	2.51	1.28	1.93	1.68	1.08	0.77	1.58	1.1	2.63	0.95	0.0	1.3	2.46	1.58	0.2	2.97	0.93	2.41	1.81	0.55	0.0	2.34	0.0
AC069368.3	5.59	3.32	3.32	5.59	47.5	47.5	7.57	8.65	15.34	6.67	2.14	4.66	0.0	54.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.45	0.0	0.0	6.16	0.0	4.31	0.0	7.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACKR3	329.84	529.06	529.06	329.84	2720.15	2720.15	1551.09	1183.45	1697.45	1769.57	1001.93	339.14	775.05	3982.99	65.72	642.59	117.6	295.11	76.17	71.5	25.72	1359.57	444.72	249.73	19.39	49.56	902.89	204.07	129.69	368.65	1127.35	134.3	295.11	226.54	624.99	90.14	748.61	13.22
ACTA2	13586.57	9876.98	9876.98	13586.57	19348.38	19348.38	34876.28	30572.63	36864.92	37379.55	47642.77	5913.33	4512.4	14461.21	647.07	1781.89	1322.37	1037.29	819.3	493.56	607.87	1088.92	1259.69	1066.48	1617.0	2178.83	3847.29	1242.34	1295.13	665.29	4802.93	753.83	902.89	1561.89	4239.45	1407.55	1340.84	1119.56
ACTL10	26.1	76.71	76.71	26.1	20.11	20.11	24.11	20.71	17.77	45.85	40.07	7.34	8.19	24.81	6.78	7.57	1.46	3.76	8.99	4.24	0.43	9.06	13.32	4.46	18.7	12.55	7.51	7.34	5.32	1.83	24.99	11.13	11.55	7.0	1.33	6.11	9.2	4.1
ACTN4	5751.61	4066.71	4066.71	5751.61	9279.58	9279.58	8479.89	9808.75	7911.95	9740.98	7537.18	3589.58	2451.44	8363.13	1572.76	2609.3	2335.28	3146.52	1081.39	1733.13	2875.3	1225.22	2335.28	3081.75	2915.45	2502.97	5441.3	2502.97	2004.85	3716.2	3372.43	1674.06	2451.44	1651.0	1651.0	1388.16	3325.99	2758.13
ADARB1	167.9	277.2	277.2	167.9	457.25	457.25	368.65	368.65	444.72	258.57	426.57	120.1	105.89	249.73	71.0	87.65	66.18	95.34	120.94	45.21	114.36	111.99	99.43	61.25	89.51	92.05	105.89	68.55	50.98	49.56	75.64	76.71	85.22	53.19	77.25	96.68	80.01	120.94
AL133373.1	2.14	7.06	7.06	2.14	2.76	2.76	1.5	1.87	1.33	5.77	1.95	0.66	1.17	2.2	0.0	0.0	0.0	0.0	0.16	0.17	0.0	0.57	0.52	0.19	0.0	0.0	0.62	0.0	1.33	0.0	1.79	0.66	0.0	0.15	0.0	0.16	0.0	0.13
