	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.BJ.A28T.01A.11R.A16R.07	TCGA.EM.A2CL.01A.11R.A180.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CV.11A.11R.A13Y.07	TCGA.BJ.A2N9.11A.11R.A18C.07	GTEX.S4Q7.0326.SM.3K2B1	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5K.0526.SM.5LUAS	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
BATF	5.68	287.01	8.19	146.03	275.28	182.55	417.77	303.44	172.65	211.31	12.64	303.44	159.9	122.64	9.78	287.01	229.72	25.54	31.22	161.02	16.63	4.66	18.97	33.54	13.52	107.38	37.05	21.63	37.05	26.67	127.0	81.14	11.64	144.01	68.07	11.38	98.73	21.47	145.02	22.43	20.71	17.77	61.25	9.93	33.3	5.36	92.7	107.38	32.13	64.8	7.34
BIN2	15.34	444.72	16.63	211.31	356.05	226.54	500.46	616.37	283.05	197.09	20.71	417.77	299.25	206.94	10.79	371.22	327.56	48.18	70.51	100.13	49.91	7.22	35.5	71.0	17.13	38.12	31.67	29.48	37.32	127.0	90.14	108.14	43.63	90.14	23.08	42.41	75.64	18.97	334.46	75.11	57.49	29.27	128.79	9.41	10.16	24.81	229.72	79.45	120.94	82.87	27.84
BTK	3.89	368.65	5.02	131.51	334.46	195.72	483.38	620.67	236.21	195.72	9.27	318.57	249.73	175.07	5.28	273.37	258.57	25.35	45.85	73.03	45.53	2.07	37.59	37.59	25.72	21.94	10.31	13.22	24.81	73.03	11.82	94.67	52.82	48.87	13.93	32.59	28.45	7.28	167.9	61.68	44.25	27.25	108.9	9.13	4.1	28.04	138.1	31.67	8.13	37.59	23.08
BTLA	0.18	84.63	1.36	54.33	79.45	42.11	166.73	182.55	66.65	65.72	3.11	191.67	104.42	65.26	0.78	100.83	73.03	5.82	4.39	12.74	3.72	3.5	7.11	18.97	0.0	1.41	8.38	3.92	4.54	11.47	0.51	30.34	19.53	3.47	4.82	7.51	5.87	4.39	57.49	14.78	15.11	34.51	51.71	0.0	11.64	0.55	54.72	0.54	3.08	11.91	8.32
C16orf54	1.39	107.38	1.55	41.81	94.01	77.79	141.02	157.68	105.89	64.8	4.28	117.6	80.57	48.87	2.92	127.89	195.72	16.88	18.29	41.81	7.06	1.53	4.78	12.45	10.55	12.36	11.3	24.81	5.28	29.91	8.45	63.0	7.28	18.84	7.34	20.11	38.4	8.19	170.25	19.97	5.15	4.46	43.94	3.59	6.06	10.47	105.89	10.24	8.19	23.93	5.59
C1QA	156.59	6037.61	262.2	3280.18	10084.54	3716.2	5831.91	5041.77	3372.43	1781.89	287.01	4736.79	2047.0	2682.69	189.02	5076.84	4769.75	1111.82	1583.71	2645.74	77.25	389.72	153.34	1119.56	409.15	1304.15	713.11	693.58	1350.18	808.0	1295.13	2875.3	314.17	3690.52	759.08	988.12	1216.75	521.76	3716.2	934.76	1745.2	343.89	1819.35	318.57	447.82	244.57	4010.71	1617.0	52.82	1151.06	334.46
C1QB	92.7	6792.79	171.45	4152.18	13492.72	3982.99	7081.29	6294.04	3874.05	1832.01	248.0	6037.61	2004.85	3146.52	122.64	5479.15	5594.3	1350.18	1844.76	3235.01	55.49	314.17	100.13	995.0	417.77	1540.37	890.44	665.29	1662.49	660.68	1167.14	3018.3	262.2	4268.94	915.51	1191.69	1519.15	669.92	3467.27	1015.93	1857.6	444.72	2209.26	348.71	555.41	312.0	4419.52	2075.59	56.68	830.75	221.86
C1QC	80.57	4210.15	138.1	2451.44	8901.53	3081.75	4802.93	5255.91	3103.19	1447.15	206.94	3349.13	1819.35	2537.92	108.9	3212.66	4010.71	1015.93	1044.52	2351.53	38.95	186.4	98.04	718.08	318.57	1073.91	579.04	583.07	941.27	493.56	713.11	1991.0	165.57	2796.65	674.59	713.11	1250.98	417.77	2502.97	791.35	1340.84	249.73	1561.89	228.13	323.03	202.66	2976.74	1369.04	35.5	738.29	175.07
C1orf162	60.39	1119.56	46.18	575.03	890.44	679.29	830.75	1313.23	647.07	417.77	66.65	1037.29	713.11	403.5	69.03	896.64	1001.93	379.04	214.27	486.75	72.01	24.81	100.13	197.09	133.36	236.21	197.09	161.02	246.28	162.14	279.14	246.28	104.42	518.15	246.28	194.36	185.11	148.09	813.63	100.13	343.89	87.65	373.81	89.51	131.51	91.41	780.44	348.71	96.01	182.55	57.08
C2	17.9	921.88	59.13	343.89	909.17	368.65	743.43	463.65	312.0	206.94	19.25	490.14	220.32	275.28	20.71	507.46	723.08	88.88	27.64	202.66	14.67	18.97	15.56	142.01	48.52	73.54	71.0	119.26	42.71	107.38	49.91	130.6	33.06	147.06	31.45	63.0	111.99	21.63	285.03	124.37	29.7	24.46	229.72	6.52	29.06	65.26	348.71	68.55	36.53	35.5	39.79
C3AR1	4.9	353.59	12.27	162.14	314.17	217.27	283.05	320.8	206.94	95.34	11.21	392.44	194.36	191.67	13.03	209.84	314.17	84.63	87.03	154.42	15.22	9.41	14.14	60.39	35.76	66.65	80.57	53.19	81.71	40.64	43.32	141.02	27.44	157.68	40.07	43.32	87.65	20.41	232.94	73.03	87.65	36.01	170.25	28.86	23.42	17.38	293.07	116.78	9.13	43.02	12.45
CCR1	2.78	211.31	4.58	102.97	143.01	96.01	151.22	190.34	77.79	35.5	8.71	123.5	57.08	79.45	5.06	66.65	57.49	63.89	53.57	114.36	5.92	5.63	4.58	11.38	13.42	35.5	17.64	20.56	25.91	15.91	29.27	34.75	4.31	104.42	14.45	21.47	84.63	13.22	73.54	32.59	38.4	13.93	93.35	9.56	11.91	7.82	90.14	90.14	8.58	12.55	0.79
CCR5	0.89	217.27	2.43	71.5	112.77	78.89	126.12	201.25	134.3	78.34	8.58	139.07	80.01	98.73	7.57	131.51	104.42	34.02	30.78	92.7	8.06	3.5	21.94	31.22	13.93	12.0	26.67	11.13	8.19	58.71	8.45	37.32	14.67	29.27	4.46	7.22	65.26	5.54	163.28	44.89	31.22	16.03	122.64	10.08	8.25	8.92	74.58	23.59	33.78	59.13	9.85
CD14	400.71	1529.73	279.14	1066.48	3325.99	2240.11	1572.76	1745.2	1407.55	909.17	299.25	974.5	1208.34	967.76	332.14	1806.78	1991.0	633.73	656.11	1857.6	438.59	281.09	460.44	387.02	438.59	1073.91	525.39	748.61	612.11	529.06	438.59	1151.06	412.0	1936.53	540.19	366.09	1467.37	450.94	1119.56	753.83	642.59	435.55	896.64	287.01	381.68	223.41	1350.18	1023.0	339.14	616.37	417.77
CD163	27.64	2178.83	36.79	483.38	2935.74	733.19	1794.29	1467.37	1233.75	381.68	74.58	3742.05	698.41	928.3	58.3	1023.0	1794.29	633.73	547.75	1044.52	23.25	69.03	22.1	323.03	223.41	703.28	366.09	133.36	503.95	85.82	151.22	341.51	45.85	1023.0	312.0	366.09	521.76	139.07	1119.56	295.11	775.05	197.09	616.37	128.79	134.3	141.02	1250.98	928.3	50.63	134.3	32.13
